case,dof,status,returncode,elapsed_s,peak_rss_mb,timed_out,model_build_s,graph_build_s,problem_build_s,eval_s,probe_status,error
aba_fo,64,ok,0,0.553298097,114.195,0,0.002975152,0.458694995,0,0.000496952,ok,
aba_fo,127,ok,0,4.563974706,696.719,0,0.000266644,4.341516191,0,0.001226695,ok,
aba_fo,128,ok,0,4.662189844,712.141,0,0.000288178,4.438169824,0,0.001208284,ok,
aba_fo,192,ok,0,19.716818430,2246.250,0,0.000361001,19.089859667,0,0.002911147,ok,
aba_fo,255,ok,0,56.397505104,5076.824,0,0.000606624,55.008895761,0,0.00502888,ok,
aba_fo,256,ok,0,56.692610471,5135.176,0,0.000687525,55.330068966,0,0.005062269,ok,
aba_fo,320,ok,0,131.319142377,9847.793,0,0.000305188,128.737349083,0,0.00823093,ok,
aba_fo,384,ok,0,263.971139204,16808.801,0,0.001650763,259.623594934,0,0.012104479,ok,
aba_fo,448,rss_limit,-9,18.671880942,19978.223,0,,,,,,RSS exceeded 19.5GB
aba_fo,416,rss_limit,-9,21.680185257,19997.730,0,,,,,,RSS exceeded 19.5GB
aba_fo,400,ok,0,310.225313356,18940.727,0,0.000551148,305.308340848,0,0.01324007,ok,
aba_fo,408,rss_limit,-9,353.805082084,20003.918,0,,,,,,RSS exceeded 19.5GB
aba_fo,401,ok,0,334.073755099,19079.789,0,0.00059464,329.023801917,0,0.013185863,ok,
aba_fo,402,ok,0,335.176666497,19219.320,0,0.001500781,330.201679589,0,0.013026996,ok,
aba_fo,403,ok,0,339.944468277,19359.625,0,0.000375527,334.921882876,0,0.013404576,ok,
aba_fo,404,ok,0,344.651646015,19500.637,0,0.000928113,339.602441314,0,0.013334049,ok,
aba_fo,405,ok,0,345.725268895,19642.379,0,0.001346777,340.664681223,0,0.013373733,ok,
aba_fo,406,ok,0,355.013120922,19784.773,0,0.000510714,349.839095758,0,0.013747486,ok,
aba_fo,407,ok,0,350.854764642,19927.918,0,0.000955268,345.651891835,0,0.013413036,ok,
rnea_fo,64,ok,0,0.252595789,99.652,0,0.000190836,0.197852826,0,0.000104018,ok,
rnea_fo,127,ok,0,1.907474033,627.527,0,0.000289564,1.711379843,0,0.000220548,ok,
rnea_fo,128,ok,0,2.012546904,640.652,0,0.000595488,1.784073625,0,0.000235116,ok,
rnea_fo,192,ok,0,7.831060097,2069.914,0,0.00034005,7.247415786,0,0.000434999,ok,
rnea_fo,255,ok,0,25.135294657,4758.180,0,0.000705142,23.920532017,0,0.00078432,ok,
rnea_fo,256,ok,0,21.877144628,4813.844,0,0.000689713,20.647015069,0,0.000755566,ok,
rnea_fo,320,ok,0,53.088551518,9307.973,0,0.000602782,50.768564263,0,0.001201035,ok,
rnea_fo,384,ok,0,122.206187323,15984.758,0,0.000729574,118.282474838,0,0.001855605,ok,
rnea_fo,448,rss_limit,-9,18.993426519,19988.641,0,,,,,,RSS exceeded 19.5GB
rnea_fo,416,rss_limit,-9,21.215479227,19976.688,0,,,,,,RSS exceeded 19.5GB
rnea_fo,400,ok,0,144.459026806,18044.688,0,0.000554941,140.079312507,0,0.002002049,ok,
rnea_fo,408,ok,0,157.641877687,19136.141,0,0.000379826,152.967660592,0,0.001965376,ok,
rnea_fo,409,ok,0,154.075394819,19276.719,0,0.000594833,149.421484484,0,0.001979043,ok,
rnea_fo,410,ok,0,156.077621427,19418.934,0,0.000965165,151.346056719,0,0.002110358,ok,
rnea_fo,411,ok,0,158.073054081,19559.270,0,0.001224399,153.319172758,0,0.002020219,ok,
rnea_fo,412,ok,0,159.573790837,19700.441,0,0.000380868,154.84876723,0,0.002176026,ok,
rnea_fo,413,ok,0,161.986536242,19843.461,0,0.001116046,157.139863698,0,0.002379603,ok,
rnea_fo,414,rss_limit,-9,157.963957509,19985.793,0,,,,,,RSS exceeded 19.5GB
