case,dof,status,returncode,elapsed_s,peak_rss_mb,timed_out,model_build_s,graph_build_s,problem_build_s,eval_s,probe_status,error
aba_fo,64,ok,0,0.502132310,105.898,0,0.000141704,0.444336452,0,0.000311442,ok,
aba_fo,127,ok,0,4.612940045,697.156,0,0.000358154,4.328501148,0,0.001230144,ok,
aba_fo,128,ok,0,4.713246037,711.766,0,0.000656427,4.444942906,0,0.001258418,ok,
aba_fo,192,ok,0,19.749618137,2247.449,0,0.000225789,19.040983277,0,0.003027691,ok,
aba_fo,255,ok,0,56.735141446,5076.840,0,0.000634926,55.244878323,0,0.00519532,ok,
aba_fo,256,ok,0,57.031122478,5134.398,0,0.000819941,55.478688594,0,0.00512164,ok,
aba_fo,320,ok,0,131.192847537,9847.945,0,0.0004943,128.494557101,0,0.008274106,ok,
aba_fo,384,ok,0,264.614860810,16808.895,0,0.00060148,260.1480522,0,0.012530734,ok,
aba_fo,448,exit_2,2,23.859690026,20461.980,0,0.001444104,0,0,0,bad_alloc,std::bad_alloc
aba_fo,416,exit_2,2,45.409553493,20458.734,0,0.00116846,0,0,0,bad_alloc,std::bad_alloc
aba_fo,400,ok,0,310.623012454,18940.664,0,0.001088313,305.550985487,0,0.013035685,ok,
aba_fo,408,ok,0,357.950083901,20071.906,0,0.001616565,352.633530121,0,0.013962991,ok,
aba_fo,409,ok,0,360.862744341,20216.199,0,0.001355296,355.525217396,0,0.014530215,ok,
aba_fo,410,ok,0,365.362241261,20330.105,0,0.000571198,359.968209537,0,0.01468284,ok,
aba_fo,411,exit_2,2,368.366458617,20263.914,0,,,,,,
rnea_fo,64,ok,0,0.305301670,98.012,0,0.000137062,0.208723705,0,0.00010929,ok,
rnea_fo,127,ok,0,1.906314009,627.051,0,0.000403746,1.732030515,0,0.000226687,ok,
rnea_fo,128,ok,0,2.005521066,641.984,0,0.000251068,1.780409517,0,0.000228277,ok,
rnea_fo,192,ok,0,7.922887425,2069.973,0,0.000348472,7.286078977,0,0.000463904,ok,
rnea_fo,255,ok,0,25.259129552,4757.641,0,0.00207749,24.006438457,0,0.000935953,ok,
rnea_fo,256,ok,0,21.949989162,4814.426,0,0.001215347,20.671296421,0,0.000805402,ok,
rnea_fo,320,ok,0,53.423959277,9308.262,0,0.000819622,51.053179697,0,0.001265589,ok,
rnea_fo,384,ok,0,122.605334427,15985.164,0,0.000771443,118.608164489,0,0.001901288,ok,
rnea_fo,448,exit_2,2,23.756935882,20457.449,0,0.001554794,0,0,0,bad_alloc,std::bad_alloc
rnea_fo,416,ok,0,165.684397697,20276.672,0,0.000698729,160.64661568,0,0.002160193,ok,
rnea_fo,432,exit_2,2,25.463389618,20457.328,0,0.000394435,0,0,0,bad_alloc,std::bad_alloc
rnea_fo,424,exit_2,2,26.065076494,20456.691,0,0.000612284,0,0,0,bad_alloc,std::bad_alloc
rnea_fo,417,ok,0,171.397718948,20421.199,0,0.001010022,166.434337003,0,0.002202164,ok,
rnea_fo,418,exit_2,2,26.566132192,20457.039,0,0.001239438,0,0,0,bad_alloc,std::bad_alloc
