scenario,method,budget_ms,num_samples,mean_best_cost,median_best_cost,mean_terminal_q_error,success_rate,mean_iterations,mean_iter_ms,p95_iter_ms
"ur10","TetraPGA",1,3,425.057391828,79.648851739,0.522217388,0,1.333333333,0.3916855,0.4708266
"ur10","TetraPGA",5,3,17.516699008,4.606607697,0.013614886,0.666666667,4.333333333,0.589007692,1.6702996
"ur10","TetraPGA",10,3,5.63331039,4.606607697,0.008034758,0.666666667,5.333333333,0.648408375,1.55206075
"ur10","TetraPGA",20,3,5.63331039,4.606607697,0.008034758,0.666666667,5.333333333,0.648408375,1.55206075
"ur10","TetraPGA",50,3,5.63331039,4.606607697,0.008034758,0.666666667,5.333333333,0.648408375,1.55206075
"ur10","Pinocchio",1,3,408.684338111,79.648851729,0.520997837,0.333333333,2.333333333,0.230626286,0.3994155
"ur10","Pinocchio",5,3,383.670256767,4.606607697,0.507638742,0.666666667,3.333333333,0.2858123,0.4865702
"ur10","Pinocchio",10,3,5.708152815,4.606607697,0.008076307,0.666666667,4.666666667,0.889659357,3.0827735
"ur10","Pinocchio",20,3,5.633310391,4.606607697,0.008034758,0.666666667,5.333333333,0.875366937,2.4845545
"ur10","Pinocchio",50,3,5.633310391,4.606607697,0.008034758,0.666666667,5.333333333,0.875366937,2.4845545
"ur10","CasADi",1,3,774.698803849,791.019758474,1.106015105,0,0.333333333,0.743254,0.743254
"ur10","CasADi",5,3,107.964004605,4.763020649,0.021651263,0.666666667,3.333333333,1.2608688,2.4144877
"ur10","CasADi",10,3,5.633310391,4.606607697,0.008034758,0.666666667,5.333333333,1.299359,2.14760275
"ur10","CasADi",20,3,5.633310391,4.606607697,0.008034758,0.666666667,5.333333333,1.299359,2.14760275
"ur10","CasADi",50,3,5.633310391,4.606607697,0.008034758,0.666666667,5.333333333,1.299359,2.14760275
"leap_hand","TetraPGA",1,3,3081.113444578,2988.87624582,2.477277604,0,0,0,0
"leap_hand","TetraPGA",5,3,15.312038625,14.853652532,0.011819535,0,4.333333333,0.937253231,1.1521776
"leap_hand","TetraPGA",10,3,15.312038625,14.853652532,0.01181954,0,4.666666667,0.933250786,1.1491864
"leap_hand","TetraPGA",20,3,15.312038625,14.853652532,0.01181954,0,4.666666667,0.933250786,1.1491864
"leap_hand","TetraPGA",50,3,15.312038625,14.853652532,0.01181954,0,4.666666667,0.933250786,1.1491864
"leap_hand","Pinocchio",1,3,3047.494055592,3301.737380566,2.077989779,0,0.333333333,0.934899,0.934899
"leap_hand","Pinocchio",5,3,15.31203866,14.853652558,0.01181954,0,6,0.815388,1.1176806
"leap_hand","Pinocchio",10,3,15.31203866,14.853652558,0.01181954,0,6.666666667,0.8081045,1.1084702
"leap_hand","Pinocchio",20,3,15.31203866,14.853652558,0.01181954,0,6.666666667,0.8081045,1.1084702
"leap_hand","Pinocchio",50,3,15.31203866,14.853652558,0.01181954,0,6.666666667,0.8081045,1.1084702
"leap_hand","CasADi",1,3,3477.527733618,3301.737380566,2.477277604,0,0,0,0
"leap_hand","CasADi",5,3,1497.159110305,1340.282362306,0.847168117,0,2,2.126733167,2.30558625
"leap_hand","CasADi",10,3,15.319116649,14.866582682,0.011833832,0,5,1.981419067,2.2483899
"leap_hand","CasADi",20,3,15.31203866,14.853652558,0.01181954,0,6.666666667,1.9522912,2.21661415
"leap_hand","CasADi",50,3,15.31203866,14.853652558,0.01181954,0,6.666666667,1.9522912,2.21661415
"stanford_tidybot","TetraPGA",1,3,1899.645609578,1980.177490804,1.873223958,0,0.666666667,0.762784,0.776644
"stanford_tidybot","TetraPGA",5,3,1545.526361752,1749.21446655,1.538419088,0,5.666666667,0.787797529,0.9646762
"stanford_tidybot","TetraPGA",10,3,1442.745850767,1655.793818586,1.378032688,0,10,0.7758479,0.79714895
"stanford_tidybot","TetraPGA",20,3,1442.745850767,1655.793818586,1.378032688,0,10,0.7758479,0.79714895
"stanford_tidybot","TetraPGA",50,3,1442.745850767,1655.793818586,1.378032688,0,10,0.7758479,0.79714895
"stanford_tidybot","Pinocchio",1,3,1816.936842182,2030.103066177,1.820461865,0,1,0.636259,0.6635984
"stanford_tidybot","Pinocchio",5,3,1532.491330441,1811.409561554,1.478005232,0,7.666666667,0.616510957,0.667685
"stanford_tidybot","Pinocchio",10,3,1480.902241907,1759.817832655,1.42664425,0,10,0.625585467,0.66716905
"stanford_tidybot","Pinocchio",20,3,1480.902241907,1759.817832655,1.42664425,0,10,0.625585467,0.66716905
"stanford_tidybot","Pinocchio",50,3,1480.902241907,1759.817832655,1.42664425,0,10,0.625585467,0.66716905
"stanford_tidybot","CasADi",1,3,1978.684294897,2138.866286038,1.946855857,0,0,0,0
"stanford_tidybot","CasADi",5,3,1670.643456679,1940.009128277,1.659663775,0,3,1.288908889,1.397496
"stanford_tidybot","CasADi",10,3,1553.448868491,1839.406007891,1.495321342,0,7,1.30126181,1.425134
"stanford_tidybot","CasADi",20,3,1480.902243484,1759.817833092,1.42664425,0,10,1.3115108,1.3975445
"stanford_tidybot","CasADi",50,3,1480.902243484,1759.817833092,1.42664425,0,10,1.3115108,1.3975445
