scenario,method,budget_ms,num_samples,mean_best_cost,median_best_cost,mean_terminal_q_error,success_rate,mean_iterations,mean_iter_ms,p95_iter_ms
"leap_hand","TetraPGA",1,3,3081.113444578,2988.87624582,2.477277604,0,0,0,0
"leap_hand","TetraPGA",5,3,15.312038625,14.853652532,0.011819535,0,4.333333333,0.937253231,1.1521776
"leap_hand","TetraPGA",10,3,15.312038625,14.853652532,0.01181954,0,4.666666667,0.933250786,1.1491864
"leap_hand","TetraPGA",20,3,15.312038625,14.853652532,0.01181954,0,4.666666667,0.933250786,1.1491864
"leap_hand","TetraPGA",50,3,15.312038625,14.853652532,0.01181954,0,4.666666667,0.933250786,1.1491864
"leap_hand","Pinocchio",1,3,3047.494055592,3301.737380566,2.077989779,0,0.333333333,0.934899,0.934899
"leap_hand","Pinocchio",5,3,15.31203866,14.853652558,0.01181954,0,6,0.815388,1.1176806
"leap_hand","Pinocchio",10,3,15.31203866,14.853652558,0.01181954,0,6.666666667,0.8081045,1.1084702
"leap_hand","Pinocchio",20,3,15.31203866,14.853652558,0.01181954,0,6.666666667,0.8081045,1.1084702
"leap_hand","Pinocchio",50,3,15.31203866,14.853652558,0.01181954,0,6.666666667,0.8081045,1.1084702
"leap_hand","CasADi",1,3,3477.527733618,3301.737380566,2.477277604,0,0,0,0
"leap_hand","CasADi",5,3,1497.159110305,1340.282362306,0.847168117,0,2,2.126733167,2.30558625
"leap_hand","CasADi",10,3,15.319116649,14.866582682,0.011833832,0,5,1.981419067,2.2483899
"leap_hand","CasADi",20,3,15.31203866,14.853652558,0.01181954,0,6.666666667,1.9522912,2.21661415
"leap_hand","CasADi",50,3,15.31203866,14.853652558,0.01181954,0,6.666666667,1.9522912,2.21661415
