scenario,sample_id,method,iter,elapsed_ms,iter_ms,cost,best_cost,terminal_q_error,success,stop
"leap_hand",0,"TetraPGA",0,0,0,3583.698372645,3583.698372645,2.676664143,0,nan
"leap_hand",0,"TetraPGA",1,1.188072,1.188072,2299.701564321,2299.701564321,0.140317264,0,3565.888665025
"leap_hand",0,"TetraPGA",2,2.074361,0.886289,22.828981165,22.828981165,0.015584802,0,2281.891857229
"leap_hand",0,"TetraPGA",3,2.940864,0.866503,17.809708553,17.809708553,0.012769755,0,5.019274093
"leap_hand",0,"TetraPGA",4,3.808881,0.868017,17.809707072,17.809707072,0.01277085,0,0.000001481
"leap_hand",0,"Pinocchio",0,0,0,3994.200063207,3994.200063207,2.676664143,0,nan
"leap_hand",0,"Pinocchio",1,1.103865,1.103865,2449.416671555,2449.416671555,1.993364129,0,3976.39035554
"leap_hand",0,"Pinocchio",2,1.942953,0.839088,1340.282362305,1340.282362305,0.977243106,0,2431.606964128
"leap_hand",0,"Pinocchio",3,2.775125,0.832172,351.101190942,351.101190942,0.497213195,0,1322.472655107
"leap_hand",0,"Pinocchio",4,3.516136,0.741011,236.449423684,236.449423684,0.046241605,0,333.291483801
"leap_hand",0,"Pinocchio",5,4.250294,0.734158,17.8180108,17.8180108,0.01278326,0,218.639716562
"leap_hand",0,"Pinocchio",6,4.980135,0.729841,17.809707121,17.809707121,0.01277085,0,0.008303679
"leap_hand",0,"Pinocchio",7,5.733867,0.753732,17.809707121,17.809707121,0.01277085,0,0
"leap_hand",0,"CasADi",0,0,0,3994.200063207,3994.200063207,2.676664143,0,nan
"leap_hand",0,"CasADi",1,2.210259,2.210259,2449.416671554,2449.416671554,1.993364129,0,3976.39035554
"leap_hand",0,"CasADi",2,4.248587,2.038328,1340.282362306,1340.282362306,0.977243106,0,2431.606964128
"leap_hand",0,"CasADi",3,6.235298,1.986711,351.101190941,351.101190941,0.497213195,0,1322.472655108
"leap_hand",0,"CasADi",4,8.107996,1.872698,236.449423686,236.449423686,0.046241605,0,333.2914838
"leap_hand",0,"CasADi",5,9.97119,1.863194,17.8180108,17.8180108,0.01278326,0,218.639716564
"leap_hand",0,"CasADi",6,11.834692,1.863502,17.809707121,17.809707121,0.01277085,0,0.008303679
"leap_hand",0,"CasADi",7,13.697044,1.862352,17.809707121,17.809707121,0.01277085,0,0
"leap_hand",1,"TetraPGA",0,0,0,2988.87624582,2988.87624582,2.444455429,0,nan
"leap_hand",1,"TetraPGA",1,1.128248,1.128248,1068.983877185,1068.983877185,1.221713816,0,2974.022592831
"leap_hand",1,"TetraPGA",2,2.111366,0.983118,543.420460272,543.420460272,0.608781071,0,1054.130224537
"leap_hand",1,"TetraPGA",3,2.990902,0.879536,176.353931562,176.353931562,0.027091201,0,528.56680771
"leap_hand",1,"TetraPGA",4,3.860095,0.869193,14.860963745,14.860963745,0.011590297,0,161.50027903
"leap_hand",1,"TetraPGA",5,4.730256,0.870161,14.853652532,14.853652532,0.011662923,0,0.007311214
"leap_hand",1,"TetraPGA",6,5.611475,0.881219,14.853652532,14.853652532,0.01166294,0,0
"leap_hand",1,"Pinocchio",0,0,0,3301.737380566,3301.737380566,2.444455429,0,nan
"leap_hand",1,"Pinocchio",1,1.195969,1.195969,2661.374405323,2661.374405323,2.121681018,0,3286.883727534
"leap_hand",1,"Pinocchio",2,2.035881,0.839912,3050.360092475,2661.374405323,1.009994033,0,2646.520752409
"leap_hand",1,"Pinocchio",3,2.780624,0.744743,2414.966878588,2414.966878588,0.175868107,0,3035.50643982
"leap_hand",1,"Pinocchio",4,3.513629,0.733005,71.89189101,71.89189101,0.012447752,0,2400.113226013
"leap_hand",1,"Pinocchio",5,4.247587,0.733958,14.866582682,14.866582682,0.011693732,0,57.038238451
"leap_hand",1,"Pinocchio",6,4.979905,0.732318,14.853652558,14.853652558,0.01166294,0,0.012930124
"leap_hand",1,"Pinocchio",7,5.711279,0.731374,14.853652558,14.853652558,0.01166294,0,0
"leap_hand",1,"CasADi",0,0,0,3301.737380566,3301.737380566,2.444455429,0,nan
"leap_hand",1,"CasADi",1,2.337362,2.337362,2661.374405321,2661.374405321,2.121681018,0,3286.883727534
"leap_hand",1,"CasADi",2,4.327097,1.989735,3050.360092663,2661.374405321,1.009994033,0,2646.520752407
"leap_hand",1,"CasADi",3,6.208716,1.881619,2414.966878039,2414.966878039,0.175868107,0,3035.506440008
"leap_hand",1,"CasADi",4,8.076812,1.868096,71.891891006,71.891891006,0.012447752,0,2400.113225464
"leap_hand",1,"CasADi",5,9.960972,1.88416,14.866582682,14.866582682,0.011693732,0,57.038238447
"leap_hand",1,"CasADi",6,11.833188,1.872216,14.853652558,14.853652558,0.01166294,0,0.012930124
"leap_hand",1,"CasADi",7,13.699002,1.865814,14.853652558,14.853652558,0.01166294,0,0
"leap_hand",2,"TetraPGA",0,0,0,2670.765715268,2670.765715268,2.310713239,0,nan
"leap_hand",2,"TetraPGA",1,1.027541,1.027541,2077.387637803,2077.387637803,0.159977904,0,2657.492958589
"leap_hand",2,"TetraPGA",2,1.901577,0.874036,16.877193512,16.877193512,0.010226707,0,2064.114881527
"leap_hand",2,"TetraPGA",3,2.777689,0.876112,13.272813131,13.272813131,0.011022213,0,3.604437242
"leap_hand",2,"TetraPGA",4,3.645155,0.867466,13.27275627,13.27275627,0.011024832,0,0.000056861
"leap_hand",2,"Pinocchio",0,0,0,3136.645757081,3136.645757081,2.310713239,0,nan
"leap_hand",2,"Pinocchio",1,0.934899,0.934899,1846.544723005,1846.544723005,1.112849764,0,3123.373000368
"leap_hand",2,"Pinocchio",2,1.772091,0.837192,489.820563288,489.820563288,0.554267211,0,1833.271966607
"leap_hand",2,"Pinocchio",3,2.515582,0.743491,160.928867028,160.928867028,0.047152052,0,476.547806963
"leap_hand",2,"Pinocchio",4,3.246368,0.730786,13.364815239,13.364815239,0.010825381,0,147.656110726
"leap_hand",2,"Pinocchio",5,3.978932,0.732564,13.272756464,13.272756464,0.011024503,0,0.092058938
"leap_hand",2,"Pinocchio",6,4.716944,0.738012,13.272756301,13.272756301,0.011024832,0,0.000000163
"leap_hand",2,"CasADi",0,0,0,3136.645757081,3136.645757081,2.310713239,0,nan
"leap_hand",2,"CasADi",1,2.16771,2.16771,1846.544723007,1846.544723007,1.112849764,0,3123.373000368
"leap_hand",2,"CasADi",2,4.184715,2.017005,489.82056329,489.82056329,0.554267211,0,1833.271966609
"leap_hand",2,"CasADi",3,6.064027,1.879312,160.928867029,160.928867029,0.047152052,0,476.547806964
"leap_hand",2,"CasADi",4,7.927354,1.863327,13.364815239,13.364815239,0.010825381,0,147.656110727
"leap_hand",2,"CasADi",5,9.789124,1.86177,13.272756464,13.272756464,0.011024503,0,0.092058938
"leap_hand",2,"CasADi",6,11.649778,1.860654,13.272756301,13.272756301,0.011024832,0,0.000000163
