scenario,method,budget_ms,num_samples,mean_best_cost,median_best_cost,mean_terminal_q_error,success_rate,mean_iterations,mean_iter_ms,p95_iter_ms
"ur10","TetraPGA",1,20,552.803543125,401.423430684,0.756310081,0,1,0.72430285,0.8113659
"ur10","TetraPGA",2,20,62.44902662,3.279417673,0.066195283,0.7,2.95,0.588552644,0.8088216
"ur10","TetraPGA",5,20,2.545452343,2.627758855,0.001677919,1,5.3,0.552181858,0.7614885
"ur10","TetraPGA",10,20,2.545452343,2.627758855,0.001677919,1,5.3,0.552181858,0.7614885
"ur10","TetraPGA",20,20,2.545452343,2.627758855,0.001677919,1,5.3,0.552181858,0.7614885
"ur10","TetraPGA",50,20,2.545452343,2.627758855,0.001677919,1,5.3,0.552181858,0.7614885
"ur10","TetraPGA",100,20,2.545452343,2.627758855,0.001677919,1,5.3,0.552181858,0.7614885
"ur10","TetraPGA",200,20,2.545452343,2.627758855,0.001677919,1,5.3,0.552181858,0.7614885
"ur10","Pinocchio",1,20,309.833284303,162.604378014,0.377956907,0.15,1.65,0.503613121,0.6595104
"ur10","Pinocchio",2,20,38.615411718,2.831411112,0.046156243,0.9,3.9,0.445273,0.64709265
"ur10","Pinocchio",5,20,2.545452343,2.627758855,0.001677919,1,5.3,0.433594849,0.623586
"ur10","Pinocchio",10,20,2.545452343,2.627758855,0.001677919,1,5.3,0.433594849,0.623586
"ur10","Pinocchio",20,20,2.545452343,2.627758855,0.001677919,1,5.3,0.433594849,0.623586
"ur10","Pinocchio",50,20,2.545452343,2.627758855,0.001677919,1,5.3,0.433594849,0.623586
"ur10","Pinocchio",100,20,2.545452343,2.627758855,0.001677919,1,5.3,0.433594849,0.623586
"ur10","Pinocchio",200,20,2.545452343,2.627758855,0.001677919,1,5.3,0.433594849,0.623586
"ur10","CasADi",1,20,1146.885072526,1219.377762317,1.455730046,0,0,0,0
"ur10","CasADi",2,20,552.803543103,401.423430696,0.756310081,0,1,1.7771915,1.8649593
"ur10","CasADi",5,20,132.839742325,5.113404917,0.140756414,0.6,2.7,1.660988315,1.85249075
"ur10","CasADi",10,20,3.146738134,2.627758855,0.00238996,0.95,5.1,1.620689745,1.8376835
"ur10","CasADi",20,20,2.545452343,2.627758855,0.001677919,1,5.3,1.620461849,1.8279055
"ur10","CasADi",50,20,2.545452343,2.627758855,0.001677919,1,5.3,1.620461849,1.8279055
"ur10","CasADi",100,20,2.545452343,2.627758855,0.001677919,1,5.3,1.620461849,1.8279055
"ur10","CasADi",200,20,2.545452343,2.627758855,0.001677919,1,5.3,1.620461849,1.8279055
"leap_hand","TetraPGA",1,20,3587.245962839,3687.408775544,2.661464486,0,0,0,0
"leap_hand","TetraPGA",2,20,3587.245962839,3687.408775544,2.661464486,0,0,0,0
"leap_hand","TetraPGA",5,20,21.238168593,6.107668219,0.006594097,0.95,1.95,2.410406,2.6702117
"leap_hand","TetraPGA",10,20,5.720980994,5.880721795,0.002970843,1,3.8,2.299739803,2.646597
"leap_hand","TetraPGA",20,20,5.720980993,5.880721795,0.00297084,1,3.85,2.299217377,2.646478
"leap_hand","TetraPGA",50,20,5.720980993,5.880721795,0.00297084,1,3.85,2.299217377,2.646478
"leap_hand","TetraPGA",100,20,5.720980993,5.880721795,0.00297084,1,3.85,2.299217377,2.646478
"leap_hand","TetraPGA",200,20,5.720980993,5.880721795,0.00297084,1,3.85,2.299217377,2.646478
"leap_hand","Pinocchio",1,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","Pinocchio",2,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","Pinocchio",5,20,2943.46683522,3284.952901022,1.675645481,0,1.45,2.588176621,3.0531754
"leap_hand","Pinocchio",10,20,1156.174347648,430.738121381,0.655369346,0.05,3.65,2.391887849,2.9669434
"leap_hand","Pinocchio",20,20,73.225681882,6.030743991,0.068789008,0.85,8.1,2.180923883,2.9023248
"leap_hand","Pinocchio",50,20,5.720981063,5.880721852,0.002970838,1,9.05,2.151248287,2.895918
"leap_hand","Pinocchio",100,20,5.720981063,5.880721852,0.002970838,1,9.05,2.151248287,2.895918
"leap_hand","Pinocchio",200,20,5.720981063,5.880721852,0.002970838,1,9.05,2.151248287,2.895918
"leap_hand","CasADi",1,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","CasADi",2,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","CasADi",5,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","CasADi",10,20,3717.18524474,3532.861514753,2.039200799,0,1,5.6373636,6.1064219
"leap_hand","CasADi",20,20,1450.789275788,1064.296636918,0.851241171,0.05,3.25,5.229272169,5.91469
"leap_hand","CasADi",50,20,14.612839061,6.028612594,0.006290684,0.9,8.5,4.963187082,5.71924595
"leap_hand","CasADi",100,20,5.720981063,5.880721852,0.002970838,1,9.05,4.944522519,5.715545
"leap_hand","CasADi",200,20,5.720981063,5.880721852,0.002970838,1,9.05,4.944522519,5.715545
"stanford_tidybot","TetraPGA",1,20,2111.085430281,2023.320620341,2.037315854,0,0,0,0
"stanford_tidybot","TetraPGA",2,20,1437.883416046,1430.983116053,1.504544553,0,1,1.51103145,1.73414755
"stanford_tidybot","TetraPGA",5,20,896.144884695,837.743103388,1.001805936,0.1,3.1,1.426453,1.67714885
"stanford_tidybot","TetraPGA",10,20,460.009466758,408.616095716,0.558729687,0.25,6.5,1.402514792,1.72881545
"stanford_tidybot","TetraPGA",20,20,194.28860377,7.809650309,0.218288506,0.65,11.5,1.372873922,1.72293245
"stanford_tidybot","TetraPGA",50,20,67.337956371,6.293474202,0.049279887,0.85,15.2,1.387658885,1.74581235
"stanford_tidybot","TetraPGA",100,20,67.337956371,6.293474202,0.049279887,0.85,15.2,1.387658885,1.74581235
"stanford_tidybot","TetraPGA",200,20,67.337956371,6.293474202,0.049279887,0.85,15.2,1.387658885,1.74581235
"stanford_tidybot","Pinocchio",1,20,2137.340677047,2037.72246016,2.037315854,0,0,0,0
"stanford_tidybot","Pinocchio",2,20,1723.050359783,1613.65000116,1.756212682,0,1,1.34442025,1.4906564
"stanford_tidybot","Pinocchio",5,20,1013.939315381,973.68301816,1.129044145,0.05,3.75,1.196763533,1.4408987
"stanford_tidybot","Pinocchio",10,20,523.464808152,502.608618389,0.656401576,0.2,7.75,1.164509761,1.4459297
"stanford_tidybot","Pinocchio",20,20,182.323183739,8.490749693,0.251053161,0.6,13.6,1.155551842,1.4698306
"stanford_tidybot","Pinocchio",50,20,97.116516069,7.548431135,0.120379269,0.75,17.25,1.173188159,1.4910906
"stanford_tidybot","Pinocchio",100,20,97.116516069,7.548431135,0.120379269,0.75,17.25,1.173188159,1.4910906
"stanford_tidybot","Pinocchio",200,20,97.116516069,7.548431135,0.120379269,0.75,17.25,1.173188159,1.4910906
"stanford_tidybot","CasADi",1,20,2137.340677047,2037.72246016,2.037315854,0,0,0,0
"stanford_tidybot","CasADi",2,20,2137.340677047,2037.72246016,2.037315854,0,0,0,0
"stanford_tidybot","CasADi",5,20,1723.050361606,1613.650001508,1.756212682,0,1,2.882203,3.03238265
"stanford_tidybot","CasADi",10,20,1138.865601912,1099.044752121,1.307826358,0,3,2.787439083,3.02857885
"stanford_tidybot","CasADi",20,20,598.406832128,610.016535551,0.730802123,0.15,6.9,2.737255217,3.0079022
"stanford_tidybot","CasADi",50,20,162.981855776,7.82391207,0.22489887,0.65,14.55,2.714858746,3.033888
"stanford_tidybot","CasADi",100,20,97.116516083,7.548431135,0.120379269,0.75,17.25,2.725269536,3.064405
"stanford_tidybot","CasADi",200,20,97.116516083,7.548431135,0.120379269,0.75,17.25,2.725269536,3.064405
