sample_id,method,converged,failed,solve_elapsed_ms,final_iter,final_cost,final_stop,trace_points,failure_message
0,"TetraPGA",1,0,9.165691,4,8.302120898,0,5,""
0,"Pinocchio",1,0,19.018845,9,8.302120966,0.000002476,10,""
0,"CasADi",1,0,43.581316,9,8.302120966,0.000002476,10,""
1,"TetraPGA",1,0,6.915118,3,3.484731315,0.000005439,4,""
1,"Pinocchio",1,0,17.957039,8,3.484731377,0.00000266,9,""
1,"CasADi",1,0,40.836549,8,3.484731377,0.00000266,9,""
2,"TetraPGA",1,0,9.294156,4,5.911477612,0.00000017,5,""
2,"Pinocchio",1,0,18.673744,9,5.911477679,0.000000023,10,""
2,"CasADi",1,0,44.905912,9,5.911477679,0.000000023,10,""
3,"TetraPGA",1,0,6.98942,3,5.849965979,0.000023509,4,""
3,"Pinocchio",1,0,31.165311,13,5.849966026,0,14,""
3,"CasADi",1,0,67.364651,13,5.849966026,0,14,""
4,"TetraPGA",1,0,9.192098,4,6.205316514,0.000000011,5,""
4,"Pinocchio",1,0,19.654112,9,6.205316572,0.000000192,10,""
4,"CasADi",1,0,44.695552,9,6.205316572,0.000000192,10,""
5,"TetraPGA",1,0,9.495478,4,4.82939375,0,5,""
5,"Pinocchio",1,0,19.458242,9,4.829393819,0,10,""
5,"CasADi",1,0,44.498374,9,4.829393819,0,10,""
6,"TetraPGA",1,0,9.087951,4,3.980252593,0.000000025,5,""
6,"Pinocchio",1,0,14.852065,7,3.980252641,0.000017523,8,""
6,"CasADi",1,0,34.009986,7,3.980252641,0.000017523,8,""
7,"TetraPGA",1,0,9.100947,4,6.134668641,0.000000005,5,""
7,"Pinocchio",1,0,22.266318,10,6.134668688,0.000000122,11,""
7,"CasADi",1,0,49.930559,10,6.134668688,0.000000122,11,""
8,"TetraPGA",1,0,9.412665,4,4.115248581,0,5,""
8,"Pinocchio",1,0,19.001688,9,4.11524867,0.000001605,10,""
8,"CasADi",1,0,44.672504,9,4.11524867,0.000001605,10,""
9,"TetraPGA",1,0,9.001414,4,6.590684612,0.000000009,5,""
9,"Pinocchio",1,0,16.393007,8,6.590684675,0.000000063,9,""
9,"CasADi",1,0,38.767903,8,6.590684675,0.000000063,9,""
10,"TetraPGA",1,0,9.248706,4,6.834645802,0,5,""
10,"Pinocchio",1,0,27.116583,12,6.834645869,0.000035345,13,""
10,"CasADi",1,0,60.254959,12,6.834645869,0.000035345,13,""
11,"TetraPGA",1,0,9.144278,4,5.922556408,0.000001507,5,""
11,"Pinocchio",1,0,19.028471,9,5.922556501,0.000000225,10,""
11,"CasADi",1,0,44.000866,9,5.922556501,0.000000225,10,""
12,"TetraPGA",1,0,9.360579,4,5.178827709,0,5,""
12,"Pinocchio",1,0,14.067325,7,5.178827788,0.000031625,8,""
12,"CasADi",1,0,33.696975,7,5.178827788,0.000031625,8,""
13,"TetraPGA",1,0,11.400176,5,6.957752842,0.00000001,6,""
13,"Pinocchio",1,0,23.391406,11,6.95775292,0.000000013,12,""
13,"CasADi",1,0,54.363908,11,6.95775292,0.000000013,12,""
14,"TetraPGA",1,0,6.941282,3,5.469375179,0.00002132,4,""
14,"Pinocchio",1,0,14.195111,7,5.46937526,0.000000159,8,""
14,"CasADi",1,0,33.793335,7,5.46937526,0.000000159,8,""
15,"TetraPGA",1,0,9.149198,4,5.236310259,0,5,""
15,"Pinocchio",1,0,27.152674,12,5.236310318,0.000000108,13,""
15,"CasADi",1,0,60.596336,12,5.236310318,0.000000108,13,""
16,"TetraPGA",1,0,9.115112,4,7.512493773,0.000000006,5,""
16,"Pinocchio",1,0,21.3196,10,7.512493866,0.000002153,11,""
16,"CasADi",1,0,48.650931,10,7.512493866,0.000002153,11,""
17,"TetraPGA",1,0,9.021781,4,5.038853075,0.000000098,5,""
17,"Pinocchio",1,0,16.575234,8,5.038853152,0,9,""
17,"CasADi",1,0,39.074096,8,5.038853152,0,9,""
18,"TetraPGA",1,0,6.90012,3,6.728590502,0.000007198,4,""
18,"Pinocchio",1,0,14.220128,7,6.728590582,0.000055258,8,""
18,"CasADi",1,0,33.784784,7,6.728590582,0.000055258,8,""
19,"TetraPGA",1,0,9.110329,4,4.136353824,0,5,""
19,"Pinocchio",1,0,13.874669,7,4.136353896,0,8,""
19,"CasADi",1,0,33.487202,7,4.136353896,0,8,""
