scenario,sample_id,seed,dof,horizon,max_iterations,x0,x_target
"leap_hand",0,348841072,16,50,25,"0.20690526427345723 0.66678160817293808 -0.72597958893680981 -0.74011746926608535 0.64474797223715741 0.1319843147798877 -0.081070077728917278 -0.62806267757969536 -0.19424493369756046 0.35247437789858349 0.5591916228147471 0.53644536256611852 -0.41162480182517264 0.28962573651628509 -0.73596272353355241 0.49257635578679881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0","-0.14781774364459221 -0.72060315343449466 -0.31530266601513907 -0.18713367328422692 0.21797595011790172 0.039138735276702752 0.19278264598399453 0.066095454420782351 -0.24474759122704803 -0.67157171148176142 -0.72265824342612039 -0.43918216767582285 0.1978012113959462 -0.66086731802948762 0.21777670164341534 -0.64655951444711635 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
"leap_hand",1,348841072,16,50,25,"0.51796106728551905 0.053651266881496795 -0.40804179479690333 -0.14053903447653537 0.017614539638678761 0.34888847136740386 -0.52492139823984107 0.59558659499564381 -0.072649061315702812 -0.6592695662652367 -0.74914970170723971 -0.0056646228329340076 -0.2801678114341738 -0.025899267350419031 0.070813427072804247 -0.46750490505583514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0","-0.3698585094766923 -0.51060666789695464 -0.17537349124652646 -0.42702189601273277 -0.072575402692744095 0.56488868949084559 0.10064293823415693 0.70126435448046709 0.051746709264055224 -0.12210911830074977 -0.66011341710424631 0.25880625536462731 0.61581419174566254 0.25410100539265645 -0.1776191051497702 0.69043415354004201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
"leap_hand",2,348841072,16,50,25,"0.091673073957861506 0.72109071876752262 -0.64611153225321083 0.60955998121276167 0.38183791973816605 -0.35108217737087666 0.48297387624718913 0.50288425307548557 0.18927315782848941 0.082320306378141583 0.40497637680257736 0.33152752153991516 -0.20235517074070009 0.63026560642572482 -0.64848136019196456 0.43403116363175198 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0","-0.12180299422237184 0.071668304198225341 -0.050976129592703145 -0.67838374055506656 -0.37706070353802873 -0.53592323630260008 -0.70004308597968057 0.21618375636089437 -0.10212290623813336 -0.61576017848867703 0.58091291191282379 -0.39447654005532767 -0.74804730934377905 0.36436545437770729 0.28139756893129819 -0.25185065776455695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
"leap_hand",3,348841072,16,50,25,"0.27653068535775471 0.48912773969203593 -0.5471933286227515 -0.24351398088053033 0.58181090377239331 0.47445502581953547 0.70217695451627238 -0.53148080539871057 -0.64584564899755526 -0.7358976630292603 0.58756068679811335 0.35642010278064773 0.02855993813028157 0.70636978602387601 0.36826375878477902 0.034430197710987764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0","0.73613039184969398 -0.082050795955280975 -0.34429954956805714 -0.40748798665052749 0.3427579713053226 0.64845716044968804 0.73024695656735172 0.65395789166998797 0.52224996333790119 0.17123294651988719 -0.24268588580108919 -0.72208441258271783 -0.079448833486692183 0.62914983425645232 -0.55076102873487831 -0.53816276468165047 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
"leap_hand",4,348841072,16,50,25,"0.62715979010894962 -0.23877742335663266 0.72060050969645184 -0.35036320289252887 -0.30995723701109468 -0.20981487521236619 -0.33917703426505619 0.022699322870296967 -0.011216233245989748 -0.16488228230573987 -0.058297973042914508 0.49916709547900062 -0.21574730693713295 0.73784030074692364 0.53713063964853069 0.22279017899994658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0","-0.54482706897847755 -0.42829855234687536 0.68661559304317854 0.33049807200414216 0.30767496434622554 0.56655386270701324 0.32843498993874176 0.4840655382970942 -0.15807722174159222 -0.22871050547646266 -0.10151865914113478 -0.48156342412911213 0.40619337814363443 -0.44199063503125691 -0.68228017662166351 0.17796543276551247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
"leap_hand",5,348841072,16,50,25,"-0.42295155572203957 -0.52196104280903399 -0.25701150334324629 0.54245941463853442 -0.56786615183074163 0.49710438756392961 0.53719244758510309 -0.16040748351749889 -0.41248190939620349 0.53632811546271197 0.73903394054332372 -0.44544831280566294 -0.37548880480216995 -0.18817845742968076 0.0010383306893955169 0.57841080046342519 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0","0.51179934288961926 0.50075397213419981 -0.56593595137982411 0.20238593080199707 0.1605843614426834 0.44769504974603436 -0.054911278943650998 -0.39858301276258745 -0.36130304148397202 -0.63554121548204578 -0.1729879850995194 -0.13957839728599009 0.0074878756535263769 -0.19274663255764446 -0.44081537679328797 -0.0012289282650119748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
"leap_hand",6,348841072,16,50,25,"0.12587314783118075 -0.25473548141345514 0.6664054866495337 -0.2935868591376577 -0.41299000641314759 -0.65871105687215958 -0.48743932376108312 -0.56182555510126697 0.11511559021595519 0.0038754888540233345 -0.35102303964468384 0.56947268276099194 -0.27910978658903085 -0.64086037483922476 -0.69566375586334661 0.65870639321703583 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0","-0.24886804783943828 -0.37766270936388169 0.1700223550492348 -0.66734171057308389 0.65127158487953229 -0.74519127475302394 0.17895017118899625 -0.48923755388347545 0.37207720850120962 0.72999619660007209 -0.6349614606515791 -0.29209292064704528 -0.19984793359544661 0.095809786379439155 -0.68187435064838908 -0.28472189824101796 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
"leap_hand",7,348841072,16,50,25,"-0.010367917675875638 0.48619025932285731 -0.32057378624933869 -0.71282454587828081 0.65779858214934572 -0.078462614105038408 -0.24447407317518377 -0.70197927083580824 0.42091257591015108 -0.027038123813486137 0.49924879541472045 0.6487924737721853 -0.12643191428990708 0.74184777298465665 -0.39295912569846314 -0.53656107963998556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0","0.29018533927396195 -0.24328443998859051 -0.66734115812281636 0.35063725663148571 0.32506508168102743 0.71861267620728819 0.43742662299444657 -0.6971484617505046 -0.37565882409912144 -0.041657253859333943 -0.38045604079628503 -0.4675497411730149 0.28898866815652702 -0.15206768408847393 0.59413744641038946 -0.53181433712210979 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
"leap_hand",8,348841072,16,50,25,"-0.51484202291240222 -0.063549376825589809 -0.093444504562250397 0.46094633061242529 -0.25159056484801257 -0.02018827058792505 -0.13839047957181361 0.61989264304372438 -0.34986707101982201 0.40371355409571841 0.71761922045714122 -0.40461442909780942 -0.50499851684652097 0.60601286941276111 0.30485031418486686 0.31263520480648666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0","0.17609166891443495 -0.31813837530141464 -0.51288732994032671 0.31467634909753861 -0.00080436935408556565 0.072776403958735969 0.44090885754175058 -0.082972470212143046 -0.41242533653417168 0.55757058099022849 -0.7332326026530962 0.28451789043934528 -0.16600447142157082 0.34523447349435799 -0.50511653841240012 0.57443057092235339 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
"leap_hand",9,348841072,16,50,25,"0.028633872310502184 0.055375850727783504 -0.29348695342810505 0.16681930807953183 -0.69521597656965883 -0.48333168343468358 -0.69745974707821778 -0.13267380418482433 -0.40084450361582979 -0.13826318593709697 0.47486516022705838 -0.51532407168590222 0.74666589442298936 0.63432369702294311 -0.41181920648613124 0.077625078053712881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0","0.69116266892631106 0.55379468323404568 -0.34572670434682962 -0.74578408295300325 0.37740517123260142 -0.62009405766484704 -0.082805400976565524 -0.11471468105107729 0.57290997197153182 0.50835005002763545 -0.74387067806865381 0.023403782486296043 -0.62261338668206401 0.28310238023295664 -0.36809616847618865 -0.13350066868472599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
