scenario,method,budget_ms,num_samples,mean_best_cost,median_best_cost,mean_terminal_q_error,success_rate,mean_iterations,mean_iter_ms,p95_iter_ms
"leap_hand","TetraPGA",1,20,3587.245962839,3687.408775544,2.661464486,0,0,0,0
"leap_hand","TetraPGA",2,20,3587.245962839,3687.408775544,2.661464486,0,0,0,0
"leap_hand","TetraPGA",5,20,21.238168593,6.107668219,0.006594097,0.95,1.95,2.410406,2.6702117
"leap_hand","TetraPGA",10,20,5.720980994,5.880721795,0.002970843,1,3.8,2.299739803,2.646597
"leap_hand","TetraPGA",20,20,5.720980993,5.880721795,0.00297084,1,3.85,2.299217377,2.646478
"leap_hand","TetraPGA",50,20,5.720980993,5.880721795,0.00297084,1,3.85,2.299217377,2.646478
"leap_hand","TetraPGA",100,20,5.720980993,5.880721795,0.00297084,1,3.85,2.299217377,2.646478
"leap_hand","TetraPGA",200,20,5.720980993,5.880721795,0.00297084,1,3.85,2.299217377,2.646478
"leap_hand","Pinocchio",1,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","Pinocchio",2,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","Pinocchio",5,20,2943.46683522,3284.952901022,1.675645481,0,1.45,2.588176621,3.0531754
"leap_hand","Pinocchio",10,20,1156.174347648,430.738121381,0.655369346,0.05,3.65,2.391887849,2.9669434
"leap_hand","Pinocchio",20,20,73.225681882,6.030743991,0.068789008,0.85,8.1,2.180923883,2.9023248
"leap_hand","Pinocchio",50,20,5.720981063,5.880721852,0.002970838,1,9.05,2.151248287,2.895918
"leap_hand","Pinocchio",100,20,5.720981063,5.880721852,0.002970838,1,9.05,2.151248287,2.895918
"leap_hand","Pinocchio",200,20,5.720981063,5.880721852,0.002970838,1,9.05,2.151248287,2.895918
"leap_hand","CasADi",1,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","CasADi",2,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","CasADi",5,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","CasADi",10,20,3717.18524474,3532.861514753,2.039200799,0,1,5.6373636,6.1064219
"leap_hand","CasADi",20,20,1450.789275788,1064.296636918,0.851241171,0.05,3.25,5.229272169,5.91469
"leap_hand","CasADi",50,20,14.612839061,6.028612594,0.006290684,0.9,8.5,4.963187082,5.71924595
"leap_hand","CasADi",100,20,5.720981063,5.880721852,0.002970838,1,9.05,4.944522519,5.715545
"leap_hand","CasADi",200,20,5.720981063,5.880721852,0.002970838,1,9.05,4.944522519,5.715545
