scenario,sample_id,method,iter,elapsed_ms,iter_ms,cost,best_cost,terminal_q_error,success,stop
"leap_hand",0,"TetraPGA",0,0,0,5205.706802792,5205.706802792,3.225060091,0,nan
"leap_hand",0,"TetraPGA",1,2.725911,2.725911,91.713068536,91.713068536,0.028128724,0,5197.404681507
"leap_hand",0,"TetraPGA",2,4.879403,2.153492,8.303309027,8.303309027,0.003628142,1,83.410947636
"leap_hand",0,"TetraPGA",3,7.013921,2.134518,8.302120898,8.302120898,0.00359995,1,0.001188129
"leap_hand",0,"TetraPGA",4,9.165466,2.151545,8.302120898,8.302120898,0.00359995,1,0
"leap_hand",0,"Pinocchio",0,0,0,6178.084008308,6178.084008308,3.225060091,0,nan
"leap_hand",0,"Pinocchio",1,2.828862,2.828862,5700.819237267,5700.819237267,2.335656419,0,6169.781886941
"leap_hand",0,"Pinocchio",2,5.158036,2.329174,3554.885452653,3554.885452653,1.748207199,0,5692.517115832
"leap_hand",0,"Pinocchio",3,7.236539,2.078503,1078.665840981,1078.665840981,0.886455118,0,3546.583331401
"leap_hand",0,"Pinocchio",4,9.315177,2.078638,250.994020245,250.994020245,0.45629099,0,1070.363719912
"leap_hand",0,"Pinocchio",5,11.159126,1.843949,30.674599557,30.674599557,0.054207339,0,242.691899248
"leap_hand",0,"Pinocchio",6,13.01224,1.853114,9.150907639,9.150907639,0.017360905,0,22.372478565
"leap_hand",0,"Pinocchio",7,14.998615,1.986375,8.327251006,8.327251006,0.004509099,1,0.84878667
"leap_hand",0,"Pinocchio",8,17.08649,2.087875,8.302123443,8.302123443,0.003600753,1,0.025130039
"leap_hand",0,"Pinocchio",9,19.018539,1.932049,8.302120966,8.302120966,0.00359995,1,0.000002476
"leap_hand",0,"CasADi",0,0,0,6178.084008308,6178.084008308,3.225060091,0,nan
"leap_hand",0,"CasADi",1,5.350411,5.350411,5700.819237266,5700.819237266,2.335656419,0,6169.781886941
"leap_hand",0,"CasADi",2,10.480784,5.130373,3554.885452655,3554.885452655,1.748207199,0,5692.517115832
"leap_hand",0,"CasADi",3,15.40255,4.921766,1078.665840981,1078.665840981,0.886455118,0,3546.583331403
"leap_hand",0,"CasADi",4,20.282695,4.880145,250.994020245,250.994020245,0.45629099,0,1070.363719912
"leap_hand",0,"CasADi",5,24.908671,4.625976,30.674599557,30.674599557,0.054207339,0,242.691899248
"leap_hand",0,"CasADi",6,29.753035,4.844364,9.150907639,9.150907639,0.017360905,0,22.372478565
"leap_hand",0,"CasADi",7,34.378479,4.625444,8.327251006,8.327251006,0.004509099,1,0.84878667
"leap_hand",0,"CasADi",8,38.982845,4.604366,8.302123443,8.302123443,0.003600753,1,0.025130039
"leap_hand",0,"CasADi",9,43.580919,4.598074,8.302120966,8.302120966,0.00359995,1,0.000002476
"leap_hand",1,"TetraPGA",0,0,0,2185.042802118,2185.042802118,2.089430517,0,nan
"leap_hand",1,"TetraPGA",1,2.59903,2.59903,8.266517964,8.266517964,0.006579382,1,2181.558070641
"leap_hand",1,"TetraPGA",2,4.769244,2.170214,3.484736753,3.484736753,0.002332938,1,4.781786649
"leap_hand",1,"TetraPGA",3,6.915014,2.14577,3.484731315,3.484731315,0.002332311,1,0.000005439
"leap_hand",1,"Pinocchio",0,0,0,3164.742701037,3164.742701037,2.089430517,0,nan
"leap_hand",1,"Pinocchio",1,2.591566,2.591566,2923.199592878,2923.199592878,1.548629394,0,3161.257969466
"leap_hand",1,"Pinocchio",2,4.908567,2.317001,2050.3185679,2050.3185679,1.158922706,0,2919.714861389
"leap_hand",1,"Pinocchio",3,8.204137,3.29557,1908.416424874,1908.416424874,0.583897714,0,2046.833836449
"leap_hand",1,"Pinocchio",4,10.422557,2.21842,153.976844004,153.976844004,0.291371046,0,1904.931693429
"leap_hand",1,"Pinocchio",5,12.335123,1.912566,109.886270653,109.886270653,0.039340525,0,150.492112609
"leap_hand",1,"Pinocchio",6,14.19095,1.855827,3.5966983,3.5966983,0.003095452,1,106.401539275
"leap_hand",1,"Pinocchio",7,16.069472,1.878522,3.484734036,3.484734036,0.002331535,1,0.111966923
"leap_hand",1,"Pinocchio",8,17.956599,1.887127,3.484731377,3.484731377,0.002332311,1,0.00000266
"leap_hand",1,"CasADi",0,0,0,3164.742701037,3164.742701037,2.089430517,0,nan
"leap_hand",1,"CasADi",1,5.722274,5.722274,2923.199592873,2923.199592873,1.548629394,0,3161.257969466
"leap_hand",1,"CasADi",2,11.029274,5.307,2050.318567905,2050.318567905,1.158922706,0,2919.714861384
"leap_hand",1,"CasADi",3,16.139771,5.110497,1908.416424896,1908.416424896,0.583897714,0,2046.833836454
"leap_hand",1,"CasADi",4,21.479469,5.339698,153.976844005,153.976844005,0.291371046,0,1904.931693452
"leap_hand",1,"CasADi",5,26.41077,4.931301,109.886270654,109.886270654,0.039340525,0,150.49211261
"leap_hand",1,"CasADi",6,31.243879,4.833109,3.5966983,3.5966983,0.003095452,1,106.401539276
"leap_hand",1,"CasADi",7,36.046539,4.80266,3.484734036,3.484734036,0.002331535,1,0.111966923
"leap_hand",1,"CasADi",8,40.835916,4.789377,3.484731377,3.484731377,0.002332311,1,0.00000266
"leap_hand",2,"TetraPGA",0,0,0,3706.693698442,3706.693698442,2.721393286,0,nan
"leap_hand",2,"TetraPGA",1,2.665492,2.665492,24.126130479,24.126130479,0.072987909,0,3700.782220555
"leap_hand",2,"TetraPGA",2,4.880337,2.214845,6.074346534,6.074346534,0.002904009,1,18.214652867
"leap_hand",2,"TetraPGA",3,7.056913,2.176576,5.911477781,5.911477781,0.003037833,1,0.162868922
"leap_hand",2,"TetraPGA",4,9.293437,2.236524,5.911477612,5.911477612,0.003037735,1,0.00000017
"leap_hand",2,"Pinocchio",0,0,0,4341.075474755,4341.075474755,2.721393286,0,nan
"leap_hand",2,"Pinocchio",1,2.711787,2.711787,2924.560201662,2924.560201662,2.022162007,0,4335.163996745
"leap_hand",2,"Pinocchio",2,4.936184,2.224397,2462.719323119,2462.719323119,1.042972663,0,2918.648723669
"leap_hand",2,"Pinocchio",3,7.131181,2.194997,1483.333866382,1483.333866382,0.543133627,0,2456.807845235
"leap_hand",2,"Pinocchio",4,9.08137,1.950189,590.303946869,590.303946869,0.04931729,0,1477.422388571
"leap_hand",2,"Pinocchio",5,11.042827,1.961457,153.822968863,153.822968863,0.131718593,0,584.392469112
"leap_hand",2,"Pinocchio",6,12.932728,1.889901,95.426665966,95.426665966,0.027057789,0,147.911491158
"leap_hand",2,"Pinocchio",7,14.8497,1.916972,6.006524336,6.006524336,0.003298052,1,89.515188285
"leap_hand",2,"Pinocchio",8,16.775026,1.925326,5.911477702,5.911477702,0.003037945,1,0.095046658
"leap_hand",2,"Pinocchio",9,18.673541,1.898515,5.911477679,5.911477679,0.003037735,1,0.000000023
"leap_hand",2,"CasADi",0,0,0,4341.075474755,4341.075474755,2.721393286,0,nan
"leap_hand",2,"CasADi",1,5.553266,5.553266,2924.560201643,2924.560201643,2.022162007,0,4335.163996745
"leap_hand",2,"CasADi",2,10.847176,5.29391,2462.719323218,2462.719323218,1.042972663,0,2918.648723651
"leap_hand",2,"CasADi",3,15.996991,5.149815,1483.333866425,1483.333866425,0.543133627,0,2456.807845333
"leap_hand",2,"CasADi",4,20.853295,4.856304,590.303946773,590.303946773,0.04931729,0,1477.422388613
"leap_hand",2,"CasADi",5,25.604699,4.751404,153.822968859,153.822968859,0.131718593,0,584.392469016
"leap_hand",2,"CasADi",6,30.368445,4.763746,95.426665968,95.426665968,0.027057789,0,147.911491154
"leap_hand",2,"CasADi",7,35.156356,4.787911,6.006524336,6.006524336,0.003298052,1,89.515188287
"leap_hand",2,"CasADi",8,39.919346,4.76299,5.911477702,5.911477702,0.003037945,1,0.095046658
"leap_hand",2,"CasADi",9,44.90513,4.985784,5.911477679,5.911477679,0.003037735,1,0.000000023
"leap_hand",3,"TetraPGA",0,0,0,3668.123852645,3668.123852645,2.707197589,0,nan
"leap_hand",3,"TetraPGA",1,2.648382,2.648382,17.424967118,17.424967118,0.012387328,0,3662.273886393
"leap_hand",3,"TetraPGA",2,4.841296,2.192914,5.849989488,5.849989488,0.003016314,1,11.575001138
"leap_hand",3,"TetraPGA",3,6.989245,2.147949,5.849965979,5.849965979,0.003021889,1,0.000023509
"leap_hand",3,"Pinocchio",0,0,0,4716.99829138,4716.99829138,2.707197589,0,nan
"leap_hand",3,"Pinocchio",1,3.100937,3.100937,4141.315458384,4141.315458384,2.534299392,0,4711.148325071
"leap_hand",3,"Pinocchio",2,5.991852,2.890915,3643.301632808,3643.301632808,2.373481173,0,4135.465492111
"leap_hand",3,"Pinocchio",3,8.858971,2.867119,3208.452763209,3208.452763209,2.223513941,0,3637.451666565
"leap_hand",3,"Pinocchio",4,11.761633,2.902662,2827.044037015,2827.044037015,2.083450452,0,3202.602796991
"leap_hand",3,"Pinocchio",5,14.382269,2.620636,2242.325757151,2242.325757151,1.815101907,0,2821.19407082
"leap_hand",3,"Pinocchio",6,16.978555,2.596286,1745.310200228,1745.310200228,1.587258185,0,2236.475790985
"leap_hand",3,"Pinocchio",7,19.345167,2.366612,1077.553331659,1077.553331659,1.187897463,0,1739.460234092
"leap_hand",3,"Pinocchio",8,21.765096,2.419929,376.843663147,376.843663147,0.597560092,0,1071.703365542
"leap_hand",3,"Pinocchio",9,23.7298,1.964704,24.442918613,24.442918613,0.026034135,0,370.99369708
"leap_hand",3,"Pinocchio",10,25.656468,1.926668,6.684281773,6.684281773,0.005193502,1,18.592952579
"leap_hand",3,"Pinocchio",11,27.502733,1.846265,5.850362879,5.850362879,0.003031255,1,0.834315747
"leap_hand",3,"Pinocchio",12,29.342468,1.839735,5.849966026,5.849966026,0.003021893,1,0.000396853
"leap_hand",3,"Pinocchio",13,31.165139,1.822671,5.849966026,5.849966026,0.003021889,1,0
"leap_hand",3,"CasADi",0,0,0,4716.99829138,4716.99829138,2.707197589,0,nan
