sample_id,method,converged,failed,solve_elapsed_ms,final_iter,final_cost,final_stop,trace_points,failure_message
0,"TetraPGA",0,0,38.644979,25,11.767809754,5.184921576,26,""
0,"Pinocchio",1,0,19.977918,18,7.641838152,0.000009702,19,""
0,"CasADi",1,0,47.546502,18,7.641838152,0.000009702,19,""
1,"TetraPGA",1,0,13.758041,11,6.581394509,0.000000086,12,""
1,"Pinocchio",1,0,13.432651,13,6.61520861,0.000000282,14,""
1,"CasADi",1,0,33.401727,13,6.61520861,0.000000282,14,""
2,"TetraPGA",1,0,12.171892,10,9.750022903,0.000000001,11,""
2,"Pinocchio",1,0,8.429464,9,9.755506519,0,10,""
2,"CasADi",1,0,22.316381,9,9.755506519,0,10,""
3,"TetraPGA",1,0,19.280811,15,7.831455556,0.000000002,16,""
3,"Pinocchio",1,0,22.31905,19,7.843594628,0.000004119,20,""
3,"CasADi",1,0,51.687545,19,7.843594628,0.000004119,20,""
4,"TetraPGA",1,0,5.343273,5,3.451213196,0.000015631,6,""
4,"Pinocchio",1,0,6.53703,7,3.471726155,0.00000001,8,""
4,"CasADi",1,0,17.301998,7,3.471726155,0.00000001,8,""
5,"TetraPGA",1,0,7.951675,7,7.450137457,0.000000005,8,""
5,"Pinocchio",1,0,8.088711,9,7.455024119,0,10,""
5,"CasADi",1,0,21.972083,9,7.455024119,0,10,""
6,"TetraPGA",0,0,41.941879,25,384.365860307,448.627601884,26,""
6,"Pinocchio",0,0,34.189271,25,214.607120796,250.384341219,26,""
6,"CasADi",0,0,73.250973,25,214.607122002,250.384342597,26,""
7,"TetraPGA",1,0,25.192166,19,7.717872264,0.000000227,20,""
7,"Pinocchio",0,0,31.147308,25,13.292276352,39.857449887,26,""
7,"CasADi",0,0,69.825741,25,13.292276311,39.85745018,26,""
8,"TetraPGA",1,0,16.786835,13,5.8598977,0.000000015,14,""
8,"Pinocchio",1,0,23.362853,20,5.886144968,0.000068694,21,""
8,"CasADi",1,0,54.842487,20,5.886144968,0.000068694,21,""
9,"TetraPGA",1,0,15.270189,12,3.860697379,0.000000705,13,""
9,"Pinocchio",1,0,12.426361,12,3.870270578,0.000000191,13,""
9,"CasADi",1,0,31.027352,12,3.870270578,0.000000191,13,""
10,"TetraPGA",1,0,19.03687,15,7.787845062,0.000000201,16,""
10,"Pinocchio",1,0,15.603038,15,7.804225393,0.000003205,16,""
10,"CasADi",1,0,38.754391,15,7.804225393,0.000003208,16,""
11,"TetraPGA",1,0,10.706952,9,3.328139601,0.000000574,10,""
11,"Pinocchio",1,0,9.802852,10,3.332569797,0.000016431,11,""
11,"CasADi",1,0,25.270409,10,3.332569797,0.000016431,11,""
12,"TetraPGA",1,0,32.374887,23,3.577758239,0.000000001,24,""
12,"Pinocchio",1,0,20.934312,19,3.580831865,0.000000003,20,""
12,"CasADi",1,0,50.334095,19,3.580831865,0.000000003,20,""
13,"TetraPGA",1,0,19.552859,15,3.86739096,0.000001057,16,""
13,"Pinocchio",1,0,27.567427,24,3.880261801,0.000000511,25,""
13,"CasADi",1,0,64.892389,24,3.880261801,0.000000511,25,""
14,"TetraPGA",1,0,10.906595,9,6.005553896,0.000000092,10,""
14,"Pinocchio",1,0,14.424805,14,6.015579026,0,15,""
14,"CasADi",1,0,36.030122,14,6.015579026,0,15,""
15,"TetraPGA",1,0,27.515453,19,2.750536477,0.00004711,20,""
15,"Pinocchio",0,0,32.881756,25,72.649251436,100.800587398,26,""
15,"CasADi",0,0,71.837771,25,72.649251374,100.800587241,26,""
16,"TetraPGA",0,0,41.514702,25,855.510064855,904.765874797,26,""
16,"Pinocchio",0,0,34.84052,25,695.234609497,699.204660878,26,""
16,"CasADi",0,0,73.511342,25,695.23460737,699.204658671,26,""
17,"TetraPGA",1,0,35.976561,25,4.639958328,0.000021721,26,""
17,"Pinocchio",0,0,35.150912,25,858.708871249,892.581475343,26,""
17,"CasADi",0,0,74.325193,25,858.708872547,892.581476772,26,""
18,"TetraPGA",1,0,8.106423,7,2.54815256,0.000099425,8,""
18,"Pinocchio",1,0,12.365887,12,2.558718951,0.000000011,13,""
18,"CasADi",1,0,31.065515,12,2.558718951,0.000000011,13,""
19,"TetraPGA",1,0,19.819267,15,8.107366417,0.000001343,16,""
19,"Pinocchio",1,0,21.270451,19,8.126691493,0.000003366,20,""
19,"CasADi",1,0,51.030153,19,8.126691493,0.000003366,20,""
