scenario,sample_id,seed,dof,horizon,max_iterations,x0,x_target
"stanford_tidybot",0,1912086050,10,50,25,"0.025121358896621038 0.55024438642074092 0.467444719384015 -0.74090386273514863 0.021540468514823496 -0.40872635569228744 0.33049695183489636 -0.57966656347799583 -0.74147555592819181 0.46301634954456938 0 0 0 0 0 0 0 0 0 0","0.63428929191057604 -0.53362726316147147 0.30826034874711405 -0.23610611138708149 -0.31905117896910085 -0.063255846562399798 -0.53343718883201541 -0.50457586519627018 0.32253250184187787 0.43788409155804486 0 0 0 0 0 0 0 0 0 0"
"stanford_tidybot",1,1912086050,10,50,25,"0.3929552376109684 0.3937905782275668 -0.45615927779836324 0.21342708593878723 -0.74339250432280979 -0.21159470495194577 -0.61274097027101215 0.40359737572821075 -0.31549643215655843 -0.73161950676582266 0 0 0 0 0 0 0 0 0 0","0.4353416541878159 -0.65933131105312548 -0.65518287545655085 -0.69503911724714762 -0.54872085470005216 -0.049151170661811738 -0.59561430655059522 -0.61739919862888604 0.58225948692989338 -0.30577113352118784 0 0 0 0 0 0 0 0 0 0"
"stanford_tidybot",2,1912086050,10,50,25,"-0.65554840217189492 -0.22210923296313556 0.69772457552318601 0.088626913647942507 -0.15127616252990084 -0.12057722802989146 0.056772607449749324 0.057526565902420002 -0.62331738444598672 0.31131543330025502 0 0 0 0 0 0 0 0 0 0","0.42275613030713677 0.55592670666673905 -0.070872817666459698 -0.71052329561567651 -0.12433780504008862 -0.63321569814123668 0.36492036703302677 0.30538777102882553 0.6176825445073022 -0.57333978598717006 0 0 0 0 0 0 0 0 0 0"
"stanford_tidybot",3,1912086050,10,50,25,"0.667857677090965 0.14536201930615045 0.20689887158536879 0.3218012499407652 -0.064786251362307201 -0.23479358069132794 -0.3176087128637809 -0.12927163435422084 0.21334476236067945 0.64587367061971812 0 0 0 0 0 0 0 0 0 0","-0.64292065517125241 0.30219770541087487 0.16567485923713188 -0.074337687287070464 0.61962833092937553 -0.35706143566856891 0.67765272737567184 0.056964783068347735 0.45305092740359476 0.0047528009402465488 0 0 0 0 0 0 0 0 0 0"
"stanford_tidybot",4,1912086050,10,50,25,"-0.17465215575477799 -0.34090975085936259 -0.6924422047424641 -0.70940313556759915 -0.66394266720346151 0.12820589530010151 -0.40418325146740047 -0.65205721656369486 0.57489267771072772 -0.63006569743758112 0 0 0 0 0 0 0 0 0 0","0.088833912813539806 0.24863437172428782 -0.034739305188025371 -0.12758729993853546 -0.5485476156275445 0.19705504438906107 -0.23032969744631782 -0.28865422458146284 0.6317794659978222 0.57329373415695328 0 0 0 0 0 0 0 0 0 0"
"stanford_tidybot",5,1912086050,10,50,25,"-0.089010091495133836 -0.6203165763774996 0.26728298264214478 -0.091477667380106986 0.37858660488829265 -0.25321071771318654 -0.32196580588114693 0.3479058145663001 0.63848614426181571 -0.46498439215761056 0 0 0 0 0 0 0 0 0 0","-0.072040286826912103 0.59489357422091427 0.34191194568968686 -0.65772684717460728 0.41354699445211063 0.70289612002590074 -0.63083863142190066 0.3597094865854098 0.69204430205977929 0.59314636310549762 0 0 0 0 0 0 0 0 0 0"
"stanford_tidybot",6,1912086050,10,50,25,"-0.72003885390216105 -0.19282427189796714 0.44295059966513928 -0.74211344670977486 -0.37482036825127413 -0.70708803474530957 0.18339262162136738 -0.60265938798559127 -0.23001324490326414 0.41951793742867216 0 0 0 0 0 0 0 0 0 0","-0.15741032760305063 0.61448407046654507 -0.52652175616536645 0.091823480438910421 0.60903480609359684 -0.46386001118319842 0.29059702646122387 -0.51109366852371829 -0.45603885326850641 -0.14027518294546226 0 0 0 0 0 0 0 0 0 0"
"stanford_tidybot",7,1912086050,10,50,25,"0.068159067277303587 0.69473199204988667 -0.32102349391039919 -0.1164575650173999 -0.50353653250928598 -0.70603090174205818 0.69631643078575234 -0.31111363211174115 -0.48140409728561973 -0.59231345956552883 0 0 0 0 0 0 0 0 0 0","0.44179415887088447 -0.12536795803149559 0.17540286583707432 -0.18829830891253563 -0.22207313711783272 0.32777581178205062 -0.62233347483437607 0.56219524007023658 0.63518859167972241 0.25037491538058165 0 0 0 0 0 0 0 0 0 0"
"stanford_tidybot",8,1912086050,10,50,25,"0.30228659139001879 0.65881220436997534 0.63558745535035222 0.64632990871973606 -0.41605718720689761 0.50354376805315426 0.26286223836018419 -0.13184807640981677 -0.040861208949518835 -0.53781762541402323 0 0 0 0 0 0 0 0 0 0","0.15663064086770295 -0.20802212526770747 0.63301640279328741 -0.34236094757223218 -0.71014034575751206 0.043512802236211234 -0.31798027847846577 0.24162689141779481 -0.65973000802556636 0.68198423642475881 0 0 0 0 0 0 0 0 0 0"
"stanford_tidybot",9,1912086050,10,50,25,"0.22185699387794044 -0.37365292973720482 -0.72206516141256094 -0.71889452209415383 0.44675310299243298 -0.24326496368581108 0.46044898411964552 0.51642731076173432 -0.66782659647653908 -0.66166481298831681 0 0 0 0 0 0 0 0 0 0","0.25096991671346869 -0.62391222576310368 0.083380348972489138 -0.31132727140582317 -0.45525515071237699 -0.11779528239759673 0.65193390516038896 -0.54002922602435877 -0.67091903046604884 0.65436098295765133 0 0 0 0 0 0 0 0 0 0"
"stanford_tidybot",10,1912086050,10,50,25,"0.42087603930615525 -0.52876586861066877 -0.58067401858449352 0.67432607553262547 -0.74619525242365714 -0.0054157756745433216 -0.095552096196171998 0.7146387462966548 0.14061135725001195 -0.21011819527754516 0 0 0 0 0 0 0 0 0 0","-0.69594081257536089 -0.4148464825150518 0.49491303769472728 0.60657225184791663 0.080351710788131969 -0.6964583185249047 -0.72485391035792857 -0.21003182350726524 0.34881004585577591 0.41496278444779877 0 0 0 0 0 0 0 0 0 0"
"stanford_tidybot",11,1912086050,10,50,25,"0.18321060728084548 -0.32985002763291538 -0.53839669761834941 0.023534058971842908 -0.38097314801645243 0.0042287887494321108 -0.21803812384947074 -0.67755134913441306 0.36797186354825251 0.18733156721699873 0 0 0 0 0 0 0 0 0 0","0.13341356817550487 0.076996478640602328 -0.074212470503422168 -0.50134504350099895 -0.073739373202020397 -0.69959755978927496 0.042466829138138706 0.52886638574812306 -0.37059210986912899 -0.34698363466892429 0 0 0 0 0 0 0 0 0 0"
"stanford_tidybot",12,1912086050,10,50,25,"-0.1003091729715524 -0.10380637983696239 -0.42923144821078013 -0.040751407795926564 0.27012082498622014 -0.58032736683618147 -0.71834587534490735 0.70820331974020068 -0.56657315594419089 -0.0026690447990926902 0 0 0 0 0 0 0 0 0 0","0.34331728498613545 -0.38783751155180296 0.17133324053510646 -0.39705478327574717 -0.29446981715173792 -0.10128410189030124 0.017370418329849535 -0.51401562756653141 -0.51512026286576706 -0.39115269258706598 0 0 0 0 0 0 0 0 0 0"
