scenario,method,budget_ms,num_samples,mean_best_cost,median_best_cost,mean_terminal_q_error,success_rate,mean_iterations,mean_iter_ms,p95_iter_ms
"stanford_tidybot","TetraPGA",1,20,2111.085430281,2023.320620341,2.037315854,0,0,0,0
"stanford_tidybot","TetraPGA",2,20,1437.883416046,1430.983116053,1.504544553,0,1,1.51103145,1.73414755
"stanford_tidybot","TetraPGA",5,20,896.144884695,837.743103388,1.001805936,0.1,3.1,1.426453,1.67714885
"stanford_tidybot","TetraPGA",10,20,460.009466758,408.616095716,0.558729687,0.25,6.5,1.402514792,1.72881545
"stanford_tidybot","TetraPGA",20,20,194.28860377,7.809650309,0.218288506,0.65,11.5,1.372873922,1.72293245
"stanford_tidybot","TetraPGA",50,20,67.337956371,6.293474202,0.049279887,0.85,15.2,1.387658885,1.74581235
"stanford_tidybot","TetraPGA",100,20,67.337956371,6.293474202,0.049279887,0.85,15.2,1.387658885,1.74581235
"stanford_tidybot","TetraPGA",200,20,67.337956371,6.293474202,0.049279887,0.85,15.2,1.387658885,1.74581235
"stanford_tidybot","Pinocchio",1,20,2137.340677047,2037.72246016,2.037315854,0,0,0,0
"stanford_tidybot","Pinocchio",2,20,1723.050359783,1613.65000116,1.756212682,0,1,1.34442025,1.4906564
"stanford_tidybot","Pinocchio",5,20,1013.939315381,973.68301816,1.129044145,0.05,3.75,1.196763533,1.4408987
"stanford_tidybot","Pinocchio",10,20,523.464808152,502.608618389,0.656401576,0.2,7.75,1.164509761,1.4459297
"stanford_tidybot","Pinocchio",20,20,182.323183739,8.490749693,0.251053161,0.6,13.6,1.155551842,1.4698306
"stanford_tidybot","Pinocchio",50,20,97.116516069,7.548431135,0.120379269,0.75,17.25,1.173188159,1.4910906
"stanford_tidybot","Pinocchio",100,20,97.116516069,7.548431135,0.120379269,0.75,17.25,1.173188159,1.4910906
"stanford_tidybot","Pinocchio",200,20,97.116516069,7.548431135,0.120379269,0.75,17.25,1.173188159,1.4910906
"stanford_tidybot","CasADi",1,20,2137.340677047,2037.72246016,2.037315854,0,0,0,0
"stanford_tidybot","CasADi",2,20,2137.340677047,2037.72246016,2.037315854,0,0,0,0
"stanford_tidybot","CasADi",5,20,1723.050361606,1613.650001508,1.756212682,0,1,2.882203,3.03238265
"stanford_tidybot","CasADi",10,20,1138.865601912,1099.044752121,1.307826358,0,3,2.787439083,3.02857885
"stanford_tidybot","CasADi",20,20,598.406832128,610.016535551,0.730802123,0.15,6.9,2.737255217,3.0079022
"stanford_tidybot","CasADi",50,20,162.981855776,7.82391207,0.22489887,0.65,14.55,2.714858746,3.033888
"stanford_tidybot","CasADi",100,20,97.116516083,7.548431135,0.120379269,0.75,17.25,2.725269536,3.064405
"stanford_tidybot","CasADi",200,20,97.116516083,7.548431135,0.120379269,0.75,17.25,2.725269536,3.064405
