scenario,sample_id,method,iter,elapsed_ms,iter_ms,cost,best_cost,terminal_q_error,success,stop
"stanford_tidybot",0,"TetraPGA",0,0,0,1975.044015838,1975.044015838,1.986489841,0,nan
"stanford_tidybot",0,"TetraPGA",1,1.733504,1.733504,1631.634407827,1631.634407827,1.749212604,0,1967.28120017
"stanford_tidybot",0,"TetraPGA",2,3.174078,1.440574,1232.652720292,1232.652720292,1.548432049,0,1623.903306264
"stanford_tidybot",0,"TetraPGA",3,4.770022,1.595944,1071.592717092,1071.592717092,1.45486622,0,1224.930748313
"stanford_tidybot",0,"TetraPGA",4,6.370292,1.60027,984.929644564,984.929644564,1.36697603,0,1063.868568806
"stanford_tidybot",0,"TetraPGA",5,8.112916,1.742624,925.444675009,925.444675009,1.283945182,0,977.208421525
"stanford_tidybot",0,"TetraPGA",6,9.902515,1.789599,882.759801945,882.759801945,1.205475251,0,917.728281111
"stanford_tidybot",0,"TetraPGA",7,11.542758,1.640243,849.639673227,849.639673227,1.131427041,0,875.049071508
"stanford_tidybot",0,"TetraPGA",8,13.175534,1.632776,818.938238583,818.938238583,1.061677276,0,841.934999319
"stanford_tidybot",0,"TetraPGA",9,14.819476,1.643942,785.103246314,785.103246314,0.996075196,0,811.239754579
"stanford_tidybot",0,"TetraPGA",10,16.492978,1.673502,745.077260373,745.077260373,0.934440846,0,777.410897203
"stanford_tidybot",0,"TetraPGA",11,18.17715,1.684172,698.154527614,698.154527614,0.876575838,0,737.390849869
"stanford_tidybot",0,"TetraPGA",12,19.931644,1.754494,645.321249892,645.321249892,0.822274544,0,690.473757705
"stanford_tidybot",0,"TetraPGA",13,21.63268,1.701036,588.517405523,588.517405523,0.771332272,0,637.645754625
"stanford_tidybot",0,"TetraPGA",14,23.310276,1.677596,530.022961531,530.022961531,0.723550291,0,580.846778944
"stanford_tidybot",0,"TetraPGA",15,24.98769,1.677414,472.023657698,472.023657698,0.678738466,0,522.356780016
"stanford_tidybot",0,"TetraPGA",16,26.496454,1.508764,434.597202603,434.597202603,0.594697909,0,464.361497183
"stanford_tidybot",0,"TetraPGA",17,28.017546,1.521092,363.441763001,363.441763001,0.521137219,0,426.941545521
"stanford_tidybot",0,"TetraPGA",18,29.528206,1.51066,280.360299233,280.360299233,0.45673952,0,355.7915099
"stanford_tidybot",0,"TetraPGA",19,30.871009,1.342803,233.790563406,233.790563406,0.343982522,0,272.714360031
"stanford_tidybot",0,"TetraPGA",20,32.213225,1.342216,105.061953935,105.061953935,0.259252874,0,226.150485069
"stanford_tidybot",0,"TetraPGA",21,33.389699,1.176474,19.431368273,19.431368273,0.132089932,0,97.425483331
"stanford_tidybot",0,"TetraPGA",22,34.73453,1.344831,15.845719908,15.845719908,0.100564668,0,11.798148585
"stanford_tidybot",0,"TetraPGA",23,36.097398,1.362868,14.376987554,14.376987554,0.0770313,0,8.212873145
"stanford_tidybot",0,"TetraPGA",24,37.459778,1.36238,12.817484756,12.817484756,0.059460632,0,6.744328428
"stanford_tidybot",0,"TetraPGA",25,38.644768,1.18499,11.767809754,11.767809754,0.033230238,0,5.184921576
"stanford_tidybot",0,"Pinocchio",0,0,0,2008.787891056,2008.787891056,1.986489841,0,nan
"stanford_tidybot",0,"Pinocchio",1,1.370443,1.370443,1589.655687625,1589.655687625,1.731835935,0,2000.902153911
"stanford_tidybot",0,"Pinocchio",2,2.515523,1.14508,1335.757076729,1335.757076729,1.518881165,0,1581.873872684
"stanford_tidybot",0,"Pinocchio",3,3.673151,1.157628,1143.503232421,1143.503232421,1.34711932,0,1328.024089575
"stanford_tidybot",0,"Pinocchio",4,4.713448,1.040297,694.290560976,694.290560976,1.093287131,0,1135.791524046
"stanford_tidybot",0,"Pinocchio",5,5.93338,1.219932,646.780960234,646.780960234,0.967289099,0,686.612745262
"stanford_tidybot",0,"Pinocchio",6,7.170259,1.236879,530.247484148,530.247484148,0.853325309,0,639.112184617
"stanford_tidybot",0,"Pinocchio",7,8.409416,1.239157,465.790787682,465.790787682,0.749952005,0,522.586157219
"stanford_tidybot",0,"Pinocchio",8,9.650726,1.24131,423.966393221,423.966393221,0.657487002,0,458.134949499
"stanford_tidybot",0,"Pinocchio",9,10.886277,1.235551,378.896389574,378.896389574,0.575812834,0,416.31470524
"stanford_tidybot",0,"Pinocchio",10,12.256078,1.369801,325.167159251,325.167159251,0.504193941,0,371.247795095
"stanford_tidybot",0,"Pinocchio",11,13.563257,1.307179,268.531514363,268.531514363,0.441585419,0,317.520797209
"stanford_tidybot",0,"Pinocchio",12,14.68004,1.116783,257.409989176,257.409989176,0.332170056,0,260.886713237
"stanford_tidybot",0,"Pinocchio",13,15.782964,1.102924,165.341208532,165.341208532,0.250140398,0,249.767504989
"stanford_tidybot",0,"Pinocchio",14,16.73971,0.956746,83.006825091,83.006825091,0.127855193,0,157.699575811
"stanford_tidybot",0,"Pinocchio",15,17.552469,0.812759,28.589778728,28.589778728,0.016245081,0,75.365711294
"stanford_tidybot",0,"Pinocchio",16,18.360975,0.808506,7.662140356,7.662140356,0.008659835,1,20.947947146
"stanford_tidybot",0,"Pinocchio",17,19.178684,0.817709,7.641847854,7.641847854,0.008699889,1,0.020301775
"stanford_tidybot",0,"Pinocchio",18,19.977815,0.799131,7.641838152,7.641838152,0.008701062,1,0.000009702
"stanford_tidybot",0,"CasADi",0,0,0,2008.787891056,2008.787891056,1.986489841,0,nan
"stanford_tidybot",0,"CasADi",1,2.851923,2.851923,1589.655687804,1589.655687804,1.731835935,0,2000.902153911
"stanford_tidybot",0,"CasADi",2,5.520427,2.668504,1335.75707735,1335.75707735,1.518881165,0,1581.873872863
"stanford_tidybot",0,"CasADi",3,8.268606,2.748179,1143.503227991,1143.503227991,1.34711932,0,1328.024090196
"stanford_tidybot",0,"CasADi",4,10.84639,2.577784,694.291138806,694.291138806,1.093287092,0,1135.791519616
"stanford_tidybot",0,"CasADi",5,13.615912,2.769522,646.782003698,646.782003698,0.967289093,0,686.613323036
"stanford_tidybot",0,"CasADi",6,16.401003,2.785091,530.248047268,530.248047268,0.853325306,0,639.113228059
"stanford_tidybot",0,"CasADi",7,19.190467,2.789464,465.791265329,465.791265329,0.749952003,0,522.586720322
"stanford_tidybot",0,"CasADi",8,21.975598,2.785131,423.966842087,423.966842087,0.657487,0,458.135427132
"stanford_tidybot",0,"CasADi",9,24.82855,2.852952,378.896805256,378.896805256,0.575812832,0,416.315154095
"stanford_tidybot",0,"CasADi",10,27.644018,2.815468,325.167528807,325.167528807,0.504193939,0,371.248210769
"stanford_tidybot",0,"CasADi",11,30.429525,2.785507,268.531829667,268.531829667,0.441585417,0,317.521166758
"stanford_tidybot",0,"CasADi",12,33.063119,2.633594,257.410300885,257.410300885,0.332170054,0,260.887028536
"stanford_tidybot",0,"CasADi",13,35.709109,2.64599,165.341420854,165.341420854,0.250140396,0,249.767816694
"stanford_tidybot",0,"CasADi",14,38.192235,2.483126,83.006931636,83.006931636,0.127855191,0,157.699788131
"stanford_tidybot",0,"CasADi",15,40.552978,2.360743,28.58973661,28.58973661,0.016245083,0,75.365817838
"stanford_tidybot",0,"CasADi",16,42.88497,2.331992,7.662140343,7.662140343,0.008659835,1,20.947905027
"stanford_tidybot",0,"CasADi",17,45.214952,2.329982,7.641847854,7.641847854,0.008699889,1,0.020301762
"stanford_tidybot",0,"CasADi",18,47.546373,2.331421,7.641838152,7.641838152,0.008701062,1,0.000009702
"stanford_tidybot",1,"TetraPGA",0,0,0,2037.089236411,2037.089236411,2.017450957,0,nan
"stanford_tidybot",1,"TetraPGA",1,1.678521,1.678521,1773.852639866,1773.852639866,1.791676073,0,2030.48966813
"stanford_tidybot",1,"TetraPGA",2,3.184024,1.505503,1716.078516605,1716.078516605,1.59670497,0,1767.254408084
"stanford_tidybot",1,"TetraPGA",3,4.68318,1.499156,1571.720392173,1571.720392173,1.425591479,0,1709.482971634
"stanford_tidybot",1,"TetraPGA",4,6.027063,1.343883,1065.28553691,1065.28553691,1.179148424,0,1565.127208208
"stanford_tidybot",1,"TetraPGA",5,7.212506,1.185443,456.083291287,456.083291287,0.867152545,0,1058.695406212
"stanford_tidybot",1,"TetraPGA",6,8.404475,1.191969,301.658248127,301.658248127,0.431523419,0,449.497160505
