sample_id,method,converged,failed,solve_elapsed_ms,final_iter,final_cost,final_stop,trace_points,failure_message
0,"TetraPGA",1,0,2.818671,5,2.960818468,0.000001007,6,""
0,"Pinocchio",1,0,2.210986,5,2.960818468,0.000001007,6,""
0,"CasADi",1,0,8.151265,5,2.960818468,0.000001007,6,""
1,"TetraPGA",1,0,3.520658,6,1.612861652,0.000000127,7,""
1,"Pinocchio",1,0,3.220725,6,1.612861651,0.000000127,7,""
1,"CasADi",1,0,9.803802,6,1.612861651,0.000000127,7,""
2,"TetraPGA",1,0,2.270239,4,2.711441154,0.000000027,5,""
2,"Pinocchio",1,0,1.65201,4,2.711441154,0.000000027,5,""
2,"CasADi",1,0,6.439613,4,2.711441154,0.000000027,5,""
3,"TetraPGA",1,0,2.7161,5,1.037514992,0.000000001,6,""
3,"Pinocchio",1,0,2.169416,5,1.037514992,0.000000001,6,""
3,"CasADi",1,0,8.120689,5,1.037514992,0.000000001,6,""
4,"TetraPGA",1,0,2.731262,5,2.470652307,0.000000032,6,""
4,"Pinocchio",1,0,2.220143,5,2.470652307,0.000000032,6,""
4,"CasADi",1,0,8.206089,5,2.470652307,0.000000032,6,""
5,"TetraPGA",1,0,2.802779,5,3.01950929,0.000023363,6,""
5,"Pinocchio",1,0,2.190592,5,3.01950929,0.000023363,6,""
5,"CasADi",1,0,8.166328,5,3.01950929,0.000023363,6,""
6,"TetraPGA",1,0,2.705341,5,3.955897177,0.000033622,6,""
6,"Pinocchio",1,0,2.085634,5,3.955897177,0.000033622,6,""
6,"CasADi",1,0,8.04078,5,3.955897177,0.000033622,6,""
7,"TetraPGA",1,0,2.096151,4,1.723582708,0.000001303,5,""
7,"Pinocchio",1,0,1.611974,4,1.723582708,0.000001303,5,""
7,"CasADi",1,0,6.342159,4,1.723582708,0.000001303,5,""
8,"TetraPGA",1,0,2.686738,5,3.058031934,0.000000035,6,""
8,"Pinocchio",1,0,2.075113,5,3.058031934,0.000000035,6,""
8,"CasADi",1,0,8.016865,5,3.058031934,0.000000035,6,""
9,"TetraPGA",1,0,2.723687,5,3.802039204,0.000002177,6,""
9,"Pinocchio",1,0,2.107907,5,3.802039204,0.000002177,6,""
9,"CasADi",1,0,8.025495,5,3.802039204,0.000002177,6,""
10,"TetraPGA",1,0,2.088619,4,1.136396153,0.000002195,5,""
10,"Pinocchio",1,0,1.605253,4,1.136396152,0.000002195,5,""
10,"CasADi",1,0,6.342335,4,1.136396152,0.000002195,5,""
11,"TetraPGA",1,0,3.177938,6,3.387373425,0.000001211,7,""
11,"Pinocchio",1,0,2.454103,6,3.387373425,0.000001211,7,""
11,"CasADi",1,0,9.585549,6,3.387373425,0.000001211,7,""
12,"TetraPGA",1,0,3.883057,7,3.107607389,0.000000001,8,""
12,"Pinocchio",1,0,2.986963,7,3.107607389,0.000000001,8,""
12,"CasADi",1,0,11.377224,7,3.107607389,0.000000001,8,""
13,"TetraPGA",1,0,3.288693,6,2.304361782,0.000000029,7,""
13,"Pinocchio",1,0,2.680879,6,2.304361782,0.000000029,7,""
13,"CasADi",1,0,9.713951,6,2.304361782,0.000000029,7,""
14,"TetraPGA",1,0,4.844234,8,3.873481812,0.000000079,9,""
14,"Pinocchio",1,0,3.733366,8,3.873481812,0.000000079,9,""
14,"CasADi",1,0,13.460217,8,3.873481812,0.000000079,9,""
15,"TetraPGA",1,0,2.702237,5,2.020505737,0.000013725,6,""
15,"Pinocchio",1,0,2.099596,5,2.020505737,0.000013725,6,""
15,"CasADi",1,0,8.08728,5,2.020505737,0.000013725,6,""
16,"TetraPGA",1,0,2.689517,5,2.544076555,0.000000018,6,""
16,"Pinocchio",1,0,2.067977,5,2.544076555,0.000000018,6,""
16,"CasADi",1,0,8.021085,5,2.544076555,0.000000018,6,""
17,"TetraPGA",1,0,3.402202,6,1.578234287,0.000000063,7,""
17,"Pinocchio",1,0,2.633467,6,1.578234287,0.000000063,7,""
17,"CasADi",1,0,9.794427,6,1.578234287,0.000000063,7,""
18,"TetraPGA",1,0,2.698037,5,1.653280083,0.000000067,6,""
18,"Pinocchio",1,0,2.078647,5,1.653280083,0.000000067,6,""
18,"CasADi",1,0,8.023933,5,1.653280083,0.000000067,6,""
19,"TetraPGA",1,0,2.688758,5,2.951380753,0.000000316,6,""
19,"Pinocchio",1,0,2.084088,5,2.951380753,0.000000316,6,""
19,"CasADi",1,0,8.054062,5,2.951380753,0.000000316,6,""
