scenario,method,budget_ms,num_samples,mean_best_cost,median_best_cost,mean_terminal_q_error,success_rate,mean_iterations,mean_iter_ms,p95_iter_ms
"ur10","TetraPGA",1,20,552.803543125,401.423430684,0.756310081,0,1,0.72430285,0.8113659
"ur10","TetraPGA",2,20,62.44902662,3.279417673,0.066195283,0.7,2.95,0.588552644,0.8088216
"ur10","TetraPGA",5,20,2.545452343,2.627758855,0.001677919,1,5.3,0.552181858,0.7614885
"ur10","TetraPGA",10,20,2.545452343,2.627758855,0.001677919,1,5.3,0.552181858,0.7614885
"ur10","TetraPGA",20,20,2.545452343,2.627758855,0.001677919,1,5.3,0.552181858,0.7614885
"ur10","TetraPGA",50,20,2.545452343,2.627758855,0.001677919,1,5.3,0.552181858,0.7614885
"ur10","TetraPGA",100,20,2.545452343,2.627758855,0.001677919,1,5.3,0.552181858,0.7614885
"ur10","TetraPGA",200,20,2.545452343,2.627758855,0.001677919,1,5.3,0.552181858,0.7614885
"ur10","Pinocchio",1,20,309.833284303,162.604378014,0.377956907,0.15,1.65,0.503613121,0.6595104
"ur10","Pinocchio",2,20,38.615411718,2.831411112,0.046156243,0.9,3.9,0.445273,0.64709265
"ur10","Pinocchio",5,20,2.545452343,2.627758855,0.001677919,1,5.3,0.433594849,0.623586
"ur10","Pinocchio",10,20,2.545452343,2.627758855,0.001677919,1,5.3,0.433594849,0.623586
"ur10","Pinocchio",20,20,2.545452343,2.627758855,0.001677919,1,5.3,0.433594849,0.623586
"ur10","Pinocchio",50,20,2.545452343,2.627758855,0.001677919,1,5.3,0.433594849,0.623586
"ur10","Pinocchio",100,20,2.545452343,2.627758855,0.001677919,1,5.3,0.433594849,0.623586
"ur10","Pinocchio",200,20,2.545452343,2.627758855,0.001677919,1,5.3,0.433594849,0.623586
"ur10","CasADi",1,20,1146.885072526,1219.377762317,1.455730046,0,0,0,0
"ur10","CasADi",2,20,552.803543103,401.423430696,0.756310081,0,1,1.7771915,1.8649593
"ur10","CasADi",5,20,132.839742325,5.113404917,0.140756414,0.6,2.7,1.660988315,1.85249075
"ur10","CasADi",10,20,3.146738134,2.627758855,0.00238996,0.95,5.1,1.620689745,1.8376835
"ur10","CasADi",20,20,2.545452343,2.627758855,0.001677919,1,5.3,1.620461849,1.8279055
"ur10","CasADi",50,20,2.545452343,2.627758855,0.001677919,1,5.3,1.620461849,1.8279055
"ur10","CasADi",100,20,2.545452343,2.627758855,0.001677919,1,5.3,1.620461849,1.8279055
"ur10","CasADi",200,20,2.545452343,2.627758855,0.001677919,1,5.3,1.620461849,1.8279055
