scenario,sample_id,method,iter,elapsed_ms,iter_ms,cost,best_cost,terminal_q_error,success,stop
"ur10",0,"TetraPGA",0,0,0,1321.459322595,1321.459322595,1.61720797,0,nan
"ur10",0,"TetraPGA",1,0.774518,0.774518,433.651669066,433.651669066,0.813184092,0,1318.278491674
"ur10",0,"TetraPGA",2,1.279761,0.505243,139.892663383,139.892663383,0.03394612,0,430.591098354
"ur10",0,"TetraPGA",3,1.808007,0.528246,3.496759585,3.496759585,0.002568759,1,136.93126023
"ur10",0,"TetraPGA",4,2.309992,0.501985,2.960819496,2.960819496,0.001834906,1,0.535938144
"ur10",0,"TetraPGA",5,2.818576,0.508584,2.960818468,2.960818468,0.001833802,1,0.000001007
"ur10",0,"Pinocchio",0,0,0,1321.459322594,1321.459322594,1.61720797,0,nan
"ur10",0,"Pinocchio",1,0.657826,0.657826,433.651669087,433.651669087,0.813184092,0,1318.278491673
"ur10",0,"Pinocchio",2,1.0622,0.404374,139.892663349,139.892663349,0.03394612,0,430.591098375
"ur10",0,"Pinocchio",3,1.447236,0.385036,3.496759585,3.496759585,0.002568759,1,136.931260196
"ur10",0,"Pinocchio",4,1.832802,0.385566,2.960819496,2.960819496,0.001834906,1,0.535938145
"ur10",0,"Pinocchio",5,2.210837,0.378035,2.960818468,2.960818468,0.001833802,1,0.000001007
"ur10",0,"CasADi",0,0,0,1321.459322594,1321.459322594,1.61720797,0,nan
"ur10",0,"CasADi",1,1.791238,1.791238,433.651669078,433.651669078,0.813184092,0,1318.278491673
"ur10",0,"CasADi",2,3.390948,1.59971,139.892663367,139.892663367,0.03394612,0,430.591098366
"ur10",0,"CasADi",3,4.965203,1.574255,3.496759586,3.496759586,0.002568759,1,136.931260215
"ur10",0,"CasADi",4,6.585227,1.620024,2.960819496,2.960819496,0.001834906,1,0.535938145
"ur10",0,"CasADi",5,8.151141,1.565914,2.960818468,2.960818468,0.001833802,1,0.000001007
"ur10",1,"TetraPGA",0,0,0,569.88819774,569.88819774,1.050528512,0,nan
"ur10",1,"TetraPGA",1,0.811341,0.811341,367.108495045,367.108495045,0.792658726,0,568.069554591
"ur10",1,"TetraPGA",2,1.415557,0.604216,322.59089491,322.59089491,0.418012282,0,365.33508946
"ur10",1,"TetraPGA",3,1.921327,0.50577,40.008690057,40.008690057,0.043398492,0,320.921655544
"ur10",1,"TetraPGA",4,2.418853,0.497526,2.214426191,2.214426191,0.002309493,1,38.396000903
"ur10",1,"TetraPGA",5,3.020565,0.601712,1.612861779,1.612861779,0.001424048,1,0.601564473
"ur10",1,"TetraPGA",6,3.520472,0.499907,1.612861652,1.612861652,0.001423297,1,0.000000127
"ur10",1,"Pinocchio",0,0,0,569.88819774,569.88819774,1.050528512,0,nan
"ur10",1,"Pinocchio",1,0.71888,0.71888,367.108495044,367.108495044,0.792658726,0,568.06955459
"ur10",1,"Pinocchio",2,1.19972,0.48084,322.590894889,322.590894889,0.418012282,0,365.335089459
"ur10",1,"Pinocchio",3,1.588685,0.388965,40.008690078,40.008690078,0.043398492,0,320.921655523
"ur10",1,"Pinocchio",4,2.08985,0.501165,2.214426191,2.214426191,0.002309493,1,38.396000924
"ur10",1,"Pinocchio",5,2.662223,0.572373,1.612861779,1.612861779,0.001424048,1,0.601564473
"ur10",1,"Pinocchio",6,3.220535,0.558312,1.612861651,1.612861651,0.001423297,1,0.000000127
"ur10",1,"CasADi",0,0,0,569.88819774,569.88819774,1.050528512,0,nan
"ur10",1,"CasADi",1,1.853391,1.853391,367.108495046,367.108495046,0.792658726,0,568.06955459
"ur10",1,"CasADi",2,3.519551,1.66616,322.590894881,322.590894881,0.418012282,0,365.335089461
"ur10",1,"CasADi",3,5.098431,1.57888,40.008690077,40.008690077,0.043398492,0,320.921655515
"ur10",1,"CasADi",4,6.670427,1.571996,2.214426191,2.214426191,0.002309493,1,38.396000922
"ur10",1,"CasADi",5,8.233208,1.562781,1.612861779,1.612861779,0.001424048,1,0.601564473
"ur10",1,"CasADi",6,9.803636,1.570428,1.612861651,1.612861651,0.001423297,1,0.000000127
"ur10",2,"TetraPGA",0,0,0,1219.777033578,1219.777033578,1.558095892,0,nan
"ur10",2,"TetraPGA",1,0.621333,0.621333,245.360065364,245.360065364,0.049155284,0,1216.968050484
"ur10",2,"TetraPGA",2,1.254498,0.633165,2.832228171,2.832228171,0.002093818,1,242.648211196
"ur10",2,"TetraPGA",3,1.771737,0.517239,2.711441183,2.711441183,0.001807821,1,0.120786615
"ur10",2,"TetraPGA",4,2.269687,0.49795,2.711441154,2.711441154,0.001807277,1,0.000000027
"ur10",2,"Pinocchio",0,0,0,1219.777033578,1219.777033578,1.558095892,0,nan
"ur10",2,"Pinocchio",1,0.501531,0.501531,245.360065505,245.360065505,0.049155284,0,1216.968050484
"ur10",2,"Pinocchio",2,0.881835,0.380304,2.832228171,2.832228171,0.002093818,1,242.648211338
"ur10",2,"Pinocchio",3,1.272803,0.390968,2.711441183,2.711441183,0.001807821,1,0.120786616
"ur10",2,"Pinocchio",4,1.651712,0.378909,2.711441154,2.711441154,0.001807277,1,0.000000027
"ur10",2,"CasADi",0,0,0,1219.777033578,1219.777033578,1.558095892,0,nan
"ur10",2,"CasADi",1,1.671283,1.671283,245.360065503,245.360065503,0.049155284,0,1216.968050484
"ur10",2,"CasADi",2,3.298156,1.626873,2.832228171,2.832228171,0.002093818,1,242.648211336
"ur10",2,"CasADi",3,4.866083,1.567927,2.711441183,2.711441183,0.001807821,1,0.120786616
"ur10",2,"CasADi",4,6.439235,1.573152,2.711441154,2.711441154,0.001807277,1,0.000000027
"ur10",3,"TetraPGA",0,0,0,241.612181154,241.612181154,0.670764797,0,nan
"ur10",3,"TetraPGA",1,0.711903,0.711903,78.227129678,78.227129678,0.325873446,0,240.550840558
"ur10",3,"TetraPGA",2,1.222552,0.510649,17.254325702,17.254325702,0.020325037,0,77.178656792
"ur10",3,"TetraPGA",3,1.718389,0.495837,1.046303746,1.046303746,0.001027187,1,16.216827433
"ur10",3,"TetraPGA",4,2.221809,0.50342,1.037514994,1.037514994,0.000910814,1,0.008788732
"ur10",3,"TetraPGA",5,2.715954,0.494145,1.037514992,1.037514992,0.000910752,1,0.000000001
"ur10",3,"Pinocchio",0,0,0,241.612181153,241.612181153,0.670764797,0,nan
"ur10",3,"Pinocchio",1,0.559865,0.559865,78.227129679,78.227129679,0.325873446,0,240.550840557
"ur10",3,"Pinocchio",2,0.950115,0.39025,17.254325701,17.254325701,0.020325037,0,77.178656793
"ur10",3,"Pinocchio",3,1.399901,0.449786,1.046303746,1.046303746,0.001027187,1,16.216827432
"ur10",3,"Pinocchio",4,1.787934,0.388033,1.037514994,1.037514994,0.000910814,1,0.008788732
"ur10",3,"Pinocchio",5,2.169281,0.381347,1.037514992,1.037514992,0.000910752,1,0.000000001
"ur10",3,"CasADi",0,0,0,241.612181153,241.612181153,0.670764797,0,nan
"ur10",3,"CasADi",1,1.779849,1.779849,78.22712968,78.22712968,0.325873446,0,240.550840557
"ur10",3,"CasADi",2,3.361203,1.581354,17.254325701,17.254325701,0.020325037,0,77.178656794
"ur10",3,"CasADi",3,4.984938,1.623735,1.046303746,1.046303746,0.001027187,1,16.216827432
"ur10",3,"CasADi",4,6.547845,1.562907,1.037514994,1.037514994,0.000910814,1,0.008788732
"ur10",3,"CasADi",5,8.120452,1.572607,1.037514992,1.037514992,0.000910752,1,0.000000001
"ur10",4,"TetraPGA",0,0,0,1099.634095954,1099.634095954,1.478120863,0,nan
"ur10",4,"TetraPGA",1,0.7224,0.7224,299.233267364,299.233267364,0.70266758,0,1097.129791849
"ur10",4,"TetraPGA",2,1.229299,0.506899,124.265430722,124.265430722,0.037412259,0,296.744173725
"ur10",4,"TetraPGA",3,1.726057,0.496758,2.703145204,2.703145204,0.002406736,1,121.794538384
"ur10",4,"TetraPGA",4,2.228813,0.502756,2.470652341,2.470652341,0.001672788,1,0.232492558
"ur10",4,"TetraPGA",5,2.731113,0.5023,2.470652307,2.470652307,0.001672744,1,0.000000032
"ur10",4,"Pinocchio",0,0,0,1099.634095955,1099.634095955,1.478120863,0,nan
"ur10",4,"Pinocchio",1,0.568063,0.568063,299.233267362,299.233267362,0.70266758,0,1097.12979185
"ur10",4,"Pinocchio",2,0.958768,0.390705,124.265430502,124.265430502,0.037412259,0,296.744173722
"ur10",4,"Pinocchio",3,1.339393,0.380625,2.703145204,2.703145204,0.002406736,1,121.794538164
"ur10",4,"Pinocchio",4,1.801966,0.462573,2.470652341,2.470652341,0.001672788,1,0.232492558
"ur10",4,"Pinocchio",5,2.220017,0.418051,2.470652307,2.470652307,0.001672744,1,0.000000032
"ur10",4,"CasADi",0,0,0,1099.634095955,1099.634095955,1.478120863,0,nan
"ur10",4,"CasADi",1,1.927285,1.927285,299.233267359,299.233267359,0.70266758,0,1097.12979185
"ur10",4,"CasADi",2,3.506157,1.578872,124.265430504,124.265430504,0.037412259,0,296.74417372
"ur10",4,"CasADi",3,5.079175,1.573018,2.703145204,2.703145204,0.002406736,1,121.794538166
"ur10",4,"CasADi",4,6.641523,1.562348,2.470652341,2.470652341,0.001672788,1,0.232492558
"ur10",4,"CasADi",5,8.205924,1.564401,2.470652307,2.470652307,0.001672744,1,0.000000032
"ur10",5,"TetraPGA",0,0,0,1447.18945172,1447.18945172,1.695229312,0,nan
"ur10",5,"TetraPGA",1,0.811839,0.811839,843.80783912,843.80783912,1.265819885,0,1444.218545631
"ur10",5,"TetraPGA",2,1.317601,0.505762,162.744611885,162.744611885,0.08356386,0,840.766965653
"ur10",5,"TetraPGA",3,1.811604,0.494003,3.677784423,3.677784423,0.003248222,1,159.724709935
"ur10",5,"TetraPGA",4,2.3085,0.496896,3.019532654,3.019532654,0.001977231,1,0.658274766
"ur10",5,"TetraPGA",5,2.802645,0.494145,3.01950929,3.01950929,0.001977645,1,0.000023363
"ur10",5,"Pinocchio",0,0,0,1447.189451719,1447.189451719,1.695229312,0,nan
"ur10",5,"Pinocchio",1,0.662037,0.662037,843.807839135,843.807839135,1.265819885,0,1444.21854563
"ur10",5,"Pinocchio",2,1.048678,0.386641,162.744611879,162.744611879,0.08356386,0,840.766965669
"ur10",5,"Pinocchio",3,1.427668,0.37899,3.677784427,3.677784427,0.003248222,1,159.72470993
"ur10",5,"Pinocchio",4,1.812048,0.38438,3.019532654,3.019532654,0.001977231,1,0.658274771
"ur10",5,"Pinocchio",5,2.190441,0.378393,3.01950929,3.01950929,0.001977645,1,0.000023363
"ur10",5,"CasADi",0,0,0,1447.189451719,1447.189451719,1.695229312,0,nan
"ur10",5,"CasADi",1,1.861679,1.861679,843.807839136,843.807839136,1.265819885,0,1444.21854563
"ur10",5,"CasADi",2,3.464317,1.602638,162.744611879,162.744611879,0.08356386,0,840.76696567
"ur10",5,"CasADi",3,5.033789,1.569472,3.677784428,3.677784428,0.003248222,1,159.724709929
"ur10",5,"CasADi",4,6.599623,1.565834,3.019532654,3.019532654,0.001977231,1,0.658274771
"ur10",5,"CasADi",5,8.166176,1.566553,3.01950929,3.01950929,0.001977645,1,0.000023363
"ur10",6,"TetraPGA",0,0,0,1996.567061086,1996.567061086,1.993259359,0,nan
"ur10",6,"TetraPGA",1,0.721742,0.721742,840.888086604,840.888086604,1.021205206,0,1992.298196337
"ur10",6,"TetraPGA",2,1.224955,0.503213,151.504089135,151.504089135,0.053664643,0,836.820408536
"ur10",6,"TetraPGA",3,1.718023,0.493068,7.287832766,7.287832766,0.00326554,1,147.547015996
"ur10",6,"TetraPGA",4,2.214108,0.496085,3.955930843,3.955930843,0.002498548,1,3.331926811
"ur10",6,"TetraPGA",5,2.705219,0.491111,3.955897177,3.955897177,0.002497577,1,0.000033622
"ur10",6,"Pinocchio",0,0,0,1996.567061087,1996.567061087,1.993259359,0,nan
"ur10",6,"Pinocchio",1,0.56849,0.56849,840.888086616,840.888086616,1.021205206,0,1992.298196338
"ur10",6,"Pinocchio",2,0.95096,0.38247,151.504089175,151.504089175,0.053664643,0,836.820408548
"ur10",6,"Pinocchio",3,1.328298,0.377338,7.287832766,7.287832766,0.00326554,1,147.547016035
"ur10",6,"Pinocchio",4,1.707821,0.379523,3.955930843,3.955930843,0.002498548,1,3.331926811
"ur10",6,"Pinocchio",5,2.085491,0.37767,3.955897177,3.955897177,0.002497577,1,0.000033622
"ur10",6,"CasADi",0,0,0,1996.567061087,1996.567061087,1.993259359,0,nan
"ur10",6,"CasADi",1,1.758209,1.758209,840.888086635,840.888086635,1.021205206,0,1992.298196338
"ur10",6,"CasADi",2,3.323544,1.565335,151.504089182,151.504089182,0.053664643,0,836.820408566
"ur10",6,"CasADi",3,4.912671,1.589127,7.287832766,7.287832766,0.00326554,1,147.547016043
"ur10",6,"CasADi",4,6.478967,1.566296,3.955930843,3.955930843,0.002498548,1,3.331926811
"ur10",6,"CasADi",5,8.040553,1.561586,3.955897177,3.955897177,0.002497577,1,0.000033622
"ur10",7,"TetraPGA",0,0,0,641.512493044,641.512493044,1.120594263,0,nan
"ur10",7,"TetraPGA",1,0.612252,0.612252,227.418866727,227.418866727,0.045586511,0,639.390692852
"ur10",7,"TetraPGA",2,1.106764,0.494512,2.163671327,2.163671327,0.002093395,1,225.693937574
"ur10",7,"TetraPGA",3,1.598406,0.491642,1.723584039,1.723584039,0.001052399,1,0.440083042
"ur10",7,"TetraPGA",4,2.095918,0.497512,1.723582708,1.723582708,0.001050701,1,0.000001303
"ur10",7,"Pinocchio",0,0,0,641.512493043,641.512493043,1.120594263,0,nan
"ur10",7,"Pinocchio",1,0.476191,0.476191,227.418865934,227.418865934,0.045586511,0,639.390692851
"ur10",7,"Pinocchio",2,0.853194,0.377003,2.163671324,2.163671324,0.002093395,1,225.693936781
"ur10",7,"Pinocchio",3,1.232254,0.37906,1.723584039,1.723584039,0.001052399,1,0.440083039
"ur10",7,"Pinocchio",4,1.611633,0.379379,1.723582708,1.723582708,0.001050701,1,0.000001303
"ur10",7,"CasADi",0,0,0,641.512493043,641.512493043,1.120594263,0,nan
"ur10",7,"CasADi",1,1.663187,1.663187,227.418865984,227.418865984,0.045586511,0,639.390692851
"ur10",7,"CasADi",2,3.224483,1.561296,2.163671324,2.163671324,0.002093395,1,225.69393683
"ur10",7,"CasADi",3,4.782311,1.557828,1.723584039,1.723584039,0.001052399,1,0.440083039
"ur10",7,"CasADi",4,6.341921,1.55961,1.723582708,1.723582708,0.001050701,1,0.000001303
"ur10",8,"TetraPGA",0,0,0,1532.581611723,1532.581611723,1.741576912,0,nan
"ur10",8,"TetraPGA",1,0.703578,0.703578,674.229582124,674.229582124,0.897333193,0,1529.407271601
