sample_id,method,converged,failed,solve_elapsed_ms,final_iter,final_cost,final_stop,trace_points,failure_message
0,"TetraPGA",1,0,9.237471,4,8.302120898,0,5,""
0,"Pinocchio",1,0,18.582083,9,8.302120966,0.000002476,10,""
0,"CasADi",1,0,43.861563,9,8.302120966,0.000002476,10,""
1,"TetraPGA",1,0,7.129622,3,3.484731315,0.000005439,4,""
1,"Pinocchio",1,0,17.081994,8,3.484731377,0.00000266,9,""
1,"CasADi",1,0,39.226583,8,3.484731377,0.00000266,9,""
2,"TetraPGA",1,0,9.136115,4,5.911477612,0.00000017,5,""
2,"Pinocchio",1,0,18.372527,9,5.911477679,0.000000023,10,""
2,"CasADi",1,0,43.190832,9,5.911477679,0.000000023,10,""
3,"TetraPGA",1,0,7.117033,3,5.849965979,0.000023509,4,""
3,"Pinocchio",1,0,31.173114,13,5.849966026,0,14,""
3,"CasADi",1,0,67.742287,13,5.849966026,0,14,""
4,"TetraPGA",1,0,9.311392,4,6.205316514,0.000000011,5,""
4,"Pinocchio",1,0,19.719347,9,6.205316572,0.000000192,10,""
4,"CasADi",1,0,44.72047,9,6.205316572,0.000000192,10,""
5,"TetraPGA",1,0,9.228657,4,4.82939375,0,5,""
5,"Pinocchio",1,0,19.142812,9,4.829393819,0,10,""
5,"CasADi",1,0,44.011392,9,4.829393819,0,10,""
6,"TetraPGA",1,0,9.050817,4,3.980252593,0.000000025,5,""
6,"Pinocchio",1,0,14.500063,7,3.980252641,0.000017523,8,""
6,"CasADi",1,0,33.927289,7,3.980252641,0.000017523,8,""
7,"TetraPGA",1,0,9.094689,4,6.134668641,0.000000005,5,""
7,"Pinocchio",1,0,21.828056,10,6.134668688,0.000000122,11,""
7,"CasADi",1,0,49.636059,10,6.134668688,0.000000122,11,""
8,"TetraPGA",1,0,9.048524,4,4.115248581,0,5,""
8,"Pinocchio",1,0,19.200473,9,4.11524867,0.000001605,10,""
8,"CasADi",1,0,43.871801,9,4.11524867,0.000001605,10,""
9,"TetraPGA",1,0,9.247927,4,6.590684612,0.000000009,5,""
9,"Pinocchio",1,0,16.561468,8,6.590684675,0.000000063,9,""
9,"CasADi",1,0,38.920706,8,6.590684675,0.000000063,9,""
10,"TetraPGA",1,0,9.160676,4,6.834645802,0,5,""
10,"Pinocchio",1,0,27.199656,12,6.834645869,0.000035345,13,""
10,"CasADi",1,0,60.557818,12,6.834645869,0.000035345,13,""
11,"TetraPGA",1,0,9.177106,4,5.922556408,0.000001507,5,""
11,"Pinocchio",1,0,19.037818,9,5.922556501,0.000000225,10,""
11,"CasADi",1,0,44.035013,9,5.922556501,0.000000225,10,""
12,"TetraPGA",1,0,9.118495,4,5.178827709,0,5,""
12,"Pinocchio",1,0,14.31627,7,5.178827788,0.000031625,8,""
12,"CasADi",1,0,33.659439,7,5.178827788,0.000031625,8,""
13,"TetraPGA",1,0,11.218905,5,6.957752842,0.00000001,6,""
13,"Pinocchio",1,0,23.388932,11,6.95775292,0.000000013,12,""
13,"CasADi",1,0,53.954857,11,6.95775292,0.000000013,12,""
14,"TetraPGA",1,0,6.960673,3,5.469375179,0.00002132,4,""
14,"Pinocchio",1,0,13.768295,7,5.46937526,0.000000159,8,""
14,"CasADi",1,0,33.490702,7,5.46937526,0.000000159,8,""
15,"TetraPGA",1,0,9.121166,4,5.236310259,0,5,""
15,"Pinocchio",1,0,26.581566,12,5.236310318,0.000000108,13,""
15,"CasADi",1,0,60.069645,12,5.236310318,0.000000108,13,""
16,"TetraPGA",1,0,9.347939,4,7.512493773,0.000000006,5,""
16,"Pinocchio",1,0,21.061009,10,7.512493866,0.000002153,11,""
16,"CasADi",1,0,50.008465,10,7.512493866,0.000002153,11,""
17,"TetraPGA",1,0,9.553721,4,5.038853075,0.000000098,5,""
17,"Pinocchio",1,0,16.613475,8,5.038853152,0,9,""
17,"CasADi",1,0,39.136296,8,5.038853152,0,9,""
18,"TetraPGA",1,0,6.922523,3,6.728590502,0.000007198,4,""
18,"Pinocchio",1,0,14.321154,7,6.728590582,0.000055258,8,""
18,"CasADi",1,0,33.85145,7,6.728590582,0.000055258,8,""
19,"TetraPGA",1,0,9.132039,4,4.136353824,0,5,""
19,"Pinocchio",1,0,13.824679,7,4.136353896,0,8,""
19,"CasADi",1,0,33.088583,7,4.136353896,0,8,""
