scenario,method,budget_ms,num_samples,mean_best_cost,median_best_cost,mean_terminal_q_error,success_rate,mean_iterations,mean_iter_ms,p95_iter_ms
"leap_hand","TetraPGA",1,20,3587.245962839,3687.408775544,2.661464486,0,0,0,0
"leap_hand","TetraPGA",2,20,3587.245962839,3687.408775544,2.661464486,0,0,0,0
"leap_hand","TetraPGA",5,20,11.787630311,6.107668219,0.004671744,0.95,1.95,2.432013205,2.7224306
"leap_hand","TetraPGA",10,20,5.720980994,5.880721795,0.002970843,1,3.8,2.304776026,2.703226
"leap_hand","TetraPGA",20,20,5.720980993,5.880721795,0.00297084,1,3.85,2.302708052,2.7020422
"leap_hand","TetraPGA",50,20,5.720980993,5.880721795,0.00297084,1,3.85,2.302708052,2.7020422
"leap_hand","TetraPGA",100,20,5.720980993,5.880721795,0.00297084,1,3.85,2.302708052,2.7020422
"leap_hand","TetraPGA",200,20,5.720980993,5.880721795,0.00297084,1,3.85,2.302708052,2.7020422
"leap_hand","Pinocchio",1,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","Pinocchio",2,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","Pinocchio",5,20,3128.091131944,3414.69743432,1.760689881,0,1.3,2.666982269,3.1329785
"leap_hand","Pinocchio",10,20,1068.452368605,333.233367232,0.640743013,0.05,3.7,2.375546459,3.05266985
"leap_hand","Pinocchio",20,20,73.225468748,6.028612655,0.068785376,0.85,8.15,2.161148816,2.9108732
"leap_hand","Pinocchio",50,20,5.720981063,5.880721852,0.002970838,1,9.05,2.134085392,2.909264
"leap_hand","Pinocchio",100,20,5.720981063,5.880721852,0.002970838,1,9.05,2.134085392,2.909264
"leap_hand","Pinocchio",200,20,5.720981063,5.880721852,0.002970838,1,9.05,2.134085392,2.909264
"leap_hand","CasADi",1,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","CasADi",2,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","CasADi",5,20,4595.282069608,4461.315332038,2.661464486,0,0,0,0
"leap_hand","CasADi",10,20,3717.18524474,3532.861514753,2.039200799,0,1,5.63060265,5.99092425
"leap_hand","CasADi",20,20,1457.474096415,1060.308701714,0.845123085,0.05,3.25,5.212925954,5.8332488
"leap_hand","CasADi",50,20,14.612839169,6.028612594,0.006290213,0.9,8.45,4.940430805,5.7392058
"leap_hand","CasADi",100,20,5.720981063,5.880721852,0.002970838,1,9.05,4.922399193,5.720832
"leap_hand","CasADi",200,20,5.720981063,5.880721852,0.002970838,1,9.05,4.922399193,5.720832
