scenario,sample_id,method,iter,elapsed_ms,iter_ms,cost,best_cost,terminal_q_error,success,stop
"leap_hand",0,"TetraPGA",0,0,0,5205.706802792,5205.706802792,3.225060091,0,nan
"leap_hand",0,"TetraPGA",1,2.721312,2.721312,91.713068536,91.713068536,0.028128724,0,5197.404681507
"leap_hand",0,"TetraPGA",2,4.907704,2.186392,8.303309027,8.303309027,0.003628142,1,83.410947636
"leap_hand",0,"TetraPGA",3,7.071064,2.16336,8.302120898,8.302120898,0.00359995,1,0.001188129
"leap_hand",0,"TetraPGA",4,9.237052,2.165988,8.302120898,8.302120898,0.00359995,1,0
"leap_hand",0,"Pinocchio",0,0,0,6178.084008308,6178.084008308,3.225060091,0,nan
"leap_hand",0,"Pinocchio",1,2.721964,2.721964,5700.819237267,5700.819237267,2.335656419,0,6169.781886941
"leap_hand",0,"Pinocchio",2,5.087324,2.36536,3554.885452653,3554.885452653,1.748207199,0,5692.517115832
"leap_hand",0,"Pinocchio",3,7.200938,2.113614,1078.665840981,1078.665840981,0.886455118,0,3546.583331401
"leap_hand",0,"Pinocchio",4,9.294331,2.093393,250.994020245,250.994020245,0.45629099,0,1070.363719912
"leap_hand",0,"Pinocchio",5,11.148742,1.854411,30.674599557,30.674599557,0.054207339,0,242.691899248
"leap_hand",0,"Pinocchio",6,13.029053,1.880311,9.150907639,9.150907639,0.017360905,0,22.372478565
"leap_hand",0,"Pinocchio",7,14.89968,1.870627,8.327251006,8.327251006,0.004509099,1,0.84878667
"leap_hand",0,"Pinocchio",8,16.750683,1.851003,8.302123443,8.302123443,0.003600753,1,0.025130039
"leap_hand",0,"Pinocchio",9,18.581912,1.831229,8.302120966,8.302120966,0.00359995,1,0.000002476
"leap_hand",0,"CasADi",0,0,0,6178.084008308,6178.084008308,3.225060091,0,nan
"leap_hand",0,"CasADi",1,5.377678,5.377678,5700.819237266,5700.819237266,2.335656419,0,6169.781886941
"leap_hand",0,"CasADi",2,10.552936,5.175258,3554.885452655,3554.885452655,1.748207199,0,5692.517115832
"leap_hand",0,"CasADi",3,15.45868,4.905744,1078.665840981,1078.665840981,0.886455118,0,3546.583331403
"leap_hand",0,"CasADi",4,20.33978,4.8811,250.994020245,250.994020245,0.45629099,0,1070.363719912
"leap_hand",0,"CasADi",5,25.105613,4.765833,30.674599557,30.674599557,0.054207339,0,242.691899248
"leap_hand",0,"CasADi",6,29.816758,4.711145,9.150907639,9.150907639,0.017360905,0,22.372478565
"leap_hand",0,"CasADi",7,34.528603,4.711845,8.327251006,8.327251006,0.004509099,1,0.84878667
"leap_hand",0,"CasADi",8,39.197597,4.668994,8.302123443,8.302123443,0.003600753,1,0.025130039
"leap_hand",0,"CasADi",9,43.861246,4.663649,8.302120966,8.302120966,0.00359995,1,0.000002476
"leap_hand",1,"TetraPGA",0,0,0,2185.042802118,2185.042802118,2.089430517,0,nan
"leap_hand",1,"TetraPGA",1,2.732498,2.732498,8.266517964,8.266517964,0.006579382,1,2181.558070641
"leap_hand",1,"TetraPGA",2,4.964018,2.23152,3.484736753,3.484736753,0.002332938,1,4.781786649
"leap_hand",1,"TetraPGA",3,7.12933,2.165312,3.484731315,3.484731315,0.002332311,1,0.000005439
"leap_hand",1,"Pinocchio",0,0,0,3164.742701037,3164.742701037,2.089430517,0,nan
"leap_hand",1,"Pinocchio",1,2.685637,2.685637,2923.199592878,2923.199592878,1.548629394,0,3161.257969466
"leap_hand",1,"Pinocchio",2,5.058837,2.3732,2050.3185679,2050.3185679,1.158922706,0,2919.714861389
"leap_hand",1,"Pinocchio",3,7.214825,2.155988,1908.416424874,1908.416424874,0.583897714,0,2046.833836449
"leap_hand",1,"Pinocchio",4,9.43131,2.216485,153.976844004,153.976844004,0.291371046,0,1904.931693429
"leap_hand",1,"Pinocchio",5,11.417469,1.986159,109.886270653,109.886270653,0.039340525,0,150.492112609
"leap_hand",1,"Pinocchio",6,13.346797,1.929328,3.5966983,3.5966983,0.003095452,1,106.401539275
"leap_hand",1,"Pinocchio",7,15.232485,1.885688,3.484734036,3.484734036,0.002331535,1,0.111966923
"leap_hand",1,"Pinocchio",8,17.081633,1.849148,3.484731377,3.484731377,0.002332311,1,0.00000266
"leap_hand",1,"CasADi",0,0,0,3164.742701037,3164.742701037,2.089430517,0,nan
"leap_hand",1,"CasADi",1,5.53649,5.53649,2923.199592873,2923.199592873,1.548629394,0,3161.257969466
"leap_hand",1,"CasADi",2,10.722401,5.185911,2050.318567905,2050.318567905,1.158922706,0,2919.714861384
"leap_hand",1,"CasADi",3,15.6271,4.904699,1908.416424896,1908.416424896,0.583897714,0,2046.833836454
"leap_hand",1,"CasADi",4,20.586439,4.959339,153.976844005,153.976844005,0.291371046,0,1904.931693452
"leap_hand",1,"CasADi",5,25.307324,4.720885,109.886270654,109.886270654,0.039340525,0,150.49211261
"leap_hand",1,"CasADi",6,29.944629,4.637305,3.5966983,3.5966983,0.003095452,1,106.401539276
"leap_hand",1,"CasADi",7,34.559036,4.614407,3.484734036,3.484734036,0.002331535,1,0.111966923
"leap_hand",1,"CasADi",8,39.225924,4.666888,3.484731377,3.484731377,0.002332311,1,0.00000266
"leap_hand",2,"TetraPGA",0,0,0,3706.693698442,3706.693698442,2.721393286,0,nan
"leap_hand",2,"TetraPGA",1,2.62235,2.62235,24.126130479,24.126130479,0.072987909,0,3700.782220555
"leap_hand",2,"TetraPGA",2,4.81687,2.19452,6.074346534,6.074346534,0.002904009,1,18.214652867
"leap_hand",2,"TetraPGA",3,6.958218,2.141348,5.911477781,5.911477781,0.003037833,1,0.162868922
"leap_hand",2,"TetraPGA",4,9.135671,2.177453,5.911477612,5.911477612,0.003037735,1,0.00000017
