sample_id,method,converged,failed,solve_elapsed_ms,final_iter,final_cost,final_stop,trace_points,failure_message
0,"TetraPGA",1,0,41.532045,28,7.632455903,0.000000415,29,""
0,"Pinocchio",1,0,19.851581,18,7.641838152,0.000009702,19,""
0,"CasADi",1,0,47.533528,18,7.641838152,0.000009702,19,""
1,"TetraPGA",1,0,13.749846,11,6.581394509,0.000000086,12,""
1,"Pinocchio",1,0,13.459332,13,6.61520861,0.000000282,14,""
1,"CasADi",1,0,33.739363,13,6.61520861,0.000000282,14,""
2,"TetraPGA",1,0,12.218879,10,9.750022903,0.000000001,11,""
2,"Pinocchio",1,0,8.466093,9,9.755506519,0,10,""
2,"CasADi",1,0,22.349326,9,9.755506519,0,10,""
3,"TetraPGA",1,0,19.451246,15,7.831455556,0.000000002,16,""
3,"Pinocchio",1,0,22.275127,19,7.843594628,0.000004119,20,""
3,"CasADi",1,0,51.899962,19,7.843594628,0.000004119,20,""
4,"TetraPGA",1,0,5.308429,5,3.451213196,0.000015631,6,""
4,"Pinocchio",1,0,6.602634,7,3.471726155,0.00000001,8,""
4,"CasADi",1,0,17.488201,7,3.471726155,0.00000001,8,""
5,"TetraPGA",1,0,7.875626,7,7.450137457,0.000000005,8,""
5,"Pinocchio",1,0,8.21091,9,7.455024119,0,10,""
5,"CasADi",1,0,22.013119,9,7.455024119,0,10,""
6,"TetraPGA",1,0,52.745173,34,6.082172268,0.000000061,35,""
6,"Pinocchio",1,0,42.537115,34,6.102988563,0.000054451,35,""
6,"CasADi",1,0,96.715034,34,6.102988563,0.000054451,35,""
7,"TetraPGA",1,0,26.208812,19,7.717872264,0.000000227,20,""
7,"Pinocchio",1,0,39.685513,30,7.726171743,0.000000297,31,""
7,"CasADi",1,0,82.467601,30,7.726171743,0.000000297,31,""
8,"TetraPGA",1,0,16.825899,13,5.8598977,0.000000015,14,""
8,"Pinocchio",1,0,23.372768,20,5.886144968,0.000068694,21,""
8,"CasADi",1,0,54.525135,20,5.886144968,0.000068694,21,""
9,"TetraPGA",1,0,15.280718,12,3.860697379,0.000000705,13,""
9,"Pinocchio",1,0,12.461889,12,3.870270578,0.000000191,13,""
9,"CasADi",1,0,30.886692,12,3.870270578,0.000000191,13,""
10,"TetraPGA",1,0,19.053233,15,7.787845062,0.000000201,16,""
10,"Pinocchio",1,0,15.745089,15,7.804225393,0.000003205,16,""
10,"CasADi",1,0,38.846804,15,7.804225393,0.000003208,16,""
11,"TetraPGA",1,0,10.702966,9,3.328139601,0.000000574,10,""
11,"Pinocchio",1,0,10.018946,10,3.332569797,0.000016431,11,""
11,"CasADi",1,0,25.643455,10,3.332569797,0.000016431,11,""
12,"TetraPGA",1,0,33.777222,23,3.577758239,0.000000001,24,""
12,"Pinocchio",1,0,21.249782,19,3.580831865,0.000000003,20,""
12,"CasADi",1,0,50.647024,19,3.580831865,0.000000003,20,""
13,"TetraPGA",1,0,19.713079,15,3.86739096,0.000001057,16,""
13,"Pinocchio",1,0,27.767924,24,3.880261801,0.000000511,25,""
13,"CasADi",1,0,64.991398,24,3.880261801,0.000000511,25,""
14,"TetraPGA",1,0,10.878943,9,6.005553896,0.000000092,10,""
14,"Pinocchio",1,0,14.759301,14,6.015579026,0,15,""
14,"CasADi",1,0,36.156309,14,6.015579026,0,15,""
15,"TetraPGA",1,0,27.535237,19,2.750536477,0.00004711,20,""
15,"Pinocchio",1,0,37.301919,30,2.76292677,0.000000061,31,""
15,"CasADi",1,0,83.635484,30,2.76292677,0.000000061,31,""
16,"TetraPGA",1,0,53.561553,35,6.696318522,0,36,""
16,"Pinocchio",1,0,87.841904,64,6.714328863,0.000000013,65,""
16,"CasADi",1,0,187.499936,64,6.714328863,0.000000013,65,""
17,"TetraPGA",1,0,36.028481,25,4.639958328,0.000021721,26,""
17,"Pinocchio",1,0,54.749101,38,4.643056914,0.000097741,39,""
17,"CasADi",1,0,108.134704,38,4.643056914,0.000097741,39,""
18,"TetraPGA",1,0,8.087138,7,2.54815256,0.000099425,8,""
18,"Pinocchio",1,0,12.455737,12,2.558718951,0.000000011,13,""
18,"CasADi",1,0,30.865035,12,2.558718951,0.000000011,13,""
19,"TetraPGA",1,0,19.767388,15,8.107366417,0.000001343,16,""
19,"Pinocchio",1,0,21.331478,19,8.126691493,0.000003366,20,""
19,"CasADi",1,0,50.78854,19,8.126691493,0.000003366,20,""
