scenario,method,budget_ms,num_samples,mean_best_cost,median_best_cost,mean_terminal_q_error,success_rate,mean_iterations,mean_iter_ms,p95_iter_ms
"stanford_tidybot","TetraPGA",1,20,2111.085430281,2023.320620341,2.037315854,0,0,0,0
"stanford_tidybot","TetraPGA",2,20,1437.883416046,1430.983116053,1.504544553,0,1,1.5275622,1.7276386
"stanford_tidybot","TetraPGA",5,20,896.144884695,837.743103388,1.001805936,0.1,3.1,1.430958613,1.70677395
"stanford_tidybot","TetraPGA",10,20,461.631106607,424.832494208,0.5615314,0.25,6.45,1.411515659,1.7681182
"stanford_tidybot","TetraPGA",20,20,198.532783643,7.809650309,0.225804087,0.65,11.35,1.381344542,1.7489318
"stanford_tidybot","TetraPGA",50,20,9.89147091,6.293474202,0.007004839,0.95,15.95,1.389102856,1.7636957
"stanford_tidybot","TetraPGA",100,20,5.77631696,6.043863082,0.006229479,1,16.3,1.3812785,1.76315275
"stanford_tidybot","TetraPGA",200,20,5.77631696,6.043863082,0.006229479,1,16.3,1.3812785,1.76315275
"stanford_tidybot","Pinocchio",1,20,2137.340677047,2037.72246016,2.037315854,0,0,0,0
"stanford_tidybot","Pinocchio",2,20,1759.507564729,1613.65000116,1.773086636,0,0.95,1.365317316,1.4915162
"stanford_tidybot","Pinocchio",5,20,1030.805480451,973.68301816,1.164127879,0.05,3.6,1.235695875,1.48904895
"stanford_tidybot","Pinocchio",10,20,521.426568656,502.608618389,0.656764877,0.2,7.55,1.197322669,1.4892505
"stanford_tidybot","Pinocchio",20,20,196.219915665,8.490749693,0.266844988,0.6,13.35,1.18563367,1.4943602
"stanford_tidybot","Pinocchio",50,20,46.702683597,6.359098586,0.053208834,0.9,19.05,1.19870695,1.530788
"stanford_tidybot","Pinocchio",100,20,5.789383245,6.059283794,0.006232653,1,20.8,1.202218683,1.53348725
"stanford_tidybot","Pinocchio",200,20,5.789383245,6.059283794,0.006232653,1,20.8,1.202218683,1.53348725
"stanford_tidybot","CasADi",1,20,2137.340677047,2037.72246016,2.037315854,0,0,0,0
"stanford_tidybot","CasADi",2,20,2137.340677047,2037.72246016,2.037315854,0,0,0,0
"stanford_tidybot","CasADi",5,20,1723.050361606,1613.650001508,1.756212682,0,1,2.91583305,3.04143355
"stanford_tidybot","CasADi",10,20,1138.865601912,1099.044752121,1.307826358,0,3,2.793334,3.013375
"stanford_tidybot","CasADi",20,20,601.301632204,610.016535551,0.733226468,0.15,6.8,2.745260485,3.01271875
"stanford_tidybot","CasADi",50,20,160.491483097,7.82391207,0.22187534,0.7,14.55,2.716632,3.038766
"stanford_tidybot","CasADi",100,20,37.847440826,6.359098586,0.039627597,0.9,19.05,2.72413069,3.053341
"stanford_tidybot","CasADi",200,20,5.789383245,6.059283794,0.006232653,1,20.8,2.73274069,3.079421
