scenario,sample_id,method,iter,elapsed_ms,iter_ms,cost,best_cost,terminal_q_error,success,stop
"stanford_tidybot",0,"TetraPGA",0,0,0,1975.044015838,1975.044015838,1.986489841,0,nan
"stanford_tidybot",0,"TetraPGA",1,1.724265,1.724265,1631.634407827,1631.634407827,1.749212604,0,1967.28120017
"stanford_tidybot",0,"TetraPGA",2,3.15899,1.434725,1232.652720292,1232.652720292,1.548432049,0,1623.903306264
"stanford_tidybot",0,"TetraPGA",3,4.756418,1.597428,1071.592717092,1071.592717092,1.45486622,0,1224.930748313
"stanford_tidybot",0,"TetraPGA",4,6.358511,1.602093,984.929644564,984.929644564,1.36697603,0,1063.868568806
"stanford_tidybot",0,"TetraPGA",5,7.97995,1.621439,925.444675009,925.444675009,1.283945182,0,977.208421525
"stanford_tidybot",0,"TetraPGA",6,9.639447,1.659497,882.759801945,882.759801945,1.205475251,0,917.728281111
"stanford_tidybot",0,"TetraPGA",7,11.267992,1.628545,849.639673227,849.639673227,1.131427041,0,875.049071508
"stanford_tidybot",0,"TetraPGA",8,12.902926,1.634934,818.938238583,818.938238583,1.061677276,0,841.934999319
"stanford_tidybot",0,"TetraPGA",9,14.653812,1.750886,785.103246314,785.103246314,0.996075196,0,811.239754579
"stanford_tidybot",0,"TetraPGA",10,16.367113,1.713301,745.077260373,745.077260373,0.934440846,0,777.410897203
"stanford_tidybot",0,"TetraPGA",11,18.045815,1.678702,698.154527614,698.154527614,0.876575838,0,737.390849869
"stanford_tidybot",0,"TetraPGA",12,19.718607,1.672792,645.321249892,645.321249892,0.822274544,0,690.473757705
"stanford_tidybot",0,"TetraPGA",13,21.392051,1.673444,588.517405523,588.517405523,0.771332272,0,637.645754625
"stanford_tidybot",0,"TetraPGA",14,23.071498,1.679447,530.022961531,530.022961531,0.723550291,0,580.846778944
"stanford_tidybot",0,"TetraPGA",15,24.771647,1.700149,472.023657698,472.023657698,0.678738466,0,522.356780016
"stanford_tidybot",0,"TetraPGA",16,26.284753,1.513106,434.597202603,434.597202603,0.594697909,0,464.361497183
"stanford_tidybot",0,"TetraPGA",17,27.795879,1.511126,363.441763001,363.441763001,0.521137219,0,426.941545521
"stanford_tidybot",0,"TetraPGA",18,29.308838,1.512959,280.360299233,280.360299233,0.45673952,0,355.7915099
"stanford_tidybot",0,"TetraPGA",19,30.659822,1.350984,233.790563406,233.790563406,0.343982522,0,272.714360031
"stanford_tidybot",0,"TetraPGA",20,32.012029,1.352207,105.061953935,105.061953935,0.259252874,0,226.150485069
"stanford_tidybot",0,"TetraPGA",21,33.200586,1.188557,19.431368273,19.431368273,0.132089932,0,97.425483331
"stanford_tidybot",0,"TetraPGA",22,34.551669,1.351083,15.845719908,15.845719908,0.100564668,0,11.798148585
"stanford_tidybot",0,"TetraPGA",23,35.902986,1.351317,14.376987554,14.376987554,0.0770313,0,8.212873145
"stanford_tidybot",0,"TetraPGA",24,37.272641,1.369655,12.817484756,12.817484756,0.059460632,0,6.744328428
"stanford_tidybot",0,"TetraPGA",25,38.459722,1.187081,11.767809754,11.767809754,0.033230238,0,5.184921576
"stanford_tidybot",0,"TetraPGA",26,39.49055,1.030828,8.753186543,8.753186543,0.008687555,1,4.135334042
"stanford_tidybot",0,"TetraPGA",27,40.5141,1.02355,7.632456318,7.632456318,0.008697971,1,1.120730589
"stanford_tidybot",0,"TetraPGA",28,41.531894,1.017794,7.632455903,7.632455903,0.008698086,1,0.000000415
"stanford_tidybot",0,"Pinocchio",0,0,0,2008.787891056,2008.787891056,1.986489841,0,nan
"stanford_tidybot",0,"Pinocchio",1,1.373918,1.373918,1589.655687625,1589.655687625,1.731835935,0,2000.902153911
"stanford_tidybot",0,"Pinocchio",2,2.525954,1.152036,1335.757076729,1335.757076729,1.518881165,0,1581.873872684
