sample_id,method,converged,failed,solve_elapsed_ms,final_iter,final_cost,final_stop,trace_points,failure_message
0,"TetraPGA",1,0,2.824133,5,2.960818468,0.000001007,6,""
0,"Pinocchio",1,0,2.12682,5,2.960818468,0.000001007,6,""
0,"CasADi",1,0,8.054642,5,2.960818468,0.000001007,6,""
1,"TetraPGA",1,0,3.399548,6,1.612861652,0.000000127,7,""
1,"Pinocchio",1,0,2.626094,6,1.612861651,0.000000127,7,""
1,"CasADi",1,0,11.148566,6,1.612861651,0.000000127,7,""
2,"TetraPGA",1,0,3.378411,4,2.711441154,0.000000027,5,""
2,"Pinocchio",1,0,2.141016,4,2.711441154,0.000000027,5,""
2,"CasADi",1,0,6.384494,4,2.711441154,0.000000027,5,""
3,"TetraPGA",1,0,2.712339,5,1.037514992,0.000000001,6,""
3,"Pinocchio",1,0,2.064216,5,1.037514992,0.000000001,6,""
3,"CasADi",1,0,8.040012,5,1.037514992,0.000000001,6,""
4,"TetraPGA",1,0,2.731793,5,2.470652307,0.000000032,6,""
4,"Pinocchio",1,0,2.075402,5,2.470652307,0.000000032,6,""
4,"CasADi",1,0,8.057768,5,2.470652307,0.000000032,6,""
5,"TetraPGA",1,0,2.80526,5,3.01950929,0.000023363,6,""
5,"Pinocchio",1,0,2.146898,5,3.01950929,0.000023363,6,""
5,"CasADi",1,0,8.121177,5,3.01950929,0.000023363,6,""
6,"TetraPGA",1,0,2.69723,5,3.955897177,0.000033622,6,""
6,"Pinocchio",1,0,2.099315,5,3.955897177,0.000033622,6,""
6,"CasADi",1,0,8.042226,5,3.955897177,0.000033622,6,""
7,"TetraPGA",1,0,2.101631,4,1.723582708,0.000001303,5,""
7,"Pinocchio",1,0,1.597228,4,1.723582708,0.000001303,5,""
7,"CasADi",1,0,6.384295,4,1.723582708,0.000001303,5,""
8,"TetraPGA",1,0,2.716903,5,3.058031934,0.000000035,6,""
8,"Pinocchio",1,0,2.070258,5,3.058031934,0.000000035,6,""
8,"CasADi",1,0,8.051529,5,3.058031934,0.000000035,6,""
9,"TetraPGA",1,0,2.700104,5,3.802039204,0.000002177,6,""
9,"Pinocchio",1,0,2.058541,5,3.802039204,0.000002177,6,""
9,"CasADi",1,0,8.039732,5,3.802039204,0.000002177,6,""
10,"TetraPGA",1,0,2.095396,4,1.136396153,0.000002195,5,""
10,"Pinocchio",1,0,1.598187,4,1.136396152,0.000002195,5,""
10,"CasADi",1,0,6.36344,4,1.136396152,0.000002195,5,""
11,"TetraPGA",1,0,3.197458,6,3.387373425,0.000001211,7,""
11,"Pinocchio",1,0,2.488502,6,3.387373425,0.000001211,7,""
11,"CasADi",1,0,9.597556,6,3.387373425,0.000001211,7,""
12,"TetraPGA",1,0,3.912381,7,3.107607389,0.000000001,8,""
12,"Pinocchio",1,0,2.994397,7,3.107607389,0.000000001,8,""
12,"CasADi",1,0,11.339075,7,3.107607389,0.000000001,8,""
13,"TetraPGA",1,0,3.341423,6,2.304361782,0.000000029,7,""
13,"Pinocchio",1,0,2.555145,6,2.304361782,0.000000029,7,""
13,"CasADi",1,0,9.694639,6,2.304361782,0.000000029,7,""
14,"TetraPGA",1,0,4.807662,8,3.873481812,0.000000079,9,""
14,"Pinocchio",1,0,3.6975,8,3.873481812,0.000000079,9,""
14,"CasADi",1,0,13.342058,8,3.873481812,0.000000079,9,""
15,"TetraPGA",1,0,2.71803,5,2.020505737,0.000013725,6,""
15,"Pinocchio",1,0,2.073867,5,2.020505737,0.000013725,6,""
15,"CasADi",1,0,8.063596,5,2.020505737,0.000013725,6,""
16,"TetraPGA",1,0,2.701606,5,2.544076555,0.000000018,6,""
16,"Pinocchio",1,0,2.056344,5,2.544076555,0.000000018,6,""
16,"CasADi",1,0,8.105863,5,2.544076555,0.000000018,6,""
17,"TetraPGA",1,0,3.4072,6,1.578234287,0.000000063,7,""
17,"Pinocchio",1,0,2.612499,6,1.578234287,0.000000063,7,""
17,"CasADi",1,0,9.800952,6,1.578234287,0.000000063,7,""
18,"TetraPGA",1,0,2.697687,5,1.653280083,0.000000067,6,""
18,"Pinocchio",1,0,2.079723,5,1.653280083,0.000000067,6,""
18,"CasADi",1,0,8.110628,5,1.653280083,0.000000067,6,""
19,"TetraPGA",1,0,2.69919,5,2.951380753,0.000000316,6,""
19,"Pinocchio",1,0,2.081267,5,2.951380753,0.000000316,6,""
19,"CasADi",1,0,8.034246,5,2.951380753,0.000000316,6,""
