scenario,sample_id,seed,dof,horizon,max_iterations,x0,x_target
"ur10",0,3967714479,6,50,100,"0.51105692118956858 -0.40866645336669544 -0.086993878685514447 0.56873331764009327 0.56038111557274783 0.74018670291720667 0 0 0 0 0 0","-0.58829171744033937 0.22999765505667225 0.31810397361386444 -0.19722219334466584 0.18624343638726382 0.4113535697697952 0 0 0 0 0 0"
"ur10",1,3967714479,6,50,100,"0.28854227970602775 -0.64129116411717879 -0.47054610205513203 0.18357251097156047 0.69485742410856588 0.56217264777544007 0 0 0 0 0 0","0.41378484115614134 -0.16969809522897361 0.40052665026732992 0.30990167906964561 0.55600452162880343 0.29474507721579646 0 0 0 0 0 0"
"ur10",2,3967714479,6,50,100,"-0.57471186366110194 -0.095518112393348176 0.39315694597710937 0.37143284571528579 0.34183839601099564 0.59180324783374405 0 0 0 0 0 0","0.20024844920890839 -0.73549562857365358 0.4097470943793553 0.24899127033574553 0.51768882768718782 -0.5792379784209053 0 0 0 0 0 0"
"ur10",3,3967714479,6,50,100,"-0.49079794692948192 -0.46898096917399995 -0.11516283358517265 0.39607532665232736 0.29112691640857102 -0.051746774703702259 0 0 0 0 0 0","-0.73528106027245022 -0.3367997800696273 0.15066700025133017 0.42022875470875487 0.33448310615252375 0.4955674912621415 0 0 0 0 0 0"
"ur10",4,3967714479,6,50,100,"0.29642587470519133 0.35631963408015599 -0.70328403277223661 0.63340404454967447 -0.26000940167274311 0.64529400354042088 0 0 0 0 0 0","-0.10210003475937413 -0.5158250629550577 -0.2909682123616717 0.5474257380148102 0.56965440388809019 0.013120469959179148 0 0 0 0 0 0"
"ur10",5,3967714479,6,50,100,"-0.34394751934476697 -0.35648823870167057 -0.40512443220868177 0.32732698715511033 -0.28019262952705537 -0.37836585737315986 0 0 0 0 0 0","0.38912122876160304 -0.53828936645109482 0.742685003649175 -0.083862642840881296 0.5460827501338299 -0.012187533503826842 0 0 0 0 0 0"
"ur10",6,3967714479,6,50,100,"-0.43415396346568474 0.65090710338443381 0.64567444679671149 -0.49593442174119584 0.49159973224694231 -0.3924279677093529 0 0 0 0 0 0","0.24326406980073401 -0.49877991349740325 -0.37851637741309074 -0.59121114686184761 0.62414583138691393 0.66435700425991095 0 0 0 0 0 0"
"ur10",7,3967714479,6,50,100,"-0.34083069531164778 -0.40228417618449619 0.24829426728581838 -0.073281584753346118 0.26453390176204272 -0.0033304310856892005 0 0 0 0 0 0","-0.61809346734271065 0.61193104698428091 0.25005011465865046 -0.20908581480232002 -0.094330987582848969 0.051391208301162727 0 0 0 0 0 0"
"ur10",8,3967714479,6,50,100,"-0.58169489177986122 0.61328257917331364 0.16155909748554054 -0.6685103421389561 -0.74768936864448166 -0.24535749418970365 0 0 0 0 0 0","-0.2059294314384521 -0.1333570381577599 0.57851722933767058 -0.72990805669219028 0.4503242521074291 0.60408899854727527 0 0 0 0 0 0"
"ur10",9,3967714479,6,50,100,"-0.32804257531291736 -0.74126089439111442 0.036477851315274146 0.6500034427656729 -0.32310972010515215 0.50756007307379991 0 0 0 0 0 0","0.22075057627467398 0.43718458598203158 0.55036770947761116 -0.36297839425418477 0.5303849543000323 0.60476421935303293 0 0 0 0 0 0"
"ur10",10,3967714479,6,50,100,"0.15278534916154374 0.14720339360210877 0.33219160460869501 -0.032349249346269149 -0.74069436247246345 0.17759176616750028 0 0 0 0 0 0","-0.29215342438807712 -0.16691999929140677 0.047289393491851017 0.052242396265209212 -0.74961393166376544 0.4266657873531039 0 0 0 0 0 0"
