scenario,method,budget_ms,num_samples,mean_best_cost,median_best_cost,mean_terminal_q_error,success_rate,mean_iterations,mean_iter_ms,p95_iter_ms
"ur10","TetraPGA",1,20,552.803543125,401.423430684,0.756310081,0,1,0.74277495,0.8217175
"ur10","TetraPGA",2,20,62.45506597,3.279417673,0.066209583,0.7,2.9,0.600060224,0.81192095
"ur10","TetraPGA",5,20,2.545452343,2.627758855,0.001677919,1,5.3,0.562663934,0.804566
"ur10","TetraPGA",10,20,2.545452343,2.627758855,0.001677919,1,5.3,0.562663934,0.804566
"ur10","TetraPGA",20,20,2.545452343,2.627758855,0.001677919,1,5.3,0.562663934,0.804566
"ur10","TetraPGA",50,20,2.545452343,2.627758855,0.001677919,1,5.3,0.562663934,0.804566
"ur10","TetraPGA",100,20,2.545452343,2.627758855,0.001677919,1,5.3,0.562663934,0.804566
"ur10","TetraPGA",200,20,2.545452343,2.627758855,0.001677919,1,5.3,0.562663934,0.804566
"ur10","Pinocchio",1,20,307.271725883,162.604378014,0.341348082,0.1,1.65,0.503357515,0.6401052
"ur10","Pinocchio",2,20,36.725698525,2.627758878,0.04410182,0.95,3.9,0.44326391,0.633857
"ur10","Pinocchio",5,20,2.545452343,2.627758855,0.001677919,1,5.3,0.42675816,0.6256225
"ur10","Pinocchio",10,20,2.545452343,2.627758855,0.001677919,1,5.3,0.42675816,0.6256225
"ur10","Pinocchio",20,20,2.545452343,2.627758855,0.001677919,1,5.3,0.42675816,0.6256225
"ur10","Pinocchio",50,20,2.545452343,2.627758855,0.001677919,1,5.3,0.42675816,0.6256225
"ur10","Pinocchio",100,20,2.545452343,2.627758855,0.001677919,1,5.3,0.42675816,0.6256225
"ur10","Pinocchio",200,20,2.545452343,2.627758855,0.001677919,1,5.3,0.42675816,0.6256225
"ur10","CasADi",1,20,1146.885072526,1219.377762317,1.455730046,0,0,0,0
"ur10","CasADi",2,20,552.803543103,401.423430696,0.756310081,0,1,1.76291285,1.83907715
"ur10","CasADi",5,20,118.808286687,3.279417673,0.134990356,0.7,2.8,1.649735214,1.83280675
"ur10","CasADi",10,20,3.14673814,2.627758855,0.002389997,0.95,5.05,1.621521139,1.821372
"ur10","CasADi",20,20,2.545452343,2.627758855,0.001677919,1,5.3,1.629930708,1.82799075
"ur10","CasADi",50,20,2.545452343,2.627758855,0.001677919,1,5.3,1.629930708,1.82799075
"ur10","CasADi",100,20,2.545452343,2.627758855,0.001677919,1,5.3,1.629930708,1.82799075
"ur10","CasADi",200,20,2.545452343,2.627758855,0.001677919,1,5.3,1.629930708,1.82799075
