scenario,sample_id,method,iter,elapsed_ms,iter_ms,cost,best_cost,terminal_q_error,success,stop
"ur10",0,"TetraPGA",0,0,0,1321.459322595,1321.459322595,1.61720797,0,nan
"ur10",0,"TetraPGA",1,0.762955,0.762955,433.651669066,433.651669066,0.813184092,0,1318.278491674
"ur10",0,"TetraPGA",2,1.278076,0.515121,139.892663383,139.892663383,0.03394612,0,430.591098354
"ur10",0,"TetraPGA",3,1.78039,0.502314,3.496759585,3.496759585,0.002568759,1,136.93126023
"ur10",0,"TetraPGA",4,2.306461,0.526071,2.960819496,2.960819496,0.001834906,1,0.535938144
"ur10",0,"TetraPGA",5,2.823947,0.517486,2.960818468,2.960818468,0.001833802,1,0.000001007
"ur10",0,"Pinocchio",0,0,0,1321.459322594,1321.459322594,1.61720797,0,nan
"ur10",0,"Pinocchio",1,0.611272,0.611272,433.651669087,433.651669087,0.813184092,0,1318.278491673
"ur10",0,"Pinocchio",2,0.994406,0.383134,139.892663349,139.892663349,0.03394612,0,430.591098375
"ur10",0,"Pinocchio",3,1.373269,0.378863,3.496759585,3.496759585,0.002568759,1,136.931260196
"ur10",0,"Pinocchio",4,1.746762,0.373493,2.960819496,2.960819496,0.001834906,1,0.535938145
"ur10",0,"Pinocchio",5,2.126687,0.379925,2.960818468,2.960818468,0.001833802,1,0.000001007
"ur10",0,"CasADi",0,0,0,1321.459322594,1321.459322594,1.61720797,0,nan
"ur10",0,"CasADi",1,1.793852,1.793852,433.651669078,433.651669078,0.813184092,0,1318.278491673
"ur10",0,"CasADi",2,3.360805,1.566953,139.892663367,139.892663367,0.03394612,0,430.591098366
"ur10",0,"CasADi",3,4.932418,1.571613,3.496759586,3.496759586,0.002568759,1,136.931260215
"ur10",0,"CasADi",4,6.495994,1.563576,2.960819496,2.960819496,0.001834906,1,0.535938145
"ur10",0,"CasADi",5,8.05454,1.558546,2.960818468,2.960818468,0.001833802,1,0.000001007
"ur10",1,"TetraPGA",0,0,0,569.88819774,569.88819774,1.050528512,0,nan
"ur10",1,"TetraPGA",1,0.803402,0.803402,367.108495045,367.108495045,0.792658726,0,568.069554591
"ur10",1,"TetraPGA",2,1.407133,0.603731,322.59089491,322.59089491,0.418012282,0,365.33508946
"ur10",1,"TetraPGA",3,1.912384,0.505251,40.008690057,40.008690057,0.043398492,0,320.921655544
"ur10",1,"TetraPGA",4,2.410314,0.49793,2.214426191,2.214426191,0.002309493,1,38.396000903
"ur10",1,"TetraPGA",5,2.906984,0.49667,1.612861779,1.612861779,0.001424048,1,0.601564473
"ur10",1,"TetraPGA",6,3.399486,0.492502,1.612861652,1.612861652,0.001423297,1,0.000000127
"ur10",1,"Pinocchio",0,0,0,569.88819774,569.88819774,1.050528512,0,nan
"ur10",1,"Pinocchio",1,0.640062,0.640062,367.108495044,367.108495044,0.792658726,0,568.06955459
"ur10",1,"Pinocchio",2,1.107768,0.467706,322.590894889,322.590894889,0.418012282,0,365.335089459
"ur10",1,"Pinocchio",3,1.48794,0.380172,40.008690078,40.008690078,0.043398492,0,320.921655523
"ur10",1,"Pinocchio",4,1.86413,0.37619,2.214426191,2.214426191,0.002309493,1,38.396000924
"ur10",1,"Pinocchio",5,2.242061,0.377931,1.612861779,1.612861779,0.001424048,1,0.601564473
"ur10",1,"Pinocchio",6,2.625965,0.383904,1.612861651,1.612861651,0.001423297,1,0.000000127
"ur10",1,"CasADi",0,0,0,569.88819774,569.88819774,1.050528512,0,nan
"ur10",1,"CasADi",1,1.844571,1.844571,367.108495046,367.108495046,0.792658726,0,568.06955459
"ur10",1,"CasADi",2,3.497867,1.653296,322.590894881,322.590894881,0.418012282,0,365.335089461
"ur10",1,"CasADi",3,5.065759,1.567892,40.008690077,40.008690077,0.043398492,0,320.921655515
"ur10",1,"CasADi",4,6.629994,1.564235,2.214426191,2.214426191,0.002309493,1,38.396000922
"ur10",1,"CasADi",5,8.451366,1.821372,1.612861779,1.612861779,0.001424048,1,0.601564473
"ur10",1,"CasADi",6,11.14811,2.696744,1.612861651,1.612861651,0.001423297,1,0.000000127
"ur10",2,"TetraPGA",0,0,0,1219.777033578,1219.777033578,1.558095892,0,nan
"ur10",2,"TetraPGA",1,0.972454,0.972454,245.360065364,245.360065364,0.049155284,0,1216.968050484
"ur10",2,"TetraPGA",2,1.775,0.802546,2.832228171,2.832228171,0.002093818,1,242.648211196
