sample_id,method,converged,failed,solve_elapsed_ms,final_iter,final_cost,final_stop,trace_points,failure_message
0,"TetraPGA",1,0,51.558793,28,7.632455903,0.000000415,29,""
0,"Pinocchio",1,0,23.910159,18,7.641838152,0.000009702,19,""
0,"CasADi",1,0,47.833771,18,7.641838152,0.000009702,19,""
1,"TetraPGA",1,0,18.562085,11,6.581394509,0.000000086,12,""
1,"Pinocchio",1,0,13.787094,13,6.61520861,0.000000282,14,""
1,"CasADi",1,0,43.703671,13,6.61520861,0.000000282,14,""
2,"TetraPGA",1,0,12.303265,10,9.750022903,0.000000001,11,""
2,"Pinocchio",1,0,8.60272,9,9.755506519,0,10,""
2,"CasADi",1,0,22.599204,9,9.755506519,0,10,""
3,"TetraPGA",1,0,19.441234,15,7.831455556,0.000000002,16,""
3,"Pinocchio",1,0,22.383838,19,7.843594628,0.000004119,20,""
3,"CasADi",1,0,51.933131,19,7.843594628,0.000004119,20,""
4,"TetraPGA",1,0,5.336319,5,3.451213196,0.000015631,6,""
4,"Pinocchio",1,0,6.541998,7,3.471726155,0.00000001,8,""
4,"CasADi",1,0,17.32203,7,3.471726155,0.00000001,8,""
5,"TetraPGA",1,0,7.888822,7,7.450137457,0.000000005,8,""
5,"Pinocchio",1,0,8.078784,9,7.455024119,0,10,""
5,"CasADi",1,0,22.096445,9,7.455024119,0,10,""
6,"TetraPGA",1,0,52.680902,34,6.082172268,0.000000061,35,""
6,"Pinocchio",1,0,42.61386,34,6.102988563,0.000054451,35,""
6,"CasADi",1,0,95.481733,34,6.102988563,0.000054451,35,""
7,"TetraPGA",1,0,25.322065,19,7.717872264,0.000000227,20,""
7,"Pinocchio",1,0,35.822726,30,7.726171743,0.000000297,31,""
7,"CasADi",1,0,82.516471,30,7.726171743,0.000000297,31,""
8,"TetraPGA",1,0,16.923541,13,5.8598977,0.000000015,14,""
8,"Pinocchio",1,0,23.461716,20,5.886144968,0.000068694,21,""
8,"CasADi",1,0,54.350292,20,5.886144968,0.000068694,21,""
9,"TetraPGA",1,0,15.283075,12,3.860697379,0.000000705,13,""
9,"Pinocchio",1,0,12.508101,12,3.870270578,0.000000191,13,""
9,"CasADi",1,0,31.05538,12,3.870270578,0.000000191,13,""
10,"TetraPGA",1,0,19.169278,15,7.787845062,0.000000201,16,""
10,"Pinocchio",1,0,15.689995,15,7.804225393,0.000003205,16,""
10,"CasADi",1,0,38.947511,15,7.804225393,0.000003208,16,""
11,"TetraPGA",1,0,10.717556,9,3.328139601,0.000000574,10,""
11,"Pinocchio",1,0,9.779084,10,3.332569797,0.000016431,11,""
11,"CasADi",1,0,25.300085,10,3.332569797,0.000016431,11,""
12,"TetraPGA",1,0,32.456861,23,3.577758239,0.000000001,24,""
12,"Pinocchio",1,0,21.148354,19,3.580831865,0.000000003,20,""
12,"CasADi",1,0,50.48509,19,3.580831865,0.000000003,20,""
13,"TetraPGA",1,0,19.741336,15,3.86739096,0.000001057,16,""
13,"Pinocchio",1,0,27.678375,24,3.880261801,0.000000511,25,""
13,"CasADi",1,0,64.751529,24,3.880261801,0.000000511,25,""
14,"TetraPGA",1,0,10.882554,9,6.005553896,0.000000092,10,""
14,"Pinocchio",1,0,14.52764,14,6.015579026,0,15,""
14,"CasADi",1,0,36.151553,14,6.015579026,0,15,""
15,"TetraPGA",1,0,27.357124,19,2.750536477,0.00004711,20,""
15,"Pinocchio",1,0,37.317439,30,2.76292677,0.000000061,31,""
15,"CasADi",1,0,83.728503,30,2.76292677,0.000000061,31,""
16,"TetraPGA",1,0,53.538615,35,6.696318522,0,36,""
16,"Pinocchio",1,0,88.455245,64,6.714328863,0.000000013,65,""
16,"CasADi",1,0,188.101726,64,6.714328863,0.000000013,65,""
17,"TetraPGA",1,0,36.073132,25,4.639958328,0.000021721,26,""
17,"Pinocchio",1,0,49.597135,38,4.643056914,0.000097741,39,""
17,"CasADi",1,0,108.645558,38,4.643056914,0.000097741,39,""
18,"TetraPGA",1,0,8.046327,7,2.54815256,0.000099425,8,""
18,"Pinocchio",1,0,12.473466,12,2.558718951,0.000000011,13,""
18,"CasADi",1,0,31.092295,12,2.558718951,0.000000011,13,""
19,"TetraPGA",1,0,19.811096,15,8.107366417,0.000001343,16,""
19,"Pinocchio",1,0,21.386538,19,8.126691493,0.000003366,20,""
19,"CasADi",1,0,51.127911,19,8.126691493,0.000003366,20,""
