scenario,method,budget_ms,num_samples,mean_best_cost,median_best_cost,mean_terminal_q_error,success_rate,mean_iterations,mean_iter_ms,p95_iter_ms
"stanford_tidybot","TetraPGA",50,20,9.891470931,6.293474202,0.007004833,0.95,15.9,1.428160352,1.8037899
"stanford_tidybot","TetraPGA",100,20,5.77631696,6.043863082,0.006229479,1,16.3,1.420519957,1.80014925
"stanford_tidybot","TetraPGA",200,20,5.77631696,6.043863082,0.006229479,1,16.3,1.420519957,1.80014925
"stanford_tidybot","TetraPGA",500,20,5.77631696,6.043863082,0.006229479,1,16.3,1.420519957,1.80014925
"stanford_tidybot","TetraPGA",1000,20,5.77631696,6.043863082,0.006229479,1,16.3,1.420519957,1.80014925
"stanford_tidybot","Pinocchio",50,20,35.461889935,6.059283794,0.03098279,0.95,19.35,1.181530858,1.5187881
"stanford_tidybot","Pinocchio",100,20,5.789383245,6.059283794,0.006232653,1,20.8,1.191703779,1.5264835
"stanford_tidybot","Pinocchio",200,20,5.789383245,6.059283794,0.006232653,1,20.8,1.191703779,1.5264835
"stanford_tidybot","Pinocchio",500,20,5.789383245,6.059283794,0.006232653,1,20.8,1.191703779,1.5264835
"stanford_tidybot","Pinocchio",1000,20,5.789383245,6.059283794,0.006232653,1,20.8,1.191703779,1.5264835
"stanford_tidybot","CasADi",50,20,159.393362728,7.82391207,0.22005721,0.7,14.65,2.75474399,3.0729908
"stanford_tidybot","CasADi",100,20,37.847440826,6.359098586,0.039627597,0.9,19.05,2.750998693,3.077257
"stanford_tidybot","CasADi",200,20,5.789383245,6.059283794,0.006232653,1,20.8,2.757734425,3.08752925
"stanford_tidybot","CasADi",500,20,5.789383245,6.059283794,0.006232653,1,20.8,2.757734425,3.08752925
"stanford_tidybot","CasADi",1000,20,5.789383245,6.059283794,0.006232653,1,20.8,2.757734425,3.08752925
