scenario,sample_id,method,iter,elapsed_ms,iter_ms,cost,best_cost,terminal_q_error,success,stop
"stanford_tidybot",0,"TetraPGA",0,0,0,1975.044015838,1975.044015838,1.986489841,0,nan
"stanford_tidybot",0,"TetraPGA",1,1.923788,1.923788,1631.634407827,1631.634407827,1.749212604,0,1967.28120017
"stanford_tidybot",0,"TetraPGA",2,3.499637,1.575849,1232.652720292,1232.652720292,1.548432049,0,1623.903306264
"stanford_tidybot",0,"TetraPGA",3,5.1169,1.617263,1071.592717092,1071.592717092,1.45486622,0,1224.930748313
"stanford_tidybot",0,"TetraPGA",4,6.743178,1.626278,984.929644564,984.929644564,1.36697603,0,1063.868568806
"stanford_tidybot",0,"TetraPGA",5,8.360471,1.617293,925.444675009,925.444675009,1.283945182,0,977.208421525
"stanford_tidybot",0,"TetraPGA",6,9.988072,1.627601,882.759801945,882.759801945,1.205475251,0,917.728281111
"stanford_tidybot",0,"TetraPGA",7,11.63269,1.644618,849.639673227,849.639673227,1.131427041,0,875.049071508
"stanford_tidybot",0,"TetraPGA",8,13.283045,1.650355,818.938238583,818.938238583,1.061677276,0,841.934999319
"stanford_tidybot",0,"TetraPGA",9,14.950352,1.667307,785.103246314,785.103246314,0.996075196,0,811.239754579
"stanford_tidybot",0,"TetraPGA",10,16.633382,1.68303,745.077260373,745.077260373,0.934440846,0,777.410897203
"stanford_tidybot",0,"TetraPGA",11,18.308027,1.674645,698.154527614,698.154527614,0.876575838,0,737.390849869
"stanford_tidybot",0,"TetraPGA",12,20.1464,1.838373,645.321249892,645.321249892,0.822274544,0,690.473757705
"stanford_tidybot",0,"TetraPGA",13,22.583245,2.436845,588.517405523,588.517405523,0.771332272,0,637.645754625
"stanford_tidybot",0,"TetraPGA",14,25.022464,2.439219,530.022961531,530.022961531,0.723550291,0,580.846778944
"stanford_tidybot",0,"TetraPGA",15,27.012234,1.98977,472.023657698,472.023657698,0.678738466,0,522.356780016
"stanford_tidybot",0,"TetraPGA",16,28.603222,1.590988,434.597202603,434.597202603,0.594697909,0,464.361497183
"stanford_tidybot",0,"TetraPGA",17,30.14203,1.538808,363.441763001,363.441763001,0.521137219,0,426.941545521
"stanford_tidybot",0,"TetraPGA",18,31.742865,1.600835,280.360299233,280.360299233,0.45673952,0,355.7915099
"stanford_tidybot",0,"TetraPGA",19,33.880174,2.137309,233.790563406,233.790563406,0.343982522,0,272.714360031
"stanford_tidybot",0,"TetraPGA",20,36.038731,2.158557,105.061953935,105.061953935,0.259252874,0,226.150485069
"stanford_tidybot",0,"TetraPGA",21,38.132751,2.09402,19.431368273,19.431368273,0.132089932,0,97.425483331
"stanford_tidybot",0,"TetraPGA",22,40.2858,2.153049,15.845719908,15.845719908,0.100564668,0,11.798148585
"stanford_tidybot",0,"TetraPGA",23,42.433608,2.147808,14.376987554,14.376987554,0.0770313,0,8.212873145
"stanford_tidybot",0,"TetraPGA",24,44.595777,2.162169,12.817484756,12.817484756,0.059460632,0,6.744328428
"stanford_tidybot",0,"TetraPGA",25,46.522453,1.926676,11.767809754,11.767809754,0.033230238,0,5.184921576
"stanford_tidybot",0,"TetraPGA",26,48.181971,1.659518,8.753186543,8.753186543,0.008687555,1,4.135334042
"stanford_tidybot",0,"TetraPGA",27,49.834221,1.65225,7.632456318,7.632456318,0.008697971,1,1.120730589
"stanford_tidybot",0,"TetraPGA",28,51.558439,1.724218,7.632455903,7.632455903,0.008698086,1,0.000000415
"stanford_tidybot",0,"Pinocchio",0,0,0,2008.787891056,2008.787891056,1.986489841,0,nan
"stanford_tidybot",0,"Pinocchio",1,2.186839,2.186839,1589.655687625,1589.655687625,1.731835935,0,2000.902153911
"stanford_tidybot",0,"Pinocchio",2,4.060924,1.874085,1335.757076729,1335.757076729,1.518881165,0,1581.873872684
