scenario,method,budget_ms,num_samples,mean_best_cost,median_best_cost,mean_terminal_q_error,success_rate,mean_iterations,mean_iter_ms,p95_iter_ms
"stanford_tidybot","TetraPGA",1,3,1899.645609578,1980.177490804,1.873223958,0,0.666666667,0.762784,0.776644
"stanford_tidybot","TetraPGA",5,3,1545.526361752,1749.21446655,1.538419088,0,5.666666667,0.787797529,0.9646762
"stanford_tidybot","TetraPGA",10,3,1442.745850767,1655.793818586,1.378032688,0,10,0.7758479,0.79714895
"stanford_tidybot","TetraPGA",20,3,1442.745850767,1655.793818586,1.378032688,0,10,0.7758479,0.79714895
"stanford_tidybot","TetraPGA",50,3,1442.745850767,1655.793818586,1.378032688,0,10,0.7758479,0.79714895
"stanford_tidybot","Pinocchio",1,3,1816.936842182,2030.103066177,1.820461865,0,1,0.636259,0.6635984
"stanford_tidybot","Pinocchio",5,3,1532.491330441,1811.409561554,1.478005232,0,7.666666667,0.616510957,0.667685
"stanford_tidybot","Pinocchio",10,3,1480.902241907,1759.817832655,1.42664425,0,10,0.625585467,0.66716905
"stanford_tidybot","Pinocchio",20,3,1480.902241907,1759.817832655,1.42664425,0,10,0.625585467,0.66716905
"stanford_tidybot","Pinocchio",50,3,1480.902241907,1759.817832655,1.42664425,0,10,0.625585467,0.66716905
"stanford_tidybot","CasADi",1,3,1978.684294897,2138.866286038,1.946855857,0,0,0,0
"stanford_tidybot","CasADi",5,3,1670.643456679,1940.009128277,1.659663775,0,3,1.288908889,1.397496
"stanford_tidybot","CasADi",10,3,1553.448868491,1839.406007891,1.495321342,0,7,1.30126181,1.425134
"stanford_tidybot","CasADi",20,3,1480.902243484,1759.817833092,1.42664425,0,10,1.3115108,1.3975445
"stanford_tidybot","CasADi",50,3,1480.902243484,1759.817833092,1.42664425,0,10,1.3115108,1.3975445
