scenario,sample_id,method,iter,elapsed_ms,iter_ms,cost,best_cost,terminal_q_error,success,stop
"stanford_tidybot",0,"TetraPGA",0,0,0,2771.593030451,2771.593030451,2.353926437,0,nan
"stanford_tidybot",0,"TetraPGA",1,1.710645,1.710645,2460.888619153,2460.888619153,2.199977417,0,2725.65072252
"stanford_tidybot",0,"TetraPGA",2,2.400297,0.689652,2291.694208198,2291.694208198,2.054343115,0,2414.726530018
"stanford_tidybot",0,"TetraPGA",3,3.130157,0.72986,2198.524434131,2198.524434131,1.988689338,0,2245.303584397
"stanford_tidybot",0,"TetraPGA",4,3.869612,0.739455,2120.724114621,2120.724114621,1.924998557,0,2152.012686147
"stanford_tidybot",0,"TetraPGA",5,4.595113,0.725501,2058.527650774,2058.527650774,1.863245245,0,2074.092161802
"stanford_tidybot",0,"TetraPGA",6,5.327613,0.7325,2012.176655865,2012.176655865,1.803407719,0,2011.777369316
"stanford_tidybot",0,"TetraPGA",7,6.05672,0.729107,1981.936440628,1981.936440628,1.745467692,0,1965.3107555
"stanford_tidybot",0,"TetraPGA",8,6.787765,0.731045,1968.11367601,1968.11367601,1.689410117,0,1934.958356387
"stanford_tidybot",0,"TetraPGA",9,7.583402,0.795637,1935.933327186,1935.933327186,1.662983189,0,1921.027474316
"stanford_tidybot",0,"TetraPGA",10,8.381788,0.798386,1905.966077571,1905.966077571,1.636982351,0,1888.792180547
"stanford_tidybot",0,"Pinocchio",0,0,0,2774.337881273,2774.337881273,2.353926437,0,nan
"stanford_tidybot",0,"Pinocchio",1,0.668335,0.668335,2451.25137548,2451.25137548,2.201015978,0,2728.599039367
"stanford_tidybot",0,"Pinocchio",2,1.222396,0.554061,2234.85284683,2234.85284683,2.056766195,0,2405.175015602
"stanford_tidybot",0,"Pinocchio",3,1.761545,0.539149,2144.393072317,2144.393072317,1.920998173,0,2188.455044761
"stanford_tidybot",0,"Pinocchio",4,2.358028,0.596483,2072.247494371,2072.247494371,1.859821222,0,2097.698670551
"stanford_tidybot",0,"Pinocchio",5,2.955655,0.597627,2014.618580465,2014.618580465,1.800539091,0,2025.410101952
"stanford_tidybot",0,"Pinocchio",6,3.569635,0.61398,1971.993393106,1971.993393106,1.74312305,0,1967.645205479
"stanford_tidybot",0,"Pinocchio",7,4.185581,0.615946,1944.970402436,1944.970402436,1.68754906,0,1924.891421097
"stanford_tidybot",0,"Pinocchio",8,4.868787,0.683206,1910.094238918,1910.094238918,1.661246491,0,1897.747494518
"stanford_tidybot",0,"Pinocchio",9,5.534531,0.665744,1877.447259305,1877.447259305,1.635364889,0,1862.81137924
"stanford_tidybot",0,"Pinocchio",10,6.190197,0.655666,1846.989449169,1846.989449169,1.609900231,0,1830.106274874
"stanford_tidybot",0,"CasADi",0,0,0,2774.337881273,2774.337881273,2.353926437,0,nan
"stanford_tidybot",0,"CasADi",1,1.356039,1.356039,2451.251375644,2451.251375644,2.201015978,0,2728.599039367
"stanford_tidybot",0,"CasADi",2,2.568436,1.212397,2234.852847897,2234.852847897,2.056766195,0,2405.175015766
"stanford_tidybot",0,"CasADi",3,3.774655,1.206219,2144.393075851,2144.393075851,1.920998173,0,2188.455045829
"stanford_tidybot",0,"CasADi",4,5.047066,1.272411,2072.247497698,2072.247497698,1.859821222,0,2097.698674085
"stanford_tidybot",0,"CasADi",5,6.321203,1.274137,2014.61858471,2014.61858471,1.800539091,0,2025.41010528
"stanford_tidybot",0,"CasADi",6,7.593498,1.272295,1971.99339617,1971.99339617,1.74312305,0,1967.645209726
"stanford_tidybot",0,"CasADi",7,8.860159,1.266661,1944.970406744,1944.970406744,1.68754906,0,1924.891424162
"stanford_tidybot",0,"CasADi",8,10.189192,1.329033,1910.09424329,1910.09424329,1.661246491,0,1897.747498826
"stanford_tidybot",0,"CasADi",9,11.524829,1.335637,1877.447264035,1877.447264035,1.635364889,0,1862.811383615
"stanford_tidybot",0,"CasADi",10,12.864854,1.340025,1846.989453464,1846.989453464,1.609900231,0,1830.106279604
"stanford_tidybot",1,"TetraPGA",0,0,0,1011.287898315,1011.287898315,1.421888564,0,nan
"stanford_tidybot",1,"TetraPGA",1,0.778184,0.778184,947.166307478,947.166307478,1.337412901,0,998.188315242
"stanford_tidybot",1,"TetraPGA",2,1.456399,0.678215,926.438804387,926.438804387,1.257400578,0,934.05547483
"stanford_tidybot",1,"TetraPGA",3,2.200547,0.744148,896.292740171,896.292740171,1.219112311,0,913.309830917
"stanford_tidybot",1,"TetraPGA",4,2.947686,0.747139,869.742252754,869.742252754,1.181933843,0,883.152180238
"stanford_tidybot",1,"TetraPGA",5,3.702706,0.75502,847.412727794,847.412727794,1.145847047,0,856.589215692
"stanford_tidybot",1,"TetraPGA",6,4.449311,0.746605,828.836967933,828.836967933,1.11083306,0,834.246456588
"stanford_tidybot",1,"TetraPGA",7,5.199184,0.749873,812.78548522,812.78548522,1.076870554,0,815.656735527
"stanford_tidybot",1,"TetraPGA",8,5.949782,0.750598,797.811348235,797.811348235,1.043935675,0,799.590566922
"stanford_tidybot",1,"TetraPGA",9,6.701906,0.752124,782.664387656,782.664387656,1.012002817,0,784.601038762
"stanford_tidybot",1,"TetraPGA",10,7.4522,0.750294,766.477656143,766.477656143,0.981045478,0,769.438033599
"stanford_tidybot",1,"Pinocchio",0,0,0,1022.848717381,1022.848717381,1.421888564,0,nan
"stanford_tidybot",1,"Pinocchio",1,0.620969,0.620969,969.456084891,969.456084891,1.334289305,0,1009.641738763
"stanford_tidybot",1,"Pinocchio",2,1.227839,0.60687,943.984103598,943.984103598,1.293169395,0,956.193553405
"stanford_tidybot",1,"Pinocchio",3,1.829061,0.601222,927.528165889,927.528165889,1.253325961,0,930.696011451
"stanford_tidybot",1,"Pinocchio",4,2.433819,0.604758,919.508931051,919.508931051,1.214729716,0,914.216286334
