scenario,method,budget_ms,num_samples,mean_best_cost,median_best_cost,mean_terminal_q_error,success_rate,mean_iterations,mean_iter_ms,p95_iter_ms
"ur10","TetraPGA",1,3,425.057391828,79.648851739,0.522217388,0,1.333333333,0.3916855,0.4708266
"ur10","TetraPGA",5,3,17.516699008,4.606607697,0.013614886,0.666666667,4.333333333,0.589007692,1.6702996
"ur10","TetraPGA",10,3,5.63331039,4.606607697,0.008034758,0.666666667,5.333333333,0.648408375,1.55206075
"ur10","TetraPGA",20,3,5.63331039,4.606607697,0.008034758,0.666666667,5.333333333,0.648408375,1.55206075
"ur10","TetraPGA",50,3,5.63331039,4.606607697,0.008034758,0.666666667,5.333333333,0.648408375,1.55206075
"ur10","Pinocchio",1,3,408.684338111,79.648851729,0.520997837,0.333333333,2.333333333,0.230626286,0.3994155
"ur10","Pinocchio",5,3,383.670256767,4.606607697,0.507638742,0.666666667,3.333333333,0.2858123,0.4865702
"ur10","Pinocchio",10,3,5.708152815,4.606607697,0.008076307,0.666666667,4.666666667,0.889659357,3.0827735
"ur10","Pinocchio",20,3,5.633310391,4.606607697,0.008034758,0.666666667,5.333333333,0.875366937,2.4845545
"ur10","Pinocchio",50,3,5.633310391,4.606607697,0.008034758,0.666666667,5.333333333,0.875366937,2.4845545
"ur10","CasADi",1,3,774.698803849,791.019758474,1.106015105,0,0.333333333,0.743254,0.743254
"ur10","CasADi",5,3,107.964004605,4.763020649,0.021651263,0.666666667,3.333333333,1.2608688,2.4144877
"ur10","CasADi",10,3,5.633310391,4.606607697,0.008034758,0.666666667,5.333333333,1.299359,2.14760275
"ur10","CasADi",20,3,5.633310391,4.606607697,0.008034758,0.666666667,5.333333333,1.299359,2.14760275
"ur10","CasADi",50,3,5.633310391,4.606607697,0.008034758,0.666666667,5.333333333,1.299359,2.14760275
