scenario,sample_id,method,iter,elapsed_ms,iter_ms,cost,best_cost,terminal_q_error,success,stop
"ur10",0,"TetraPGA",0,0,0,1142.711179911,1142.711179911,1.509503643,0,nan
"ur10",0,"TetraPGA",1,2.143255,2.143255,512.253987767,512.253987767,0.761589961,0,1134.282343222
"ur10",0,"TetraPGA",2,3.22623,1.082975,315.436010361,315.436010361,0.051681922,0,503.53527617
"ur10",0,"TetraPGA",3,4.581226,1.354996,44.250506635,44.250506635,0.027432075,0,306.827814732
"ur10",0,"TetraPGA",4,5.585495,1.004269,8.824868054,8.824868054,0.010816338,0,35.650078764
"ur10",0,"TetraPGA",5,6.496454,0.910959,8.600341027,8.600341027,0.010691759,0,0.224527484
"ur10",0,"TetraPGA",6,7.29866,0.802206,8.600340781,8.600340781,0.010691689,0,0.000000246
"ur10",0,"Pinocchio",0,0,0,1142.711179911,1142.711179911,1.509503643,0,nan
"ur10",0,"Pinocchio",1,6.971197,6.971197,512.253987819,512.253987819,0.761589961,0,1134.282343221
"ur10",0,"Pinocchio",2,7.960204,0.989007,315.436010435,315.436010435,0.051681923,0,503.53527622
"ur10",0,"Pinocchio",3,8.829687,0.869483,44.250506645,44.250506645,0.027432075,0,306.827814805
"ur10",0,"Pinocchio",4,9.597108,0.767421,8.824868056,8.824868056,0.010816338,0,35.650078773
"ur10",0,"Pinocchio",5,10.317867,0.720759,8.600341028,8.600341028,0.010691759,0,0.224527484
"ur10",0,"Pinocchio",6,11.147748,0.829881,8.600340782,8.600340782,0.010691689,0,0.000000246
"ur10",0,"CasADi",0,0,0,1142.711179911,1142.711179911,1.509503643,0,nan
"ur10",0,"CasADi",1,2.85292,2.85292,512.25398781,512.25398781,0.761589961,0,1134.282343221
"ur10",0,"CasADi",2,4.731546,1.878626,315.436010474,315.436010474,0.051681923,0,503.535276212
"ur10",0,"CasADi",3,6.182212,1.450666,44.250506649,44.250506649,0.027432075,0,306.827814844
"ur10",0,"CasADi",4,7.119001,0.936789,8.824868055,8.824868055,0.010816338,0,35.650078777
"ur10",0,"CasADi",5,8.119781,1.00078,8.600341028,8.600341028,0.010691759,0,0.224527484
"ur10",0,"CasADi",6,9.327696,1.207915,8.600340782,8.600340782,0.010691689,0,0.000000246
"ur10",1,"TetraPGA",0,0,0,578.256464001,578.256464001,1.068097645,0,nan
"ur10",1,"TetraPGA",1,0.480825,0.480825,390.365472982,390.365472982,0.554883491,0,574.624731978
"ur10",1,"TetraPGA",2,0.850281,0.369456,52.812143834,52.812143834,0.010171135,0,386.672253236
"ur10",1,"TetraPGA",3,1.055609,0.205328,3.740171138,3.740171138,0.006406535,1,49.119153226
"ur10",1,"TetraPGA",4,1.256951,0.201342,3.69298273,3.69298273,0.006512094,1,0.047188494
