model,dof,seed,sample_id,d_safe,obstacle_count,success,failed,cost,stop,iter,solve_ms,initial_min_distance,final_min_distance,trajectory_min_distance,safety_violation_count,collision_violation_count,placement_error_norm,path_length,jerk_rms,torque_rate_rms,failure_message
ur10,6,2099586700,0,0.03,4,0,0,2899.262690002,0.057277164,100,99.432373,0.215963427,0.173912121,0.136218079,0,0,0.853486979,3.043729218,42283.062299318,12581.534726072,""
ur10,6,2099586703,1,0.03,4,0,0,3265.753353944,0.085922743,100,98.402896,0.231402081,0.102931039,0.038557632,0,0,0.656843178,3.578445643,58722.877569852,9755.088741735,""
ur10,6,2099586702,2,0.03,4,0,0,3007.879990711,0.000006787,100,100.083667,0.266465276,0.101474025,0.03941252,0,0,0.35751587,3.204100423,18183.31640811,7208.841730067,""
ur10,6,2099586737,3,0.03,4,1,0,1567.820327132,0.000000034,79,78.262872,0.215721883,0.082939462,0.080723947,0,0,1.019981832,3.150238402,16592.650087164,13990.559185181,""
ur10,6,2099586736,4,0.03,4,0,0,3424.889305282,0.008752503,100,95.33224,0.274635803,0.150867608,0.074951007,0,0,0.871279798,3.355125179,28822.601648816,7346.287577884,""
ur10,6,2099586955,0,0.03,8,0,0,4784.772513881,0.045968115,100,105.216092,0.215984826,0.078794541,-0.088412124,39,27,0.539091601,3.731045152,53227.96999953,12788.526558486,""
ur10,6,2099586954,1,0.03,8,0,0,5285.545850296,0.000002993,100,99.119887,0.241249786,0.03063753,-0.054593166,28,7,0.579552267,3.422342394,34961.985578094,15468.348666543,""
ur10,6,2099586997,2,0.03,8,0,0,6607.951495935,0.872319164,100,97.322691,0.260588982,0.055800152,0.033647196,0,0,0.496170541,3.964805692,64512.101891207,10111.630652286,""
ur10,6,2099586996,3,0.03,8,0,0,6541.0310258,2.249343882,100,105.273537,0.312571299,0.094911154,0.094911154,0,0,0.54227572,3.570094085,55408.458019822,9062.918026958,""
ur10,6,2099586999,4,0.03,8,1,0,6639.920938561,0.000000955,91,89.19964,0.242389217,0.045192331,0.02588331,3,0,1.050275333,3.617867191,18455.542216065,14873.06343865,""
ur10,6,2099587517,0,0.03,16,0,0,12088.047330358,0.032505591,100,107.354239,0.216337243,-0.021414076,-0.081414843,87,49,0.686898359,4.141685409,23426.92579798,11736.367208786,""
ur10,6,2099587516,1,0.03,16,0,0,12887.351919859,0.004196908,100,111.616626,0.22329047,0.008665132,-0.037737104,18,7,0.792362171,4.17105835,52464.506115964,10189.361398776,""
ur10,6,2099587519,2,0.03,16,1,0,10779.58435897,0.000000679,78,88.011667,0.217589968,-0.029718417,-0.04319896,46,26,1.453889253,4.223982054,10088.687923888,8841.534541321,""
ur10,6,2099587518,3,0.03,16,0,0,13541.342365807,0.725714899,100,112.148814,0.248617919,-0.055897378,-0.063226832,59,35,0.629861325,4.063527449,15127.741290587,11925.883763745,""
ur10,6,2099587513,4,0.03,16,0,0,9621.565598612,0.006243283,100,111.611439,0.24088277,-0.037583337,-0.037583337,48,18,0.82607193,3.905836713,26776.638404957,12242.275088249,""
ur10,6,2099586700,0,0.05,4,0,0,2653.325434721,0.002419187,100,96.884855,0.215963427,0.176448491,0.138279092,0,0,0.842841372,2.998721724,25230.427756793,15595.952553541,""
ur10,6,2099586703,1,0.05,4,1,0,2973.975769333,0.000000141,66,66.013159,0.231402081,0.108809371,0.042765051,6,0,0.384880383,3.481920591,14872.114744762,9928.055517436,""
ur10,6,2099586702,2,0.05,4,1,0,2757.971364655,0.000000175,99,100.128987,0.266465276,0.110540553,0.044963734,6,0,0.35455016,3.193360893,25963.794705634,7138.450754642,""
ur10,6,2099586737,3,0.05,4,1,0,1401.521275883,0.000000029,96,90.880048,0.215721883,0.085395427,0.083334546,0,0,1.005193386,3.117631904,11928.706571644,13647.902269232,""
ur10,6,2099586736,4,0.05,4,0,0,3168.376044316,0.00244399,100,93.196583,0.274635803,0.148082669,0.083519178,0,0,0.859944534,3.334470047,40814.419583705,5579.31629509,""
ur10,6,2099586955,0,0.05,8,1,0,4388.482790174,0.000000237,93,95.258367,0.215984826,0.081507107,-0.07920177,47,28,0.532054348,3.692663084,17816.462322831,15326.95687605,""
ur10,6,2099586954,1,0.05,8,1,0,4854.709579536,0.000000067,87,88.255838,0.241249786,0.036605686,-0.051558398,37,7,0.565179426,3.404040111,40321.009787247,16333.123583397,""
ur10,6,2099586997,2,0.05,8,0,0,6613.084392095,0.00177627,100,93.36471,0.260588982,-0.012749769,-0.053844141,48,15,0.586943801,3.981627838,48817.234596706,13792.109481104,""
ur10,6,2099586996,3,0.05,8,0,0,6023.327888395,0.219408717,100,109.307323,0.312571299,0.098889008,0.098889008,0,0,0.539556885,3.542284179,64690.170933454,13687.820081361,""
ur10,6,2099586999,4,0.05,8,1,0,6145.116577815,0.000000045,77,76.035907,0.242389217,0.045999966,0.031169051,8,0,1.044163979,3.60401953,20413.41314242,14314.637149684,""
ur10,6,2099587517,0,0.05,16,1,0,11158.331777241,0.000000712,94,105.092209,0.216337243,-0.023269758,-0.081459856,143,52,0.683932495,4.124064197,23752.534316911,12257.856749882,""
ur10,6,2099587516,1,0.05,16,0,0,12567.974130417,0.005839326,100,113.674093,0.22329047,-0.000866489,-0.008859105,18,11,0.567283157,3.744142514,31761.11134539,13581.604954545,""
ur10,6,2099587519,2,0.05,16,1,0,9860.896052903,0.000000649,81,90.718463,0.217589968,-0.026844811,-0.044512981,61,26,1.447242826,4.198546252,10050.862842195,9013.706944005,""
ur10,6,2099587518,3,0.05,16,0,0,12527.172839707,0.422725023,100,112.722217,0.248617919,-0.05439755,-0.060544711,88,33,0.625765221,4.048147966,24964.136397113,13127.269865172,""
ur10,6,2099587513,4,0.05,16,0,0,8797.325682571,0.005115926,100,116.205943,0.24088277,-0.036543412,-0.036543412,60,18,0.818992214,3.897774045,74485.513052713,13401.89948394,""
ur10,6,2099586700,0,0.08,4,0,0,2308.206400513,0.00076954,100,95.534102,0.215963427,0.179933972,0.141629173,0,0,0.825893273,2.980202367,29168.293085853,15202.944598786,""
ur10,6,2099586703,1,0.08,4,1,0,2657.149738102,0.00000026,65,62.873335,0.231402081,0.11724546,0.047542631,14,0,0.381957593,3.451554091,15409.702812725,9694.194207838,""
ur10,6,2099586702,2,0.08,4,1,0,2406.99812637,0.000000906,89,88.602537,0.266465276,0.124082712,0.053483989,13,0,0.350289037,3.175950396,23972.862424674,6934.542927043,""
ur10,6,2099586737,3,0.08,4,0,0,1178.578418051,0.004837188,100,98.629746,0.215721883,0.088527318,0.088527318,0,0,0.982021138,3.026885367,6551.913293735,7192.757084319,""
ur10,6,2099586736,4,0.08,4,0,0,2806.047520539,0.28936999,100,92.625412,0.274635803,0.145738761,0.089101036,0,0,0.840921656,3.262924728,36800.671962707,5931.184103512,""
ur10,6,2099586955,0,0.08,8,1,0,3845.041155979,0.000000117,90,92.936724,0.215984826,0.085679847,-0.083896419,72,29,0.520312978,3.679525516,13796.965728357,14851.356488734,""
ur10,6,2099586954,1,0.08,8,1,0,4253.941238347,0.000000161,91,95.787209,0.241249786,0.047111798,-0.04564546,53,8,0.54725639,3.375616982,35669.21877593,14896.417791782,""
ur10,6,2099586997,2,0.08,8,0,0,5879.268229376,0.00000651,100,91.150498,0.260588982,-0.014352839,-0.051796338,62,15,0.571731519,3.926207723,21773.507263245,13369.868488172,""
ur10,6,2099586996,3,0.08,8,0,0,5307.667131824,0.008513389,100,105.214098,0.312571299,0.104977558,0.104977558,0,0,0.532426755,3.501780939,57942.156697725,13040.424281499,""
ur10,6,2099586999,4,0.08,8,1,0,5450.903564871,0.000000515,93,90.861935,0.242389217,0.046855884,0.040551156,31,0,1.034777406,3.580758295,17942.124414736,13477.171317468,""
ur10,6,2099587517,0,0.08,16,0,0,9857.188655755,0.000023804,100,110.190403,0.216337243,-0.026030921,-0.081817612,188,52,0.678937245,4.093258578,23529.05471,12758.273056632,""
ur10,6,2099587516,1,0.08,16,0,0,11092.618281899,0.02055476,100,117.249804,0.22329047,0.00579403,-0.001028045,47,4,0.556811766,3.758468998,74864.386409435,15387.046950111,""
ur10,6,2099587519,2,0.08,16,1,0,8578.604373241,0.00000088,74,84.45676,0.217589968,-0.022079217,-0.046802547,84,27,1.439880423,4.164841985,10062.575879458,9081.051029804,""
