d_safe,obstacle_count,num_samples,solver_success_rate,failed_rate,collision_free_rate,safety_satisfied_rate,mean_solve_ms,median_solve_ms,mean_initial_min_distance,mean_final_min_distance,mean_trajectory_min_distance,min_trajectory_min_distance,mean_safety_violation_count,mean_collision_violation_count,mean_placement_error_norm,median_placement_error_norm,mean_path_length,mean_jerk_rms,mean_torque_rate_rms
0.03,4,5,0.2,0.0,1.0,1.0,94.3028096,98.402896,0.24083769400000002,0.122424851,0.073972637,0.038557632,0.0,0.0,0.7518215314,0.853486979,3.2663277729999995,32920.901602652,10176.4623921878
0.03,8,5,0.2,0.0,0.6,0.4,99.2263694,99.119887,0.25455682199999996,0.0610671416,0.002287274,-0.088412124,14.0,6.8,0.6414730924000001,0.54227572,3.6612309028,45313.2115409436,12460.8974685846
0.03,16,5,0.2,0.0,0.0,0.0,106.14855700000001,111.611439,0.22934367399999997,-0.0271896152,-0.0526322152,-0.081414843,51.6,27.0,0.8778166076,0.792362171,4.101217995000001,25576.8999066752,10987.0844001754
0.05,4,5,0.6,0.0,1.0,0.6,89.4207264,93.196583,0.24083769400000002,0.12585530220000002,0.0785723202,0.042765051,2.4,0.0,0.6894819670000001,0.842841372,3.2252210318000003,23761.892672507598,10377.9354779882
0.05,8,5,0.6,0.0,0.4,0.2,92.444429,93.36471,0.25455682199999996,0.050050399599999996,-0.01090925,-0.07920177,28.0,10.0,0.6535796878,0.565179426,3.6449269483999998,38411.6581565316,14690.929434319201
0.05,16,5,0.4,0.0,0.0,0.0,107.68258499999999,112.722217,0.22934367399999997,-0.028384404000000002,-0.046384013,-0.081459856,74.0,28.0,0.8286431825999999,0.683932495,4.0025349947999995,33002.8315908644,12276.4675995088
0.08,4,5,0.4,0.0,1.0,0.6,87.6530264,92.625412,0.24083769400000002,0.13110564460000002,0.0840568294,0.047542631,5.4,0.0,0.6762165394,0.825893273,3.1795033898,22380.6887159388,8991.1245842996
0.08,8,5,0.6,0.0,0.4,0.2,95.1900928,92.936724,0.25455682199999996,0.0540544496,-0.0071619006,-0.083896419,43.6,10.4,0.6413010096,0.54725639,3.6127778910000004,29424.7945759986,13927.047673530999
0.08,16,5,0.2,0.0,0.0,0.0,107.5274216,110.570087,0.22934367399999997,-0.0260661908,-0.0448522658,-0.081817612,114.8,27.2,0.8210671495999999,0.678937245,3.9729388858,35674.7868378344,12871.058160135199
0.1,4,5,0.4,0.0,1.0,0.2,90.2554352,95.127948,0.24083769400000002,0.13581383460000002,0.089433284,0.051082225,9.8,0.0,0.664456277,0.814288791,3.1549841927999998,25440.709401443797,8936.6009968476
0.1,8,5,0.4,0.0,0.4,0.2,90.9962792,99.6293,0.25455682199999996,0.056820199800000006,-0.004071309800000001,-0.086740197,59.4,10.2,0.6338323786,0.537863948,3.5963346795999995,27619.1355104992,13689.9419596478
0.1,16,5,0.2,0.0,0.0,0.0,109.5423878,113.791366,0.22934367399999997,-0.0187005204,-0.0522205536,-0.081046201,141.2,27.0,0.8462822534000001,0.727149132,3.9950278022,40677.252895186204,11893.90543625
0.15,4,5,0.4,0.0,1.0,0.0,93.30167800000001,96.862018,0.24083769400000002,0.1477733898,0.10219771200000001,0.061291059,25.6,0.0,0.6379100534,0.77080713,3.082024246,26411.222444597595,8762.5808840612
0.15,8,5,0.6,0.0,0.4,0.0,92.35593639999999,91.477648,0.25455682199999996,0.0632241606,-0.002426017,-0.101258166,101.2,9.4,0.6198389998,0.523061517,3.5334414113999997,25751.533036337,12984.6885519114
0.15,16,5,0.2,0.0,0.0,0.0,107.753272,113.222207,0.22934367399999997,-0.0097591272,-0.0522966882,-0.082832136,232.0,27.8,0.8064658468000001,0.667525125,3.8906694905999997,37958.5281935002,11820.4050833224
