model,dof,seed,sample_id,d_safe,obstacle_count,success,failed,cost,stop,iter,solve_ms,initial_min_distance,final_min_distance,trajectory_min_distance,safety_violation_count,collision_violation_count,placement_error_norm,path_length,jerk_rms,torque_rate_rms,failure_message
ur10,6,2099586700,0,0.03,4,0,0,1454.383311724,27.606638408,80,79.702899,0.186631017,0.153815051,0.11501937,0,0,0.705009153,2.89966911,31629.073385731,10237.51244514,""
ur10,6,2099586703,1,0.03,4,1,0,1593.080648139,0.000000657,69,66.387122,0.159985773,0.006249712,-0.069191507,51,39,0.3930176,3.309533649,17286.63875306,9836.444328321,""
ur10,6,2099586702,2,0.03,4,0,0,1458.485835397,0.001417114,80,82.184859,0.267804631,0.07915382,0.022375108,7,0,0.298157079,2.940716565,33352.478375576,5463.366022426,""
ur10,6,2099586737,3,0.03,4,0,0,585.955080139,8.765922932,80,80.587889,0.139362289,-0.032939384,-0.032939384,15,3,0.383962576,2.774320793,28587.421503539,9344.870913536,""
ur10,6,2099586736,4,0.03,4,0,0,1243.413963073,0.00120115,80,80.637697,0.151674318,0.125964633,0.114222424,0,0,0.481437257,2.830507011,41143.51870899,4813.602699007,""
ur10,6,2099586955,0,0.03,8,0,0,2463.965739386,5.817412272,80,85.309794,0.200110123,0.023888702,-0.102773141,56,39,0.473076629,3.578645407,92094.640552781,11279.544012509,""
ur10,6,2099586954,1,0.03,8,1,0,2615.70327303,0.000000762,76,73.654007,0.222359098,0.013551114,-0.057628587,30,12,0.435757771,3.08916492,25008.587507245,12610.891269999,""
ur10,6,2099586997,2,0.03,8,0,0,3195.75528341,0.012549758,80,82.863694,0.140455373,0.0523184,0.045531673,0,0,0.398285664,3.460443516,49104.232659664,10642.336473817,""
ur10,6,2099586996,3,0.03,8,0,0,3205.398810526,0.101047469,80,83.101439,0.159964007,0.015304149,0.008152089,21,0,0.413443912,3.539917149,18461.930678335,12869.941655123,""
ur10,6,2099586999,4,0.03,8,0,0,2843.236010639,0.026314893,80,84.980828,0.130885654,-0.050231604,-0.050231604,38,19,0.968191047,3.645025262,4750.343360054,12162.789562865,""
ur10,6,2099587517,0,0.03,16,0,0,6445.509850691,0.02536351,80,92.060025,0.141843715,-0.032158058,-0.115126072,93,57,0.631326559,3.798754925,16466.092754103,10513.049462385,""
ur10,6,2099587516,1,0.03,16,1,0,5554.557169853,0.000000477,53,54.372194,0.137448858,-0.067004902,-0.093228437,62,46,0.547137265,3.412870479,11084.518697865,11555.638149604,""
ur10,6,2099587519,2,0.03,16,1,0,5283.087989635,0.000000331,68,78.354033,0.16873748,-0.046964645,-0.046964645,54,34,1.419539903,3.852909774,12494.278831539,8487.858328588,""
ur10,6,2099587518,3,0.03,16,0,0,6767.035666341,0.241329093,80,89.967968,0.128190555,-0.04384333,-0.05589312,64,33,1.054581922,3.651616395,10225.37208057,11819.558617084,""
ur10,6,2099587513,4,0.03,16,0,0,5311.176049486,1.645159957,80,95.774291,0.220743815,-0.055460962,-0.055460962,41,17,0.648193067,3.463704572,84524.754014917,11412.913916064,""
ur10,6,2099586700,0,0.05,4,0,0,1328.462620724,0.100018687,80,79.394802,0.186631017,0.156271727,0.114907945,0,0,0.681495501,2.872390318,23073.747206145,11507.63460494,""
ur10,6,2099586703,1,0.05,4,1,0,1481.225901322,0.000000172,71,69.410173,0.159985773,-0.002766942,-0.074981842,59,41,0.393227306,3.299361153,16575.838962844,9611.051820405,""
ur10,6,2099586702,2,0.05,4,0,0,1332.779860277,0.000122925,80,78.260845,0.267804631,0.088634147,0.029600279,13,0,0.29609035,2.934292422,52121.398576399,5079.126140999,""
ur10,6,2099586737,3,0.05,4,1,0,515.134881656,0.000000848,69,66.359178,0.139362289,-0.024946514,-0.024946514,33,3,0.382931617,2.739007212,12021.295471745,9417.436319718,""
ur10,6,2099586736,4,0.05,4,0,0,1128.684309927,0.042308552,80,80.967096,0.151674318,0.131526593,0.116180887,0,0,0.463015783,2.742828248,15248.683062497,4291.19490651,""
ur10,6,2099586955,0,0.05,8,1,0,2262.517631563,0.000000039,76,77.950218,0.200110123,0.02448932,-0.105034653,70,39,0.471902027,3.477348086,15653.937338066,13614.66866148,""
ur10,6,2099586954,1,0.05,8,1,0,2397.921894992,0.000000615,78,108.401969,0.222359098,0.021496001,-0.057781316,44,12,0.435272879,3.087661219,27152.89004369,13034.375256325,""
ur10,6,2099586997,2,0.05,8,0,0,2952.16148373,0.018265408,80,81.252994,0.140455373,0.056755835,0.04633105,4,0,0.391619016,3.452211347,35909.341221082,9489.959032017,""
ur10,6,2099586996,3,0.05,8,0,0,2962.504691439,4.470260708,80,80.739566,0.159964007,0.018151937,0.005768487,30,0,0.409039567,3.521361394,21588.451086771,12693.064043487,""
ur10,6,2099586999,4,0.05,8,0,0,2630.94836224,4.574597178,80,86.844576,0.130885654,-0.044332128,-0.044332128,50,16,0.964144078,3.6103945,4142.526439853,10917.741315671,""
ur10,6,2099587517,0,0.05,16,0,0,5952.484695235,0.424449838,80,95.418924,0.141843715,-0.035992031,-0.11774028,107,51,0.6232609,3.774824251,18130.547401634,15931.382768609,""
ur10,6,2099587516,1,0.05,16,1,0,5097.058980776,0.000000171,57,58.798572,0.137448858,-0.070902627,-0.095628977,77,46,0.537874843,3.394601004,9199.389539435,11756.376177249,""
ur10,6,2099587519,2,0.05,16,0,0,4828.055445701,0.016135943,80,91.471752,0.16873748,-0.042287178,-0.047095984,70,35,1.411706532,3.823144489,12121.059266232,8196.857887407,""
ur10,6,2099587518,3,0.05,16,0,0,6239.015303243,0.000013785,80,85.736831,0.128190555,-0.046660339,-0.056430911,73,33,1.046928511,3.633852705,9634.215363165,12516.829312659,""
ur10,6,2099587513,4,0.05,16,0,0,4858.683262346,0.316067669,80,95.195595,0.220743815,-0.055949265,-0.055949265,59,18,0.641191015,3.423561873,53921.416456011,10974.331679766,""
ur10,6,2099586700,0,0.08,4,0,0,1152.41295087,0.128180501,80,78.069841,0.186631017,0.159525577,0.120114251,0,0,0.650833451,2.855609187,23040.487642171,9956.856227357,""
ur10,6,2099586703,1,0.08,4,0,0,1324.34674681,0.044573282,80,78.794481,0.159985773,-0.01347371,-0.087331188,69,42,0.39366209,3.284630821,13887.618053229,9337.285819371,""
ur10,6,2099586702,2,0.08,4,0,0,1156.835512428,0.0001024,80,77.289305,0.267804631,0.10326922,0.037450499,18,0,0.293226812,2.925534176,32532.845536657,5449.739162729,""
ur10,6,2099586737,3,0.08,4,0,0,420.512839176,0.000212535,80,78.830985,0.139362289,-0.013263319,-0.013263319,51,2,0.381463556,2.749615695,60555.241293071,7695.505169821,""
ur10,6,2099586736,4,0.08,4,0,0,969.739247672,0.172896723,80,79.6459,0.151674318,0.136959371,0.119299324,0,0,0.444354579,2.733575,16128.344746512,4761.354176197,""
ur10,6,2099586955,0,0.08,8,0,0,1990.184807509,0.016637409,80,84.359959,0.200110123,0.024529066,-0.111202977,98,38,0.468535689,3.484841118,48601.096708495,10738.404823903,""
ur10,6,2099586954,1,0.08,8,0,0,2095.673271395,0.00001966,80,83.580494,0.222359098,0.03380705,-0.057528163,63,11,0.43450355,3.083371093,28303.006973267,12722.422227407,""
ur10,6,2099586997,2,0.08,8,0,0,2608.79670682,2.274043826,80,83.747456,0.140455373,0.062399621,0.055285242,18,0,0.388728369,3.414284495,12469.227566848,11132.117031363,""
ur10,6,2099586996,3,0.08,8,0,0,2621.39577236,0.008044348,80,81.765306,0.159964007,0.02256816,-0.000561285,41,1,0.402671494,3.494059563,25879.829276691,12561.327410028,""
ur10,6,2099586999,4,0.08,8,0,0,2333.84150676,0.252382958,80,87.392515,0.130885654,-0.037832613,-0.037832613,67,11,0.959109549,3.568952534,3855.652880321,10421.685640845,""
ur10,6,2099587517,0,0.08,16,0,0,5241.819833428,0.182858643,80,95.00475,0.141843715,-0.036663374,-0.115896114,159,56,0.621667083,3.71479632,20312.227877092,12207.753442365,""
ur10,6,2099587516,1,0.08,16,1,0,4459.056521698,0.000000102,58,62.962167,0.137448858,-0.074627957,-0.101765929,108,46,0.516067032,3.364889057,10677.62021652,11683.199010929,""
ur10,6,2099587519,2,0.08,16,0,0,4195.74080533,0.000137245,80,91.92343,0.16873748,-0.035159491,-0.049862304,103,34,1.399835623,3.779612443,11536.495799453,7796.108753469,""
