d_safe,obstacle_count,num_samples,solver_success_rate,failed_rate,collision_free_rate,safety_satisfied_rate,mean_solve_ms,median_solve_ms,mean_initial_min_distance,mean_final_min_distance,mean_trajectory_min_distance,min_trajectory_min_distance,mean_safety_violation_count,mean_collision_violation_count,mean_placement_error_norm,median_placement_error_norm,mean_path_length,mean_jerk_rms,mean_torque_rate_rms
0.03,4,5,0.2,0.0,0.6,0.4,77.9000932,80.587889,0.18109160559999998,0.0664487664,0.0298972022,-0.069191507,14.6,8.4,0.45231673299999997,0.3930176,2.9509494256,30399.8261453792,7939.159281686001
0.03,8,5,0.2,0.0,0.4,0.2,81.9819524,83.101439,0.170754851,0.0109661522,-0.031389914000000005,-0.102773141,29.0,14.0,0.5377510046,0.435757771,3.4626392508,37883.9469516158,11913.1005948626
0.03,16,5,0.4,0.0,0.0,0.0,82.1057022,89.967968,0.1593928846,-0.049086379400000005,-0.0733346472,-0.115126072,62.8,37.4,0.8601557432,0.648193067,3.635971229,26959.003275798797,10757.803694745
0.05,4,5,0.4,0.0,0.6,0.4,74.87841879999999,78.260845,0.18109160559999998,0.0697438022,0.032152151,-0.074981842,21.0,8.8,0.4433521114,0.393227306,2.9175758706,23808.192655926,7981.2887585144
0.05,8,5,0.4,0.0,0.4,0.0,87.0378646,81.252994,0.170754851,0.015312192999999998,-0.031009712000000002,-0.105034653,39.6,13.4,0.5343955134,0.435272879,3.4297953092,20889.429225892403,11949.961661796
0.05,16,5,0.2,0.0,0.0,0.0,85.3243348,91.471752,0.1593928846,-0.050358287999999994,-0.0745690834,-0.11774028,77.2,36.6,0.8521923601999999,0.641191015,3.6099968644000002,20601.325605295402,11875.155565138
0.08,4,5,0.0,0.0,0.6,0.4,78.5261024,78.794481,0.18109160559999998,0.0746034278,0.035253913399999996,-0.087331188,27.6,8.8,0.43270809760000006,0.39366209,2.9097929758,29228.907454328,7440.148111095
0.08,8,5,0.0,0.0,0.2,0.0,84.169146,83.747456,0.170754851,0.0210942568,-0.0303679592,-0.111202977,57.4,12.2,0.5307097302,0.43450355,3.4091017606,23821.7626811244,11515.1914267092
0.08,16,5,0.2,0.0,0.0,0.0,85.1856736,88.853065,0.1593928846,-0.05112102859999999,-0.0762998198,-0.115896114,113.8,37.2,0.8385711646,0.625269938,3.5645939851999997,23310.9538979238,11867.1118689842
0.1,4,5,0.2,0.0,0.6,0.4,78.093556,77.920098,0.18109160559999998,0.08001987819999999,0.0396375692,-0.09276148,31.4,8.8,0.4194898738,0.393152638,2.8960813100000005,40352.2274759376,6661.6043148816
0.1,8,5,0.0,0.0,0.2,0.0,85.8832714,84.891383,0.170754851,0.024761782399999998,-0.030468781,-0.12133238,73.0,12.0,0.5279859278,0.433686957,3.4050675814,31247.843557519198,10690.854333137799
0.1,16,5,0.2,0.0,0.0,0.0,89.0494996,94.100515,0.1593928846,-0.050157033000000004,-0.07370286379999999,-0.114068741,149.8,37.6,0.8263937678,0.620613144,3.5483228212,30120.6092358794,12849.071677169
0.15,4,5,0.2,0.0,0.8,0.0,79.8280604,80.013316,0.18109160559999998,0.0879645562,0.0444651334,-0.104581386,59.2,8.8,0.40098430939999996,0.375513619,2.8817996978,48828.967189920004,6572.640326694801
0.15,8,5,0.0,0.0,0.2,0.0,85.45940379999999,84.795295,0.170754851,0.0341743176,-0.028431051800000003,-0.117962168,138.6,12.6,0.5217110694,0.430598594,3.3589937169999997,26389.060167609998,10884.0763919772
0.15,16,5,0.2,0.0,0.0,0.0,94.8861986,92.621973,0.1593928846,-0.050324696,-0.0808497692,-0.115757513,247.4,38.2,0.7956221202,0.617683205,3.4906983398,39301.347228924205,11638.617476997399
