model,dof,seed,sample_id,d_safe,obstacle_count,success,failed,cost,stop,iter,solve_ms,initial_min_distance,final_min_distance,trajectory_min_distance,safety_violation_count,collision_violation_count,placement_error_norm,path_length,jerk_rms,torque_rate_rms,failure_message
ur10,6,2099586700,0,0.03,4,0,0,391.452866852,0.018267206,80,82.470208,-0.070158507,0.111843154,-0.080993858,40,25,0.239675088,2.470656115,62613.80560604,5876.089761019,""
ur10,6,2099586703,1,0.03,4,0,0,718.046329286,0.008972532,80,81.181151,0.044668864,-0.015946174,-0.037567338,103,70,0.413949033,3.000356541,63234.938511311,7206.649769797,""
ur10,6,2099586702,2,0.03,4,0,0,767.448884961,0.01736511,80,79.579508,0.232593805,0.04658428,-0.00188407,17,4,0.267407318,2.805127795,51464.410375916,3894.373556886,""
ur10,6,2099586737,3,0.03,4,1,0,450.292584464,0.000000546,78,77.824658,0.034071589,0.043450828,-0.054716934,42,31,0.665224475,3.166367577,15154.062921479,12407.358020059,""
ur10,6,2099586736,4,0.03,4,0,0,660.096107507,0.01021043,80,78.358052,0.124558241,0.122734167,0.099303391,0,0,0.35364555,2.618464719,2595.07916665,3689.938340137,""
ur10,6,2099586955,0,0.03,8,0,0,1317.253288933,0.980867241,80,85.078414,-0.023342951,-0.067254134,-0.093214842,145,93,0.434365179,3.333149498,78891.890090817,9728.537341433,""
ur10,6,2099586954,1,0.03,8,1,0,1436.530997489,0.000000177,79,82.87509,0.141857778,0.010615427,-0.069456042,40,18,0.417994368,3.008550335,11952.158625151,10204.365375899,""
ur10,6,2099586997,2,0.03,8,0,0,1854.214219439,0.000635137,80,82.396005,0.003204609,-0.005832485,-0.105640675,140,86,0.387319857,3.13101392,28935.2492456,12028.730264094,""
ur10,6,2099586996,3,0.03,8,0,0,1163.599766689,0.409457392,80,86.690361,-0.036658883,-0.056564164,-0.095868513,128,59,0.407005384,3.253174645,76508.947593618,11499.705420869,""
ur10,6,2099586999,4,0.03,8,0,0,1170.076289392,0.034411474,80,83.937348,0.036749044,-0.076169948,-0.076169948,82,48,0.924589625,3.347896575,3074.827102742,10990.951247475,""
