d_safe,obstacle_count,num_samples,solver_success_rate,failed_rate,collision_free_rate,safety_satisfied_rate,mean_solve_ms,median_solve_ms,mean_initial_min_distance,mean_final_min_distance,mean_trajectory_min_distance,min_trajectory_min_distance,mean_safety_violation_count,mean_collision_violation_count,mean_placement_error_norm,median_placement_error_norm,mean_path_length,mean_jerk_rms,mean_torque_rate_rms
0.03,4,5,0.2,0.0,0.2,0.2,79.88271540000001,79.579508,0.0731467984,0.061733251,-0.0151717618,-0.080993858,40.4,26.0,0.3879802928,0.35364555,2.8121945494,39012.4593162792,6614.881889579601
0.03,8,5,0.2,0.0,0.0,0.0,84.1954436,83.937348,0.024361919399999998,-0.0390410608,-0.08807000400000001,-0.105640675,107.0,60.8,0.5142548826,0.417994368,3.2147569945999996,39872.6145315856,10890.457929954
0.03,16,5,0.2,0.0,0.0,0.0,86.1074982,92.560517,-0.06105455159999999,-0.0699508386,-0.1153983918,-0.170986412,182.8,119.0,0.7053531684000001,0.571839967,3.2339270258,28108.8463509856,10020.4124346796
0.05,4,5,0.0,0.0,0.4,0.2,80.50666,81.523496,0.0731467984,0.0701793946,-0.0129957864,-0.081105017,54.0,25.0,0.3766119842,0.348196126,2.7897188888,48302.9089222214,5087.540321181999
0.05,8,5,0.0,0.0,0.0,0.0,83.0123904,83.3646,0.024361919399999998,-0.0374158382,-0.084354763,-0.106000705,130.6,57.8,0.5104611496,0.418105507,3.180959477,20855.357525818203,10874.097007709799
0.05,16,5,0.2,0.0,0.0,0.0,86.0864902,91.467803,-0.06105455159999999,-0.0693286442,-0.12742649420000002,-0.172386933,225.8,121.8,0.6968830014,0.575927979,3.22809993,30199.099845797202,9724.769983735601
0.08,4,5,0.0,0.0,0.4,0.2,79.60077220000001,79.21914,0.0731467984,0.0788328922,-0.0120670054,-0.082274808,73.2,23.0,0.3611616742,0.338610937,2.790614343,38276.263209432,6612.1936656115995
0.08,8,5,0.0,0.0,0.0,0.0,84.8251008,83.395055,0.024361919399999998,-0.0332445918,-0.0835577398,-0.107756438,168.4,60.0,0.5045308332,0.419283858,3.1566512203999997,25155.6561040572,10411.7746328202
0.08,16,5,0.2,0.0,0.0,0.0,85.6326326,93.92861,-0.06105455159999999,-0.06904918959999999,-0.11831688759999999,-0.171723417,297.2,119.4,0.6699027604000001,0.514539675,3.1729543162,25812.724761647,9898.3374191186
0.1,4,5,0.0,0.0,0.4,0.0,80.2264424,79.153979,0.0731467984,0.0836904638,-0.010981606199999999,-0.082578764,86.0,22.0,0.3548993136,0.334017628,2.7874922696,39671.6801067246,6512.402555121
0.1,8,5,0.2,0.0,0.0,0.0,87.0971894,88.168238,0.024361919399999998,-0.0261364366,-0.0823869304,-0.107613656,203.8,58.2,0.4988596588,0.417805085,3.1258430976,21879.0093319258,8566.105846316399
0.1,16,5,0.4,0.0,0.0,0.0,82.0014952,93.049986,-0.06105455159999999,-0.0690260848,-0.1230159976,-0.172107146,360.8,121.2,0.6566859678,0.496860113,3.1414284936000003,21164.8267590174,9466.1835395794
0.15,4,5,0.0,0.0,0.4,0.0,80.697455,81.339726,0.0731467984,0.0917042916,-0.007285876800000002,-0.082693737,146.6,22.0,0.3336484744,0.31732638,2.7807564592,56928.3625570968,6405.6178668656
0.15,8,5,0.4,0.0,0.0,0.0,80.59604320000001,83.006472,0.024361919399999998,-0.028922707800000003,-0.0871192738,-0.123969154,282.4,62.2,0.48002951539999994,0.409404369,3.0630383784,29075.3138520732,8870.5308422174
0.15,16,5,0.2,0.0,0.0,0.0,88.8600464,92.545392,-0.06105455159999999,-0.0694549406,-0.1212121388,-0.174005517,584.4,121.0,0.6080613072000001,0.493801578,3.1200580408,31616.255015620798,8443.191077098
