model,dof,seed,sample_id,d_safe,obstacle_count,success,failed,cost,stop,iter,solve_ms,initial_min_distance,final_min_distance,trajectory_min_distance,safety_violation_count,collision_violation_count,placement_error_norm,path_length,jerk_rms,torque_rate_rms,failure_message
ur10,6,2099633659,0,0.03,2,0,0,1079.153346825,0.049292899,100,101.761151,0.284455056,0.223721099,0.223721099,0,0,0.706498362,2.608438435,46439.126818906,9589.720123665,""
ur10,6,2099633658,1,0.03,2,0,0,648.615788714,0.047485033,100,92.705544,0.335561448,0.098036127,0.096605941,0,0,0.416840605,2.441096688,68999.272475066,5459.976704769,""
ur10,6,2099633657,2,0.03,2,0,0,1375.760081284,0.309934306,100,94.276909,0.378515484,0.224153096,0.170287839,0,0,0.62488513,3.23571189,54804.667904872,8324.296088615,""
ur10,6,2099633656,3,0.03,2,0,0,575.947354186,2.081239099,100,95.07353,0.412322947,-0.018570165,-0.018570165,15,11,0.378414286,2.493225846,25330.35611423,6839.326744842,""
ur10,6,2099633655,4,0.03,2,0,0,900.031885931,0.555884053,100,95.133078,0.203677782,0.081374454,0.048692909,0,0,0.397762709,2.979676886,78108.896083597,7754.530156234,""
ur10,6,2099633654,5,0.03,2,0,0,481.009078103,1.235754912,100,98.998873,0.26208082,-0.060469219,-0.070200816,21,19,0.769165463,2.938424161,23172.711843772,8620.199284258,""
ur10,6,2099633653,6,0.03,2,0,0,1865.762852229,0.002346824,100,100.10896,0.24755153,0.1631715,0.1631715,0,0,0.801086254,2.981087235,9584.723064289,7121.582436709,""
ur10,6,2099633652,7,0.03,2,0,0,1941.212455249,0.100934838,100,97.666886,0.428476604,0.083036715,0.083036715,0,0,0.495889973,2.940310719,8655.267295727,3211.142169951,""
ur10,6,2099633651,8,0.03,2,0,0,1265.170575556,0.009568092,100,108.888397,0.206176558,0.070999074,0.069714062,0,0,0.382778691,2.847879141,28083.439635307,8731.224711452,""
ur10,6,2099633650,9,0.03,2,0,0,488.425878438,0.017185011,100,97.46378,0.330551028,0.061592154,0.056718615,0,0,0.182666061,2.442678041,61223.460257261,7952.952458457,""
ur10,6,2099633649,10,0.03,2,0,0,1244.600847139,0.000002946,100,87.072247,0.230051039,0.208586647,0.161787154,0,0,0.424558549,2.924569403,23155.803196233,8045.122385864,""
ur10,6,2099633648,11,0.03,2,1,0,982.636604052,0.000000287,74,71.731175,0.345654545,-0.072398443,-0.0789503,59,41,0.547486431,3.116673573,14147.414385491,9840.617751598,""
ur10,6,2099633615,12,0.03,2,0,0,460.15021399,0.40429705,100,92.624901,0.301100401,-0.045280522,-0.085575137,25,18,0.549126452,2.613888488,58335.027190861,7705.900734582,""
ur10,6,2099633614,13,0.03,2,0,0,957.339111408,0.697676933,100,96.40992,0.252208918,0.151391964,0.151391964,0,0,0.71296461,3.182400355,15205.164199875,11433.14170471,""
ur10,6,2099633613,14,0.03,2,0,0,743.408869164,0.456267673,100,95.473714,0.469376024,0.03469664,0.03469664,0,0,0.934932558,3.032572375,10918.967019845,6803.918231296,""
ur10,6,2099633612,15,0.03,2,0,0,745.338696744,0.165239826,100,97.564451,0.251219276,0.054600214,0.032816569,0,0,0.737801381,3.214770571,15416.562984,10598.418873658,""
ur10,6,2099633611,16,0.03,2,0,0,786.152285613,0.036951973,100,97.015729,0.274643704,0.041737722,0.041737722,0,0,0.814882213,3.481524379,21584.460418214,13839.093926422,""
ur10,6,2099633610,17,0.03,2,0,0,1009.355616729,0.036358914,100,94.924192,0.245745987,0.063835492,0.063835492,0,0,0.432891255,3.313572594,46894.934074765,10934.399127487,""
ur10,6,2099633609,18,0.03,2,0,0,645.498203179,0.05862226,100,99.794267,0.224527625,0.10182624,0.10182624,0,0,0.520588941,2.880387771,83282.273676869,6670.900748704,""
ur10,6,2099633608,19,0.03,2,0,0,916.412878563,0.100936666,100,97.955267,0.465799772,0.161160381,0.145883547,0,0,0.371138804,2.531652959,32221.996750831,7881.772894913,""
ur10,6,2099586700,0,0.03,4,0,0,2899.262690002,0.057277164,100,98.848992,0.215963427,0.173912121,0.136218079,0,0,0.853486979,3.043729218,42283.062299318,12581.534726072,""
ur10,6,2099586703,1,0.03,4,0,0,3265.753353944,0.085922743,100,98.584432,0.231402081,0.102931039,0.038557632,0,0,0.656843178,3.578445643,58722.877569852,9755.088741735,""
ur10,6,2099586702,2,0.03,4,0,0,3007.879990711,0.000006787,100,99.09853,0.266465276,0.101474025,0.03941252,0,0,0.35751587,3.204100423,18183.31640811,7208.841730067,""
ur10,6,2099586737,3,0.03,4,1,0,1567.820327132,0.000000034,79,76.129916,0.215721883,0.082939462,0.080723947,0,0,1.019981832,3.150238402,16592.650087164,13990.559185181,""
ur10,6,2099586736,4,0.03,4,0,0,3424.889305282,0.008752503,100,94.330274,0.274635803,0.150867608,0.074951007,0,0,0.871279798,3.355125179,28822.601648816,7346.287577884,""
