model,dof,seed,sample_id,d_safe,obstacle_count,success,failed,cost,stop,iter,solve_ms,initial_min_distance,final_min_distance,trajectory_min_distance,safety_violation_count,collision_violation_count,placement_error_norm,path_length,jerk_rms,torque_rate_rms,failure_message
ur10,6,2099586700,0,0.03,4,0,0,86.238589244,0.01320469,40,36.144586,-0.03602888,0.083229794,-0.079116046,48,35,0.163225802,1.936343844,40389.439953482,1458.76313634,""
ur10,6,2099586703,1,0.03,4,0,0,192.248089497,16.014376952,40,35.575795,0.163053185,0.002260868,-0.0077829,22,12,0.371229157,2.329548409,131226.823315899,5983.515175727,""
ur10,6,2099586702,2,0.03,4,0,0,161.724165111,0.932113825,40,36.146946,0.207887386,-0.024364533,-0.024364533,7,4,0.241130822,2.101497193,67432.843442716,3988.015963905,""
ur10,6,2099586955,0,0.03,8,0,0,335.762646782,0.770984618,40,34.695715,-0.036278378,-0.011560273,-0.073509215,71,53,0.391772651,2.320834685,29546.889019707,5827.875699978,""
ur10,6,2099586954,1,0.03,8,0,0,329.491777255,2.635551673,40,38.675389,0.140856094,0.048999533,-0.046207638,38,17,0.450072535,2.235753362,59602.791375519,2964.165442028,""
ur10,6,2099586997,2,0.03,8,0,0,430.112477094,1.375047041,40,35.396694,0.001101179,-0.014577105,-0.0985961,138,88,0.295817159,2.285409633,32868.346703589,1882.439520124,""
ur10,6,2099586700,0,0.05,4,0,0,76.52409832,0.350666175,40,35.405689,-0.03602888,0.106433596,-0.079735979,52,31,0.162973121,1.989498004,75729.402461671,2016.371550784,""
ur10,6,2099586703,1,0.05,4,0,0,163.913480177,1.176741802,40,33.724504,0.163053185,-0.007074523,-0.013463753,49,14,0.302363012,2.25159222,97776.751293113,4624.708617847,""
ur10,6,2099586702,2,0.05,4,0,0,147.20938103,0.000306226,40,32.395947,0.207887386,-0.002200133,-0.002200133,8,1,0.222776006,1.973580886,50127.457649892,2946.469162752,""
ur10,6,2099586955,0,0.05,8,0,0,315.035587977,2.733793392,40,35.90536,-0.036278378,0.0063248,-0.078947337,75,55,0.385229163,2.341050659,49330.283354959,3626.457498122,""
ur10,6,2099586954,1,0.05,8,0,0,301.057955475,0.009216073,40,34.060438,0.140856094,0.046881012,-0.047056913,66,19,0.452863647,2.232526539,36467.118404715,4185.148197747,""
