robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,pinocchio,0.000062187,0.000019188,0.308568338,0,4.195159,0.018098,2.435565,0.005542,0.212151,0.173034,7.255808,0.056706,0,0,0,0,0,0,0,0,0,0,0,0,0,4.195159,0,0,0,0,0,7.334381,0.524394875,6,1,0,0.003046861,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.8270770847299376e-20 -1.5707963267948966 -1.2851865550700398e-20 -1.5707963267948966 -1.0337459735967673e-21 7.4232364837397422e-23,7.1954201661831475e-18 1.3920204995567181e-17 -2.5187117339713606e-18 1.2515635207753276e-18 -1.5091172183984651e-19 1.3242097132450148e-20,9.3656473934800164e-07 -1.570791759438247 8.4058814162906591e-06 -1.5707865126634672 9.7286560585930977e-06 9.2105701678490441e-06,0.015070112438994575 0.073453438567539109 0.13517824755985275 0.15782094825771012 0.15644370345686334 0.1481102993128478,0.0001314320707755112 -1.5701959929598335 0.0010972319397532734 -1.5695193365590183 0.0012630497400005971 0.00119349705265983,0.017553673863711171 0.075487078123389603 0.13702597800789876 0.15897018251672768 0.15688351304246731 0.14795922056329608,0 0 0 0 0 0,-3.0952486260503898e-15 0 8.1107544062789817e-16 0 3.52940457705334e-17 -2.636153724377301e-18
ur,pinocchio,0.007994075,0.002475239,0.310720047,0,4.747596,0.009897,0.59854,0.004171,0.120044,0.0622,5.811469,0.018494,0,0,0,0,0,0,0,0,0,0,0,0,0,4.747596,0,0,0,0,0,5.841164,0.5934495,6,1,0,0.00447409,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,9.6986690456400379e-20 -1.5707963267948966 -3.3669760802512227e-20 -1.5707963267948966 -2.1382583703429445e-21 1.8034741510668074e-22,7.3404505145227034e-18 2.9922881863928312e-17 -2.5770862154246966e-18 2.6440274012663906e-18 -1.3712709514629077e-19 1.3256984821850074e-20,0.00013023717497510226 -1.5702011339469966 0.001087899360110762 -1.5695301640053727 0.0012523642150416498 0.0011834192086065077,0.017532531214811922 0.075469791743239964 0.13701030449248502 0.15896047131964064 0.15687984587814111 0.14796056003745642,0.00028179369378382918 -1.5695839840204218 0.0022007847255393264 -1.5682430361845612 0.0025198159527621013 0.0023765245081539088,0.020036615498379061 0.077514030636629302 0.13885990698493958 0.16010200130645752 0.15730498068367157 0.1477955452024069,0 0 0 0 0 0,-3.3729727587943763e-15 0 9.3041783501277228e-16 0 2.7897426924440596e-17 -2.7049522432489377e-18
ur,pinocchio,0.015990057,0.004896437,0.293409875,0.017041409,4.486004,0.005825,0.871275,0.006504,0.186941,0.074187,5.949594,0.033617,0,0,0,0,0,0,0,0,0,0,0,0,0,4.486004,0,0,0,0,0,5.991163,0.5607505,5,1,0,0.008336359,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.1402972452625501e-06 -1.5708009005830761 1.7986431370430577e-05 -1.5707517405646929 4.4278252358172877e-05 4.1304654961759784e-05,0.001803728379671538 -0.0012314015485762634 0.0053962955084786626 0.011855055337576236 0.011982944893498944 0.011195264418415281,0.00028034925997164718 -1.569589574449441 0.0021907693545442572 -1.5682545839767044 0.0025084696785870855 0.0023658639602219724,0.020014231910541948 0.07749578541232359 0.13884343387905257 0.16009187460473664 0.15730126265582575 0.14779707716800317,0.00045201584706101091 -1.5689557866721491 0.003318953289727295 -1.5669577512090769 0.0037798804411786182 0.0035581922280425084,0.022518780250646589 0.0795341572253533 0.14067990032312253 0.16121631852697865 0.15770807721125701 0.14761928941921618,0 0 0 0 0 0,0.010157426971309391 3.1859733341607352 2.5562112860414734 0.74307848977332469 0.45423849774134517 0.45775324057687961
ur,pinocchio,0.023994456,0.007137387,0.275378134,0.020946016,4.20566,0.011075,0.72799,0.004842,0.15714,0.071048,5.393609,0.020493,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20566,0,0,0,0,0,5.426638,0.5257075,6,1,0,0.01502403,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.3261950839531709e-05 -1.5708114831839266 0.00010203194750936283 -1.570590269262323 0.00020722734483530963 0.00019355907539164691,0.0041278246070079417 -0.00096919857088395523 0.013261316064742672 0.02324577407045661 0.023587315898722573 0.022061032983308769,0.00045049133911159408 -1.5689611730219315 0.0033094254192242273 -1.5669686702345551 0.0037691988283545977 0.003548193773623393,0.022497769011560406 0.079517083113018514 0.1406645504416851 0.16120695799701149 0.15770474163320658 0.14762083442459289,0.00064209168725686938 -1.568311456076585 0.0044516256135842952 -1.5656636219853755 0.0050430961243289035 0.004738399636067198,0.025000011052509999 0.081547319414602387 0.14248582477022562 0.16231304932187304 0.15809277485556436 0.14743047011181454,0 0 0 0 0 0,-0.63776945316809819 6.2077055554045728 3.141902392680838 0.18946581309501198 -0.013756329449353011 0.032430510905636645
ur,pinocchio,0.03199312,0.009241159,0.258953447,0.026688764,4.347463,0.008507,0.633808,0.003617,0.115267,0.051296,5.33392,0.030912,0,0,0,0,0,0,0,0,0,0,0,0,0,4.347463,0,0,0,0,0,5.375274,0.543432875,9,1,0,0.020243696,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,7.6528294204067016e-05 -1.570811468083269 0.00024577958582538718 -1.5703433305302799 0.00045559843570143509 0.00042557080859813263,0.0060442665772948634 0.00086001699020218838 0.020710272489970993 0.033636240586611278 0.033924791507167124 0.031703816747927223,0.00064036575109538798 -1.5683170877061354 0.0044417850814461443 -1.5656748321363878 0.0050321772426123873 0.0047282169976329202,0.024978594099408571 0.08152996922655513 0.14247029413050641 0.16230365633174162 0.15808953242899412 0.14743215397479242,0.00037096209348030229 -1.5709220383492135 0.0010250411127150241 -1.568970394375174 0.0018337829379979453 0.0017021451925665668,0.036804224909529414 -0.013821283243072368 0.097407690861204627 0.17161701938822041 0.17227306278706378 0.15957179799605431,-1.2312982912298358 25.308831956886234 15.711436484590307 1.5158883722247289 -0.2196280320815566 0.013934256654151971,-0.94896931058466416 8.3659475800022847 4.0033146111613895 0.19019596789530624 -0.059670614736901051 0.0019702058809176748
ur,pinocchio,0.039948772,0.011162637,0.243214447,0.030087651,4.017637,0.006059,0.381923,0.002462,0.073832,0.034814,4.668693,0.021041,0,0,0,0,0,0,0,0,0,0,0,0,0,4.017637,0,0,0,0,0,4.697073,0.502204625,11,1,0,0.020336577,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0001398725034989535 -1.5707926240781995 0.00046333375516722321 -1.5699928343669707 0.00080668111763611858 0.00075306545623583495,0.0078923254395136672 0.0040754149024920892 0.028708713399737532 0.043186579669434788 0.043307681763489342 0.040442419155890627,0.00084889844668686746 -1.5676605230980634 0.0055823268126831155 -1.5643793197958542 0.0062913443590113076 0.0059003481381813784,0.027444998586369219 0.08352498975493565 0.14425224680778437 0.16337693623383168 0.15845398352216727 0.14723204720231259,0.00045678729385966544 -1.5708664901066454 0.0012837937100088652 -1.5685894351448708 0.0022081162671003327 0.0020470825861170377,0.039614348795088988 -0.0092332535557178089 0.10255749435520527 0.17542490276247577 0.17517939368302682 0.16175214123515036,-1.2126613437883091 25.170941402998782 15.480181182243438 1.4815600133997238 -0.21558569378996872 0.013348744818752381,-1.3071653367801046 9.9289248877030332 4.3136575847870677 0.075482674539671279 -0.17987631219910227 -0.10399239661719761
ur,pinocchio,0.047992329,0.013575543,0.299289079,0.022683387,4.042124,0.006113,0.520809,0.003151,0.086172,0.035613,4.857715,0.020374,0,0,0,0,0,0,0,0,0,0,0,0,0,4.042124,0,0,0,0,0,4.885829,0.5052655,11,1,0,0.022542201,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00015469250425113147 -1.5707435991562209 0.00055613465242844852 -1.5699181043258554 0.00088117872467968316 0.00082340194964856559,0.0013542361192649759 0.0086216315872388039 0.012325125529649854 0.010349684131853349 0.0097445256195330815 0.0091840253740238069,0.0010796786502743087 -1.5669805972141981 0.0067498255951874489 -1.5630608836297419 0.0075672978526038987 0.0070837616514197186,0.029937402252942558 0.085534776313467301 0.14603948039696099 0.16444422791570448 0.15880391207535252 0.1470171339871196,0.00083394457679958193 -1.5708615065637352 0.0022385707695607954 -1.5671672182971241 0.0036100544954305188 0.0033390234447897059,0.047144660367489571 0.00062294286376381874 0.11934713244399127 0.17777710596833954 0.17524227854127325 0.16149260733408355,-2.8922769524117529 24.572378089083291 11.197805131750307 0.8499289440965675 -0.16756094018229961 0.0012213665037036016,0.020229751984370825 -4.5474090807229004 -3.4025080839265427 -0.56368229043437168 -0.25404072343531414 -0.28342473819669856
ur,pinocchio,0.055990613,0.015962333,0.298864396,0.011852508,4.004013,0.005877,0.428876,0.002825,0.0701,0.028981,4.678649,0.016943,0,0,0,0,0,0,0,0,0,0,0,0,0,4.004013,0,0,0,0,0,4.702518,0.500501625,11,1,0,0.026555789,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00016649417451845302 -1.570684665075899 0.00064583162016864694 -1.5698204791833474 0.00097388928598915957 0.00090993656764534671,0.0017468072868714137 0.0065201866765966596 0.011089935100362406 0.012881300849845586 0.012369276359405056 0.011517504870585704,0.0013290332322155884 -1.5662884982060126 0.0079249497116988584 -1.5617414273442245 0.0088387864388504902 0.0082587499937844984,0.032414370847467726 0.087525857276905775 0.14780215817716993 0.1654876369451557 0.15913335319238822 0.14679089159464043,0.00052748814044125888 -1.570784514750861 0.0014756072006043054 -1.5683501750414039 0.0024353885530817559 0.0022500693593572223,0.045124245740350732 -0.012481209370244805 0.10372194755445731 0.18378801774294379 0.18268740838657455 0.16751659896398446,-0.79500248798779127 27.395034067289807 17.750732024373736 1.7400032885289012 -0.24238797992104053 0.017022796249355973,0.57395786114456815 -3.9113274815053956 -1.6501902428949773 -0.17822093508584658 0.019114731155748466 -0.0071368947098990887
ur,pinocchio,0.063996501,0.018252023,0.281638332,0.007025519,4.011415,0.006141,0.443391,0.00243,0.074168,0.034202,4.733371,0.028654,0,0,0,0,0,0,0,0,0,0,0,0,0,4.011415,0,0,0,0,0,4.769806,0.501426875,11,1,0,0.02747443,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00019960122279733474 -1.5706528370752759 0.00076352531578001816 -1.5696451044346162 0.0011439628843645992 0.0010671062121104689,0.0054751463909834472 0.0026245784847791949 0.016941414808972398 0.025338152432827887 0.024857846689439522 0.022957022259273891,0.0015984584901166936 -1.56557982327108 0.0091152511698893521 -1.560412430958902 0.010114048483246209 0.0094329932296299927,0.034892132288994182 0.089511310783982626 0.14955190572677354 0.16651410746605519 0.15944459332509295 0.1465519326272236,0.00096449830675846937 -1.570802786047506 0.0024676662462749096 -1.5668589338978867 0.0038965611245413874 0.0035878033583737227,0.0546262707896513 -0.0022839120806241002 0.12400738070882551 0.18640514293965529 0.18264657143245394 0.16721674987706253,-3.0957286811880467 26.926520322070509 12.389568732375254 0.94144521474493148 -0.18508870658651438 0.0013939797189567731,0.60019008421647735 -2.3184214265038463 -0.46397244959960737 -0.086441005447341013 0.050205346676440499 0.037766034746726795
ur,pinocchio,0.071990738,0.020626785,0.305205204,0.011229484,4.005633,0.006779,0.377334,0.002454,0.06971,0.034936,4.634958,0.018384,0,0,0,0,0,0,0,0,0,0,0,0,0,4.005633,0,0,0,0,0,4.661182,0.500704125,11,1,0,0.032415399,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00022899905231872839 -1.5706253087210902 0.00086599593745254001 -1.569516245225594 0.0012705713595742899 0.001184171516141615,0.0025218916854638507 0.0039386506875314494 0.010058659392347846 0.012220262128986756 0.011819146697146978 0.010916558989032772,0.0018872782932524655 -1.5648563495142758 0.010317739357031258 -1.5590772406342392 0.011389866968224555 0.010603568839081479,0.03736457178389533 0.091486231090554399 0.15128439732934848 0.16752110579284493 0.15973687719964269 0.14630086168842671,0.0014186533975573807 -1.570717073743559 0.0035283976700615817 -1.5653558846148719 0.0053586528208288825 0.0049229911314841576,0.056769386349863914 0.010714037993389309 0.13259142797333401 0.18788116037684946 0.18276146203593693 0.16689847163880439,-3.3166408849196047 25.217859815401344 10.911661218269071 0.81805696754301516 -0.16356172441510894 0.00096640307963596905,0.063343151293592026 -2.4510533943130213 -1.6844226698140492 -0.29434831497110281 -0.11027969477070343 -0.1251142239142764
