robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
stanford_tidybot,pinocchio,0.000043471,0.001118352,0.294329782,0.22900628,10.290908,0.011068,1.424532,0.002081,0.151226,0.182323,12.171972,0.04876,0,0,0,0,0,0,0,0,0,0,0,0,0,10.290908,0,0,0,0,0,12.23403,0.5145454,25,1,0,0.006930502,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-1.2532141275685372e-06 1.7253729854876522e-08 -2.8415766930032611e-07 3.2836935857255743e-06 0.26267731212099682 3.1415976460553434 -2.2695201779940404 -3.3012142413960212e-07 0.95956798195408577 1.5707965065580096,-6.3675468389372484e-05 5.5535194629401802e-07 -1.6252966385210376e-05 0.00014998525937583114 0.093000949253874601 0.00073474620319841782 -0.059666342596702809 2.8848447604614186e-05 -0.040413286038323074 2.1693631568932847e-05,3.1000999830215677e-07 1.7958170363538895e-06 4.320478047616391e-06 5.4882657957744483e-06 0.26180409813986921 3.1415990885396718 -2.2689244856025499 4.1002045901755544e-06 0.95993309168281693 1.5707975840796307,0.0071335132413584169 0.041312728905530803 0.099390015953675706 0.12625283700182258 0.10830584515910358 0.1481108696658347 0.081534059882498608 0.094318802223493051 0.046044873860103253 0.028846436457858875,0.00016223102672653102 0.00084677114549898738 0.0020143253891247359 0.0025455064790153728 0.26397507901908041 3.1445586390710143 -2.2673002905170527 0.0018751737166199797 0.96083996429963658 1.5713541456618572,0.0090584780839411527 0.043183108945066537 0.10160586964807511 0.12774264795316598 0.10878646503794898 0.1478384548206752 0.080882185281551819 0.092784811169508097 0.044640791157076011 0.026809431559955868,0 0 0 0 0 0 0 0 0 0,3.9020703331372224 -0.036976965372228658 0.02067720180307582 -0.01842915990130628 -8.9312449031961023 -0.066731945200444898 5.8177782354196097 -0.00073582050067843153 1.8934789630900468 -0.0010008079218550847
stanford_tidybot,pinocchio,0.020002936,0.00618842,0.208639082,0.408324014,10.017343,0.007358,0.400308,0.002258,0.078571,0.033988,10.62862,0.026532,0,0,0,0,0,0,0,0,0,0,0,0,0,10.017343,0,0,0,0,0,10.663479,0.50086715,26,1,0,0.006833057,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,7.0812201773823506e-06 4.8421808035266481e-05 0.00025005181709794404 0.00022418414633045903 0.26494122512238899 3.1418352658508386 -2.2708158684577802 9.1636516903164912e-05 0.95858884169119174 1.570818319154242,0.0025723629874167295 0.01397670339567254 0.073544695350449787 0.060912462057799308 0.12211125900817781 0.063308709074538991 -0.042647106380225813 0.017985188458116658 -0.04891940369410374 0.0055972019448860084,0.0001618639203747431 0.00084502079479798061 0.0020102068856512043 0.0025403284911969292 0.26397066937875124 3.1445526464273534 -2.2673035691036114 0.0018714126208284473 0.96083815472729595 1.5713530588578406,0.0090545773879425143 0.043179328497301439 0.1016014066881656 0.12773966698028982 0.10878552601585119 0.14783904168585746 0.080883526245740037 0.092787942807229934 0.044643646513240307 0.026813561734090566,0.00036264358934972468 0.0017290511873439792 0.0040683695441621698 0.0051149396847338519 0.26615532533089697 3.1475123978408215 -2.2656893282351418 0.0037153443212001509 0.96171866059346522 1.5718699514510761,0.010982611327877976 0.045043140918105726 0.10379386554222073 0.12919428427951546 0.10923237359024593 0.14753170640475874 0.080210804212508216 0.091228570722188193 0.043227298164876977 0.024770943016854952,0 0 0 0 0 0 0 0 0 0,68.357858579207758 315.11722629947462 43.880452110674028 -0.010002786275528308 -13.513331079905583 0.93291809493712208 12.462683434329847 -0.46320140718887015 3.6749161297618684 0.018773556105657008
stanford_tidybot,pinocchio,0.039998521,0.009964595,0.133616744,0.367159367,10.43827,0.007962,0.380225,0.002235,0.06702,0.035668,11.099131,0.040735,0,0,0,0,0,0,0,0,0,0,0,0,0,10.43827,0,0,0,0,0,11.149809,0.5219135,20,1,0,0.014859958,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.6162825852720351e-05 0.00034683326662214006 0.0016325004502740319 0.0012207474286909429 0.26698696590533538 3.1429665128230067 -2.2710694745792908 0.00044164521901909572 0.95791092544241829 1.5709285370856263,0.0054872481608145233 0.026394008232395801 0.11596996469730549 0.090543630029479502 0.11157248117726641 0.09895949762116929 0.0077708524042030304 0.03422438978655909 -0.025648477026261503 0.0097130349481201819,0.00036215001813677062 0.0017270265918477572 0.0040637041197172773 0.0051091324740134472 0.26615041535735123 3.1475057662742594 -2.2656929337451941 0.0037112435177813889 0.96171671745478193 1.5718688378941896,0.010978288023932178 0.0450389723641971 0.10378897959046272 0.12919106476060338 0.1092314103950132 0.14753243425869322 0.080212334901372528 0.091232093053015259 0.043230485287533579 0.024775525798730678,0.00060152767599477982 0.0026484254275340336 0.0061658913158834823 0.0077130212975051217 0.2683441419837384 3.1504596789692991 -2.2640919873938832 0.0055241705982425173 0.96256899576029331 1.5723449769256359,0.01290557399872738 0.046892469747404686 0.10595355737041011 0.13060743795739752 0.10964348554728134 0.14719070448348109 0.079520066452994656 0.089650438315242081 0.041804735335837374 0.022731485933709366,0 0 0 0 0 0 0 0 0 0,72.264889114478024 285.91137268857256 34.761193906898797 0.061019216672582033 -12.023814533133418 0.93192088764590153 10.944939388597049 -0.51534727869395791 3.3044343001878929 0.014924402932592784
stanford_tidybot,pinocchio,0.060030156,0.012538313,0.090694777,0.347792473,10.036424,0.018541,0.373029,0.002197,0.066943,0.039301,10.645021,0.036954,0,0,0,0,0,0,0,0,0,0,0,0,0,10.036424,0,0,0,0,0,10.703216,0.5018212,27,1,0,0.020336867,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00018043710747240314 0.00087075854425407813 0.0035703874004524611 0.0027207871982648066 0.269153237833403 3.1447164558656726 -2.2706058311733264 0.0011311957428147652 0.95752703734892108 1.5711195487266569,0.0080286403774351509 0.0347737199870264 0.12612798382575527 0.10929958977868619 0.10736527089016748 0.12050255298135942 0.035948454547410476 0.047515449085659522 -0.010149146280719423 0.012576560446016275,0.00060135584679690769 0.0026478010624717682 0.006164480553775999 0.0077112822656464517 0.26834268208247331 3.1504577191234819 -2.2640930462066722 0.0055229768956137418 0.96256843912391765 1.5723446742468601,0.012904294250855331 0.046891242195596955 0.10595212906909089 0.13060651001873652 0.1096432234423711 0.14719094288140444 0.079520532716976469 0.089651496159434241 0.04180568534840514 0.022732843910279483,0.00062604531020128045 0.0026242856956066153 0.0071602769409892511 0.0079412487530647197 0.27096411158929784 3.1506320288168599 -2.2656352615944586 0.0052127834130026342 0.96097911731217378 1.57219430003307,0.012233439283425851 0.04369378556427686 0.11513840898396992 0.13655919580894027 0.11086368879067773 0.15210285566597759 0.085504102188093595 0.093854206835891171 0.046196858719528527 0.022591874497867193,3.9556760031484486 4.9736124588392787 -0.72313986351146853 0.49014574599021998 -6.5884016166961796 0.37484650605662179 4.3916288132693504 -0.11153705682246409 1.4441030828252561 0.0029937964551758839,79.195834430825471 270.42267667064652 32.797563618125821 0.46984690075760582 -11.524534024949389 1.2640740289780297 10.335118001285991 -0.65218625920170137 3.1301322534478118 0.013963136292659328
stanford_tidybot,pinocchio,0.079998324,0.014621609,0.130783842,0.293465553,10.116154,0.005815,0.388356,0.002033,0.067903,0.032283,10.71857,0.032595,0,0,0,0,0,0,0,0,0,0,0,0,0,10.116154,0,0,0,0,0,10.758328,0.5058077,26,1,0,0.031578635,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0003264576798418581 0.0014753736015957176 0.0055626171186736887 0.0044097456254266997 0.27133794521983756 3.1466886599297994 -2.2698237784650712 0.0019083918796171753 0.95737205835583461 1.5713359063163954,0.006410360549102258 0.024692825711008618 0.092012120767776095 0.07450270405552599 0.11399752936943312 0.085181793855390875 0.021806592941538163 0.032405753561766053 -0.01053797457659586 0.0088201708793929894,0.00087818718846708764 0.0036024763138528021 0.0083014406203786011 0.010333020134195936 0.27053586521272244 3.1533931699311921 -2.2625122116793723 0.0072972430050680112 0.96338896900838045 1.5727782735979423,0.014822691801694904 0.048726605235455342 0.1080797264794337 0.13197875007798976 0.11001891309303086 0.14681641983559957 0.078811749151297253 0.088054410258396928 0.040376685234716429 0.020696180160739312,0.00080091795350698653 0.0031727898726812013 0.0090417095888101224 0.009833768614623848 0.27325327477687089 3.1527584867974157 -2.2649257173091861 0.0062194192677637837 0.96098038448414069 1.5724582447853372,0.012848340461896996 0.042128785158097773 0.11443554259823535 0.13901892437197111 0.10984813832092272 0.15553721284777711 0.087696397004157753 0.091332125889761709 0.044881399918273834 0.023544697210210241,5.1997508117685793 6.9685658477414307 0.058004021668893985 0.44951519492798936 -8.1280463649859094 0.33605831864143026 5.0921233871941407 -0.11487763985893261 1.6991062577705951 0.0025320297138954223,-19.159995103922938 -91.963784323843356 -6.0957693215228232 -0.45686472486215735 -11.445156581528067 -0.66124457963906025 5.7921092506176137 0.030129891940867903 2.1758909570326637 -0.012216000836929197
stanford_tidybot,pinocchio,0.100039343,0.01781355,0.119665131,0.305363936,10.238064,0.017693,0.457986,0.002838,0.087938,0.044877,10.964874,0.042205,0,0,0,0,0,0,0,0,0,0,0,0,0,10.238064,0,0,0,0,0,11.026936,0.5119032,26,1,0,0.040723696,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00043091558082991577 0.0018690569015151583 0.0068528224639811935 0.005579293517309172 0.27337949840195097 3.148025294833491 -2.269651407279448 0.0025372897808651272 0.95706636229632047 1.571488567629963,0.0072015937234790918 0.025956861604323023 0.10420546794243415 0.094240913177464275 0.11692832068621563 0.10123623618297091 0.010311416415104208 0.038444490754019983 -0.015898195702088353 0.0099727481308295243,0.0011945273154959813 0.0045973703593797594 0.010488622090252595 0.01299148280355036 0.27274424236895173 3.1563314688031872 -2.2609400316938366 0.0090457037223608244 0.96418371693603844 1.5731725633472713,0.016746236371979726 0.050557230803582112 0.11018583911047504 0.13331683204898334 0.11036094890844338 0.14640637541647336 0.078081288742134505 0.08643028350929953 0.038934067989549598 0.018652146586955271,0.00085441813935952676 0.0032792123750528088 0.010306145293073134 0.010612341873517877 0.27553676198341326 3.153585240227013 -2.2654733015378001 0.0062894024511348607 0.96000155007515375 1.5724083553048147,0.012104789788822134 0.038084429258041654 0.11813776180337363 0.14541141703257476 0.11104693645615267 0.15962538778201413 0.090692630540588196 0.095398171956213362 0.048772988173337715 0.02155628589659675,7.3302979603817668 10.338590080379047 0.3495426846577549 0.64756419428842249 -10.844226747597284 0.49702307774500037 7.0433035808808668 -0.16131040170665398 2.3286492069682376 0.0038908680665784702,53.148331478771638 142.47438417829699 31.534634389513712 0.26753573572060318 -11.034838653305542 0.76438571870130545 8.8431138717041904 -0.45360570906199227 2.7482754229678221 0.0069156766209061971
stanford_tidybot,pinocchio,0.120032265,0.02058756,0.140538445,0.293644715,10.918483,0.026699,0.951231,0.004411,0.195591,0.073302,12.299635,0.040836,0,0,0,0,0,0,0,0,0,0,0,0,0,10.918483,0,0,0,0,0,12.369698,0.54592415,6,0,0,0.049967062,0.002797294,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00056038190328710612 0.0023206516142976839 0.0085166014312200236 0.007058776509019502 0.27573679643299037 3.1496975343433156 -2.2693962427303034 0.0032123241562596388 0.95672204667668403 1.5716647313342125,0.006092839065255793 0.020174323499823385 0.090447521788452306 0.077108460942221513 0.11837334198330479 0.084224602633885412 0.0075519846652417231 0.03072078660055115 -0.017557262670778104 0.007656989692966713,0.0015484980603282471 0.005626315267810481 0.012712315627142637 0.015669891916711934 0.27495379936071218 3.1592541875257325 -2.2593864006673234 0.010757327400724066 0.96494766895424 1.5735250945586867,0.018662977246342527 0.052371700125289793 0.1122572716948073 0.13461232297487574 0.11066713882458001 0.14596331729257805 0.077333684079778364 0.084789247402084406 0.037486869566257505 0.016613593640752614,0.0010384427167981676 0.0037907236661968522 0.012249797867185835 0.012702743686353234 0.27778682932723714 3.1558552049094959 -2.2645998625542418 0.00741879526421956 0.96016518665748518 1.5726307795852552,0.013011291221310669 0.03768420376728697 0.11969515895438304 0.14902752496568833 0.11002159564517842 0.1620606146609363 0.092654593938613819 0.094816019389917225 0.049073200233103277 0.020273219530225373,8.0310190528658474 11.554210412827135 0.61479024735688015 0.35439439112619109 -11.184339006228825 0.24971397544902232 6.9348554898886636 -0.10483885688421769 2.3228367606761395 0.0019054043643563813,1.8046254423459231 -26.584304934778174 16.241068335943964 -0.023232708785037914 -11.452143865846779 -0.019118502248602454 6.9762728192763461 -0.17063327981819265 2.4319496459842753 -0.0046411806061996685
stanford_tidybot,pinocchio,0.140079325,0.02397271,0.132166305,0.459608454,10.235421,0.012916,0.847751,0.004143,0.169653,0.077765,11.445937,0.030867,0,0,0,0,0,0,0,0,0,0,0,0,0,10.235421,0,0,0,0,0,11.491278,0.51177105,18,1,0,0.054266311,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00065745880822019398 0.0026347473638672768 0.0097831953115804504 0.0081882949695483171 0.27783359616066022 3.150960665966644 -2.269356876341488 0.0037712852011924495 0.95632891034812395 1.5717925010506351,0.006465535109665084 0.020304946929869856 0.090474965148691827 0.086622197005882418 0.11342637939741949 0.089399311722988553 0.0025176952849282909 0.04572515502402219 -0.019232295925558848 0.0081906383749389584,0.0019418795477641538 0.0066943493847176063 0.014983311865864577 0.018381161902652498 0.27717513380508757 3.1621755859213634 -2.2578437586216884 0.012440437575720322 0.96568456041670148 1.5738376681353736,0.020582375005490611 0.054178937040648641 0.11430417619899987 0.13587155118038957 0.11093897692923997 0.14548506655415974 0.076565267165435366 0.083123275383995859 0.036028034148341929 0.014570613536309184,0.00096004938875805671 0.0035331010300750547 0.012843999075192902 0.012451767051148789 0.2800564595610448 3.1555415830754003 -2.2662318477320635 0.0066993647794417899 0.95837261352548397 1.5723675705735158,0.010400831209377827 0.030499417089218037 0.12224292765274286 0.15676425967181784 0.11173180288506902 0.16785503956804326 0.096774902349271844 0.1007804768470717 0.0542059715766669 0.018239200598824782,10.352362142969648 15.671043603968926 1.6700577216143335 1.2158677883657574 -13.122121262897197 0.9923686047120035 8.8424668458825426 -0.29984293346318758 2.8882274059894963 0.0075272982189401576,166.03959298710458 459.60845369834715 86.643518365928344 4.6250794753848545 -10.566489724576627 4.6279589574796773 9.6524562384611272 0.4090836384149954 3.0947511237019967 0.10537011710027855
stanford_tidybot,pinocchio,0.160033682,0.02676113,0.172176224,0.297685486,10.15245,0.02797,0.631474,0.002998,0.102016,0.047755,11.07392,0.038839,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15245,0,0,0,0,0,11.143447,0.5076225,23,1,0,0.063864065,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00078215411199480641 0.0030122796709331576 0.011529204063624754 0.0096939406065452861 0.28020331469263304 3.1526188124179448 -2.2691408211097537 0.0043974269983519604 0.955954495198861 1.5719366984703489,0.0041453331218295579 0.012122670069583051 0.072928692583321089 0.057413610865415687 0.12050346139458389 0.063734361666697201 -9.9533107295042382e-05 0.022024365120065042 -0.021242864015630775 0.0044457830858066422,0.0023716257452846782 0.0077932999319792933 0.017284253673977137 0.021104565800472219 0.27939125802170039 3.1650736169662945 -2.256323733297299 0.014082397553987804 0.96638892767272455 1.5741081393145524,0.022490040623070362 0.055965394118761454 0.11631122779070464 0.13708513910497999 0.11117452556708546 0.1449753310206959 0.075781886175363286 0.081445004889027853 0.034568616761145268 0.0125386795824658,0.0012280440452441181 0.0042311442237473757 0.015379215479772104 0.015654473696385403 0.28223631927913229 3.1589303832848397 -2.2642575062856807 0.00866147585549399 0.95943743207698873 1.5726967521656516,0.013433276622272325 0.03493337134227447 0.12679554781007185 0.16015588997872321 0.10899641534158341 0.16943034004620217 0.098702893773408434 0.098075582923219579 0.053215072209416986 0.016423324419945838,10.091511282404586 15.016754391515907 0.79085785575476253 -0.26067557252915852 -12.218597031085755 -0.26608923583476274 7.197448951733155 0.018769521095180954 2.4504641830999914 -0.002033785607849399,-50.315997526589172 -154.16890019564426 0.21663804871991488 -0.21355529216757674 -11.609733955435104 -0.61986512788280379 5.2216737974640637 0.05758854123595647 2.1043014267160629 -0.012625576994196308
stanford_tidybot,pinocchio,0.180018356,0.03039479,0.119363302,0.360578645,10.298491,0.024473,0.465857,0.002347,0.084878,0.053063,11.021216,0.033668,0,0,0,0,0,0,0,0,0,0,0,0,0,10.298491,0,0,0,0,0,11.088897,0.51492455,26,1,0,0.065845902,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00085879089084115682 0.0032322335425867951 0.012763911059333265 0.010804972028775988 0.28254795834173363 3.1538095907670658 -2.2693684649632573 0.0049479921377993518 0.95539415236487668 1.5720275703093096,0.0067752611024874277 0.018868858005440248 0.11902491478367566 0.10649535631421933 0.11863482752830611 0.10717090958994352 0.0017505702879383085 0.040790278792105492 -0.022419339186745518 0.0068828937884002055,0.0028401465714238293 0.0089295220993457058 0.019628525167346977 0.023855979170186892 0.28161510996639327 3.1679655208105864 -2.2548172496086321 0.015693090413897954 0.96706510666406176 1.5743384032641146,0.024397411712289402 0.057741800592775394 0.1182905296814882 0.13826049463998322 0.11137536073113317 0.14443123816276607 0.074978966944680384 0.079744561974599878 0.033100002657601824 0.010505768498123402,0.0010467113493449209 0.0037529589484430839 0.015499932624585754 0.014154580060136921 0.28480150666335363 3.1573214870713384 -2.2673023043242444 0.0070489839576096027 0.95656937524749719 1.5723242889567726,0.0093960229251882025 0.026036270292814433 0.13680107826262444 0.16748040156804667 0.11267741608100089 0.17559481521363063 0.10330803195064793 0.10504959099051255 0.05876114413102651 0.014835932373144539,12.516389532712973 19.422360295789836 0.62882249997769513 1.4741585143855449 -14.217991913433147 1.2141393359366786 9.8353094061386255 -0.35655624260136998 3.1995279805230719 0.0094327863484525865,97.594734903954532 231.36189446134949 47.913739530249131 0.85933576712432469 -11.55290723176995 1.5919866120248116 11.057227187614444 -0.67388700931172973 3.2452078051755961 0.022623627095299526
