robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,casadi,0.000041328,0.000012752,0.308562683,0,5.476885,0.007118,1.660875,0.004018,0.106439,0.101329,7.691814,0.062268,0,0,0,0,0,0,0,0,0,0,0,0,0,5.476885,0,0,0,0,0,7.76508,0.684610625,3,1,0,0.00304675,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.0393008397066462e-20 -1.5707963267948966 -3.2706020792400404e-21 -1.5707963267948966 -3.8590247334321737e-22 2.1903526215856919e-23,5.1965041985332307e-18 5.3087811679704021e-18 -1.6353010396200201e-18 4.8970133651502196e-19 -1.9295123667160867e-19 1.095176310792846e-20,6.2228480801659974e-07 -1.5707932915481302 5.5862487836714646e-06 -1.5707898046191389 6.4654090577508431e-06 6.1211334978183342e-06,0.015063636189984466 0.073448127487498335 0.13517341191161703 0.15781792908544173 0.15644253276020006 0.1481106767532788,0.00013106598622170712 -1.5701975674895843 0.0010943737649377621 -1.5695226524870396 0.0012597773185132348 0.0011904107669986745,0.017547199025376943 0.075481784297095955 0.13702117816911097 0.15896720863949712 0.1568823901307847 0.14795963086835773,0 0 0 0 0 0,0 0 0 0 0 0
ur,casadi,0.007985649,0.002472621,0.31071776,0,4.702108,0.00917,0.676738,0.003052,0.089823,0.040886,5.672009,0.026566,0,0,0,0,0,0,0,0,0,0,0,0,0,4.702108,0,0,0,0,0,5.70908,0.5877635,3,1,0,0.004478389,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.0393008397066462e-20 -1.5707963267948966 -3.2706020792400404e-21 -1.5707963267948966 -3.8590247334321737e-22 2.1903526215856919e-23,5.1965041985332307e-18 5.3087811679704021e-18 -1.6353010396200201e-18 4.8970133651502196e-19 -1.9295123667160867e-19 1.095176310792846e-20,0.00013008945688626375 -1.5702017698464523 0.0010867449194541421 -1.5695315034012423 0.0012510423473719153 0.0011821724922297802,0.017529915696665409 0.075467653245858107 0.13700836548354525 0.15895926987902786 0.15687939212812588 0.14796072567767274,0.00028137581753148093 -1.5695856008305586 0.0021978882964221462 -1.5682463757216654 0.0025165347393820252 0.0023734416362547754,0.02003014248034405 0.077508754426725029 0.1388551433066153 0.16009907295038012 0.15730390563485241 0.14779598833081595,0 0 0 0 0 0,0 0 0 0 0 0
ur,casadi,0.015998629,0.004899305,0.293462498,0.016996947,4.141873,0.005787,0.421957,0.002187,0.063663,0.028536,4.814963,0.015094,0,0,0,0,0,0,0,0,0,0,0,0,0,4.141873,0,0,0,0,0,4.837011,0.517734125,3,1,0,0.008357995,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.1235365102247022e-06 -1.5708008888584055 1.7939700275785275e-05 -1.5707518563232337 4.4163526239343433e-05 4.1197844848719608e-05,0.0017988150023839325 -0.0012282468331460321 0.0053822699930426154 0.011824276475090881 0.011951896476014336 0.011166314438799379,0.0002805208333687344 -1.569588910146275 0.0021919595288503514 -1.5682532116639969 0.0025098180669047079 0.0023671308759873862,0.020016892001394317 0.077497953721739565 0.13884539161843829 0.16009307814640117 0.157301704588099 0.14779689516125596,0.00045154619531083677 -1.5689574456202939 0.0033160188969883013 -1.5669611139902009 0.003776590819108114 0.0035551130323208764,0.022512309462481374 0.079528898993429895 0.14067517315390055 0.16121343591493464 0.15770705009953739 0.14761976532783935,0 0 0 0 0 0,0.010101394995356561 3.177645152804871 2.5495420655707046 0.74114758728046581 0.45306184172036401 0.45656950494302206
ur,casadi,0.023998637,0.007139306,0.275430411,0.020923946,4.15547,0.005706,0.425107,0.00227,0.063639,0.028265,4.832389,0.027554,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15547,0,0,0,0,0,4.866947,0.51943375,3,1,0,0.015051336,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.3198994449721398e-05 -1.5708114615657023 0.00010184522602106841 -1.5705906279947579 0.00020686669712939983 0.00019322286594254624,0.0041220342216820027 -0.00096942490645145814 0.013242920079235856 0.023216112473306801 0.023557420058759625 0.02203314815312955,0.00045058540499524126 -1.5689608405588036 0.0033100135396905207 -1.5669679962270557 0.003769858192309889 0.0035488109761328021,0.022499066026543332 0.079518137103698372 0.14066549801122091 0.16120753585424563 0.15770494757492656 0.14762073907828061,0.00064157027948587016 -1.5683131570174713 0.0044486535506828738 -1.5656670076436867 0.0050397984773495391 0.0047353243785860869,0.024993542903711006 0.081542079521180019 0.14248113445634686 0.16231021267349324 0.15809179575152876 0.14743097875567104,0 0 0 0 0 0,-0.63674591142590842 6.1999853794859519 3.1385918605867005 0.18939533078992099 -0.013614974730055351 0.032514293385758286
ur,casadi,0.032000045,0.009244358,0.259004614,0.026671942,4.072887,0.006436,0.534958,0.0023,0.070694,0.02954,4.905968,0.027205,0,0,0,0,0,0,0,0,0,0,0,0,0,4.072887,0,0,0,0,0,4.940847,0.509110875,3,1,0,0.020248912,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,7.6420580335007131e-05 -1.570811467054237 0.00024544085365203554 -1.5703439170289619 0.00045501009632275299 0.00042502258323793261,0.0060388336443606824 0.00085612906958758251 0.020690982029198227 0.033608501333918545 0.033897176620473174 0.031678119298048556,0.00064053873529480785 -1.5683165231050749 0.0044427716936249022 -1.5656737081803065 0.0050332720137503456 0.0047292379647147645,0.024980741473021983 0.081531708866343505 0.14247185135722037 0.16230459817892759 0.15808985759271008 0.14743198518451778,0.00037087774584516691 -1.5709221066810339 0.0010246780817075353 -1.5689709401899814 0.001833236173126831 0.0017016310318782321,0.036807145688769978 -0.013829953349615353 0.097404653506937472 0.1716221048725558 0.17227825960050977 0.15957605608003744,-1.231087235723056 25.311360269564538 15.713638785577086 1.5161319586282525 -0.21965635756473423 0.013937412331482048,-0.94811590448337757 8.3598160132323756 4.0007913309406291 0.1901755053713714 -0.059546333201097923 0.0020495492208052468
ur,casadi,0.040009213,0.011223543,0.243376588,0.031091702,4.08944,0.012226,0.712453,0.003364,0.102468,0.044193,5.182483,0.029973,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08944,0,0,0,0,0,5.226158,0.51118,2,0,0,0.020474971,0.000000109,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00013447173031421882 -1.5707914653693245 0.00044921826934903974 -1.5700174333599279 0.00078192555375349384 0.00073013455275344394,0.0078476204945118755 0.0037257285087355018 0.028256034581580151 0.043322893850212152 0.043452424193583347 0.040563281447303617,0.0008505578159779169 -1.5676554743069369 0.005591045970224977 -1.5643694448860568 0.0063009215578003199 0.005909246942973183,0.027463731934014052 0.083540119178857952 0.14426573064928058 0.16338502310967321 0.15845668253918099 0.14723047949983176,0.00045199335607316735 -1.5708685167446235 0.0012684660902670488 -1.5686133346301614 0.0021841853901465804 0.0020248581297714432,0.039690203219868575 -0.0096314219123849534 0.10240597761475115 0.17551234122082748 0.17528247954913584 0.1618404471272499,-1.2164729301437271 25.262414235183783 15.536377909847323 1.4859726597274485 -0.21644028951413144 0.013356022960756388,-1.1792166944212163 10.00786637580768 4.6637552341718909 0.18058300814936956 -0.099229500912612068 -0.025419789023475303
ur,casadi,0.047999551,0.01347156,0.299959496,0.02380939,4.042293,0.006309,0.492645,0.002406,0.067082,0.0361,4.827542,0.026014,0,0,0,0,0,0,0,0,0,0,0,0,0,4.042293,0,0,0,0,0,4.861272,0.505286625,3,1,0,0.022650789,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00016332879529094781 -1.5707281859472075 0.00059985925885393059 -1.5698609241658901 0.00093804544208845046 0.00087677872978241423,0.0011506065673459692 0.009306375991466595 0.012346990634541489 0.0097979197307116288 0.0091483720704419284 0.0086366926828935261,0.00107989486627198 -1.5669799794755395 0.00675088029808576 -1.5630596960100969 0.0075684447355611577 0.0070848234084440647,0.029939639472505986 0.085536577493716404 0.14604107853573914 0.16444517810767378 0.15880421787476184 0.14701693533989932,0.00082991220478992062 -1.5708664355342827 0.0022224893107771993 -1.5671903822600166 0.0035869386764807634 0.0033175028714653478,0.047239856089594148 0.00026015129259349991 0.11925290256376882 0.17786904626810138 0.17534416079177284 0.16158059271173811,-2.9029522609333007 24.661253589964907 11.23850464602957 0.85307783126983749 -0.16819056937597718 0.0012254826846954908,0.075022987058833701 -4.9417478070745346 -3.5714085072858968 -0.57290291827757756 -0.24930159939304897 -0.281536426189819
ur,casadi,0.055998995,0.015865938,0.299893588,0.012927039,4.525524,0.005891,0.490222,0.002456,0.063346,0.028243,5.35265,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,4.525524,0,0,0,0,0,5.390113,0.5656905,3,1,0,0.026401109,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00017342809234344712 -1.5706645261868764 0.00068883685326965607 -1.5697687947515022 0.0010249687372445653 0.00095798492543290267,0.0015286399021184687 0.0070559926486091426 0.010933170964384111 0.012145950467214284 0.011597709127202904 0.0108059168284033,0.0013293049403477197 -1.5662877645555484 0.0079261885970985328 -1.5617400402223081 0.0088401202960232631 0.0082599803940167256,0.032416965857349773 0.087527939964321871 0.14780399779111805 0.16548872103355819 0.15913368874459097 0.14679064794666527,0.00053353811938004411 -1.5707612326888736 0.001518850582107031 -1.5682995369091097 0.0024853274214809845 0.0022970569600107224,0.045013753379574632 -0.012088312749660796 0.10375171610467188 0.18365723029905207 0.18254483552955242 0.16738400432222744,-0.77388359651475946 27.288781772513911 17.719954065914486 1.7389406215407139 -0.24179247272931301 0.017074951229163207,0.61880681878268429 -4.2659230197559737 -1.8110918329501722 -0.18765246237580868 0.022041767127696232 -0.0067780727229971305
ur,casadi,0.064002034,0.018119036,0.282682772,0.007717684,4.569345,0.009071,0.78857,0.003872,0.1089,0.045072,5.779049,0.024757,0,0,0,0,0,0,0,0,0,0,0,0,0,4.569345,0,0,0,0,0,5.814507,0.571168125,2,0,0,0.027323539,0.00000062,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00021248400530303414 -1.570633790158829 0.0008199668132147876 -1.5695724196622884 0.0012156598937962731 0.0011340658162243681,0.0053898947357179407 0.0030506769373069738 0.017053478394742125 0.024468203483386585 0.023969793811689073 0.022147102950293474,0.0015986515530204679 -1.5655793280012087 0.00911607864391515 -1.5604115096344 0.010114930690758431 0.0094338041010043876,0.034893844133779654 0.089512680330059435 0.14955310992302273 0.16651481065512685 0.15944480201816574 0.14655176315842416,0.00096990362079064875 -1.5707768376450797 0.0025112551562677622 -1.5668093251422637 0.0039453608493562175 0.0036337331897862372,0.054545687676325588 -0.0019506195257687348 0.12405057177009138 0.18627647085575039 0.18250417848440417 0.16708452872193938,-3.0817998427858364 26.831515580355052 12.350358366026073 0.93841391679636421 -0.18445564034708933 0.0013921224455019411,0.45094407155709515 -2.5468357176732752 -0.94798674589691156 -0.20672527433271171 -0.035021661661535752 -0.046179617650066618
ur,casadi,0.072041365,0.020592451,0.30452357,0.011649471,4.76715,0.011309,0.476861,0.003058,0.078671,0.031746,5.523962,0.015187,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76715,0,0,0,0,0,5.555159,0.59589375,3,1,0,0.0322171,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00023040547206211131 -1.5706076590017866 0.0008906879333032766 -1.5694918875400765 0.0012945684497751133 0.0012070988946702437,0.0024956759417585433 0.0044372315333748519 0.010458424753116688 0.012501555966600915 0.012070272148446238 0.011154998433578285,0.0018891703456355368 -1.5648517175248795 0.010325398708758492 -1.559068759383236 0.011397954012472861 0.010610975571556233,0.037380223789814787 0.091498713507952439 0.151295321979521 0.16752742563799977 0.15973866925485092 0.14629923204226328,0.00064689129500975482 -1.5707240485794527 0.0017542941496463324 -1.5679556950153946 0.00281195895652864 0.0025896440702565669,0.052060727868455448 -0.014548697208254652 0.10795077704288199 0.19202406558524246 0.18967381334419084 0.17281814694829042,-0.7778362141970897 29.54277170779984 19.022272668762671 1.8511075691583476 -0.25812667189451305 0.017836910688174053,0.10524559006525092 -2.66335096084822 -1.7474207035563349 -0.29535804293391266 -0.10382197466863907 -0.12010030033995012
