robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000132627,0.000040925,0.308587437,0,4.132291,0.045782,5.120499,0.015923,0.347012,0.48082,10.299942,0.053519,0,0,0,0,0,0,0.252897,0.092801,0.068211,0.091885,0,0,0,4.132291,0,0,0,0,0,10.402933,0.516536375,6,1,0,0.003047239,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.714898836243582e-19 -1.5707963267948966 -8.9268205711528644e-20 -1.5707963267948966 -5.5891548836028349e-21 4.9898982184181604e-22,7.2120106697061305e-18 7.7037708274348795e-17 -2.0891698708214195e-18 6.8723663106288082e-18 -1.497852408254024e-19 1.3298389343751045e-20,1.9988737214403109e-06 -1.5707865847463616 1.7928412291599026e-05 -1.5707753953968051 2.0748689744607762e-05 1.9643414743417711e-05,0.015091982446906413 0.073471373541198481 0.13519457666185739 0.15783114300981171 0.15644765593215518 0.14810902407809598,0.00013266932165637317 -1.57019067502043 0.0011068846205021133 -1.5695081383456821 0.0012741007481904022 0.0012039192513394958,0.017575539099933913 0.0755049548248444 0.13704218617605859 0.15898022430492903 0.15688730414827501 0.14795783434679247,0 0 0 0 0 0,-3.3152059932278078e-15 0 7.6058246812448662e-16 0 3.0333392865765137e-17 -2.7120484461590654e-18
ur,tetrapga,0.010575642,0.003278273,0.311420778,0,4.53036,0.005715,0.357067,0.002175,0.05954,0.033627,5.368144,0.05985,0,0,0,0,0,0,0.222462,0.072047,0.057774,0.092641,0,0,0,4.53036,0,0,0,0,0,5.436135,0.566295,7,1,0,0.005505572,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.714898836243582e-19 -1.5707963267948966 -8.9268205711528644e-20 -1.5707963267948966 -5.5891548836028349e-21 4.9898982184181604e-22,7.2120106697061305e-18 7.7037708274348795e-17 -2.0891698708214195e-18 6.8723663106288082e-18 -1.497852408254024e-19 1.3298389343751045e-20,0.00017653291383898197 -1.5700054582095815 0.0014423668420753433 -1.5691193225470044 0.0016575386674695745 0.0015653232345958516,0.018333843309932377 0.07612463686101871 0.13760365851536321 0.15932765982411851 0.15701790802496393 0.14790915308774924,0.00028320584285673061 -1.5695785233045787 0.0022105665839443336 -1.5682317582513237 0.0025308966434398721 0.0023869351736372805,0.020058474579632082 0.07753184784127129 0.1388759930339348 0.16011188936723872 0.15730861015705827 0.14779404814359909,0 0 0 0 0 0,-3.3152059932278078e-15 0 7.6058246812448662e-16 0 3.0333392865765137e-17 -2.7120484461590654e-18
ur,tetrapga,0.016190287,0.005031003,0.312945312,0,4.212068,0.013131,0.695338,0.004564,0.127339,0.064322,5.325541,0.019385,0,0,0,0,0,0,0.209725,0.067095,0.052553,0.090077,0,0,0,4.212068,0,0,0,0,0,5.35984,0.5265085,7,1,0,0.008806709,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.8589261615219078e-19 -1.5707963267948966 -9.3364038653167003e-20 -1.5707963267948966 -5.8909066362876068e-21 5.2559467004416549e-22,7.2013662639162821e-18 8.0925679699662304e-17 -2.0479164708191817e-18 7.231149146261051e-18 -1.5087587634238611e-19 1.3302424101174705e-20,0.00028436293035987272 -1.5695740523977675 0.0022185745533031694 -1.5682225259664557 0.0025399671435287425 0.0023954569431058454,0.020076367700897439 0.077546432058608367 0.1388891597706676 0.1601199824172381 0.15731158007131413 0.14779282197172608,0.00045360283955364264 -1.5689501836607274 0.003328863344120604 -1.566946394788775 0.0037909895202742848 0.0035685904741697707,0.022540631793827825 0.07955191371212314 0.14069586307565971 0.16122605210774443 0.15771154480160085 0.14761768166379913,0 0 0 0 0 0,-3.3103128973951137e-15 0 7.4583364388324676e-16 0 3.0556189128382088e-17 -2.7128714261252128e-18
ur,tetrapga,0.023975847,0.00720966,0.27569784,0.026337422,4.31277,0.006329,0.351859,0.002454,0.072014,0.032139,4.947533,0.028717,0,0,0,0,0,0,0.219246,0.070357,0.05718,0.091709,0,0,0,4.31277,0,0,0,0,0,4.983933,0.53909625,12,1,0,0.014936104,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.5179888359117314e-05 -1.5708096193045504 7.6015649656533047e-05 -1.5706357496781489 0.00016106870801670895 0.00015038403731437464,0.0040052068524917394 -0.0015418820946586137 0.01233670055800146 0.023497903145547575 0.023769447865720647 0.022204773451261192,0.00045007273184126335 -1.5689626527116822 0.0033068078318470007 -1.5669716701109053 0.0037662641093466074 0.0035454466935672989,0.022491996190528246 0.079512391936500684 0.14066033290607888 0.16120438598340661 0.15770382495673177 0.14762125875501195,0.00064385345733306118 -1.5683057112602001 0.0044616628729120377 -1.5656521883168235 0.0050542322958167345 0.0047487845778690554,0.025021853674768234 0.081565013966058753 0.14250166305710971 0.16232262768100181 0.15809608032457478 0.14742875181172213,0 0 0 0 0 0,-0.36177543345721097 6.3126426687231287 3.9506133277995041 0.77876887314414489 0.3980061695251047 0.4238187491245613
ur,tetrapga,0.032017569,0.009322912,0.25845352,0.027862551,4.258554,0.012265,0.548736,0.002468,0.070217,0.034076,5.071233,0.021023,0,0,0,0,0,0,0.213886,0.070622,0.05337,0.089894,0,0,0,4.258554,0,0,0,0,0,5.105667,0.53231925,12,1,0,0.02041197,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.9544574217461784e-05 -1.5708151657424705 0.00021800552463862184 -1.5703848421664215 0.00041378326593454189 0.00038634496808195862,0.0062239027257244995 0.00019302411626639037 0.020637097856380397 0.034138985495210987 0.03447402811993136 0.032206899860234957,0.0006409765454212234 -1.5683150943048365 0.0044452684048755424 -1.5656708639336452 0.005036042387624117 0.00473182155908034,0.024986175487453698 0.081536111073281098 0.1424757919365387 0.16230698150318984 0.15809068037131976 0.14743155801172558,0.00036502001227577238 -1.5709301913198837 0.00099620118339496821 -1.5690109859879167 0.0017930376693698928 0.0016638828371970905,0.036934429757288834 -0.014378197176650141 0.097274457344543291 0.17173202231310961 0.17240680042941892 0.15969223363939145,-1.2520062136009442 25.438790988235297 15.760474043866852 1.5188366796894426 -0.22046435625231817 0.013903641051800211,-0.9855533121525526 8.7169597995180084 4.179382663241741 0.20104953957343241 -0.063414181474690245 0.0011136958831876598
ur,tetrapga,0.039980021,0.011241799,0.242691916,0.031011509,4.40683,0.012987,0.550114,0.003403,0.089523,0.050724,5.339664,0.035884,0,0,0,0,0,0,0.255421,0.084873,0.069328,0.10122,0,0,0,4.40683,0,0,0,0,0,5.390121,0.55085375,8,1,0,0.020472537,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00013426897326782375 -1.5708008666933166 0.0004354974946567437 -1.5700304740169109 0.00076903905988860211 0.00071767211443960746,0.0080557615180691673 0.0035662984322560442 0.028729284139284921 0.043658300012201549 0.043812978992194648 0.040907174889411722,0.0008497562267782197 -1.56765791290344 0.0055868346600699429 -1.5643742143646444 0.0062962959093481787 0.0059049489797621977,0.02745468404685826 0.083532811969759965 0.14425921827973362 0.16338111740935207 0.1584553790902414 0.14723123676339706,0.00045206347795340927 -1.5708779869422216 0.0012554119128483413 -1.5686261726941493 0.0021714687966210393 0.0020125868824743707,0.039724313085698189 -0.0096400311131296865 0.10248930227394971 0.17553766534521137 0.17530371709155468 0.16186434600434543,-1.2299246727876085 25.272840547257672 15.516017970919147 1.4835356232780466 -0.2162101713825999 0.013319082811915963,-1.3491024733682724 10.233797981905809 4.445073856484596 0.082551083521138935 -0.18350497296091994 -0.10541400051631733
ur,tetrapga,0.047973642,0.013597895,0.300709134,0.017395521,4.436096,0.011644,0.55689,0.003218,0.085017,0.046245,5.459677,0.033734,0,0,0,0,0,0,0.250566,0.089277,0.067324,0.093965,0,0,0,4.436096,0,0,0,0,0,5.507074,0.554512,7,1,0,0.02267707,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00015164496311334655 -1.5707380538810374 0.00054920241293546278 -1.5699359507182977 0.00086229751356794895 0.00080561651671552973,0.00106096924344447 0.0080372437129095902 0.01090450644146352 0.0099347141187103964 0.0093307340547731429 0.0087694804267528653,0.001079119264126368 -1.5669821955590169 0.0067470965940549053 -1.5630639565760562 0.0075643302912925736 0.0070810143374346619,0.029931613418780104 0.085530115712967453 0.14603534514157329 0.16444176921666329 0.15880312074632824 0.1470176479415502,0.0008299493228171277 -1.5708758231171178 0.0022096626934092769 -1.5672030587683063 0.0035743980869549575 0.0033054224050572422,0.0472357306079648 0.00027047813797776571 0.11928134757011694 0.1778892407303575 0.17536616129173976 0.16160444032285895,-2.9055055233511085 24.664986091685666 11.236770360604908 0.8529291423736497 -0.16818066887530275 0.0012237349527526107,0.33717136187311869 -4.5172680405266874 -2.6093281937824435 -0.30096383564159623 -0.04551513038240973 -0.080059109501728454
ur,tetrapga,0.05597735,0.016029565,0.298988592,0.011446586,4.489738,0.015034,0.899063,0.00349,0.10139,0.045104,5.761789,0.028381,0,0,0,0,0,0,0.232206,0.079688,0.055831,0.096687,0,0,0,4.489738,0,0,0,0,0,5.806763,0.56121725,8,1,0,0.026679626,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00016165782929090919 -1.5706975679161541 0.00061577965369771271 -1.5698583064780278 0.0009363582895464699 0.00087458908317340355,0.0017863614346379628 0.006246858771292301 0.010943458736435315 0.01287957108099223 0.012382474749398031 0.011525815054428488,0.0013286033476448854 -1.5662896590396036 0.0079229894309784717 -1.5617436221953775 0.0088366758567083176 0.0082568031036327899,0.032410264709863412 0.087522561783654251 0.14779924728787136 0.16548592153102723 0.15913282220019417 0.14679127709551265,0.00052304556934596412 -1.5707995517682496 0.0014450579877445591 -1.5683872964073304 0.0023986715494889749 0.0022154801881586108,0.045173467506881879 -0.012747981511942688 0.10365979175585581 0.18387625883717085 0.1827891574928131 0.16761138812315091,-0.80265258432579933 27.463873841741858 17.785117021901332 1.7429261260489313 -0.24293137379810603 0.017034157729394928,0.55620653095727723 -3.7773733151980196 -1.5905280869353255 -0.17336295132008672 0.018471366635335329 -0.0068488078397948016
ur,tetrapga,0.063978877,0.018318576,0.281726711,0.006705737,4.261588,0.007883,0.438465,0.00247,0.071901,0.029665,4.965225,0.015125,0,0,0,0,0,0,0.21284,0.068585,0.053203,0.091052,0,0,0,4.261588,0,0,0,0,0,4.989493,0.5326985,12,1,0,0.027589517,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00019506051628109179 -1.5706676589539925 0.00073250268503381386 -1.5696828811270973 0.0011065832815045824 0.0010318722434466156,0.0055106415517964663 0.0024030845596778386 0.016833757280165378 0.025347756003241136 0.024878892485353105 0.022973506724215345,0.001597843599226084 -1.5655814007799802 0.0091126155009030457 -1.5604153655837942 0.010111238437591527 0.0094304103936129081,0.034886679626280524 0.089506948410043988 0.14954807001117959 0.16651186757420747 0.15944392852600076 0.14655247238832142,0.00096045037847805495 -1.5708197163482596 0.002436807481235976 -1.5668953351469157 0.0038606531471099045 0.003553970633636599,0.054675601141511362 -0.0025205725012460503 0.1239686866864271 0.18649515755185306 0.1827476997026162 0.16731130568474853,-3.1040241176842431 26.991666083796751 12.418562748551381 0.94371449044995104 -0.18555160023031245 0.0013963223020377956,0.58635139049208185 -2.2128933217591111 -0.41691022573803505 -0.08281088104013179 0.049475776233068203 0.037794669532965841
ur,tetrapga,0.071988912,0.020699136,0.305288501,0.01097856,4.267278,0.028032,0.315015,0.002119,0.062701,0.030364,4.876001,0.019655,0,0,0,0,0,0,0.223623,0.071445,0.057333,0.094845,0,0,0,4.267278,0,0,0,0,0,4.926068,0.53340975,12,1,0,0.032541775,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00022468330314718475 -1.5706416569898962 0.00083419335646616355 -1.5695540094879619 0.0012332920815256135 0.0011490105516279909,0.0025457529369514228 0.003765111267742329 0.0099663505799259516 0.012218628401438046 0.011827921381514828 0.010922435653757809,0.001887210066059807 -1.5648565165677228 0.010317463112081492 -1.5590775465275704 0.011389575288745813 0.010603301693654379,0.037364007250468248 0.091485780872506695 0.15128400329111402 0.16752087783697658 0.1597368125504435 0.14630092045671925,0.0014149688267153606 -1.5707356544584428 0.0034973439171785111 -1.5653915587081999 0.0053235501903473566 0.0048899129924612492,0.056814806029663212 0.010507736227106936 0.13256705449281683 0.18797205483947979 0.18286213040468147 0.16699279485308127,-3.3245690911315919 25.278560281322225 10.938240357646679 0.82013426514439269 -0.16398774503906297 0.00096832975882958378,0.05133047449955086 -2.3637843702081227 -1.6467840654939847 -0.29153241869880731 -0.11099913405552897 -0.12521253868108317
