robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
stanford_tidybot,casadi,0.000043052,0.001367742,0.296301105,0.248002531,0,11.589855,0.008682,1.963022,0.006061,0.149352,0.178996,14.103806,0.064836,0,0,0,0,0,0,0,0,0,0,0,0,0,11.589855,0,0,0,0,0,14.180405,0.57949275,6,1,0,0.02011225,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-1.3602927502135362e-06 1.8129737580773295e-08 -3.1186973322224094e-07 3.5356286395724807e-06 0.2628751063606426 3.1415992716746386 -2.2696455220466518 -2.4790960393857957e-07 0.95948177778370003 1.5707965533166168,-5.3539311322499542e-05 4.3800386294838717e-07 -1.3856031960957426e-05 0.00012596752692345322 0.098897119822898005 0.00081280964760209126 -0.062672026305808662 4.1105910100511264e-05 -0.043102085192858894 2.3379303563144156e-05,3.0702106470407528e-07 1.7785070111738043e-06 4.2788336407177152e-06 5.4353658636928188e-06 0.26180405275972229 3.1415990264812161 -2.2689245197653238 4.0606850053605324e-06 0.95993307239000869 1.570797571992965,0.0071334729070014419 0.041312689615159541 0.099389969242867707 0.12625280539258654 0.10830583472714266 0.14811087501274328 0.081534073333908233 0.094318834125062923 0.04604490317469221 0.028846479113972257,0.00016222723123266103 0.00084675305178452611 0.0020142828162750177 0.0025454529548523354 0.26397503343755357 3.1445585771267006 -2.2673003244066914 0.0018751348397773177 0.96083994559513897 1.5713541344286963,0.0090584377634547776 0.043183069867755559 0.10160582351617732 0.12774261714040852 0.10878645533224537 0.14783846088767294 0.080882199143167896 0.092784843540919371 0.04464082067236521 0.026809474252548114,0.45559885373886383 2.1591315931946302 5.0809839774069134 6.3808324806742531 0.49446677546736845 7.3512825620035427 7.1777112724488275 4.6371868815409432 4.3871452932612049 1.3393047474492485,0 0 0 0 0 0 0 0 0 0,3.3111243562473693 -0.028878301207288938 0.017878263023731411 -0.015598466975086439 -9.6720987224030068 -0.076413605132074736 6.2052996300571976 -0.0014712708278353237 2.0610775879544576 -0.0011063752100426427
stanford_tidybot,casadi,0.020013044,0.006537287,0.305084157,0.322189268,0,10.020722,0.012637,0.681436,0.002755,0.105024,0.048319,11.016437,0.035955,0,0,0,0,0,0,0,0,0,0,0,0,0,10.020722,0,0,0,0,0,11.067321,0.5010361,8,1,0,0.023959305,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-1.7828444161488524e-06 2.1300983506817874e-08 -4.2444936156569877e-07 4.5336091237740673e-06 0.26494100053917896 3.1416177876715321 -2.2709123329379528 1.1058339940144141e-06 0.95857822714110275 1.5707970536526294,-9.4065482778598496e-06 7.3051809903022004e-08 -2.5907523537606514e-06 2.2616040880615558e-05 0.12187283100485027 0.0011276692786243302 -0.073684368901876698 9.0610619475153223e-05 -0.05332466882579763 2.9736025120805394e-05,0.00016195544895898818 0.00084545725621491211 0.0020112338782946899 0.0025416196875077375 0.26397176898403168 3.1445541407836473 -2.267302751534618 0.0018723505174076211 0.96083860598167636 1.5713533298841174,0.0090555500843310013 0.043180271211678244 0.10160251960374191 0.12774041034451161 0.10878576018820339 0.14783889535556963 0.080883191864044482 0.092787161895737214 0.04464293449169212 0.026812531814834999,0.00036263898764402107 0.0017290323142760751 0.0040683260545420485 0.0051148855523350262 0.26615527956253432 3.1475123360250348 -2.2656893618434721 0.0037153060964221405 0.96171864248122096 1.571869941072042,0.010982571028364599 0.045043102061312255 0.10379381999863643 0.12919425426976955 0.1092323646126637 0.14753171319022501 0.080210818481227422 0.091228603555993909 0.043227327873751331 0.024770985735133536,0.54959887883212299 2.2521514504751177 5.1898205375495099 6.4585819114444467 -0.63202331960932889 7.3202021955800332 7.6947593691552063 4.5568996468259373 4.8275998349774483 1.2370624855006367,0 0 0 0 0 0 0 0 0 0,0.5995226731272969 -0.0045332089209441789 0.0034662113648592056 -0.0028652428835409631 -12.56538145111972 -0.11570852379918506 7.6144782842293353 -0.0045053550028806792 2.6962422193727775 -0.0015021084334421175
stanford_tidybot,casadi,0.040022721,0.010245635,0.13032389,0.372182675,0.172559234,10.912065,0.041639,0.457536,0.002079,0.074313,0.035257,11.619728,0.030246,0,0,0,0,0,0,0,0,0,0,0,0,0,10.912065,0,0,0,0,0,11.693863,0.54560325,10,1,0,0.019004089,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.1564556034422345e-05 0.00032316062494708184 0.0015503512245257384 0.0011648480715430423 0.26718971235604616 3.1428977896071588 -2.2712815806980493 0.0004079667087448606 0.95777152682547484 1.570919550273256,0.0055849486618576288 0.02689200562714408 0.12089040778057204 0.092940106516072596 0.10867731404371832 0.10147957845418776 0.011298003187034574 0.033947226724041962 -0.024917848297098477 0.0098173253770056923,0.00036241572087047398 0.0017281165621344993 0.0040662158448524603 0.0051122589187541298 0.26615305876375778 3.1475093365544273 -2.2656909926166606 0.0037134513114878099 0.96171776361176398 1.5718694374320601,0.010980615587636411 0.045041216620183004 0.103791610087262 0.12919279809638651 0.10923192897802583 0.14753204242112364 0.080211510827415594 0.091230196728469715 0.043228769422964636 0.024773058539686185,0.00040204317488378642 0.0018009754482284572 0.0050578688431822351 0.0057964401227419103 0.26888338604926049 3.1482095306984537 -2.2668079201560958 0.0039351717222962856 0.96065530971525281 1.5718859981049449,0.0099777549927797058 0.039205827857087754 0.11296524472437643 0.13318034440216925 0.11064583113364351 0.15013671832673825 0.083704068029115716 0.093281328330602001 0.045155241638769106 0.024052727720935137,0.21964031654610386 0.6156911114971837 -0.39625815280978083 2.0120118943048326 0.098425854496259763 2.4328569936275244 3.6203032421040571 2.9667050803280017 3.5036544967933789 0.71177011719647221,4.0453743317789019 5.7276372624888658 -0.71749392943473367 0.66328669434012588 -6.7298101303946778 0.52416127447306082 4.6325950162312211 -0.14957088471657687 1.5079151126752528 0.0041449786434022183,72.065072092932439 284.83248084893194 33.974595365454064 -0.11289181374465862 -12.170975877157957 0.7792625924503227 11.057331391680236 -0.47433498101136928 3.3496440743325024 0.013968270540999583
stanford_tidybot,casadi,0.059993502,0.012958869,0.145872568,0.273222683,0.162178317,10.673549,0.008119,0.450971,0.002106,0.063907,0.033024,11.387886,0.039716,0,0,0,0,0,0,0,0,0,0,0,0,0,10.673549,0,0,0,0,0,11.437408,0.53367745,10,1,0,0.030335328,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00016641473696903312 0.00080668703952976417 0.0034077470740447413 0.002522691919711717 0.26930002352116628 3.1445136469531678 -2.2708199593521039 0.0010208742972472415 0.95739908445967281 1.5710947749771988,0.0048977741758658797 0.021096495233439767 0.087313025332512451 0.065667437323678954 0.10659288596258149 0.075981698658894786 0.015143924449343127 0.031072055296375502 -0.013999632483686575 0.0080920625693351889,0.00060088291736031289 0.0026460823728121554 0.0061605970564975404 0.0077064950614450815 0.26833866323298583 3.1504523239746351 -2.2640959609758013 0.0055196907563046776 0.9625669067303978 1.5723438409286878,0.012900771312477162 0.046887862922521555 0.10594819712520624 0.13060395546778236 0.10964250183091694 0.14719159907335969 0.079521816220887137 0.089654408180812897 0.041808300556410105 0.022736582194872571,0.00063482502038899398 0.0026286311453866699 0.0072908065806318737 0.0084904674576844509 0.27105830732053837 3.1512722259268733 -2.2650877216785741 0.005733477841218226 0.96151760018317045 1.5723891847389657,0.012119385644390152 0.041841884995696313 0.11217841686746673 0.13504333750123423 0.10883866850112284 0.15303954729688568 0.085831641706858822 0.089514500769783553 0.042756344281592834 0.024649345853313135,0.36108057342621364 1.0372694881128273 1.2432695767477138 3.4687950088777639 0.11228912692706761 3.8528924318995448 3.5343858628757849 2.9221222736704027 2.8377988382639705 0.82786416419889719,3.9929298239712034 5.5367991846984506 -0.25367116782226806 0.0343667957162739 -6.3249543811624216 -0.009772137650212509 3.7817808732133749 -0.022329114971300183 1.2787010339159157 -0.0002367634666119384,-0.39357731378396466 -45.677181637886861 8.2996431269930326 0.42622446763368238 -10.655684626468201 0.26413423956273618 6.2108611127250697 -0.21638134721140379 2.2372096103097192 -0.0031887168649973319
stanford_tidybot,casadi,0.080038462,0.016206346,0.105925814,0.340067562,0.255713417,10.577807,0.025743,0.475485,0.001906,0.061738,0.030202,11.282713,0.032417,0,0,0,0,0,0,0,0,0,0,0,0,0,10.577807,0,0,0,0,0,11.343303,0.52889035,10,1,0,0.035999158,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00025353294556235487 0.0011674086655110855 0.0047692775130597767 0.0036695886780348801 0.27128523335230698 3.1458299904187155 -2.2706822317272763 0.0016288755361698487 0.95705283765967519 1.5712453045590615,0.0071782086928920607 0.028316602471473551 0.11881079090658794 0.10606172198155532 0.11583072078626964 0.1143880753040611 0.017036496054845161 0.044403809674464084 -0.01504879672775683 0.01174286589548193,0.00087878221902516328 0.0036044321761462264 0.0083057788096841806 0.010338317551838901 0.27054028116630863 3.1533990628328561 -2.2625090483623622 0.0073007772681308288 0.96339058958995449 1.5727791042190591,0.014826546229614638 0.048730283163042336 0.10808397401309777 0.13198146928690921 0.11001963320894573 0.14681563276677162 0.078810305251970691 0.088051178586679532 0.040373804270459418 0.020692086152995587,0.00067192279128890694 0.0026678324861110401 0.008383241870210386 0.008899478430678575 0.27338222507579829 3.1516863547540641 -2.2661138097522677 0.0055598427926653211 0.96022157704571098 1.5722752561527953,0.011627099032505006 0.038718745816415073 0.1179220995308975 0.1411386130428019 0.11056466994308344 0.15671046430704166 0.088466828821081825 0.093730264576272732 0.0466377758128875 0.022645600613628823,0.22244451698064724 0.52010716724707606 -0.044434568784522399 1.7538445530623288 -0.26330254215931048 2.1161194501490281 3.5715166383118335 2.4663227450904324 3.0843286270322166 0.54513673590734468,6.4189721583722079 9.0106449995663649 -0.28074560149579103 0.50558896985709167 -9.9728232572101021 0.37438301515548111 6.4770065968071515 -0.12526674797964649 2.1441977293268066 0.0029311851984423608,80.50579226740831 253.74418024068746 38.681331125649081 0.58355962744450096 -11.075376255816764 1.3529555616660218 10.365202063038851 -0.64944313681517984 3.0606080589935232 0.015655937153724153
stanford_tidybot,casadi,0.10001822,0.018585045,0.133387063,0.291176959,0.297621558,10.516962,0.03778,0.391607,0.001923,0.059038,0.031218,11.151074,0.034671,0,0,0,0,0,0,0,0,0,0,0,0,0,10.516962,0,0,0,0,0,11.226428,0.5258481,9,1,0,0.045111269,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00038569108241439542 0.0016682111030663083 0.0066389495189420368 0.0053140432882955307 0.27362056135662499 3.1477150459775225 -2.2701772219777174 0.0023663181928199528 0.95678925390378999 1.5714510615209967,0.0060118239342846595 0.02130223626843615 0.090840853390159793 0.077744232537510227 0.11623312495429006 0.08662138309388609 0.016042406443237435 0.03126797666813895 -0.013549696213786128 0.0084857909735393689,0.0011941736061458329 0.004596302459306454 0.0104862946580531 0.012988666766782821 0.27274191121823999 3.1563283762565644 -2.2609416810131355 0.0090438780372861325 0.9641828945156159 1.5731721693352276,0.016744210074456735 0.050555307498936317 0.11018363486926415 0.13331544248252414 0.11036060690134361 0.14640682557830889 0.078082068651473213 0.08643200637854119 0.038935592801878562 0.018654300761268935,0.00074720280736377217 0.0028572359431481434 0.0098592090355590078 0.010020390074535482 0.27570612303815767 3.1529084030181469 -2.2663117358594684 0.0058741436440461862 0.95948886782527443 1.5722995604402428,0.011039607648276632 0.034574027350545621 0.11753486606795076 0.14576204524087372 0.11025526898054724 0.1603570774647472 0.091642062110613043 0.095450341335545474 0.049082053487868441 0.021692634191731133,0.25138918569959862 0.66358955410547349 1.3347006338895482 3.4008906351681745 -0.29889279868714064 3.6867847185430556 3.7799827833687805 3.2091182333703263 3.1315874850827283 0.66034216090958819,8.1111577096644858 12.010808875498935 0.72315559737925494 0.80232947068238603 -11.607240753756603 0.62514990153704353 7.4613663667845875 -0.19824730966984694 2.4748009377771463 0.0048598961597055811,-6.1204840891456342 -59.385960199209421 10.880261797896821 -0.20521722679260179 -11.355901399342429 -0.297348518301078 6.207121010780611 -0.097364968778235195 2.2804787721084949 -0.0095770907827272822
stanford_tidybot,casadi,0.119996512,0.021760793,0.148334536,0.28798398,0.320709654,10.642897,0.009251,0.772091,0.002861,0.089676,0.051285,11.693259,0.030698,0,0,0,0,0,0,0,0,0,0,0,0,0,10.642897,0,0,0,0,0,11.734602,0.53214485,8,1,0,0.053069259,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0004883877014483437 0.0020221512178058136 0.0080324623916926911 0.0065669164354476353 0.27591640469451156 3.1491351611355736 -2.2700788118600754 0.002979926434325336 0.95639248094145546 1.571603012816672,0.0052305239853815246 0.017215733343284568 0.088745546306186834 0.076195490899985577 0.11652467999382694 0.081988906357154098 0.00035055434037348037 0.02910130041404424 -0.020630309633189143 0.0071805774168230497,0.001547830864139111 0.0056244428802300177 0.012708302158650842 0.015665079163112262 0.27494984268772704 3.1592489688845444 -2.2593891656027298 0.010754295877972834 0.96494632863980345 1.573524500507719,0.018659551722535167 0.052368466034096332 0.1122535940511767 0.13461004154242701 0.11066662252828065 0.14596413985421222 0.077335037758497774 0.084792200366768058 0.037489464530987643 0.016617238331818964,0.00082693108780685308 0.003060520122210043 0.011341365101235634 0.011311636311500256 0.27801662446470765 3.1542979515636151 -2.2663153752528062 0.0063749563277791157 0.958965388643781 1.5723522291598946,0.010516618071161717 0.031097606961682959 0.11984012805615255 0.15093820497047711 0.1102763228632747 0.16379338857790557 0.093970876962413533 0.097344020020538158 0.05119019241931784 0.019983440293443497,0.26430470428900965 0.69409368091991952 1.5547290874982855 3.7371357035245767 -0.31241785652761228 4.090224111037573 4.6810161311020027 3.4121359803246958 3.5910251026253488 0.64014314383102244,9.4099436817022504 14.441356123140412 1.1423598509256661 0.81828648287887118 -12.507676510286343 0.64434239151203054 8.1065343052219845 -0.20729457857868841 2.6806589565032741 0.0050109522578090943,15.314534065856378 19.521407003873719 23.075931614279796 0.081518086721256822 -11.231375200724528 0.21846213006665494 7.5256970429509238 -0.23769835342262224 2.5122346971286902 -0.00032702550402063935
stanford_tidybot,casadi,0.140012549,0.02508055,0.150414366,0.292519613,0.332760174,11.003764,0.036146,0.527074,0.00237,0.074815,0.035499,11.763708,0.034172,0,0,0,0,0,0,0,0,0,0,0,0,0,11.003764,0,0,0,0,0,11.837068,0.5501882,10,1,0,0.059695559,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00058153693211728777 0.0023197684435321648 0.0094764809313007993 0.0078105402616698537 0.27824264210387162 3.1505158276957341 -2.2701140417652139 0.0035383938721470498 0.95591448455705641 1.5717328747314661,0.0049156525938353814 0.015144427323698742 0.091100259372526041 0.076188770106276255 0.11800224125571959 0.081121292501481368 -0.0018178285839961779 0.029182129771681907 -0.0226338432441981 0.0063799074790095731,0.0019405053524017011 0.0066907317323204683 0.014975679316149468 0.018372089081775202 0.27716772577223991 3.1621658709554863 -2.2578488714304652 0.012434886749479018 0.96568215444603411 1.5738366949409555,0.020575986150464173 0.054172937775613841 0.1142974085984358 0.13586742314611563 0.11093812997916425 0.14548671597413018 0.076567857778454457 0.083128858318487986 0.036032905916865761 0.014577416238818485,0.00090999181741848964 0.0032667209386561249 0.012876635334114633 0.012677259368735358 0.28033379621543897 3.1557469213715414 -2.2662820340506089 0.0069365575093715565 0.95850157658896995 1.5724068756478946,0.010317757964684482 0.028856777289356275 0.12341696827321436 0.15582745594450753 0.11021174430056896 0.16699351680737173 0.096621406675978239 0.098967786007964353 0.053059125274941783 0.018184368343442371,0.27010526854245503 0.68561749828287666 1.6158354450344157 3.9819342919115637 -0.38952484775753166 4.2936112152945185 4.9219617629987207 3.4892828118141219 3.7846484259569939 0.59022304322163999,10.430088333317057 16.322154129082158 1.2791646572613193 0.83665316136433043 -12.977646788141975 0.66428953220897224 8.397128429466008 -0.21569480657704593 2.7794134767986085 0.0051553478757660883,18.867552861104627 32.758960101170032 22.741336159971183 0.21480514409087803 -11.408264896260562 0.36229005221684929 7.9094559041368484 -0.26900831068903885 2.6119816230450965 0.0026438846615519651
stanford_tidybot,casadi,0.160015134,0.028481511,0.145565888,0.292017205,0.340006195,10.661979,0.034283,0.561339,0.002226,0.076116,0.034926,11.511029,0.037506,0,0,0,0,0,0,0,0,0,0,0,0,0,10.661979,0,0,0,0,0,11.586013,0.53309895,9,1,0,0.065474753,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00066320250173423077 0.0025641906210845536 0.010878685070511955 0.0089841223100279293 0.28037753118800252 3.151799230552474 -2.2701406979316205 0.0040413105207864411 0.95547175850641164 1.5718382966597402,0.0049298658524033747 0.014312343648590572 0.098524571757646492 0.080328419213202898 0.12170034763554156 0.084589214624226097 -0.00064936660317523737 0.029810284778747493 -0.022864224894506527 0.0058614368460368433,0.002371208616442765 0.0077922619011947473 0.017282096350493843 0.021102023155601817 0.27938919595848005 3.1650709279593161 -2.2563251389065559 0.014080886897484912 0.96638828648140962 1.5741079067296158,0.02248826883442414 0.055963739429650244 0.11630937639848352 0.13708402957569396 0.11117432286152366 0.144975820406471 0.075782622871112162 0.081446574026628721 0.034569976607969177 0.012540567409774953,0.00099541218607383493 0.003469905226936249 0.014438498494921195 0.014043853060589088 0.28256420887417738 3.1571771919345739 -2.2662245402519314 0.0074961793771008475 0.95807971915392187 1.5724513277804508,0.010455659680087322 0.027736344203719461 0.12805734911598643 0.16066724783003783 0.11042878282290278 0.1702015006668175 0.099334985386283256 0.10034894771342963 0.054641089038960838 0.016421190137123162,0.2762896913841974 0.67120002775644449 1.4766388679169968 4.0169414308417464 -0.5635782406319394 4.2806143021295702 4.9992175994729244 3.5269331467341067 3.8752656966733681 0.52798766455431601,11.265095271115705 17.782151171758358 1.1858513059142015 0.83193463380056831 -13.260241613814943 0.66334092261659294 8.5395920783567636 -0.21785143888848862 2.8332216733569409 0.0051491014924851079,20.467586621020359 37.045313828535654 22.668785548096594 0.20235640194251303 -11.388670976608978 0.36503841937246762 7.9290133425029126 -0.27225983424966893 2.6149877798574721 0.0037023879821163064
stanford_tidybot,casadi,0.17999599,0.031700538,0.144940041,0.299756206,0.34301369,10.408729,0.041311,0.426244,0.002305,0.060724,0.032306,11.077853,0.033633,0,0,0,0,0,0,0,0,0,0,0,0,0,10.408729,0,0,0,0,0,11.155133,0.52043645,10,1,0,0.071352444,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00075251529849784714 0.0028163124335519683 0.012452451278558586 0.010305227127739989 0.28278527066704134 3.1532325114233957 -2.2701523158773065 0.0046094329399059145 0.95497211518263714 1.5719442866955926,0.0048439173331915764 0.013274641673772044 0.097365780233775623 0.081233916911673407 0.12060439722885569 0.084445807020719743 5.673394764464418e-05 0.029842585739786737 -0.022963960127959149 0.0052319499164630457,0.0028396009227638695 0.0089282306683850336 0.019625879505937714 0.023852886850422132 0.28161261894736911 3.167962290454494 -2.2548189265983698 0.015691306825621656 0.96706436633097959 1.5743381682666688,0.024395278974645475 0.057739819781237017 0.11828833191110252 0.13825920174440201 0.11137515559599355 0.1444318658307234 0.074979875737681889 0.079746475872622707 0.033101650042372102 0.010508042275658653,0.0010872943382439868 0.0036839042743595724 0.016070740049466861 0.015482556471853825 0.28487991939410062 3.1586700291738072 -2.266147557757094 0.0080809235079730701 0.95764785352400927 1.5724911779372559,0.01067396993862647 0.027046656599030567 0.13127085293562377 0.16540522921048623 0.11025960581468738 0.1732565948141282 0.10204029353888719 0.10139913220137478 0.056091046421634275 0.014660599957360404,0.29150263027174467 0.68860074626292611 1.6952536350924072 4.2085656149406407 -0.51723957070841509 4.4405393896704224 5.0991779795621266 3.577827323079402 3.9527503274796709 0.47143250204486792,12.040378454242299 19.076139679606221 1.3522326120519323 0.84165817824098288 -13.377533925206397 0.67770348230942989 8.6089704018625994 -0.22337041538504324 2.8571055666402296 0.0052637828954975076,21.443948350106439 39.227134877817662 23.590874518307601 0.23757830154193726 -11.690492037472723 0.39999042272665974 8.0075404649423945 -0.28616945496249224 2.6662302951809806 0.0044483445967671287
