robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
ur,pinocchio,0.000051473,0.000015882,0.308565433,0,0,4.098433,0.010525,1.718379,0.003638,0.202802,0.107563,6.382066,0.05057,0,0,0,0,0,0,0,0,0,0,0,0,0,4.098433,0,0,0,0,0,6.446577,0.512304125,9,1,0,0.003517275,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.0393008397066462e-20 -1.5707963267948966 -3.2706020792400404e-21 -1.5707963267948966 -3.8590247334321737e-22 2.1903526215856919e-23,5.1965041985332307e-18 5.3087811679704021e-18 -1.6353010396200201e-18 4.8970133651502196e-19 -1.9295123667160867e-19 1.095176310792846e-20,7.7512137449501477e-07 -1.570792546403774 6.9575949774516295e-06 -1.5707882035487997 8.0525214408918133e-06 7.6237153823816769e-06,0.015066785984049345 0.073450710594214388 0.13517576379298332 0.15781939750720653 0.15644310215671936 0.1481104931917574,0.00013124401852967127 -1.5701968017138224 0.0010957638566318811 -1.5695210397573711 0.0012613688931315118 0.0011919118164416562,0.017550348133477778 0.075484359012383984 0.13702351263428009 0.15896865503160509 0.15688293628658836 0.14795943132275499,2.1937935166847216 9.435544876547997 17.12793907928501 19.871081878950637 19.610367035823547 18.494928915344374,0 0 0 0 0 0,0 0 0 0 0 0
ur,pinocchio,0.008012732,0.002481036,0.31072511,0,0,4.291283,0.008938,0.603857,0.003527,0.114879,0.049734,5.243182,0.025314,0,0,0,0,0,0,0,0,0,0,0,0,0,4.291283,0,0,0,0,0,5.278944,0.536410375,8,1,0,0.004992281,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,5.2911577714707616e-20 -1.5707963267948966 -1.8061141642602072e-20 -1.5707963267948966 -1.3155783519307227e-21 1.007810186422122e-22,7.3204034337041209e-18 1.7968525630940356e-17 -2.6046380459508376e-18 1.6035666184319137e-18 -1.4091618916697771e-19 1.3274326902407393e-20,0.00013056433343435422 -1.5701997258629208 0.0010904556014121594 -1.5695271982550436 0.001255291131698035 0.0011861797053534157,0.017538322539460173 0.075474526816022333 0.13701459782630376 0.15896313150220143 0.15688085050714018 0.1479601932241984,0.00028157903929630575 -1.5695848144912283 0.0021992969936033757 -1.5682447515093456 0.00251813059015701 0.0023749410254632363,0.020033290703256094 0.077511320574209688 0.13885746018486628 0.16010049720285657 0.15730442851206011 0.14779577282120984,2.5041613379070107 9.6889150717762096 17.357182523108285 20.01256215035707 19.663053564007512 18.474471602651231,0 0 0 0 0 0,-3.3026978562780649e-15 0 8.9918008902777581e-16 0 3.0785991255328692e-17 -2.7013878150198301e-18
ur,pinocchio,0.015999057,0.004899348,0.29343818,0.017018571,0,4.343407,0.005645,0.387094,0.002366,0.071391,0.026723,5.014584,0.037953,0,0,0,0,0,0,0,0,0,0,0,0,0,4.343407,0,0,0,0,0,5.059843,0.542925875,11,1,0,0.008895826,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.1316877084061243e-06 -1.5708008945608964 1.7962428322400038e-05 -1.570751800023076 4.4219324420166083e-05 4.1249793138337557e-05,0.0018012045167013877 -0.001229781183367555 0.0053890914127657299 0.011839246038596063 0.01196699718027513 0.011180394584211335,0.00028052940062693414 -1.5695888769771278 0.0021920189546988825 -1.5682531431441467 0.0025098853920389936 0.0023671941330565705,0.020017024819719648 0.07749806198523343 0.1388454893679556 0.16009313823871546 0.15730172665322664 0.14779688607327959,0.00045177459865419517 -1.5689566387866412 0.0033174460582822613 -1.5669594784727818 0.0037781907596654289 0.0035566106336661005,0.02251545660100553 0.07953145639724693 0.14067747227566832 0.16121483791937835 0.15770754966204242 0.14761953387520763,2.5892815105380178 10.095154697576811 16.911047607862823 18.671948985097785 18.21756906022091 17.054892411374539,0 0 0 0 0 0,0.010128627470270546 3.1816955986359972 2.5527856770205384 0.74208669717154407 0.45363412018221005 0.45714522795199453
ur,pinocchio,0.024000107,0.007139477,0.275405973,0.02093468,0,4.239019,0.006982,0.45892,0.002995,0.091658,0.037314,5.05224,0.026637,0,0,0,0,0,0,0,0,0,0,0,0,0,4.239019,0,0,0,0,0,5.087507,0.529877375,9,1,0,0.015624061,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.3229612065402094e-05 -1.5708114720802888 0.00010193603942132388 -1.57059045352216 0.00020704210170810797 0.00019338638516175395,0.0041248502746316831 -0.00096931486569086175 0.013251867098751986 0.023230538646008936 0.023571960196932609 0.022046710252028822,0.00045061847895747363 -1.5689607236668697 0.0033102203182174667 -1.5669677592518285 0.0037700900186360426 0.0035490279785946079,0.022499522044666227 0.079518507676386713 0.14066583116678191 0.16120773902223473 0.1577050199808907 0.14762070555460496,0.00064182385493597935 -1.5683123297601473 0.0044500990333633242 -1.5656653609995808 0.0050414023210330564 0.0047368200646107769,0.02499668875868424 0.081544628005986192 0.14248341565323272 0.16231159232308329 0.15809227196500039 0.14743073138188995,2.6089798105065696 10.314242858959632 16.153943569310091 17.385131709634294 16.815038971008473 15.673002641232641,0 0 0 0 0 0,-0.63724371565302773 6.2037401254065117 3.1402019542170567 0.18942960954063892 -0.013683723724773778 0.032473544845434077
ur,pinocchio,0.032001749,0.009244411,0.258981178,0.026680124,0.101939525,4.556619,0.009179,0.77896,0.004294,0.132346,0.058787,5.808213,0.029751,0,0,0,0,0,0,0,0,0,0,0,0,0,4.556619,0,0,0,0,0,5.849312,0.569577375,6,1,0,0.020598333,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,7.6472965002440135e-05 -1.570811467555461 0.00024560559852044943 -1.5703436317802861 0.00045529624101276497 0.00042528921877045387,0.0060414758616734367 0.00085801994361220173 0.020700364079664742 0.033621992558854605 0.033910607395981299 0.031690617540915372,0.00064058130292846929 -1.5683163841746783 0.0044430144659860834 -1.5656734316130738 0.0050335413989358539 0.0047294891887821331,0.024981269866346231 0.081532136929960877 0.14247223453455241 0.16230482993250867 0.15808993760199741 0.14743194364970064,0.00035251330337131043 -1.5708977307235552 0.00097078402458536102 -1.5691210649266021 0.0016786830267820772 0.0015586233608362999,0.03450504229610879 -0.010782896011771041 0.090647303258113945 0.15282085671049994 0.15292334822116405 0.14166676775823078,3.5579458043044188 -1.4551144944229053 8.7433673973061499 14.899858018955667 14.876592603147843 13.747018777164426,-1.4377051879226279 25.45716111145693 15.290928698963898 1.4405213526825495 -0.21548664871068482 0.012217943498659125,-0.94853096243602941 8.3627981324825669 4.0020185413067679 0.19018545682502008 -0.059606778554561757 0.0020109597042674565
ur,pinocchio,0.040012055,0.011223775,0.243354408,0.031097922,0.100849801,4.157951,0.032105,0.583928,0.003597,0.102821,0.052287,5.076903,0.016064,0,0,0,0,0,0,0,0,0,0,0,0,0,4.157951,0,0,0,0,0,5.127071,0.519743875,8,1,0,0.020796426,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00013454456512622607 -1.5707914433712726 0.00044945927499718733 -1.570017044540557 0.00078231400572199698 0.00073049619379837098,0.0078501115085413582 0.003729048827448905 0.028265642615212878 0.04333550648809277 0.04346483337068973 0.040574795738538422,0.00085063586915577565 -1.5676552368849073 0.0055914559743324016 -1.5643689805452807 0.0063013718918723989 0.0059096653718911469,0.027464612794161014 0.083540830570264901 0.14426636465368878 0.1633854033382198 0.15845680942390303 0.14723040576719384,0.00043234370995067915 -1.5708453893423262 0.0012168513565277866 -1.5687568772324298 0.0020371260782618443 0.0018893992967284623,0.037224893103056628 -0.0067432463817084752 0.095924010191324918 0.15752091351590292 0.15685150906748088 0.14486288786626142,3.6718476993144087 -1.3090369011446725 8.4572959470140052 14.273175878476268 14.173334462098893 13.036011515965374,-1.4251159520639207 25.401821653732952 15.12747016222831 1.4135550822076666 -0.21251181760532575 0.011715530188024858,-1.1795393081108707 10.010169974574637 4.6646883281462177 0.18057605767080531 -0.09928219239737146 -0.025455381027207125
ur,pinocchio,0.047999157,0.01348334,0.302240233,0.024061097,0.076693885,4.01565,0.006497,0.504466,0.002514,0.080319,0.029274,4.790086,0.013907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01565,0,0,0,0,0,4.81148,0.50195625,9,1,0,0.022841036,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00016262672211218599 -1.5707269992646924 0.00059777115241383078 -1.5698687954363493 0.00093013188345469737 0.00086947445328395981,0.00099113833953337659 0.0095323506396074349 0.011870890069842446 0.0083585984143251767 0.0076716807015000943 0.0072712367252089228,0.0010798830700780723 -1.5669800131769316 0.0067508227579179941 -1.5630597608014867 0.0075683821667026016 0.0070847654837694054,0.029939517419848141 0.085536479229537707 0.1460409913487434 0.16444512626982702 0.15880420119210287 0.14701694617746558,0.00079972193217051925 -1.5708361323439812 0.0021517323771007542 -1.5673521556171495 0.0034227434135134377 0.003166069346936817,0.045922277777480015 0.0011571247931342551 0.11686012757162098 0.17559020191004834 0.17320216690644918 0.15958375627604435,5.6163924297433301 -1.0469032308091475 13.123654687722317 20.903950436965395 20.691310775618636 19.039064943854427,-2.7845913463508012 24.555440523113212 11.504082714720944 0.90871526696566907 -0.17051257000382372 0.0026191166003843936,0.056274955482696898 -4.9277532185778909 -3.6091644940841054 -0.57828813219202857 -0.25733344032632255 -0.28945919083562632
ur,pinocchio,0.055999187,0.015883561,0.301918387,0.012921618,0.1147505,4.321111,0.005713,0.450542,0.00226,0.070665,0.029787,5.025842,0.017306,0,0,0,0,0,0,0,0,0,0,0,0,0,4.321111,0,0,0,0,0,5.04994,0.540138875,11,1,0,0.026971602,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00017301736907581269 -1.5706624102757729 0.00068645168461119502 -1.5697805388114514 0.0010129016035032208 0.00094682498859777653,0.0013697195019044105 0.0073044850322641613 0.010559266115235402 0.010823592388882733 0.010248211886033176 0.0095658566740755846,0.0013293111644108705 -1.5662877477501793 0.0079262169754701524 -1.5617400084484714 0.0088401508496922399 0.0082600085778205927,0.032417025299216765 0.087527987670737259 0.14780403992954624 0.16548874586570353 0.15913369643058822 0.14679064236544867,0.00050458250298355818 -1.5707295720847498 0.0014504920884918513 -1.5684998011539721 0.0022806779305844611 0.0021094291727779303,0.041445641738468188 -0.0083952261221150234 0.095505050485082038 0.16009220718490486 0.15847204088515501 0.14532552302251925,5.0094902795704721 -1.962463894297398 10.618223046230829 18.658576849502765 18.527978624890231 16.969958293555457,-1.0426502529731769 27.447343443289721 17.212575054057915 1.6499605539675741 -0.23716466753580204 0.015056658381609068,0.57716730682739925 -4.2641340832478818 -1.895219144982903 -0.20788877260019945 0.0036813804986230991 -0.024469566055187464
ur,pinocchio,0.064002647,0.018154831,0.284873232,0.007795964,0.084602236,4.286124,0.005842,0.451367,0.002176,0.068028,0.025297,4.995478,0.012383,0,0,0,0,0,0,0,0,0,0,0,0,0,4.286124,0,0,0,0,0,5.014907,0.5357655,11,1,0,0.027576029,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00020991415312824769 -1.5706291623627719 0.00081293021588354825 -1.5695956788011569 0.0011919184223146925 0.0011121550210227381,0.0051066351525819705 0.003367081574824452 0.016444802809028079 0.023060793732587914 0.022543134876186463 0.020832326584163997,0.0015986729430050512 -1.5655792731298892 0.0091161703200124244 -1.5604114075607971 0.010115028430429156 0.0094338939372294473,0.03489403378868184 0.089512832061579298 0.14955324333525905 0.16651488856077856 0.15944482513868585 0.14655174438264162,0.0009266298460453438 -1.5707357027548143 0.0024184827437043173 -1.5670331484437521 0.0037185990241418048 0.0034256097188703873,0.052755917882723199 -0.00076633375807115892 0.12099883190155826 0.18333158877751704 0.17974013669466796 0.16452256826155709,5.9561603412676529 -0.51667691661195136 13.069253636566273 20.033849380616143 19.649625227310189 17.961280209674136,-2.916621649777738 26.686004377506059 12.690335348571077 1.0102684140366731 -0.18718628845535482 0.0032112458428405514,0.45121338273183742 -2.5726680200532428 -0.96306614975553728 -0.1993885007177596 -0.030700224277515176 -0.042439023643934704
ur,pinocchio,0.071999375,0.020630103,0.307125122,0.011682563,0.075953517,4.297248,0.005898,0.409007,0.002464,0.069961,0.030899,4.966905,0.015016,0,0,0,0,0,0,0,0,0,0,0,0,0,4.297248,0,0,0,0,0,4.988993,0.537156,11,1,0,0.032575661,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00022624903043446225 -1.5706011958810595 0.0008801965763449663 -1.5695254006992474 0.0012604331638818916 0.0011756653990799362,0.0022379368466930874 0.0047365318876155717 0.0098915680920924343 0.01080625613878556 0.010342082345121505 0.0095721841058427296,0.0018876010225904309 -1.5648555593385016 0.010319046008419803 -1.5590757937497923 0.011391246616953449 0.010604832438423421,0.037367242031865672 0.091488360621354875 0.15128626112403093 0.16752218401384264 0.15973718297797651 0.1463005837049712,0.0013761692625534048 -1.5706457710071242 0.0034743539204187563 -1.5655297088150166 0.005181649918270451 0.004761600800681139,0.056192427063507619 0.011241468461263091 0.13198389708930486 0.18792995359194001 0.18288136176608077 0.16699888522634396,6.7443112771018168 0.81311707170593994 15.261541124651552 22.140462181644306 21.567409927619906 19.678337640062651,-3.2115045779378208 25.064660530283739 11.012247974082214 0.8340003674507912 -0.16460631569334389 0.0012778375035084337,0.1100304046352254 -2.68509291652299 -1.7523845173396984 -0.28792224184871884 -0.10181002722066523 -0.11825622650176104
