robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
stanford_tidybot,pinocchio,0.000038325,0.00015769,0.282393908,0.058039679,0,10.267035,0.007514,1.688108,0.002271,0.167313,0.106331,12.372763,0.044248,0,0,0,0,0,0,0,0,0,0,0,0,0,10.267035,0,0,0,0,0,12.427412,0.51335175,25,1,0,0.006510618,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-3.8634006821423992e-07 7.4923687796118775e-09 -7.6350533117685957e-08 1.1997566711281607e-06 0.26192212160151218 3.1415925333089665 -2.2690190894668301 -2.8412485971051435e-07 0.95988980957247505 1.5707963419194015,-0.00010846054273303256 1.8358038935961362e-06 -2.2523475400626703e-05 0.00029414581135945233 0.039600921097835737 7.1397494506581958e-05 -0.028817627385088952 -6.373888166125818e-05 -0.014663272781632522 5.1316799193893464e-06,2.733022137526672e-07 1.5832229750064514e-06 3.8090185016104367e-06 4.8385696954362791e-06 0.26180354079831969 3.1415983263609677 -2.2689249051772471 3.6148390258253355e-06 0.9599328547349697 1.5707974356345207,0.00713301786998071 0.041312246355703131 0.099389442268312617 0.12625244878795375 0.10830571703664066 0.14811093533350339 0.081534225087041792 0.094319194025857034 0.046045233890534193 0.028846960344097401,0.00016218441307246334 0.00084654892645522365 0.0020138025267773243 0.0025448491163227098 0.26397451920423798 3.1445578782941341 -2.267300706737216 0.0018746962449587463 0.96083973457719263 1.5713540076991732,0.0090579828829065474 0.043182629011954049 0.10160530307265538 0.12774226952133755 0.10878634583510166 0.14783852933220948 0.08088235552410046 0.092785208742297717 0.044641153652441923 0.026809955894229732,0.45832217128197905 2.1590396604030224 5.0813913274028 6.3724061854989049 3.4592712368632963 7.3883565918851453 5.4849991454594704 4.6424473811979485 2.965221321703722 1.3402412107155171,0 0 0 0 0 0 0 0 0 0,4.4048935514525445 -0.099339785802909697 0.017216970274037898 -0.031796182517281307 -2.2635474844566943 0.01349327318075666 1.738059027116833 0.003994500957893948 0.30482399002204374 -4.2229059545206837e-05
stanford_tidybot,pinocchio,0.020000302,0.005556664,0.207398983,0.339665847,0,10.081798,0.006342,0.421127,0.0019,0.073939,0.033002,10.723281,0.028167,0,0,0,0,0,0,0,0,0,0,0,0,0,10.081798,0,0,0,0,0,10.759111,0.5040899,25,1,0,0.006923637,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,7.1436531933744443e-06 4.8409581807183313e-05 0.00025001171288717157 0.00022392946395278021 0.26377145374353494 3.1418242878624874 -2.2701088733231116 9.0682345974291503e-05 0.95912035564245501 1.5708180150979631,0.0025328017994169158 0.013973562405871696 0.073517111023105181 0.060971441517507288 0.12143662564096037 0.063190854809047681 -0.044531477655958371 0.017942510685550757 -0.043478872678633561 0.0055920240218306147,0.0001618400709517243 0.00084490706077025059 0.0020099392679279325 0.0025399920251692218 0.26397038283775603 3.1445522570192672 -2.2673037821509343 0.0018711682171190928 0.96083803713568672 1.5713529882305655,0.0090543239171629684 0.04317908283900538 0.10160111667714056 0.12773947326862101 0.10878546499243455 0.14783907981599384 0.080883613380001385 0.092788146300644678 0.044643832055461012 0.026813830116232364,0.00036258707410532083 0.001728819396568714 0.0040678354223692972 0.0051142748518952785 0.2661547632213862 3.1475116386424458 -2.2656897410003913 0.0037148748579376471 0.96171843814485003 1.5718698239784534,0.010982116384415546 0.04504266369329521 0.10379330619223194 0.12919391570996216 0.10923226332990803 0.14753178974025541 0.080210979454948164 0.091228973973943403 0.043227663037793101 0.024771467666614339,0.42246572924993153 1.5534550643711758 1.5138097584563379 3.4111237096227436 -0.61021811555261729 4.2170467465603867 6.2371228555453264 3.6643231644196317 4.3353267858213336 0.95897218223918612,0 0 0 0 0 0 0 0 0 0,70.052675802927851 315.00976041631327 43.875072678281761 -0.017556447188097124 -10.624668136572836 0.96927105333725194 10.933993747670684 -0.4606066704303835 3.0569926271130043 0.019176825625777383
stanford_tidybot,pinocchio,0.040001947,0.009216041,0.141249321,0.348382348,0,10.03169,0.009498,0.489655,0.00271,0.101995,0.041383,10.782898,0.032216,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03169,0,0,0,0,0,10.826123,0.5015845,18,1,0,0.015164708,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,7.7310249996332436e-05 0.00040097320459087169 0.001868889368187447 0.0013980908854658498 0.26629679973034576 3.1431566226896477 -2.2705055163454539 0.0004988580314343854 0.95836626806010949 1.5709473736839725,0.0057017780962223255 0.027107713985629799 0.11839426318486805 0.088609949491229856 0.13111124405511571 0.099967590094948974 0.00399126911657039 0.029210942583495943 -0.028278686803125039 0.009578097914760067,0.00036218763031599794 0.001727180895911333 0.0040640597013992799 0.0051095750830216736 0.266150789584289 3.147506271720284 -2.2656926589379345 0.003711556078472315 0.96171686556200842 1.5718689227745426,0.010978617537806956 0.045039290085025607 0.10378935199306483 0.12919131015280355 0.10923148381403458 0.14753237878919875 0.080212218238740252 0.091231824591826868 0.043230242372968089 0.024775176508342271,0.00060146126518358469 0.0026481841201054105 0.0061653460802975788 0.0077123491925521438 0.26834357775862239 3.1504589215256971 -2.2640923966046089 0.0055237092560350056 0.96256878063218054 1.5723448599480589,0.012905079400042173 0.046891995322029791 0.10595300536001009 0.13060707932839158 0.10964338425043815 0.14719079662164258 0.079520246656365812 0.089650847153490476 0.041805102498494555 0.022732010766435419,0.36016506519099234 0.98921406681999957 -0.62206289124289782 2.0998564918580862 -1.0733929902338777 2.3611603263346805 3.7764488769897713 3.0219952284997267 3.5041894650809797 0.65769564258376756,0 0 0 0 0 0 0 0 0 0,22.458789026926979 62.526407703534232 5.826468952971851 -1.265815943559895 -12.625988053429296 -0.80130242549694231 9.9242707125331435 -0.073903663678051235 3.1354411306659244 -0.014912714159663665
stanford_tidybot,pinocchio,0.060002408,0.012165788,0.098939289,0.353554893,0.176087679,10.384877,0.010083,0.548832,0.002913,0.102421,0.044279,11.217674,0.024692,0,0,0,0,0,0,0,0,0,0,0,0,0,10.384877,0,0,0,0,0,11.254958,0.51924385,23,1,0,0.020498318,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00018026151716561689 0.00087062799111590746 0.0035698928849983028 0.0027206107490175806 0.26853601637053426 3.1447098589328553 -2.2702474944064157 0.0011301407640065479 0.95793764120188973 1.571119269130727,0.0080347746612119408 0.03477130341219347 0.12612634998916777 0.10927280638068522 0.1225609893625261 0.12065781027844107 0.027178111719896092 0.047524480783654607 -0.015354586310075373 0.01257885756487472,0.00060099781544132713 0.0026464999597756219 0.006161540635395416 0.0077076582230364782 0.26833963970988794 3.1504536348623065 -2.2640952527558951 0.0055204892153132568 0.962567279072293 1.5723440434166442,0.012901627298352649 0.0468886840042914 0.10594915249754495 0.13060457617138696 0.10964267717512183 0.14719143964577536 0.079521504367654539 0.089653700639518483 0.041807665129344501 0.022735673885890206,0.0006273129582003564 0.0026240506145267526 0.0071598140926925763 0.007940458316735826 0.27068295960995237 3.1506285527415683 -2.2654712036173579 0.0052118545873777429 0.96117177632165252 1.5721940874741716,0.012302871822946603 0.043691328750746827 0.11514126221290902 0.13654089035484901 0.11225073426941842 0.15211291350589404 0.084758813367089861 0.09384567494938087 0.045570091618759273 0.022591160897732721,0.21340485808673312 0.44600126692766784 -0.54925438881293775 1.3634041987081895 -0.51551275465538393 1.5727551613726485 2.8790350823596884 2.3160597082863132 3.0462338964417324 0.50061516664289996,3.9406869989505329 4.9742012277423893 -0.72353142163418593 0.49100255477470928 -6.8674194883283857 0.37115011956943672 4.5372793517504091 -0.1118742175427115 1.5021793454781898 0.0029574267967595515,79.012835657710298 270.43367659490286 32.797038066547827 0.47171735186349473 -11.798274674853815 1.2598419686073612 10.489921246422455 -0.6521787546961515 3.1819940407527838 0.013943033060286325
stanford_tidybot,pinocchio,0.080000661,0.014384346,0.131813704,0.292508624,0.20919675,10.236489,0.006624,0.49276,0.002095,0.08161,0.038715,10.998233,0.021098,0,0,0,0,0,0,0,0,0,0,0,0,0,10.236489,0,0,0,0,0,11.027639,0.51182445,24,1,0,0.031620669,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00032569656283076875 0.0014761821802385666 0.0054836085244662908 0.004380092733390276 0.27091905428990098 3.1466618176501622 -2.2695727350141923 0.001923561249076663 0.95769416699526067 1.5713383748646834,0.0064060688241051426 0.024726063476507427 0.088583970989079802 0.075369311223991903 0.11635115560910191 0.0855932527366801 0.020389672815717658 0.032495418701954416 -0.01171310193131684 0.0087952406369328755,0.00087822182936006423 0.0036025901881794669 0.0083016932029883698 0.010333328568719878 0.27053612232697133 3.1533935130411117 -2.2625120274964128 0.0072974487880049215 0.96338906336849783 1.5727783219646367,0.014822916222598724 0.048726819380837075 0.10807997379159451 0.13197890840586959 0.11001895502501004 0.14681637401296746 0.078811665083623195 0.088054222099470489 0.040376517494014226 0.020695941790706822,0.00080277801444846399 0.0031727021010155973 0.0090151658282893593 0.0098260368612627415 0.27295527321861546 3.1527520809833081 -2.2647502864897255 0.0062219148936587618 0.96119602107698066 1.5724584311797529,0.012903320771690197 0.042123105443891015 0.11411332023259521 0.13903264111108565 0.11072739794577022 0.15568280510222893 0.087177721613725584 0.091302122036466815 0.04441215910539064 0.023531131016597279,0.32486259737925272 0.86985209836917943 1.2764674621757703 3.1831664943546873 -0.28118788316658438 3.5044776182774413 3.3394024399003963 2.9403351667256197 2.8062630518353737 0.73679451898322013,5.1865785708844143 6.9710751066020364 0.13533366435038624 0.43521660123459482 -8.1586732410526785 0.32397755971443676 5.1116749147649587 -0.11185411864417474 1.7059936654954428 0.002454277550247934,-13.425168898295397 -99.200662577331968 8.2521176092776614 -0.10268963945005183 -11.407836335824754 -0.32358025606845331 5.6961037691089587 -0.083140243343650333 2.1992735680381088 -0.011531497888881859
stanford_tidybot,pinocchio,0.100001868,0.017331091,0.121971745,0.307754644,0.280032093,10.143754,0.00723,0.445579,0.001872,0.06777,0.0364,10.875522,0.028192,0,0,0,0,0,0,0,0,0,0,0,0,0,10.143754,0,0,0,0,0,10.912779,0.5071877,17,1,0,0.040618841,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00044542820169681522 0.0019214575363935991 0.0070276449213046606 0.0057645899237512149 0.27324667602934666 3.1482260355074119 -2.2694043122813459 0.0026072380747835184 0.95733260107045537 1.5715104414632362,0.0073247383435162371 0.025989350170442897 0.10745954947299356 0.092492734047032565 0.1220831641129695 0.10135851546906691 0.011859295639381678 0.034170744661079264 -0.01717979963101865 0.0098022071610844204,0.0011938998176477661 0.0045954757910914796 0.010484492949207194 0.012986486801462546 0.27274010660376075 3.1563259822093035 -2.2609429578160585 0.0090424646902133761 0.96418225783115152 1.5731718642864672,0.016742641450091411 0.05055381859736937 0.11018192847190625 0.13331436674386965 0.11036034211572937 0.1464071740371696 0.07808267239014173 0.086433340091618946 0.038936773202443042 0.018655968377974751,0.00086517338548585255 0.003305819634125802 0.010389254327246652 0.010693949087712979 0.27533562441307102 3.1536766124660618 -2.265273732137735 0.0063241700935676923 0.96023096609597225 1.5724186388361909,0.012233235108112483 0.038106970920577833 0.1185862468131174 0.14505266236924375 0.11176065705591276 0.15933562905716542 0.090107955557770264 0.095325456578194134 0.048196905228235665 0.021518956751053024,0.24542483822981229 0.60588103750674682 0.55633486700619184 2.6279964161105589 -0.51612535285283712 2.8988556794049254 3.9124329959194291 3.0577355958557435 3.2688352429627154 0.58583747949843012,7.2864120963530699 10.313461109243958 0.21264000168218666 0.66407287908606583 -10.921251638819387 0.50762882580394264 7.0484229490658299 -0.16386186247970985 2.3377328148094008 0.0040136854331245227,9.855508518619331 6.0769972189077635 4.6634700806424689 -0.94289783161049101 -12.002431116548792 -0.68415928524882474 8.4587200835394469 -0.072994309597899321 2.7649232078192085 -0.013925001351594801
stanford_tidybot,pinocchio,0.120005171,0.020357904,0.138375271,0.290479783,0.311104207,10.230349,0.011801,0.798479,0.003151,0.116208,0.051967,11.343673,0.036951,0,0,0,0,0,0,0,0,0,0,0,0,0,10.230349,0,0,0,0,0,11.394195,0.51151745,14,1,0,0.049190856,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00056142749485059114 0.0023224211667953448 0.008499998895780481 0.0070644855760988046 0.27539478425271857 3.1497015548349525 -2.2691926395471191 0.0032158539119816736 0.95700494661570956 1.5716670010825422,0.0062627725272463583 0.020605725814623905 0.094673209023286048 0.079547687250960966 0.12026862620488463 0.086548442802048764 0.0069894546068231655 0.03084855969938527 -0.018051134085535197 0.0077456942050059679,0.0015479924407893445 0.0056248963421685581 0.012709274166377999 0.015666244753854246 0.27495080095055291 3.1592502327871688 -2.259388495960057 0.010755030090539479 0.96494665325835582 1.5735246443925641,0.018660381349059223 0.052369249300467248 0.11225448474653435 0.134610594092959 0.11066674758008879 0.14596394064838439 0.077334709917262184 0.084791485195816141 0.03748883606011983 0.016616355625714473,0.00094312538020303199 0.0034964941481868844 0.01185140979609554 0.011882802404160429 0.27759655786204152 3.1549514441740345 -2.265371054787126 0.0067181605095193494 0.95962818492916235 1.5724471918682053,0.011580986633891094 0.03420310733552593 0.12043464757847105 0.15023783227143478 0.11158011626309805 0.16309539791120131 0.093070472892505793 0.097329358947040617 0.050443147846498351 0.020123066008463822,0.26591070533223676 0.67986907604510127 1.2880719277592503 3.5345072510236908 -0.43442549708932882 3.8273477554576272 4.3040509142841312 3.3240399623827672 3.4247140966016776 0.61886859017289264,8.8186181727664597 13.066126596662471 0.78590041809258082 0.8246554846306241 -12.133064091009594 0.64706919289797638 7.818453582443265 -0.20680887490974389 2.5906279410307778 0.0050274162203998033,5.2439017303831861 -16.569444781649963 18.578467771980741 -0.053642338579575011 -11.328711547117905 -0.0031001769821159542 7.0445298681952409 -0.18189357211281365 2.4320806704416782 -0.0041091686326808485
stanford_tidybot,pinocchio,0.140011895,0.023562112,0.148364553,0.295115787,0.327917498,10.378765,0.011458,0.741128,0.003632,0.126111,0.057531,11.424607,0.03364,0,0,0,0,0,0,0,0,0,0,0,0,0,10.378765,0,0,0,0,0,11.47161,0.51893825,20,1,0,0.056537626,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00067008900597572123 0.0026704993686816523 0.0099883612971864034 0.0083425691148861537 0.27777422612428593 3.1511300377085352 -2.2691653818580924 0.003815377660874988 0.95655534496183203 1.5718058731616833,0.005525562367280309 0.017022172393729117 0.091437216829706694 0.076741094007935509 0.11975124889832081 0.081913462691554251 -0.000788850508611945 0.029820781222998208 -0.022089438733850678 0.0066035612728613359,0.00194049189572722 0.0066906963032383766 0.01497560456566592 0.01837200022449369 0.27716765321870562 3.1621657758071686 -2.2578489215058526 0.012434832383187797 0.96568213088049804 1.5738366854073036,0.02057592357825673 0.054172879018498071 0.11429734231529701 0.13586738271420429 0.11093812168225226 0.14548673212658531 0.076567883149734534 0.083128912996296794 0.036032953630259469 0.014577482864152993,0.0010274174522771195 0.003704364794962548 0.013379202253962913 0.013219073227816801 0.27991423103282953 3.1563713017568928 -2.2653533613791255 0.007249131688733635 0.95914103448330179 1.5724936876602409,0.01108531436428666 0.031085318646811428 0.12301286410767917 0.1553477263921986 0.11144734879260133 0.16651593553810132 0.095724372910263866 0.099078628592787238 0.052429165700692983 0.018310032103168304,0.27798759985031757 0.70315731265411552 1.5787823638986238 3.9303316192131543 -0.41519500528597386 4.2301236423273529 4.8256611709437909 3.4628923684894515 3.7259302217271832 0.58532354151534849,10.025999321128243 15.308467728420215 1.1506955834561277 0.85849115613728411 -12.788782409241024 0.68188960253441533 8.2696329146747249 -0.21965017124342825 2.7363234330338435 0.0052828389989676011,15.46187377836327 20.540020769978582 21.958026981911758 0.20565521661504249 -11.509515688108536 0.3247126702353853 7.7445223954600806 -0.26426491649289519 2.5864948889786206 0.0013772329670018735
stanford_tidybot,pinocchio,0.16000166,0.026849446,0.147839555,0.29495239,0.336169351,10.097536,0.007398,0.523058,0.002713,0.088412,0.037741,10.891293,0.026886,0,0,0,0,0,0,0,0,0,0,0,0,0,10.097536,0,0,0,0,0,10.927298,0.5048768,23,1,0,0.062894442,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00076839522027406933 0.0029653216699987734 0.011464744439310816 0.0096075417170989191 0.28013620959090524 3.15251920006546 -2.2691995102178604 0.0043836542287991028 0.9560645431860384 1.5719252400378874,0.0051915982722529107 0.015091968755610126 0.093439929862467769 0.078419677604941132 0.11896483931319631 0.082426801184469975 -0.0012714048685039678 0.029622216818213455 -0.022713898188748454 0.0058578843301476296,0.0023709056181796737 0.0077915078538677981 0.017280529207017104 0.021100176090817498 0.27938769799664598 3.165068974552717 -2.2563261600052216 0.014079789478667145 0.96638782067888973 1.5741077377487713,0.022486981735425418 0.05596253739120581 0.11630803145737979 0.13708322354812091 0.11117417558923624 0.14497617589747872 0.075783158026091132 0.081447713899568203 0.034570964450654142 0.012541938803257482,0.0011152188265340021 0.0039155957665505227 0.014950986951543869 0.014618393692185705 0.28224901108929523 3.1578400317230351 -2.2653068604636499 0.0078262647824034488 0.9586866230979183 1.5725393893159443,0.010887987055226957 0.0290584345151964 0.1264738320599943 0.16026801625261686 0.11119182526892413 0.16973259374368874 0.098469314433425534 0.10047361065412744 0.054174476272251332 0.01647243654537326,0.28481943914870228 0.69832328797931376 1.6516951098763264 4.0924169323837862 -0.38865070221360887 4.3652896279609381 4.9870359650964753 3.5425696917956992 3.8444187230499893 0.53072761076128161,11.011608287326411 17.090237306900473 1.3014623109649275 0.85186596428161221 -13.110604688893863 0.68216599203610173 8.4704892552351492 -0.22221684332461797 2.8036219372866964 0.0053033369980591862,19.8173671265846 34.799866889651184 23.512922582880151 0.24643936559928292 -11.503143199645251 0.40369083853784105 7.965167293164086 -0.28398212692035774 2.6335095514061777 0.0036608980350365528
stanford_tidybot,pinocchio,0.180001229,0.03000427,0.144548109,0.314964571,0.343130278,10.147622,0.007598,0.402794,0.002387,0.079184,0.044878,10.784065,0.031076,0,0,0,0,0,0,0,0,0,0,0,0,0,10.147622,0,0,0,0,0,10.825099,0.5073811,24,1,0,0.068682753,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00086499427798273623 0.0032378850396282063 0.013106459536497276 0.010979727291046095 0.28253140553334855 3.1539954534577137 -2.2692093660195449 0.0049481258292463099 0.95557756597586097 1.5720323529671167,0.0051898360743955364 0.014203435148221187 0.10144030022568032 0.080923652839247615 0.12448924417883912 0.085203266003310227 0.0012033729798910633 0.0276079545892082 -0.023376817181011911 0.0052657542502858729,0.002839728730939046 0.0089285331685162797 0.019626499219857138 0.023853611191173397 0.28161320244193516 3.1679630471326541 -2.2548185337793583 0.015691724616234415 0.96706453974951334 1.5743382233169072,0.024395778546378852 0.057740283766956405 0.11828884671918236 0.13825950459611225 0.11137520365068647 0.14443171880987554 0.074979662864533711 0.079746027564326055 0.033101264160580998 0.010507509666917976,0.0012108531917967833 0.0041369779622950076 0.016649458179056661 0.016094790995532446 0.2846123863387453 3.1593697562945309 -2.2652356655108439 0.0084196299093385191 0.95824560562243177 1.5725790842056417,0.011048492193209023 0.028022204568672656 0.13104813899440593 0.16479314074106699 0.11110983838011038 0.17259726536364139 0.10111755380671403 0.10161162729386725 0.055666897238707061 0.01464875069492004,0.29293280594067433 0.69093847102257344 1.4803919384362805 4.193474395090969 -0.66897028993643737 4.3696999680165582 4.995709041341148 3.700183635232952 3.9521857209859483 0.46914982223170837,11.82844208716857 18.505182628032316 1.1595485240252472 0.8597169456929793 -13.382080841117425 0.69053684336229382 8.5803163268773641 -0.22652322711907749 2.8510630002841015 0.0053911135514373484,0.18900308942761512 -12.388671912952759 1.3906725216686482 -0.67713985541443122 -12.283618279653297 -0.57771767488793557 7.7875886468555109 -0.043363984967212055 2.6605832948987995 -0.0082664231803164512
