robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
stanford_tidybot,tetrapga,0.000093266,0.001117206,0.294330284,0.22900628,0,10.474067,0.034595,4.131674,0.003718,0.143087,0.188829,15.207092,0.062345,0,0,0,0,0,0,1.13699,0.125624,0.055831,0.152983,0,0,0,10.474067,0,0,0,0,0,15.308456,0.52370335,13,1,0,0.006930526,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-1.2532141275685372e-06 1.7253729854876522e-08 -2.8415766930032611e-07 3.2836935857255743e-06 0.26267731212099682 3.1415976460553434 -2.2695201779940404 -3.3012142413960212e-07 0.95956798195408577 1.5707965065580096,-6.3675468389372484e-05 5.5535194629401802e-07 -1.6252966385210376e-05 0.00014998525937583114 0.093000949253874601 0.00073474620319841782 -0.059666342596702809 2.8848447604614186e-05 -0.040413286038323074 2.1693631568932847e-05,6.6534263468024599e-07 3.8531006272054278e-06 9.2697421023100844e-06 1.177511934026633e-05 0.26180949126029407 3.1416064637046039 -2.2689204256538402 8.796714952777611e-06 0.95993538440057191 1.5707990203617197,0.0071383066749146438 0.041317398239544903 0.099395567096377577 0.12625659340356044 0.10830708481102959 0.14811023411840282 0.081532461222163982 0.09431501089110296 0.046041390011119412 0.028841367093223224,0.00016268221294618644 0.000848921564033469 0.0020193849899011922 0.0025518675153394861 0.26398049606982316 3.1445660006689189 -2.2672962630296523 0.0018797938405078626 0.96084218710049962 1.5713554805111793,0.0090632698680218702 0.043187752957352693 0.10161135199023841 0.12774630969842171 0.10878761837936393 0.14783773369629585 0.080880537871721447 0.09278096400110511 0.04463728345743638 0.026804357861691382,0.45634726682056215 2.15935988027032 5.0813802478311807 6.3798162219522947 0.78933345627446649 7.3551493746548724 7.0273440234212128 4.6376057776750246 4.2525284747879724 1.3391332115061225,0 0 0 0 0 0 0 0 0 0,3.9020703331372224 -0.036976965372228658 0.02067720180307582 -0.01842915990130628 -8.9312449031961023 -0.066731945200444898 5.8177782354196097 -0.00073582050067843153 1.8934789630900468 -0.0010008079218550847
stanford_tidybot,tetrapga,0.019972529,0.006528139,0.305084004,0.322189268,0,10.323143,0.04363,0.562075,0.003368,0.100307,0.061012,11.259198,0.031596,0,0,0,0,0,0,1.11326,0.119853,0.057414,0.149887,0,0,0,10.323143,0,0,0,0,0,11.337245,0.51615715,18,1,0,0.010770238,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-1.7828444161488524e-06 2.1300983506817874e-08 -4.2444936156569877e-07 4.5336091237740673e-06 0.26494100053917896 3.1416177876715321 -2.2709123329379528 1.1058339940144141e-06 0.95857822714110275 1.5707970536526294,-9.4065482778598496e-06 7.3051809903022004e-08 -2.5907523537606514e-06 2.2616040880615558e-05 0.12187283100485027 0.0011276692786243302 -0.073684368901876698 9.0610619475153223e-05 -0.05332466882579763 2.9736025120805394e-05,0.0001615886423267233 0.00084370788407190798 0.0020071175425780993 0.0025364443451417456 0.26396736154797223 3.1445481510789208 -2.2673060285442865 0.0018685911821366451 0.96083679721537207 1.5713522434907652,0.0090516513103785414 0.04317649259730949 0.10159805876003533 0.12773743072483881 0.10878482152247763 0.14783948182541334 0.08088453210650158 0.092790291919756296 0.044645788410027386 0.02681665994656492,0.0003631905877221877 0.0017312942255180556 0.0040735380944534024 0.0051213730029128031 0.26616076458350169 3.1475197441620626 -2.2656853341803669 0.0037198869507268089 0.9617208130088718 1.5718711847937854,0.010987400618415735 0.045047758722435299 0.10379927796635288 0.12919785059192837 0.1092334403996445 0.14753089989604232 0.080209108422003308 0.091224668602793366 0.043223767460161239 0.024765866267572899,0.54984035833467981 2.2523842835312697 5.1900934359353323 6.4587617275523881 -0.63196953026028868 7.3201615308708989 7.694673866194 4.5567028991659102 4.827421814297943 1.2368065121226048,0 0 0 0 0 0 0 0 0 0,0.5995226731272969 -0.0045332089209441789 0.0034662113648592056 -0.0028652428835409631 -12.56538145111972 -0.11570852379918506 7.6144782842293353 -0.0045053550028806792 2.6962422193727775 -0.0015021084334421175
stanford_tidybot,tetrapga,0.039947395,0.010036865,0.129021602,0.360407629,0,10.252636,0.010682,0.611108,0.002999,0.090482,0.056239,11.208976,0.026127,0,0,0,0,0,0,1.170787,0.141504,0.055042,0.174643,0,0,0,10.252636,0,0,0,0,0,11.247594,0.5126318,23,1,0,0.014695785,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.8621556629150981e-05 0.00035538547919712843 0.001717247462651102 0.0012926149349869844 0.26723509516417687 3.1430317463465656 -2.2712342351505046 0.00043284091557663337 0.95779196765049723 1.5709300395385122,0.0059034584501851967 0.02812295370865454 0.12790652537736313 0.093026699484318479 0.11506985070666673 0.10460860584997586 0.017468178773880894 0.02887748088684081 -0.023984808960281469 0.0097906159702991578,0.00036158886788469259 0.0017247240505499284 0.0040583979464108152 0.005102527545249886 0.26614483082027307 3.1474982235098672 -2.2656970347255307 0.0037065790833820242 0.9617145071603258 1.5718675710874119,0.010973370703345203 0.045034230997324433 0.10378342214928127 0.12918740265282183 0.10923031464588825 0.1475332619073336 0.080214075783606412 0.09123609920748775 0.043234110255931393 0.024780738235628076,0.00060217042821035418 0.0026507605523627053 0.0061711674062610265 0.0077195249812765758 0.26834960170550354 3.1504670083082291 -2.2640880277355899 0.005528634643320097 0.96257107733863223 1.5723461087135358,0.012910359951887582 0.046897060461933447 0.10595889877188733 0.13061090807959599 0.10964446562162589 0.14718981279653118 0.079518322658821861 0.089646482139673814 0.041801182475731849 0.022726407415720882,0.35034507508511925 0.93870533766394537 -1.0973813302737903 1.8792104297638756 -0.27126925425204201 2.1290603473277656 3.1025071942470483 3.0384500626416502 3.2892995718006661 0.64678957227108624,0 0 0 0 0 0 0 0 0 0,21.750390728339937 60.092153702167479 4.1955044978265335 -1.5678792036883618 -13.005230736345766 -1.0709868596450178 10.142234715213817 -0.0024215563005238749 3.2436686599172049 -0.016620806253058618
stanford_tidybot,tetrapga,0.060052625,0.012747849,0.088601311,0.348141005,0.041034568,10.31114,0.010403,0.664311,0.003545,0.104588,0.049198,11.323302,0.029522,0,0,0,0,0,0,1.107183,0.120313,0.053756,0.147322,0,0,0,10.31114,0,0,0,0,0,11.365058,0.515557,26,1,0,0.014031683,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0001745181389447253 0.00084018071953383556 0.0035222171844772488 0.0026478536326901723 0.26918111713539739 3.1446252169722322 -2.2707416667581821 0.0010754901250948287 0.95746327586146052 1.5711050384866987,0.0081714126088204588 0.035484172699749392 0.12964338306370607 0.11014453992874536 0.10722885558750944 0.12193470749666815 0.03898080411424764 0.048456660949103614 -0.0095155219211681633 0.012729445525460029,0.0006016458176461018 0.0026488546850647865 0.0061668612192420117 0.0077142168809120571 0.26834514566102979 3.1504610263522581 -2.2640912594686622 0.0055249912550261503 0.96256937843785118 1.5723451850053851,0.012906453818994265 0.046893313680667764 0.10595453931347221 0.1306080759008999 0.1096436657342104 0.14719054057724307 0.079519745893758445 0.089649711046789801 0.041804082204412389 0.022730552331075075,0.00037142062812784457 0.0016264560389168793 0.0060025082775609535 0.0054572634556495402 0.2713879887870646 3.1477925426629665 -2.2688834271839342 0.00307790699395069 0.95851357308708174 1.5715954268173959,0.0098451244591559652 0.039313765969152197 0.12401455465418526 0.14047049114796842 0.11034358258336115 0.15836628453671212 0.092911978712388515 0.10012084344279307 0.052514861281059075 0.024519416534867229,0.08368559251677532 0.19147966347014023 -0.28144142047604043 1.5162975609611529 0.15573634979258524 1.821578852002198 2.6965587299070437 2.5832091246844726 3.1015191601113616 0.58949855047036004,7.9693389832955432 9.7680033164824902 -1.647967458721602 0.98172527788939545 -0.64098909549349925 0.86340199455590139 1.4054323286619423 -0.21545477838652188 0.36931110867956563 0.0072482924618415797,78.613546855657091 267.75555817807981 31.871607901482548 0.53783570176910622 -11.564953553791725 1.3121002166772087 10.314809253510248 -0.6675929307278281 3.1332690405592984 0.014100665390742506
stanford_tidybot,tetrapga,0.08000114,0.015071109,0.215066246,0.471597256,0.009464763,10.298744,0.009583,0.482955,0.002165,0.066734,0.038829,11.063085,0.020184,0,0,0,0,0,0,1.169888,0.147721,0.057213,0.173701,0,0,0,10.298744,0,0,0,0,0,11.094282,0.5149372,26,1,0,0.02176367,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00030794135914219287 0.001399796854201184 0.0053285864729673707 0.0041338286790385328 0.27132191401845401 3.1464135681062886 -2.2699667761666418 0.0017698504369991941 0.95730247542909563 1.5713042169903511,0.0023806032932525275 0.0086323796195785854 0.046863303492776925 0.024173547973788685 0.10889310240119589 0.033367793024226926 -0.0016941854581744575 0.0085562834899074562 -0.015624477794573838 0.0030164836642112224,0.00087822892954795141 0.0036026135283364624 0.0083017449733079549 0.010333391786624773 0.27053617502605287 3.1533935833661526 -2.2625119897456294 0.0072974909659680723 0.96338908270884149 1.5727783318779813,0.014822962220718387 0.048726863272832328 0.10808002448154316 0.13197894085726047 0.11001896361948174 0.14681636462093706 0.078811647852775571 0.088054183533698538 0.040376483113257117 0.020695892933520092,0.00061456911712925327 0.0024713572165516152 0.0083946498338911997 0.0083425347581226206 0.27355616380541775 3.150992155452538 -2.2670017119295478 0.0050349659269960708 0.95954598964640281 1.5720448968858145,0.012157424450070436 0.042245058881736783 0.11960707781651227 0.14426356512365404 0.10840875091765635 0.15998063947856936 0.09408576271932223 0.097852946652269068 0.051620827966055292 0.022473503420930466,0.48884105784089538 1.6806339631079099 3.6371887161867669 6.0045008574932677 -0.024217574176976786 6.3306423227171216 4.7889974088748346 4.46483315811808 3.3622652880314567 0.97285098783596224,7.8649698939640897 9.4647627228521181 -0.56286794124420614 0.041209122017175748 0.056677330355955562 0.059954146246059131 0.11287746956273267 -0.020852616416238402 0.014524426543898154 0.00026338753285989056,-115.47573697171345 -471.59725619326605 -17.043607476344278 -0.62397228469294141 -10.029291988579871 -1.8852043550305098 0.34900014846516569 0.52106378124240638 1.0005387042450025 -0.035241670287973648
stanford_tidybot,tetrapga,0.09994629,0.019455866,0.159575555,0.337562201,0.088943805,10.274863,0.008325,0.458717,0.001839,0.059329,0.034206,11.027021,0.031507,0,0,0,0,0,0,1.188135,0.144551,0.058621,0.178321,0,0,0,10.274863,0,0,0,0,0,11.068529,0.51374315,26,1,0,0.029550778,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00035303791466897712 0.0015602110737196861 0.006301036579384931 0.0048604635676054364 0.27361625443877469 3.1471965894594525 -2.2706479793910539 0.0021746398384578851 0.95663748838186546 1.5713829434533615,0.0050937276015362142 0.018217754168672849 0.10825238729908666 0.08544415169982135 0.12633331333817369 0.088929541867678222 -0.020166802224354768 0.025455865264105846 -0.031199554753326548 0.006924139098617276,0.0011929694432790705 0.0045926662515904087 0.010478369419159977 0.012979077557195932 0.27273397302167945 3.1563178451584766 -2.2609472975518461 0.0090376607720698398 0.96418009369168167 1.5731708272675491,0.016737309919784657 0.05054875798509173 0.11017612853477664 0.1333107102725376 0.11035944197412488 0.14640835822685921 0.078084724313103565 0.086437873078774735 0.038940785167070516 0.01866163636037297,0.00049337009479231812 0.002052550693833304 0.0087895100055975246 0.0078627885824814805 0.27590245872514718 3.1504979955937573 -2.2687249032246384 0.0042288856321508559 0.9577289352260383 1.5718178463900783,0.0070166090061670513 0.024616981005680886 0.12442367131062966 0.15011625074380219 0.11431021431862441 0.16507030671523754 0.096153808320772541 0.10271228968464852 0.054572342208644126 0.021745146835833184,0.096144070231541853 0.31996134185040181 0.80856420057714984 3.233604952199042 -0.60115495097746374 3.8070382423779656 5.8160305272563653 3.8628212210271338 4.2885948480985334 0.74105038686079538,10.276424192576872 16.256702060447719 0.19730700224786599 1.7158910014914246 -1.9224535208925972 1.5079371903032286 2.928349396886297 -0.38550978028247213 0.80049424090444243 0.012206229390986034,33.696440547461293 86.945556782364747 13.568535525674122 -1.225730637081945 -11.832591169873581 -0.63884350659100164 9.989985011004137 -0.11298359981414086 3.0380598117162663 -0.0113397530299153
stanford_tidybot,tetrapga,0.119945159,0.023120632,0.208334024,0.301936987,0.015583188,10.167857,0.008122,0.359865,0.002086,0.052948,0.039416,10.837039,0.030939,0,0,0,0,0,0,1.125583,0.111975,0.053731,0.137901,0,0,0,10.167857,0,0,0,0,0,10.877751,0.50839285,17,1,0,0.035946502,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00042816327239427956 0.0018218291752557694 0.0077135554236457422 0.0058984354772183755 0.27586454414140271 3.1483691696208433 -2.270836399975884 0.0025968723961225346 0.95610695977035143 1.5714852403455364,0.0018839200469121403 0.0065026447858866528 0.061766705543278184 0.037295410243544942 0.1259476995378965 0.044929963450382283 -0.017853496286134578 0.015996532970149056 -0.030255070750347998 0.0034122505105713503,0.0015468727665126016 0.0056217537216679651 0.012702537735469945 0.015658166617792395 0.27494415964370533 3.1592414731577385 -2.2593931370388449 0.010749941435204857 0.96494440334763032 1.5735236470282632,0.018654631536015383 0.052363820753844832 0.11224831158431194 0.13460676443772177 0.11066588076189769 0.14596532113227628 0.077336981979116773 0.084796441675530881 0.037493191705931496 0.016622473306165179,0.00069323048903207024 0.0026379523963902321 0.011280994404112558 0.010960742901790617 0.2780816206397162 3.1538478557470895 -2.2667315647967352 0.0062308283195168599 0.95881773035703521 1.5722117899463379,0.0099930197119876083 0.029270085127846408 0.12457421992575168 0.15489771596545682 0.10895809572845053 0.16749300766659914 0.099666921395163699 0.10009713436830019 0.054439756549846195 0.019697177812978379,0.40545498325377344 1.1383720170979879 3.1403757191236754 5.8801152860955943 -0.84948019047229872 6.1281522108108426 5.8760208840649142 4.2050300699075569 4.2347413650097092 0.81424636512035131,10.036992116853833 15.583187889223616 0.14937053281408327 -0.1317678732056394 -0.061632174475204103 -0.069006306813807192 0.21827834322714765 0.0095359019792518283 0.04788108278555514 -0.00055317740268528395,-60.578721240545292 -203.93768915104374 -3.3089336526224997 0.08213003495137805 -11.775542501319023 -0.52607950487617927 5.3845065733039519 0.091238471432899093 2.1591468189141665 -0.012225597174392533
stanford_tidybot,tetrapga,0.139955782,0.027351406,0.143332989,0.366548735,0.085654964,10.218025,0.013839,0.610329,0.003544,0.106328,0.059842,11.174683,0.027639,0,0,0,0,0,0,1.131112,0.121445,0.058991,0.160482,0,0,0,10.218025,0,0,0,0,0,11.217835,0.51090125,19,1,0,0.041659273,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00046233524839416789 0.0019364890253105909 0.0087807759072630123 0.0067080583844227248 0.27828796666954286 3.1492699384059217 -2.2713590812749187 0.0030384314151908538 0.95538321165709283 1.571560412632989,0.004055813677908888 0.012905039065748131 0.1126704090824482 0.092140120577238332 0.12266461886402184 0.094789976845172874 -0.0091653969132680368 0.035792623504067735 -0.029481559014924202 0.0066877404051215589,0.0019393374695539532 0.0066876566419213721 0.014969191158458232 0.018364376395379717 0.27716142816785894 3.1621576120712884 -2.2578532180205531 0.012430167638871779 0.96568010884851407 1.5738358672606243,0.020570554890598187 0.054167837626361376 0.11429165512099417 0.1358639135096768 0.11093740966993582 0.14548811786782256 0.076570059923905337 0.083133604255744439 0.03603704739560061 0.014583199303856072,0.00059125386663375665 0.0023439019205686541 0.011420156103110654 0.0099324837292320799 0.2805640224085113 3.1527334148532695 -2.2692833840203908 0.005145756042380616 0.95654866792456461 1.5719368846892166,0.0064459309119794389 0.020370644762903151 0.1319690097923821 0.1612212672404677 0.11380278694842176 0.17317382236738901 0.10378486272639287 0.10536623135948814 0.058272813373589138 0.018823602811377974,0.11950586170352755 0.373280284857751 0.96493003549669509 3.4540573331614683 -0.44309159578000412 3.9191922761108069 5.647512981983045 3.4786803927710204 4.3877186194256668 0.60679312031282073,11.98989017870891 19.654283630866594 0.52716262540611636 1.7560378814345226 -1.7516238876638599 1.5532803939250857 2.8602916011845632 -0.40195729562147114 0.77089467655802135 0.012231921569028569,78.162181293515005 203.85156871710251 48.035089504660164 1.0774061716213197 -11.736416367435481 1.666834422941065 11.199069757429243 -0.65030706574827324 3.2989386134896677 0.02314142634838845
stanford_tidybot,tetrapga,0.159948633,0.03053472,0.209499414,0.31086453,0.018757907,10.225631,0.012297,0.618831,0.002911,0.092162,0.049435,11.271426,0.041871,0,0,0,0,0,0,1.152357,0.140466,0.055378,0.166842,0,0,0,10.225631,0,0,0,0,0,11.327962,0.51128155,15,1,0,0.048771472,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00053152477194151951 0.0021475931224992214 0.010520191972480216 0.0080501546841041036 0.2807374556888847 3.1507425905115829 -2.2713250070446187 0.0035304953192354721 0.95487207921353179 1.5716650726963539,0.0015022225386851188 0.0046545127633126817 0.056078074601233582 0.039754726983122865 0.12358354783128701 0.044371592214934162 -0.018260628057006914 0.01524863498309654 -0.029618234698071177 0.0028141338765965934,0.0023697133353005519 0.0077885404538241805 0.017274361881372231 0.02109290706283002 0.27938180277900698 3.1650612868639469 -2.2563301786145811 0.014075470431804953 0.9663859873812829 1.5741070725442856,0.022481916336240325 0.055957806706003192 0.1163027382983106 0.13708005124518169 0.11117359584340204 0.14497757478589132 0.075785264050344442 0.081452199788997551 0.034574852080052801 0.012547335939054129,0.00078899486318176012 0.0028625602995798337 0.014075630801194904 0.013251920243016583 0.28273846149043536 3.1562446384948597 -2.2671428221233465 0.0071984225288878045 0.95770879604633641 1.5722722827223763,0.0098870498274001711 0.025932918950558978 0.13277373490421246 0.16597182568922514 0.10872195409620292 0.1755611820795116 0.10702809485221183 0.10263332432535946 0.058006406088592248 0.016769901657984785,0.41924136443575261 1.0639203093623146 3.8347830151489437 6.3108549353051124 -0.74307968675420488 6.5594794932288716 6.2644361454609374 4.369234467113146 4.3812320393331712 0.69778838906940954,11.644587542955415 18.757907210795313 0.30152706611089963 -0.20655829762260447 -0.021530718849790902 -0.12143986611356576 0.22606663902884236 0.022018185118717927 0.045347806581430318 -0.0008849252179393268,-26.889116217806986 -68.218633693730681 -11.271390707669525 -0.45276633860100901 -12.123716653267934 -0.74689508665142057 5.1312008610530029 0.14486086726169178 2.1057921959139208 -0.0067210434874596103
stanford_tidybot,tetrapga,0.179966828,0.034786987,0.139981501,0.367245548,0.089882502,10.376857,0.029046,0.84732,0.004329,0.132166,0.086739,11.784475,0.060366,0,0,0,0,0,0,1.19987,0.151504,0.058589,0.177276,0,0,0,10.376857,0,0,0,0,0,11.877264,0.51884285,10,1,0,0.053702964,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00056168328030804977 0.0022398565334170598 0.011451934893526926 0.0088301706895655627 0.28289276422707083 3.1515781792208157 -2.2717987879745576 0.0039280376244647634 0.95423493097927548 1.5717225156640395,0.0039780458714029979 0.011456575760375672 0.1173684692172372 0.095787248819305559 0.12346773792412198 0.096745310262804599 -0.0088950417918772003 0.036458465926160658 -0.029172795378334313 0.0056487613372450049,0.0028388895481850224 0.0089265468974190545 0.019622430023386119 0.02384885496016164 0.28160937102898231 3.1679580785204906 -2.254821113178783 0.015688981222506625 0.96706340098934196 1.574337861787912,0.024392498189357861 0.057737237067390826 0.11828546628050381 0.13825751592131907 0.11137488806361842 0.14443268415513585 0.074981060636909874 0.079748971280113934 0.033103797979216851 0.010511006954670419,0.0006965812668134852 0.002634639571943923 0.014246854133106916 0.01226085384653248 0.28517276509554784 3.155184712236708 -2.2695956685027925 0.0060801115974757364 0.95546039597878762 1.5720336658101957,0.00674489932527177 0.019739151926343158 0.13974596197899947 0.17153415784834583 0.11400004342385135 0.18032665079461205 0.11015597358824668 0.10760369865054863 0.061273249975608679 0.015557507307802082,0.13834267269343861 0.41412880829837428 1.1188746380881132 3.7873454514520133 -0.47338472501353146 4.1790670265903724 5.9525507690061934 3.5572616362193985 4.5223022676971496 0.49543729852785384,13.510727214771105 22.000824410113534 0.77123923798386695 1.8762446100852515 -1.8258001670974138 1.6608451991304849 3.0175506823983769 -0.43162670213689408 0.80894251369909331 0.012883987540544794,77.93878595543913 180.39683710001054 52.010579711298647 1.1504985671964718 -11.676014080028722 1.7036872783410217 11.276951107711284 -0.64466282058008018 3.3052099308041534 0.024848978460909166
