robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
ur,casadi,0.00005874,0.000018125,0.308567404,0,0,4.277017,0.007473,1.97342,0.003735,0.111031,0.103597,6.681703,0.036539,0,0,0,0,0,0,0,0,0,0,0,0,0,4.277017,0,0,0,0,0,6.728551,0.534627125,3,1,0,0.003051548,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.1366574503400871e-19 -1.5707963267948966 -7.2058622416501443e-20 -1.5707963267948966 -4.4039901576766838e-21 3.9265110401062905e-22,7.2547498058044276e-18 6.1427774201932571e-17 -2.2547636820040616e-18 5.4469791277862028e-18 -1.4540833613790565e-19 1.328226827149036e-20,8.8461990628723477e-07 -1.5707920126307371 7.9399233741932653e-06 -1.5707870566714162 9.1893949461905889e-06 8.7000338586070291e-06,0.015069042223461043 0.073452560901838007 0.13517744846374066 0.15782044934034464 0.1564435100050057 0.14811036169170214,0.00013137156510581753 -1.5701962531622842 0.0010967596125741224 -1.5695198845283906 0.0012625089628509429 0.0011929870371096773,0.017552603881368891 0.075486203308977082 0.13702518482944756 0.15896969108451728 0.15688332748720718 0.14795928837310254,2.1940754851711106 9.4357754136221281 17.128148103680946 19.87121138556466 19.610415935900896 18.494911046637817,0 0 0 0 0 0,-3.3348540550767008e-15 0 8.1977388617074018e-16 0 2.9439509457959324e-17 -2.7087644139277007e-18
ur,casadi,0.007997311,0.002476244,0.310720925,0,0,4.087082,0.005727,0.40685,0.002265,0.063787,0.029826,4.751321,0.01427,0,0,0,0,0,0,0,0,0,0,0,0,0,4.087082,0,0,0,0,0,4.772416,0.51088525,3,1,0,0.00448152,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.714898836243582e-19 -1.5707963267948966 -8.9268205711528644e-20 -1.5707963267948966 -5.5891548836028349e-21 4.9898982184181604e-22,7.2120106697061305e-18 7.7037708274348795e-17 -2.0891698708214195e-18 6.8723663106288082e-18 -1.497852408254024e-19 1.3298389343751045e-20,0.0001302939118713749 -1.5702008897254216 0.0010883427266609779 -1.5695296496085409 0.0012528718785048602 0.0011838980088758561,0.01753353570272859 0.075470613029843134 0.13701104916357995 0.15896093272701786 0.15688002013514135 0.14796049641972162,0.00028172462941380223 -1.5695842512097826 0.0022003060767966927 -1.5682435880553256 0.0025192737227998567 0.0023760150567833775,0.02003554581691927 0.077513158733432688 0.13885911978215501 0.16010151739676773 0.15730480303787864 0.14779561843634301,2.504443227114908 9.6891448416790755 17.357389972769376 20.012689674595965 19.663100379734828 18.474452304542876,0 0 0 0 0 0,-3.3152059932278078e-15 0 7.6058246812448662e-16 0 3.0333392865765137e-17 -2.7120484461590654e-18
ur,casadi,0.015999848,0.004859161,0.292787914,0.012585606,0,4.143789,0.006209,0.428512,0.002412,0.073902,0.027651,4.85987,0.020032,0,0,0,0,0,0,0,0,0,0,0,0,0,4.143789,0,0,0,0,0,4.887516,0.517973625,3,1,0,0.008339411,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.0142859341599343e-05 -1.5708029792651563 3.0452203521798521e-05 -1.5707279443006967 6.8533258873481275e-05 6.4006923330382824e-05,0.0020026660804633644 -0.0010403097857727688 0.0062367473234880896 0.011907696758610338 0.012136982670819037 0.011359959488279826,0.0002805452341906482 -1.5695888156760816 0.0021921287815524215 -1.5682530165104305 0.002510009817720905 0.0023673110403868119,0.020017270285357117 0.077498262070284013 0.13884567002174833 0.16009324929704288 0.15730176743233112 0.1477968692774155,0.00045193822666844772 -1.5689560608248914 0.0033184683674572267 -1.5669583069209059 0.0037793368217289899 0.0035576833842163253,0.022517710937751807 0.079533288293126281 0.14067911915361753 0.16121584217664037 0.15770790748719823 0.14761936807015372,2.5643806071610551 10.071699759862382 16.805296478766181 18.663518177253753 18.196365602047401 17.032426072734236,0 0 0 0 0 0,-0.24775918413415032 3.2748007808077091 1.8878409555234688 0.1640739239346658 0.040936528299813535 0.06530399149167021
ur,casadi,0.023997262,0.007058964,0.275498138,0.018056618,0,4.123034,0.005925,0.41691,0.001966,0.065608,0.025092,4.798169,0.013111,0,0,0,0,0,0,0,0,0,0,0,0,0,4.123034,0,0,0,0,0,4.818228,0.51537925,3,1,0,0.015038517,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,4.1425685786974928e-05 -1.5708120260517471 0.00012953616604210921 -1.5705445840528496 0.00025352477904432306 0.0002368984614379722,0.0040870698471247389 -0.00027322005116185244 0.013767537523443873 0.022872245656454848 0.023178516146534142 0.021697472700345104,0.00045055446907270628 -1.568960949896004 0.003309820124844997 -1.5669682178872868 0.0037696413480535363 0.0035486079975950114,0.022498639478950894 0.079517790479372324 0.14066518638569142 0.16120734581562315 0.15770487984769713 0.14762077043507629,0.00064200551406098049 -1.5683117371687025 0.0044511344662821603 -1.5656641814776486 0.0050425511788128232 0.0047378914430918446,0.024998942175850483 0.081546453512921557 0.14248504969121695 0.1623125805671802 0.15809261306490344 0.14743055417231998,2.6139840410907182 10.227459195510427 16.089689020971633 17.430041863840668 16.864262114796162 15.716635183996859,0 0 0 0 0 0,-0.73896156377314592 5.9586840063384443 2.703670833873133 0.079286376566415129 -0.09226315279797781 -0.046261909255357558
ur,casadi,0.031999059,0.009126863,0.259243355,0.024129131,0.104060093,4.125066,0.006198,0.519622,0.002398,0.071199,0.028878,4.927534,0.038139,0,0,0,0,0,0,0,0,0,0,0,0,0,4.125066,0,0,0,0,0,4.973541,0.51563325,3,1,0,0.019971362,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,8.8353908527235946e-05 -1.5708077925569393 0.00028819762094953167 -1.5702772905949283 0.00052211284312453051 0.0004877763873916829,0.005921708015718348 0.0018376783449946484 0.021237006042679547 0.033068428193234252 0.033305816105750986 0.031148087120675287,0.00064051410443444982 -1.5683166034952178 0.0044426312164887738 -1.5656738682125741 0.0050331161371735839 0.0047290925967655257,0.0249804357242801 0.081531461172107911 0.1424716296357704 0.16230446407701749 0.15808981129587443 0.14743200921790198,0.00038128305677371621 -1.5709106766874541 0.0010692477590301932 -1.5689076017294772 0.0018966556667329459 0.0017610125524765935,0.036616143530810032 -0.012860516314352626 0.097631267260082713 0.17121110818138952 0.17181785295105192 0.15915452063561383,3.8368044393864604 -1.8372743324184093 9.5492826521753962 17.267834998519408 17.314004605662618 16.000804189367319,-1.2098963926702488 25.105078545709581 15.609013962853057 1.5081009773599316 -0.21799961587161482 0.013933419313796208,-1.030091106786978 7.9626133878955443 3.5071270260873462 0.076842055184897617 -0.13637439195423706 -0.07550769551296721
ur,casadi,0.039997104,0.011066845,0.243776711,0.028725651,0.102760735,4.102853,0.005675,0.414396,0.001999,0.063552,0.026126,4.777652,0.032037,0,0,0,0,0,0,0,0,0,0,0,0,0,4.102853,0,0,0,0,0,4.816821,0.512856625,3,1,0,0.020127729,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0001499214680518705 -1.5707815767439886 0.00050725128720297138 -1.5699315666523981 0.00086792270022539105 0.00081046461267465016,0.0076623627098805769 0.0049254341469928912 0.028809687265623267 0.04259968478680129 0.042665220164572581 0.039854685433968168,0.00085022528037113356 -1.5676564858758884 0.0055892990728477927 -1.5643714233054928 0.0062990028091047621 0.0059074641271949458,0.027459978823341412 0.083537088120572908 0.14426302930621643 0.16338340303267543 0.158456141891305 0.14723079363711361,0.00046549909055431597 -1.5708494531679122 0.0013285716677646641 -1.5685311111706561 0.002266116855624761 0.0021014831328035788,0.039447202812805685 -0.0084845529904551929 0.10266504757021161 0.17505693521774449 0.17477426942492127 0.16137731501611613,3.9731050128656382 -1.6762483921810105 9.2319200380735413 16.557156303867899 16.513631157543585 15.190328697768495,-1.1879506882343918 25.009219200848303 15.414110240842874 1.4768785905525548 -0.21448299964761966 0.01336307115495312,-1.2500137338799444 9.4794647110920778 4.1098751635034922 0.063456501006839972 -0.17482661299894353 -0.10233631103915819
ur,casadi,0.048000647,0.013465215,0.29897149,0.02341537,0.074253676,4.078452,0.006222,0.49792,0.002135,0.066209,0.025859,4.84824,0.019146,0,0,0,0,0,0,0,0,0,0,0,0,0,4.078452,0,0,0,0,0,4.875031,0.5098065,3,1,0,0.022305556,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00016404025263005715 -1.570728522094929 0.00060179562928256824 -1.5698568120301803 0.0009421534572036965 0.00088059810885176074,0.0012641061104362622 0.0092364325447512712 0.012645941862448114 0.010388685101698492 0.0097489067085417061 0.0091959424677710844,0.0010799276803028974 -1.5669798857273007 0.0067510403592407437 -1.5630595157781026 0.0075686187850093805 0.0070849845389886782,0.029939978989526134 0.085536850837632059 0.14604132106587792 0.16444532230612652 0.15880426428111055 0.14701690519260113,0.00084164547943066869 -1.5708393861451548 0.0022845592121884658 -1.5671098589067296 0.0036668800564004459 0.0033923228692901786,0.047018298609544096 0.0012583778446801693 0.11949844305297522 0.17765653299082243 0.17509540009696065 0.161354967060825,5.7192740623884788 -0.99725683750888772 13.356562648815888 20.908480986140493 20.668311673552367 19.019878074131739,-2.8695612374102564 24.42122583409088 11.138051392848995 0.84586471987121226 -0.1665808505485078 0.0012390065672143776,0.073631580535410412 -4.8577743866371748 -3.5123055442441049 -0.56754959077716194 -0.2469112458587257 -0.27848479946366256
ur,casadi,0.055997733,0.015849539,0.298657761,0.012575095,0.117895658,4.082944,0.005738,0.498477,0.002107,0.065423,0.025651,4.848007,0.016597,0,0,0,0,0,0,0,0,0,0,0,0,0,4.082944,0,0,0,0,0,4.871409,0.510368,3,1,0,0.026347817,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00017524897719028558 -1.5706653385228377 0.00069377770529030307 -1.5697591359510223 0.0010346805779252379 0.00096702007872013574,0.0016775380601036318 0.0070084754494790227 0.011347358647119226 0.012873177471350661 0.012333259559902837 0.011490677862219866,0.0013292640303833433 -1.5662878750156108 0.007926002068628089 -1.5617402490689711 0.0088399194693399435 0.0082597951441958691,0.032416575150889151 0.087527626393921185 0.14780372081853194 0.16548855781367941 0.15913363822490631 0.14679068463135786,0.00053517262911888859 -1.5707610461241399 0.0015236752733008155 -1.5682925540931016 0.002492215818273746 0.0023035153688380034,0.04499045649107538 -0.011963450162771432 0.10373719600131404 0.18332273224007745 0.1821919050435635 0.16706191126473344,5.4141148038714686 -2.3714907015313069 11.548729669274351 21.306194346090848 21.232330685457583 19.446404175314196,-0.78505120539161577 27.276543353581943 17.684348643471267 1.7337622148656879 -0.24138963925544479 0.016976142636788542,0.60592541839637204 -4.1497813056066661 -1.7556107311303615 -0.18655416357069043 0.020486342835508431 -0.0074286644038519256
ur,casadi,0.064002066,0.018137445,0.281481509,0.007592392,0.082290654,4.110615,0.006246,0.674979,0.007634,0.085374,0.034457,5.110296,0.018726,0,0,0,0,0,0,0,0,0,0,0,0,0,4.110615,0,0,0,0,0,5.136654,0.513826875,3,1,0,0.027272135,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00020785492756524512 -1.5706300854341331 0.00081318652783891193 -1.5695839010701127 0.0012044225013086863 0.0011239237860242429,0.0054160530829602304 0.0030197171012241206 0.017132369185723847 0.025316837356950572 0.024814635203195077 0.022921428082703744,0.0015986526696236383 -1.5655793251368029 0.00911608342961478 -1.5604115043059259 0.010114935792992113 0.0094338087906607922,0.034893854034198937 0.089512688250792422 0.14955311688744832 0.1665148147219824 0.15944480322511234 0.14655176217828722,0.00097127786542836687 -1.5707758790372892 0.0025160810808739931 -1.56680250410779 0.0039520858398153658 0.0036400404981058632,0.054513154538684785 -0.00185411414364876 0.12405072594664716 0.18625624816395206 0.18248375269270251 0.16706564115848246,6.1371376819655685 -0.60922890560911014 13.364794595115415 20.117426350875188 19.70863968618843 18.018026634472339,-3.0790333534765426 26.810575729819274 12.343598066491575 0.93854951467944092 -0.18431651176968455 0.0014177838327171567,0.62498216882729585 -2.5054893215574339 -0.54706963162215683 -0.092768934850028018 0.051560174753110033 0.037775996139863821
ur,casadi,0.0720018,0.02051306,0.305094556,0.011679029,0.076094038,4.082831,0.006609,0.423746,0.002193,0.065288,0.032123,4.773809,0.012924,0,0,0,0,0,0,0,0,0,0,0,0,0,4.082831,0,0,0,0,0,4.794514,0.510353875,3,1,0,0.032225332,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00023684496248877222 -1.5705998239577423 0.00091701039614603785 -1.5694552066210441 0.0013307075003873244 0.0012407253695982654,0.0024757957177254978 0.0042502900801082173 0.010216022383784253 0.012200081687609731 0.011780270684824352 0.010885016054693462,0.0018876916390613958 -1.5648553374785021 0.010319412878237521 -1.5590753875081289 0.011391633979726262 0.010605187217244268,0.037367991753752411 0.09148895852549975 0.15128678441628857 0.1675224867408559 0.15973726882710323 0.1463005056532854,0.0014247034310892713 -1.5706872286626923 0.0035771638519172906 -1.5653006322003356 0.0054128831249858249 0.0049740274251768701,0.056678195707613052 0.011081296824626592 0.13263534638041219 0.18773398843181247 0.18259966064630737 0.16674836588387584,6.7752999987359441 0.8538758430647968 15.302415499578492 21.941738343025342 21.352423745185376 19.482918728647796,-3.3016549403849083 25.111032485556503 10.866633710340922 0.81457174191374149 -0.16283972850111395 0.00096388488406074294,0.084295974068411272 -2.6060790835917942 -1.7518543832686522 -0.29938434194991714 -0.10908662653170698 -0.1250097375754029
