robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
ur,tetrapga,0.000057701,0.000017804,0.308567122,0,0,4.265949,0.018227,1.539601,0.003353,0.093899,0.101552,6.301209,0.056954,0,0,0,0,0,0,0.496925,0.070003,0.04475,0.090398,0,0,0,4.265949,0,0,0,0,0,6.380008,0.533243625,9,1,0,0.003051542,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.5706586228494595e-19 -1.5707963267948966 -8.508986596988581e-20 -1.5707963267948966 -5.2895844019520302e-21 4.7239304315431395e-22,7.2226710092109106e-18 7.3143941569076323e-17 -2.1304831039901588e-18 6.5145492643046826e-18 -1.4869310228316244e-19 1.3294355128230711e-20,8.6896333900049367e-07 -1.5707920889478104 7.7994741303689256e-06 -1.5707872206467848 9.0268501695880424e-06 8.5461471830417629e-06,0.015068719637444968 0.073452296354264646 0.13517720759847354 0.15782029895528002 0.15644345169378479 0.14811038049357236,0.00013135332811793174 -1.5701963315923124 0.0010966172435312874 -1.5695200496978226 0.0012623459611027399 0.0011928333073984397,0.017552281365635965 0.075485939620838438 0.1370249457478859 0.15896954295563631 0.15688327155618967 0.14795930881197919,2.1940351707044949 9.4357424526047957 17.128118218485739 19.871192869454539 19.610408944523709 18.494913601497398,0 0 0 0 0 0,-3.320106468891301e-15 0 7.7535227154863202e-16 0 3.0110298084810353e-17 -2.7112257348645542e-18
ur,tetrapga,0.008007074,0.002479278,0.310723575,0,0,5.039316,0.015012,0.862659,0.004765,0.128229,0.078941,6.659686,0.063445,0,0,0,0,0,0,0.669676,0.099195,0.07392,0.113082,0,0,0,5.039316,0,0,0,0,0,6.741394,0.6299145,5,1,0,0.004485348,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.1463434147259717e-19 -1.5707963267948966 -1.0130866694474172e-19 -1.5707963267948966 -6.5009417691674818e-21 5.788285757944968e-22,7.1801249514402751e-18 8.8684272746227919e-17 -1.9655907696737234e-18 7.9515776374111629e-18 -1.5305257582291012e-19 1.3310493865443021e-20,0.00013046510657400143 -1.570200152893731 0.0010896803765010311 -1.5695280976661594 0.0012544035007077375 0.0011853425462654281,0.017536566238434952 0.075473090841850374 0.13701329581982896 0.15896232477409739 0.15688054584967934 0.14796030447276218,0.00028170381264919827 -1.569584331745818 0.0022001618022945064 -1.5682437544007264 0.0025191102831373172 0.0023758614971243538,0.02003522339187308 0.077512895922792105 0.13885888250178302 0.16010137153533327 0.15730474949094367 0.14779564051016969,2.5044029239841343 9.6891119903490033 17.357360312722879 20.012671441916659 19.663093686367958 18.474455063771209,0 0 0 0 0 0,-3.300548608322183e-15 0 7.1640024527256754e-16 0 3.1000858085873582e-17 -2.7145176379834177e-18
ur,tetrapga,0.016004561,0.00486065,0.292791806,0.012583969,0,4.533933,0.019027,1.020532,0.005916,0.159748,0.085397,6.222063,0.034497,0,0,0,0,0,0,0.61239,0.090768,0.070495,0.099437,0,0,0,4.533933,0,0,0,0,0,6.277857,0.566741625,4,1,0,0.008343518,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,1.0141481952462129e-05 -1.5708029784167052 3.0448259411259902e-05 -1.5707279531479419 6.8524410069415229e-05 6.3998675342869267e-05,0.0020023948522986689 -0.0010401775623633826 0.006235939128720897 0.011906156155245642 0.012135415565683729 0.011358495631910341,0.00028063957903200931 -1.569588450423963 0.0021927831637317324 -1.5682522619893871 0.0025107511815233739 0.0023680076067958866,0.020018732838359702 0.077499454231787598 0.138846746404923 0.16009391101018053 0.15730201040195743 0.14779676920039361,0.00045191483093422544 -1.5689561434598418 0.0033183222019747484 -1.5669584744240912 0.0037791729632396876 0.0035575300076805846,0.022517388623793318 0.079533026377994837 0.14067888369180101 0.16121569859375409 0.15770785632804349 0.14761939177678182,2.564374221436831 10.071650492544777 16.805368070385015 18.663692804813554 18.196555095294968 17.032612018108932,0 0 0 0 0 0,-0.24772735220100661 3.2743745065208714 1.8875953296125934 0.16405260515057307 0.040931262975555605 0.065295575733756106
ur,tetrapga,0.024001376,0.007100426,0.275563411,0.020300063,0,4.145401,0.013224,0.675978,0.003185,0.099321,0.041889,5.2285,0.025122,0,0,0,0,0,0,0.467108,0.062737,0.046913,0.086464,0,0,0,4.145401,0,0,0,0,0,5.268728,0.518175125,8,1,0,0.015045111,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,3.6969194964146449e-05 -1.5708106809948212 0.00011618356447797549 -1.5705680889557534 0.00022967563315447897 0.0002146385797344391,0.0040483095172222571 -0.00060472868811827407 0.013349885274812644 0.023031491718286189 0.023346322527669005 0.021841012961645302,0.00045064703110072858 -1.5689606227576804 0.0033103988233397002 -1.5669675546790964 0.003770290146346058 0.003549215309251594,0.022499915709265364 0.079518827578742873 0.14066611876803725 0.1612079144096335 0.15770508248594786 0.14762067661443762,0.00064197954032743339 -1.5683118218953322 0.0044509864244368993 -1.5656643501203464 0.0050423869206131823 0.0047377382627328962,0.024998619993376974 0.081546192511256971 0.14248481606520233 0.16231243927378194 0.15809256429704457 0.14743057950950891,2.6187888095193395 10.268865149921904 16.141866348798711 17.410118444436968 16.843280221171948 15.69869581848295,0 0 0 0 0 0,-0.62504276672641113 6.0367844698812405 3.0450094159536381 0.18286124785299762 -0.012202984145977425 0.032420203838737116
ur,tetrapga,0.031998485,0.009205568,0.259154441,0.02624522,0.104567667,4.465726,0.008545,0.672166,0.003421,0.10367,0.050169,5.702525,0.037253,0,0,0,0,0,0,0.496551,0.066944,0.046598,0.097228,0,0,0,4.465726,0,0,0,0,0,5.750857,0.55821575,6,1,0,0.020174948,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,7.9594607676032267e-05 -1.5708081179858804 0.00026030049493123492 -1.570322807740385 0.00047621615739771667 0.00044497097396222325,0.0059676544671675479 0.0011495854217121507 0.020740103230105791 0.033434044682123902 0.033703195964376001 0.031500141655702564,0.00064049976571542758 -1.5683166502942352 0.0044425494378104065 -1.5656739613753141 0.0050330253936296358 0.0047290079707882184,0.024980257732611373 0.081531316976833842 0.14247150056050645 0.16230438600945332 0.158089784344038 0.14743202320885126,0.00037341741882998769 -1.5709164518514702 0.0010393794713239417 -1.5689522885263516 0.0018518379950049446 0.0017191765042364412,0.036727851394244435 -0.013541733198735192 0.097384872049088342 0.17131490175417982 0.17195272970090353 0.15927569128427727,3.8450246158846109 -1.8364148275559178 9.5805961023728194 17.235107134006988 17.281191717065941 15.971943703571839,-1.2245772078110364 25.254370831546449 15.685150092405795 1.5136143355484024 -0.21921783278180065 0.013923418203889225,-0.92812448914904078 8.2129308909779866 3.9367830020439918 0.18638710459526919 -0.057940541176977334 0.0025916011140738604
ur,tetrapga,0.039999473,0.01129592,0.243015905,0.032207226,0.103875024,4.263187,0.011255,0.746263,0.004591,0.134514,0.060572,5.48725,0.021421,0,0,0,0,0,0,0.481564,0.065158,0.04953,0.088106,0,0,0,4.263187,0,0,0,0,0,5.521772,0.532898375,6,1,0,0.020648416,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00012673117878061622 -1.5707959054123701 0.00042052093827772859 -1.5700598572231319 0.00073940846628571858 0.00069040675792675658,0.0080174240283013443 0.0030646714929125907 0.028138931149384275 0.043748152107905135 0.043921635512412328 0.040990400883228209,0.00085029033393069393 -1.5676562879758242 0.0055896408325902189 -1.5643710362498358 0.0062993781918301945 0.0059078129168722779,0.027460713080662835 0.083537681116929233 0.14426355779849515 0.16338371998710249 0.15845624766676888 0.14723073218167759,0.00044496640078200679 -1.5708771832210002 0.0012379168914777635 -1.56865692317895 0.0021406219210992196 0.0019841591707864272,0.039779402750173817 -0.010159726078763183 0.10217449415000435 0.17536675552274089 0.17515168185168764 0.16171905160745881,3.9702473402340592 -1.6530496964594716 9.2544453750775091 16.452325426854468 16.403755792409413 15.091081340528824,-1.2391888053017419 25.392394591049843 15.581253652739461 1.4882087402915454 -0.21724256561641619 0.013309231207938539,-1.2132716667766381 10.339326738556338 4.8310838645770904 0.19123782125916478 -0.10258850223745952 -0.026047602426171323
ur,tetrapga,0.04799702,0.013541343,0.299230972,0.022853322,0.075282567,4.030499,0.00736,0.621799,0.003423,0.096054,0.039713,4.976354,0.014771,0,0,0,0,0,0,0.453342,0.060623,0.04406,0.087892,0,0,0,4.030499,0,0,0,0,0,4.999447,0.503812375,8,1,0,0.022807339,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00015701726078170785 -1.5707372812701992 0.00057111753958472499 -1.5698992105021154 0.00089995829028970673 0.00084111815184317938,0.0013304299206468966 0.0087746984136402601 0.012399218917043401 0.010347247766226588 0.0097332753908465821 0.0091755626707379235,0.0010798190900366891 -1.5669801959678182 0.0067505106688247642 -1.5630601122204213 0.0075680428022213376 0.0070844513084926172,0.029938855423520282 0.085535946258287282 0.1460405184582593 0.16444484510796065 0.15880411070695105 0.14701700495835598,0.0008235613075498467 -1.570879025877461 0.0021906448454084597 -1.5672331643418222 0.0035443728428741863 0.003277712937215353,0.047324363345979989 -0.00023033205759728781 0.119090994241337 0.1779698546409553 0.17546886522187083 0.16169422080361573,5.7492416781666362 -1.1256288089046935 13.336471915536698 20.95282585934109 20.71694872887803 19.064832266609724,-2.9180058591407447 24.777653552348571 11.292385085817033 0.8577718584132753 -0.16901464463289304 0.0012505077317093974,0.034011117483604192 -4.6241207866705736 -3.4279982939687459 -0.56420656436876016 -0.25199857633715528 -0.28191465269492344
ur,tetrapga,0.05599602,0.015935298,0.300143971,0.012415789,0.11835273,4.213216,0.010948,0.483585,0.002763,0.076846,0.031876,5.034765,0.022386,0,0,0,0,0,0,0.470197,0.063147,0.044952,0.0879,0,0,0,4.213216,0,0,0,0,0,5.070361,0.526652,10,1,0,0.026546781,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0001678700597811113 -1.5706767235802441 0.000659414839516922 -1.5698062351094493 0.00098796941365411378 0.00092330935589150646,0.0015721391551609398 0.0067426127894512373 0.010756366224001009 0.012072736406190674 0.011541112775084341 0.01074973629245066,0.0013292085012443398 -1.5662880249500701 0.0079257488811763331 -1.5617405325506808 0.0088396468734764002 0.0082595436917104453,0.03241604481788958 0.087527200762800877 0.14780334486387808 0.16548833626332096 0.1591335696503032 0.1467907344255345,0.00052814215901832249 -1.5707755306800739 0.0014880054149735771 -1.5683387791353056 0.0024465717689141422 0.0022607741898031984,0.045034012404651415 -0.012350887478731589 0.10357382193208189 0.18343199676795532 0.18232529440750361 0.16718310423896152,5.4327341561863092 -2.3866875335228532 11.602181963510111 21.419907545220582 21.348022704052408 19.554170993313857,-0.78564714830150784 27.369050623453472 17.752909546527526 1.7411963420867342 -0.24234636785389199 0.017064452864303973,0.58492707129954447 -4.0972103386520757 -1.762934464631277 -0.18817053685052088 0.01614572044281104 -0.011490608733590424
ur,tetrapga,0.064015677,0.018239402,0.282836725,0.007590602,0.082586638,4.248224,0.026512,0.478038,0.00266,0.06922,0.035519,5.029557,0.015525,0,0,0,0,0,0,0.477181,0.064513,0.046107,0.088728,0,0,0,4.248224,0,0,0,0,0,5.073504,0.531028,11,1,0,0.027468367,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00019962674478202252 -1.5706435892048027 0.00077415881647759457 -1.5696369719765728 0.0011517931882710439 0.0010746739680469919,0.0053155735458059027 0.0027484887045197263 0.016564235979078107 0.024600324172761076 0.024105402966299976 0.022257572256841829,0.0015991276385294015 -1.565578106756675 0.0091181190172484033 -1.5604092378610106 0.010117105999702412 0.0094358035038585412,0.034898065113173282 0.089516057273963182 0.1495560791409801 0.16651654450747497 0.1594453165654619 0.14655134526508659,0.00096484712741938029 -1.570793242664301 0.0024797647173806434 -1.5668477829306331 0.0039075103188908108 0.0035982799204700333,0.054588121050132228 -0.0022139980283891053 0.12396991280088329 0.18637452558405199 0.18261731874708356 0.16718821633335434,6.1590684380407907 -0.62031084161360384 13.425709602725648 20.221775176411363 19.813989472597946 18.116330509564065,-3.0891336278609414 26.903616529881525 12.387995683665217 0.94204712008529634 -0.18501244883873486 0.0014229058376578646,0.62653366571520541 -2.5048986757392413 -0.5413387460201351 -0.087621798795225914 0.053894196566025343 0.040040914480512946
ur,tetrapga,0.071995337,0.020612202,0.305169694,0.010989318,0.076358761,4.242927,0.005851,0.369209,0.002294,0.063832,0.037532,4.929737,0.020912,0,0,0,0,0,0,0.474745,0.064168,0.044988,0.087631,0,0,0,4.242927,0,0,0,0,0,4.95805,0.530365875,11,1,0,0.032378238,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00022857246151547215 -1.5706159696296313 0.00087531661018604135 -1.5695095787432953 0.0012768474749897368 0.0011902813141949063,0.0025243691004217168 0.0038992500666965228 0.010031313765736563 0.012261220277816292 0.011863833031509787 0.010957019518988536,0.0018874501361876321 -1.5648559287664916 0.01031843511625667 -1.5590764702033535 0.01139060159849721 0.010604241676404018,0.037365993628605765 0.091487365016906935 0.15128538975847319 0.16752167992286815 0.15973704002212555 0.14630071367056008,0.0014188710194463407 -1.5707071342876084 0.0035404250218344468 -1.5653449495280263 0.0053693701200041534 0.0049332448944622159,0.056752986503370038 0.010763547086574602 0.1325825380567254 0.18785417532584242 0.18273247513916779 0.16687062174902281,6.7785771753685395 0.8580371274847598 15.318903036373605 21.949119381003268 21.358580263457252 19.489200278754286,-3.3129126831877982 25.198391104920443 10.905225168773452 0.8175794321408808 -0.16345294159445584 0.00096693380001962206,0.075647065741056174 -2.441391015420777 -1.6483977090309532 -0.28613437913372763 -0.10438991556459332 -0.11918746362272881
