robot,backend,t,tracking_error,velocity_error,torque_ratio,command_torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,ddq_cmd,u_cmd,effort
ur,tetrapga,0.000175792,0.000054245,0.30859914,0,0,4.374073,0.060143,6.625494,0.008471,0.300559,0.350305,11.9697,0.070096,0,0,0,0,0,0,0.578816,0.081622,0.075899,0.093098,0,0,0,4.374073,0,0,0,0,0,12.104921,0.546759125,5,1,0,0.003518507,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.2815382541296727e-19 -1.5707963267948966 -7.6485189557151252e-20 -1.5707963267948966 -4.6969991965542313e-21 4.1922368843839614e-22,7.2440401894792879e-18 6.5338984752641671e-17 -2.2132835703249047e-18 5.8018471152396849e-18 -1.4650451943877377e-19 1.3286292213883535e-20,2.6506083865795181e-06 -1.5707834131173273 2.3764302144895412e-05 -1.5707685824806983 2.7501805073404463e-05 2.6036523892944613e-05,0.015105384173761451 0.073482363681250176 0.13520458246544748 0.15783738959854915 0.15645007727201776 0.14810824214250681,0.00013342825898121857 -1.5701874156126305 0.0011128002608205745 -1.5695012758315043 0.0012808728388002232 0.0012103058329164861,0.017588937896721737 0.07551590925087609 0.13705211786729907 0.15898637715541522 0.1568896266011949 0.14795698440317476,2.1986172370902164 9.4394886563595026 17.131514733412384 19.873297144426903 19.611203325149361 18.494623050396843,0 0 0 0 0 0,-3.3299301608642319e-15 0 8.0495063447544988e-16 0 2.966330057213275e-17 -2.7095827273840336e-18
ur,tetrapga,0.012401057,0.003847182,0.311916361,0,0,4.029845,0.007913,0.501656,0.002636,0.076667,0.037057,4.840116,0.018365,0,0,0,0,0,0,0.445806,0.060893,0.040756,0.082275,0,0,0,4.029845,0,0,0,0,0,4.86802,0.503730625,10,1,0,0.006917326,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.2815382541296727e-19 -1.5707963267948966 -7.6485189557151252e-20 -1.5707963267948966 -4.6969991965542313e-21 4.1922368843839614e-22,7.2440401894792879e-18 6.5338984752641671e-17 -2.2132835703249047e-18 5.8018471152396849e-18 -1.4650451943877377e-19 1.3286292213883535e-20,0.00021051689781533673 -1.5698660768695663 0.0016939328741030699 -1.5688282473359945 0.0019442497061824945 0.0018352850220944592,0.018900405926283174 0.076587252306500569 0.13802234681921519 0.15958620117278452 0.15711437788704766 0.1478720120583307,0.00028407195601004082 -1.5695751764067292 0.0022165613789206233 -1.5682248468908566 0.0025376869175858623 0.0023933146839168703,0.02007186959869136 0.07754276580286934 0.13888584988650696 0.16011794801164289 0.15731083356196374 0.14779313027743229,2.5089836998364192 9.6928457253586586 17.360731235813368 20.01474350145536 19.663854195245467 18.474141284679035,0 0 0 0 0 0,-3.3299301608642319e-15 0 8.0495063447544988e-16 0 2.966330057213275e-17 -2.7095827273840336e-18
ur,tetrapga,0.017366121,0.005399141,0.313264654,0,0,4.269488,0.005483,0.364941,0.002306,0.061383,0.026186,4.928898,0.0232,0,0,0,0,0,0,0.489876,0.068949,0.045063,0.08794,0,0,0,4.269488,0,0,0,0,0,4.958857,0.533686,11,1,0,0.010187609,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.4262052026652414e-19 -1.5707963267948966 -8.0828899761905494e-20 -1.5707963267948966 -4.9921981973857054e-21 4.4580433289785256e-22,7.2333474267784336e-18 6.9244370309622106e-17 -2.1718551023771203e-18 6.1577066597105123e-18 -1.4759950041573706e-19 1.3290322229728206e-20,0.00030818392535344671 -1.5694826958454628 0.0023820429438433724 -1.5680341544980472 0.0027249749711325782 0.0025692220102372537,0.020441245022184761 0.0778437638861839 0.13915750500677812 0.16028482190896104 0.15737193598708227 0.1477676746704368,0.00045457609492329497 -1.5689467495675375 0.0033349366921564833 -1.5669394353375166 0.003797797184953192 0.003574962370126247,0.022554022187606951 0.079562794461048969 0.14070564436816388 0.16123201608493062 0.15771366900496658 0.14761669596439098,2.8192527734508679 9.9453493076311119 17.588205546020486 20.154002010616328 19.714208625620824 18.452086995548871,0 0 0 0 0 0,-3.3250144469709934e-15 0 7.9014223460599095e-16 0 2.9886921965509848e-17 -2.7104036116322414e-18
ur,tetrapga,0.023972472,0.007248217,0.275493251,0.027677049,0,4.495835,0.006334,0.437131,0.002732,0.077825,0.037377,5.327189,0.037015,0,0,0,0,0,0,0.489755,0.066271,0.04542,0.090895,0,0,0,4.495835,0,0,0,0,0,5.37202,0.561979375,8,1,0,0.015466684,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,2.1214131415160354e-05 -1.5708089731761889 6.2386221612755743e-05 -1.5706585587043909 0.00013787672383478616 0.0001286307748079333,0.0040534161784008763 -0.00191990145691588 0.012149481165854254 0.023763925154761466 0.024066376505572015 0.022473459203985215,0.00044999682312090182 -1.5689629210645692 0.0033063331045142396 -1.5669722141749207 0.003765731859217946 0.0035449484716891457,0.022490949208904265 0.079511541122601143 0.14065956798940332 0.16120391950290736 0.15770365869408648 0.14762133570593039,0.00064493381452710656 -1.5683021902723571 0.0044678141666578929 -1.5656451815339332 0.0050610565568273251 0.0047551483172064623,0.025035238595869647 0.081575856756291087 0.14251136807310913 0.16232849653655881 0.15809810518043224 0.14742769837220349,2.6227278021835962 10.436969776650871 16.295235863406859 17.320571422724669 16.753966084357529 15.619279896027283,0 0 0 0 0 0,-0.32767753036486047 6.4728186855427339 4.1515574056452325 0.80522381511582353 0.41179917525397958 0.4395133015152819
ur,tetrapga,0.031924484,0.009330446,0.258145214,0.028403397,0.10236644,4.267059,0.008634,0.687198,0.003376,0.098266,0.04178,5.300208,0.023871,0,0,0,0,0,0,0.472143,0.063547,0.043853,0.087028,0,0,0,4.267059,0,0,0,0,0,5.334042,0.533382375,9,1,0,0.020816109,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,6.6297873021668946e-05 -1.5708173663025795 0.00020397523928209176 -1.5704054981659494 0.00039295348349370008 0.00036675661161697883,0.0063174168145704989 -0.00013420210097054609 0.0206215443513992 0.0344032246053892 0.034760676746244105 0.032470422695798952,0.00063865205071352807 -1.56832268300538 0.0044320070200227352 -1.5656859716897693 0.0050213267200827369 0.0047180977869130149,0.024957310714434064 0.08151272678483483 0.14245485935838326 0.1622943206521584 0.15808630887570155 0.147433826403538,0.00034360784289530678 -1.5709102372546584 0.00092746681301928075 -1.5691813199402951 0.0016182787063489046 0.0015018973976292135,0.034663746234204734 -0.011608869009853058 0.090436446717148622 0.1530222782068005 0.15316565285690059 0.14189259825152931,3.5432911774542792 -1.4343333636103139 8.7268627957186773 14.827381700176414 14.80062201383206 13.677771944466295,-1.4688386577200137 25.636070667178284 15.354966052236339 1.44422570861732 -0.21660902377562863 0.012171211770126859,-1.0083122163333762 8.8960855269915555 4.260509546819657 0.20563961733114411 -0.065547566446549688 0.00033714707663712318
ur,tetrapga,0.039972381,0.011428654,0.242007258,0.033973121,0.101659865,4.336207,0.006089,0.39357,0.002356,0.069559,0.038885,5.03429,0.020815,0,0,0,0,0,0,0.483796,0.065857,0.044105,0.091418,0,0,0,4.336207,0,0,0,0,0,5.062438,0.542025875,11,1,0,0.02122544,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00011544042189306797 -1.570811910323171 0.00036404217081736597 -1.5701369114608599 0.00066223335220658879 0.00061778818667557059,0.0083398659996411269 0.0020165319555212791 0.028150660349694032 0.04467161715032808 0.044914976997124718 0.041904394587934393,0.00084954648203776719 -1.5676585510868182 0.0055857325261531631 -1.5643754625924764 0.0062950853115552007 0.0059038241323563475,0.027452316071458611 0.083530899543681966 0.1442575138599243 0.16338009518786373 0.15845503791683935 0.14723143492349752,0.00041577080405701713 -1.57087726489668 0.0011289569023670862 -1.5688733584814873 0.0019209375154669466 0.0017802724745826606,0.037541297770493649 -0.0081693216886360599 0.095614341443715029 0.15794412242157121 0.15733802040754472 0.14531053598838625,3.6501789713565649 -1.2732317055196674 8.4329601367526248 14.159063158905392 14.052880426302501 12.925767675056482,-1.4796824074237667 25.730242680383654 15.248979680736557 1.4209789233186707 -0.21460125579128353 0.011643148896759411,-1.29704203954195 10.951727260312509 5.0959681409453381 0.20566914893970534 -0.10981633647195999 -0.028840202495715062
ur,tetrapga,0.047972543,0.013686958,0.301866567,0.022386563,0.077530875,4.272005,0.006414,0.488082,0.002562,0.07058,0.033348,5.104469,0.031578,0,0,0,0,0,0,0.482684,0.065342,0.046381,0.091247,0,0,0,4.272005,0,0,0,0,0,5.144151,0.534000625,11,1,0,0.023270815,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00014638759571889792 -1.5707584842863356 0.00051065237915046157 -1.5699827517708524 0.00081672805332480753 0.00076286271605388708,0.0012689108708435716 0.0083366336160840965 0.011577985562312432 0.0088513586605736463 0.0082372633917472109 0.0077840929334450186,0.0010790863694702963 -1.5669822895564633 0.0067469361013442336 -1.5630641372974812 0.0075641557666884466 0.0070808527650229672,0.029931272971774194 0.085529841617426994 0.14603510194086797 0.16444162461523676 0.15880307420438766 0.14701767816556738,0.0007851607051344463 -1.5708779550381422 0.0020613643972737157 -1.5674662903883516 0.0033093327928199381 0.003059507073214833,0.046173737634678635 -8.6267682783976174e-05 0.11655093686332867 0.17588351164195612 0.17354940966912391 0.15990432482902156,5.6131033454793835 -1.0528626623585091 13.12161891262703 20.879019122672808 20.664018284672085 19.015028986947069,-2.8279687072507236 24.856351053989041 11.629631193354696 0.9181224301711286 -0.17252869028292128 0.0026159803215488847,-0.048094794254546436 -4.2711117475200808 -3.3579845208803456 -0.5682194334531232 -0.26988629997187497 -0.29732330223268599
ur,tetrapga,0.055992799,0.016106887,0.302384053,0.011636189,0.11551838,4.413107,0.023166,0.476954,0.002731,0.066656,0.032255,5.251355,0.030915,0,0,0,0,0,0,0.489349,0.066813,0.048336,0.091273,0,0,0,4.413107,0,0,0,0,0,5.307361,0.551638375,10,1,0,0.027384083,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00015644981692753904 -1.5707007300229103 0.00059260905039913562 -1.5699005433576487 0.00089395057719841343 0.00083504001591342542,0.0014665087021735084 0.0064300426002049027 0.010009805473430193 0.01080394449065083 0.01027306538692428 0.0095746635036368499,0.0013291040907699718 -1.5662883068738949 0.0079252728077410205 -1.5617410655879411 0.0088391343044562226 0.0082590708786040752,0.032415047618284509 0.087526400436218024 0.14780263794441315 0.16548791967399554 0.15913344070533503 0.1467908280533142,0.00048933564465676528 -1.5707747831599088 0.0013547496638697107 -1.568617752547405 0.0021641003514435322 0.0019998166703069078,0.041610728466153289 -0.0092566421248204515 0.095267576683821881 0.16034885128045534 0.15876872178063983 0.14559708179918532,5.018027470497473 -1.9608355906281694 10.65722140129896 18.693113348725564 18.561957049214445 17.00280228694356,-1.06593613085155 27.673508115423868 17.327756981543391 1.6596863733133185 -0.2389668904286123 0.015093381120388763,0.55081538247743933 -3.8399422073225651 -1.6444444640430254 -0.17023001478082733 0.019329087738111816 -0.0067683628699319875
ur,tetrapga,0.063974271,0.018416817,0.285106825,0.006968012,0.08524903,4.374984,0.008968,0.693306,0.003532,0.100909,0.042391,5.435696,0.022912,0,0,0,0,0,0,0.500636,0.070335,0.047651,0.091548,0,0,0,4.374984,0,0,0,0,0,5.469324,0.546873,8,1,0,0.027952392,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00018690225698020667 -1.5706693402620588 0.00070109482066520862 -1.5697418128571272 0.0010472950183439643 0.00097670236600926768,0.0051204015113278049 0.0025829858807376372 0.015758448808399866 0.02327619182157609 0.022788094817299973 0.021037979757712936,0.0015976829144616032 -1.5655818130463588 0.0091119266848012585 -1.5604161325361081 0.010110504039256901 0.0094297353726002352,0.034885254581530946 0.08950580830551616 0.14954706754218575 0.16651128216819916 0.15944375476716818 0.1465526134439179,0.00091277814349790512 -1.5707871046647635 0.0023216898536896915 -1.567148694863546 0.0036046928191338394 0.0033184652478095724,0.052930312355142478 -0.0015401881068381768 0.12086752372749759 0.18363221048235828 0.18007405846128838 0.16483107218783308,5.9762388554768346 -0.51539674844697669 13.138634364887215 20.044502332597773 19.660745455498549 17.974136553765018,-2.9432105533083437 26.899945702058012 12.78735456034055 1.0179540586564677 -0.18872818094734831 0.0032229192495694886,0.59321227001926857 -2.2994438490322864 -0.45977166576294515 -0.074341159036521276 0.055347465577417765 0.04260481683984807
ur,tetrapga,0.071989217,0.020822055,0.307894681,0.010498845,0.07655853,4.207252,0.027477,0.443213,0.002656,0.073888,0.038573,4.950034,0.014417,0,0,0,0,0,0,0.471379,0.06354,0.043805,0.087687,0,0,0,4.207252,0,0,0,0,0,4.993571,0.5259065,10,1,0,0.032963517,0,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00021424859286176375 -1.5706425787077183 0.00079609192609937326 -1.5696270270673134 0.0011597653032304959 0.0010807260706372913,0.0023240941222073858 0.0038227591453300386 0.0092818453220176161 0.010602015133075531 0.010194567511122573 0.009423394125816659,0.0018872214620963986 -1.5648564886645482 0.010317509253712531 -1.5590774954336968 0.011389624008475287 0.010603346315433622,0.037364101545488873 0.091485856073249328 0.15128406910806899 0.16752091591291277 0.15973682334898043 0.14630091064059281,0.0013636423839827896 -1.5707025893300741 0.0033769632408050332 -1.5656427797162344 0.0050704466092016814 0.0046569610437345761,0.056358030060610569 0.010564416836172411 0.13190917338941768 0.18823939341393564 0.18321922375848027 0.16731197449062546,6.7542419923003969 0.84270721135529658 15.328416008425007 22.204672285107513 21.62808203091971 19.7360725456011,-3.2373920941370655 25.264314904747394 11.100190862374934 0.84088471729727454 -0.16601257140421607 0.0012849270785349029,0.054096903142015318 -2.2769438126560999 -1.5748266908993269 -0.27341140937005548 -0.10441288072513633 -0.11803956323921572
