scenario,method,sample_id,seed,dof,horizon,max_iterations,perturbation,level,solver_failed,solver_converged,solve_ms,solver_final_iter,solver_final_cost,solver_final_stop,planning_terminal_rmse,mpc_steps,mpc_failed_steps,mpc_converged_steps,mean_mpc_solve_ms,max_mpc_solve_ms,rollout_finite,rollout_terminal_error_norm,rollout_terminal_rmse,rollout_trajectory_rmse,max_abs_q,max_abs_dq,rms_tau,max_tau_ratio,success,failure_message
"ur10","TetraPGA",0,20260624,6,50,25,"nominal",0,0,1,2.26073398,4,1.390896063,0.000000007,0.000402948,50,0,50,2.26073398,2.359258,1,0.220386029,0.08997222,0.221803734,0.484338966,0.655210928,50.199536261,0.366287406,1,""
"ur10","TetraPGA",0,20260624,6,50,25,"mass_inertia_scale",-0.3,0,1,2.25679078,4,1.390896063,0.000000007,0.000402948,50,0,50,2.25679078,2.270061,1,0.683238546,0.278930968,0.285030282,0.481431044,0.936166499,35.685584513,0.280596154,0,""
"ur10","TetraPGA",0,20260624,6,50,25,"mass_inertia_scale",-0.2,0,1,2.25432206,4,1.390896063,0.000000007,0.000402948,50,0,50,2.25432206,2.269657,1,0.467488073,0.190851207,0.253374781,0.482642678,0.818553398,40.695072615,0.288726505,0,""
"ur10","TetraPGA",0,20260624,6,50,25,"mass_inertia_scale",-0.1,0,1,2.26007252,4,1.390896063,0.000000007,0.000402948,50,0,50,2.26007252,2.291156,1,0.318553736,0.130049018,0.23361564,0.48358506,0.723356273,45.551433541,0.327820693,1,""
"ur10","TetraPGA",0,20260624,6,50,25,"mass_inertia_scale",0.1,0,1,1.91989248,4,1.390896063,0.000000007,0.000402948,50,0,50,1.91989248,2.28448,1,0.227562667,0.09290207,0.217335538,0.484955797,0.635831063,54.60576215,0.403311808,1,""
"ur10","TetraPGA",0,20260624,6,50,25,"mass_inertia_scale",0.2,0,1,1.86963548,4,1.390896063,0.000000007,0.000402948,50,0,50,1.86963548,2.268822,1,0.393756468,0.160750405,0.223433952,0.485469824,0.777759591,58.757075885,0.438644909,0,""
"ur10","TetraPGA",0,20260624,6,50,25,"mass_inertia_scale",0.3,0,1,1.8495991,4,1.390896063,0.000000007,0.000402948,50,0,50,1.8495991,2.271479,1,0.651718462,0.266062948,0.244045858,0.529861186,1.105273088,62.653055665,0.472152978,0,""
"ur10","TetraPGA",0,20260624,6,50,25,"com_offset",0.01,0,1,2.0818914,4,1.390896063,0.000000007,0.000402948,50,0,50,2.0818914,2.277829,1,0.545001815,0.222496059,0.268846059,0.484441232,0.61329875,50.200952167,0.36629425,0,""
"ur10","TetraPGA",0,20260624,6,50,25,"com_offset",0.02,0,1,2.14715466,4,1.390896063,0.000000007,0.000402948,50,0,50,2.14715466,2.762653,1,0.687711548,0.280757064,0.303976715,0.484536244,0.569214081,50.199828153,0.366290635,0,""
"ur10","TetraPGA",0,20260624,6,50,25,"com_offset",0.05,0,1,1.94881752,4,1.390896063,0.000000007,0.000402948,50,0,50,1.94881752,2.761188,1,1.070628555,0.437082277,0.388586961,0.594122184,1.381928864,50.184330545,0.366217514,0,""
