perturbation,level,num_samples,solver_failed_rate,solver_converged_rate,rollout_finite_rate,success_rate,mean_terminal_rmse,median_terminal_rmse,p95_terminal_rmse,mean_trajectory_rmse,mean_planning_terminal_rmse,mean_solve_ms,mean_max_tau_ratio,p95_max_abs_q,p95_max_abs_dq
com_offset,0.01,5,0,1,1,0,0.368746103,0.377945713,0.631945341,0.341427384,0.000241633,1.8363528,0.378238811,1.627681797,5.702542643
com_offset,0.02,5,0,1,1,0,0.426223663,0.395491339,0.688797877,0.395421837,0.000241633,1.784148344,0.37822547,1.834534504,8.946109418
com_offset,0.05,5,0,1,1,0,0.509792335,0.559025519,0.700850983,0.476938559,0.000241633,1.800230136,0.378270774,2.248601001,13.095074993
external_force,5,5,0,1,1,0.8,0.077310649,0.064522189,0.113775282,0.135003222,0.000241633,2.00887166,0.378232153,0.420295537,5.241769696
external_force,10,5,0,1,1,0.6,0.124062147,0.070933109,0.237373703,0.163168583,0.000241633,1.998267212,0.378233203,0.810499406,10.324115947
mass_inertia_scale,-0.3,5,0,1,1,0,0.235564088,0.215121223,0.281818637,0.188060807,0.000241633,1.905505992,0.353931489,0.509075921,0.796932576
mass_inertia_scale,-0.2,5,0,1,1,0,0.150512822,0.143436471,0.180754171,0.153103255,0.000241633,1.981579596,0.353931489,0.420086679,0.599939948
mass_inertia_scale,-0.1,5,0,1,1,0.8,0.083511967,0.089793928,0.099464873,0.131850475,0.000241633,2.004290504,0.357331995,0.330150793,0.452070726
mass_inertia_scale,0.1,5,0,1,1,0.6,0.099677018,0.096080055,0.145643367,0.138146464,0.000241633,2.060758444,0.40323957,0.384905495,0.439702869
mass_inertia_scale,0.2,5,0,1,1,0,0.197188021,0.194293945,0.271086923,0.170825029,0.000241633,1.960520672,0.430601783,0.511567654,0.605770815
mass_inertia_scale,0.3,5,0,1,1,0,0.321618977,0.318510358,0.424808465,0.222638575,0.000241633,1.935384128,0.457439222,0.63870255,0.861735467
nominal,0,5,0,1,1,1,0.052925319,0.050979942,0.065945938,0.125973675,0.000241633,2.048748556,0.378231699,0.28072797,0.394654687
