perturbation,level,num_samples,solver_failed_rate,solver_converged_rate,rollout_finite_rate,success_rate,mean_terminal_rmse,median_terminal_rmse,p95_terminal_rmse,mean_trajectory_rmse,mean_planning_terminal_rmse,mean_solve_ms,mean_max_tau_ratio,p95_max_abs_q,p95_max_abs_dq
com_offset,0.01,5,0,1,1,0,0.412641935,0.325804618,0.736092886,0.422655641,0.000473035,2.013197044,0.383705041,1.950350833,5.941271388
com_offset,0.02,5,0,1,1,0,0.474363655,0.340536956,0.798527293,0.474156184,0.000473035,2.003068628,0.383724152,2.112138488,9.500438229
com_offset,0.05,5,0,1,1,0,0.585305229,0.631996296,0.812001165,0.561892629,0.000473035,2.064872292,0.383642245,2.496073799,13.779029547
external_force,5,5,0,1,1,0,2.754506745,1.198396788,6.322423085,2.234170914,0.000473035,2.252650088,0.384021974,20.386828048,254.40720051
external_force,10,5,0,0.6,1,0,5.543375745,2.396336349,12.750358785,4.444131567,0.000473035,2.598297488,0.400522381,40.987404241,508.495554099
mass_inertia_scale,-0.3,5,0,1,1,0,0.236143101,0.235928516,0.287843861,0.284217783,0.000473035,2.088329656,0.341376067,0.749244183,1.445005567
mass_inertia_scale,-0.2,5,0,1,1,0.2,0.172473497,0.190851207,0.200350046,0.263756805,0.000473035,2.177563724,0.345337878,0.655822388,1.164781202
mass_inertia_scale,-0.1,5,0,1,1,0.8,0.121558247,0.130049018,0.147691157,0.252139277,0.000473035,2.170000696,0.363296408,0.5524182,0.910510257
mass_inertia_scale,0.1,5,0,1,1,0.6,0.14243039,0.132989203,0.221677156,0.263635529,0.000473035,2.079122872,0.403503201,0.619611335,0.906390843
mass_inertia_scale,0.2,5,0,1,1,0.2,0.239163476,0.242398573,0.370793875,0.292402999,0.000473035,2.020936656,0.428134291,0.740059801,1.155729481
mass_inertia_scale,0.3,5,0,1,1,0,0.368816233,0.376761237,0.547614669,0.337298483,0.000473035,1.982060716,0.451767711,0.906974423,1.491477842
nominal,0,5,0,1,1,1,0.102866584,0.103432815,0.126698187,0.251085754,0.000473035,2.216023664,0.383710907,0.526411045,0.798015933
