scenario,method,sample_id,seed,dof,horizon,max_iterations,perturbation,level,solver_failed,solver_converged,solve_ms,solver_final_iter,solver_final_cost,solver_final_stop,planning_terminal_rmse,mpc_steps,mpc_failed_steps,mpc_converged_steps,mean_mpc_solve_ms,max_mpc_solve_ms,rollout_finite,rollout_terminal_error_norm,rollout_terminal_rmse,rollout_trajectory_rmse,max_abs_q,max_abs_dq,rms_tau,max_tau_ratio,success,failure_message
"ur10","TetraPGA",0,20260624,6,50,25,"nominal",0,0,1,2.1531015,4,0.934386582,0.000000001,0.000204575,50,0,50,2.1531015,3.094968,1,0.113415743,0.046301783,0.111353528,0.242199333,0.321455129,50.638087434,0.3641241,1,""
"ur10","TetraPGA",0,20260624,6,50,25,"mass_inertia_scale",-0.3,0,1,1.98785304,4,0.934386582,0.000000001,0.000204575,50,0,50,1.98785304,2.272974,1,0.66870513,0.272997726,0.206160578,0.298964215,0.612470762,35.847771577,0.319823483,1,""
"ur10","TetraPGA",0,20260624,6,50,25,"mass_inertia_scale",-0.2,0,1,2.25368768,4,0.934386582,0.000000001,0.000204575,50,0,50,2.25368768,2.278381,1,0.419692373,0.171338694,0.159079576,0.241200591,0.456553719,40.924433471,0.319823483,1,""
"ur10","TetraPGA",0,20260624,6,50,25,"mass_inertia_scale",-0.1,0,1,2.25286946,4,0.934386582,0.000000001,0.000204575,50,0,50,2.25286946,2.269854,1,0.231720559,0.094599522,0.127732045,0.241755448,0.374982153,45.875924843,0.325167456,1,""
"ur10","TetraPGA",0,20260624,6,50,25,"mass_inertia_scale",0.1,0,1,1.85127738,4,0.934386582,0.000000001,0.000204575,50,0,50,1.85127738,2.270419,1,0.176698849,0.072137003,0.110873314,0.242562512,0.34798145,55.164984692,0.40191443,1,""
"ur10","TetraPGA",0,20260624,6,50,25,"mass_inertia_scale",0.2,0,1,1.8293243,4,0.934386582,0.000000001,0.000204575,50,0,50,1.8293243,2.261107,1,0.379224208,0.154817635,0.130080448,0.34437588,0.517355206,59.433691947,0.437968755,1,""
"ur10","TetraPGA",0,20260624,6,50,25,"mass_inertia_scale",0.3,0,1,1.80718916,4,0.934386582,0.000000001,0.000204575,50,0,50,1.80718916,2.260593,1,0.647517359,0.264347855,0.169187972,0.459489286,0.826398016,63.437910686,0.472146949,1,""
"ur10","TetraPGA",0,20260624,6,50,25,"com_offset",0.01,0,1,1.91878146,4,0.934386582,0.000000001,0.000204575,50,0,50,1.91878146,2.336087,1,0.414866753,0.169368643,0.168160008,0.242272402,0.406383226,50.6392667,0.364131218,1,""
"ur10","TetraPGA",0,20260624,6,50,25,"com_offset",0.02,0,1,1.80292852,4,0.934386582,0.000000001,0.000204575,50,0,50,1.80292852,2.325147,1,0.513162779,0.209497827,0.202650035,0.293360567,0.880941288,50.638573047,0.364125629,1,""
"ur10","TetraPGA",0,20260624,6,50,25,"com_offset",0.05,0,1,1.77805912,4,0.934386582,0.000000001,0.000204575,50,0,50,1.77805912,2.250379,1,0.719627256,0.293786597,0.257183401,0.392738985,2.051696982,50.62689267,0.364047017,1,""
