perturbation,level,num_samples,solver_failed_rate,solver_converged_rate,rollout_finite_rate,success_rate,mean_terminal_rmse,median_terminal_rmse,p95_terminal_rmse,mean_trajectory_rmse,mean_planning_terminal_rmse,mean_solve_ms,mean_max_tau_ratio,p95_max_abs_q,p95_max_abs_dq
com_offset,0.01,20,0,1,1,0.3,0.500250133,0.464711571,0.873794311,0.437597686,0.000233882,1.803460202,0.384256332,2.311211069,7.210961918
com_offset,0.02,20,0,1,1,0.3,0.55218039,0.499721914,0.932270495,0.513095755,0.000233882,1.776378566,0.384293437,2.704975594,13.156647047
com_offset,0.05,20,0,1,1,0.2,0.598734708,0.56873402,1.050028629,0.584941594,0.000233882,1.776907687,0.384393582,3.325528711,18.788713714
external_force,5,20,0,1,1,1,0.086740498,0.086365115,0.128155427,0.135463973,0.000233882,1.8573978,0.3842572,0.488933679,5.584292435
external_force,10,20,0,1,1,1,0.151818386,0.159977343,0.244858799,0.17284766,0.000233882,1.857764081,0.384259205,0.85951947,10.994726813
mass_inertia_scale,-0.3,20,0,1,1,0.85,0.256256499,0.234329626,0.377737577,0.197015598,0.000233882,1.867890683,0.359602712,0.571687278,0.889326731
mass_inertia_scale,-0.2,20,0,1,1,1,0.164180682,0.158109078,0.232017243,0.156498702,0.000233882,1.923592165,0.363803061,0.466714713,0.72364985
mass_inertia_scale,-0.1,20,0,1,1,1,0.090426522,0.090447458,0.108489511,0.129979565,0.000233882,1.940826426,0.370592538,0.370667012,0.529646813
mass_inertia_scale,0.1,20,0,1,1,1,0.093429281,0.093383036,0.135797908,0.132479758,0.000233882,1.884675637,0.402607492,0.360777544,0.513342924
mass_inertia_scale,0.2,20,0,1,1,1,0.183591086,0.185561042,0.239450827,0.16276293,0.000233882,1.89416963,0.429415924,0.481162207,0.6947786
mass_inertia_scale,0.3,20,0,1,1,0.4,0.299274396,0.313031496,0.369332415,0.210384173,0.000233882,1.870999329,0.459377124,0.666620031,0.985709738
nominal,0,20,0,1,1,1,0.05137391,0.050930433,0.069022865,0.12109269,0.000233882,1.898634312,0.38425534,0.291046886,0.475842738
