case_name,cycles_file,summary_file,num_cycles,dt_estimate_s,tracking_rmse,tracking_mean,tracking_p95,velocity_rmse,solve_time_mean_ms,solve_time_p95_ms,torque_ratio_mean,torque_ratio_p95,failure_rate,accel_rms_norm,jerk_rms_norm_from_dq,jerk_rms_norm_from_q,torque_rate_rms_norm,effort_rate_rms_norm,robot,backend,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque
com_01cm_x_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_01cm_x_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_01cm_x_tetrapga_summary.csv,442,0.042146651,0.609394531,0.562733602,0.894527781,0.848642082,37.5169368,50.462299,0.30202418,0.468742616,0,13.8285923,500.484054,322.205385,643.355739,1133.53977,ur,tetrapga,1,5,5,1,0.01 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_01cm_y_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_01cm_y_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_01cm_y_tetrapga_summary.csv,456,0.044186384,0.545950411,0.506448317,0.685160304,0.874390565,36.0898497,45.2847912,0.266876032,0.413916243,0,5.28823183,133.406446,548.395073,658.298624,978.219946,ur,tetrapga,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_01cm_z_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_01cm_z_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_01cm_z_tetrapga_summary.csv,454,0.043996008,0.546445202,0.507349093,0.684235267,0.924410283,36.2614415,42.1625478,0.265252734,0.365093303,0,5.17810028,105.378826,526.867926,655.852176,981.336979,ur,tetrapga,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_x_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_02cm_x_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_02cm_x_tetrapga_summary.csv,459,0.041863189,0.55298338,0.51315352,0.717843501,0.850619591,35.8904615,45.9909227,0.270410571,0.374787969,0,5.54214555,153.094754,680.860785,706.445809,1013.08647,ur,tetrapga,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_y_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_02cm_y_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_02cm_y_tetrapga_summary.csv,442,0.043783342,0.605512563,0.559107741,0.886077399,0.860600379,37.5027375,53.5351658,0.304695883,0.463234924,0,13.0469253,456.022123,312.268018,622.401281,1042.70442,ur,tetrapga,1,5,5,1,0 0.02 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_z_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_02cm_z_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_02cm_z_tetrapga_summary.csv,450,0.044037459,0.554032144,0.513877193,0.712924996,0.903988951,36.6666275,45.1710814,0.27472871,0.395537682,0,5.18524406,119.204245,542.837072,647.669931,1002.92412,ur,tetrapga,1,5,5,1,0 0 0.070000000000000007,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_x_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_05cm_x_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_05cm_x_tetrapga_summary.csv,462,0.041806047,0.566291328,0.521477742,0.742920951,0.84476343,35.7317228,45.0502952,0.27866208,0.411102189,0,12.3054678,420.830417,245.317557,700.412214,1103.26429,ur,tetrapga,1,5,5,1,0.050000000000000003 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_y_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_05cm_y_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_05cm_y_tetrapga_summary.csv,461,0.0418144765,0.566924087,0.522362833,0.746941862,0.888370716,35.786617,45.167144,0.29454954,0.408636693,0,13.4592843,491.449711,301.600342,690.976784,1050.88553,ur,tetrapga,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_z_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_05cm_z_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/com_05cm_z_tetrapga_summary.csv,467,0.041814465,0.536759908,0.493488124,0.642307346,0.854818914,35.1241744,42.2390311,0.240224394,0.382011367,0,13.7579872,496.326564,300.871265,669.95016,1057.57829,ur,tetrapga,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
external_10N_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/external_10N_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/external_10N_tetrapga_summary.csv,492,0.041562236,0.418810418,0.374761703,0.449220233,0.903848292,33.0527404,39.6102947,0.0668627214,0.134497047,0,10.9236348,374.277437,481.496893,611.733116,868.301573,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0
external_5N_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/external_5N_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/external_5N_tetrapga_summary.csv,488,0.041580841,0.409275804,0.370963951,0.459079682,1.08009111,33.3313389,41.9699912,0.0595110638,0.122690342,0,6.46350171,119.518035,527.535923,610.689439,854.060982,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0
mass_070_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_070_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_070_tetrapga_summary.csv,495,0.04162573,0.400605725,0.365586443,0.452632018,1.12303963,32.8422461,39.6112404,0.0463775919,0.0513684629,0,7.21388594,142.279348,474.527326,619.218197,873.596619,ur,tetrapga,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_080_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_080_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_080_tetrapga_summary.csv,484,0.041732606,0.414722372,0.371457232,0.459927233,0.925625963,33.5890095,39.6276679,0.0504607547,0.132795922,0,13.8831177,496.786,439.084089,515.546912,828.52417,ur,tetrapga,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_090_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_090_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_090_tetrapga_summary.csv,494,0.041541731,0.403368839,0.366902937,0.455060184,1.09817233,32.9033287,39.609207,0.0501968415,0.0525314904,0,7.05244115,146.824631,560.051042,553.587493,714.137205,ur,tetrapga,0.9,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_110_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_110_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_110_tetrapga_summary.csv,491,0.0415451485,0.418088144,0.373387936,0.4571567,0.857520819,33.1032104,39.643501,0.0616493519,0.0978314745,0,9.01480393,306.529496,519.065322,579.083679,686.244985,ur,tetrapga,1.1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
