robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000047797,2.1298897,7.427110109,1,43.999464,56.341542,5.499933,1,0,0,3.867267611,102.355746419,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0010983811974647198 -0.0076477760394679066 0.010326262192538646 -0.12410589689116781 -0.0029304203960244233 -9.1096040335228413e-05,0.057979708172300144 -0.32032555184269834 0.32085494684646088 -7.2511410861900947 -0.078119225734162634 -0.003150551545586217,7.197379669548497e-07 -1.5707928164068659 6.4606904360770532e-06 -1.570788783691927 7.4774369765697534e-06 7.0792610871531657e-06,0.015065644668907795 0.073449774617087973 0.13517491160075609 0.15781886543369761 0.15644289584157964 0.14811055970688045,0.00013117950554721288 -1.5701970791926112 0.0010952601597541667 -1.5695216241251837 0.0012607921918214502 0.0011913679174392132,0.017549207066921733 0.075483426075883653 0.13702266675276706 0.15896813094047002 0.15688273839263428 0.14795950362964289,0 0 0 0 0 0,-29.745458007073431 -330 -148.20864276436038 -56 21.795830708943843 0.80286014706818576
ur,tetrapga,0.056451509,2.120383987,7.435256291,1,42.23512,50.301986,5.27939,1,0,0,3.940613132,101.10386545,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0010983811974647198 -0.0076477760394679066 0.010326262192538646 -0.12410589689116781 -0.0029304203960244233 -9.1096040335228413e-05,0.057979708172300144 -0.32032555184269834 0.32085494684646088 -7.2511410861900947 -0.078119225734162634 -0.003150551545586217,0.0013440057683768384 -1.5662481314995753 0.0079930944422535663 -1.5616651410217173 0.0089121346121679244 0.0083264022380728532,0.03255705854983499 0.087640364513273256 0.14790328814514947 0.16554721787376972 0.15915177386219381 0.14677747392078597,0.00028150539901637125 -1.5695850994211338 0.0021987865551227523 -1.5682453400378249 0.0025175523394260243 0.0023743977280588123,0.020032149957473835 0.077510390742244306 0.1388566206759273 0.16009998113394408 0.15730423905301719 0.14779585091258718,0 0 0 0 0 0,-29.745458007073431 -330 -148.20864276436038 -56 21.795830708943843 0.80286014706818576
ur,tetrapga,0.106853108,1.721459275,8.346360961,1,42.27718,50.096429,5.2846475,1,0,0,5.412709705,79.897995396,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0028609965578907286 -0.030482782921278193 0.024311524922742581 -0.76663641328623222 -0.00305090122545197 -0.00024507088046627829,-0.028649559077498731 -0.46708089184249885 0.15409615805548418 -8.152586124762994 0.012490512568297179 0.009068865856739208,0.0033775468017706906 -1.5615179655479476 0.015721354210970099 -1.5531631971484545 0.016978140780457802 0.015683034598500956,0.048122805823254615 0.10000609854142795 0.15866472941011453 0.17170067488199003 0.16079492531847545 0.14506095388914281,0.00045169183393169827 -1.5689569311425717 0.0033169289294253668 -1.5669600710975924 0.0037776110270455682 0.0035560679841054243,0.022514316248176049 0.07953052973354012 0.14067663920074447 0.16121432991196688 0.15770736865099352 0.14761961774347312,0 0 0 0 0 0,-0.56022078893314731 -330 -136.72177683929874 34.410988038476717 8.7936317049878028 0.93662728510070847
ur,tetrapga,0.157080546,1.567575826,5.27138047,1,36.58882,44.313328,4.5736025,1,0,0,1.98725757,67.253947274,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00079962638840939439 -0.061441484328127981 0.029902015211974772 -1.0735959720819921 -0.002786968926068304 0.00019357566018666939,-0.0464673067011694 -0.8241721415447415 0.10126545321060756 -5.004970791838951 0.0037916515171278449 0.01830644358954708,0.0061821643888345284 -1.5561922883809243 0.023947345388777217 -1.5444002725376347 0.025080211482267609 0.022915896928653336,0.063533896531175527 0.11199863157235529 0.16878135542394149 0.17710687676475068 0.16169797752033199 0.14286288975140837,0.00064173196920321593 -1.5683126295165026 0.0044495752658466354 -1.5656659576560754 0.0050408211741584602 0.0047362781090774624,0.024995548870973456 0.081543704574072784 0.14248258907334244 0.16231109241587879 0.15809209941438487 0.1474308210191167,0 0 0 0 0 0,18.291672537798611 -330 -131.91350178739822 21.40594481914377 9.7442939122406607 0.79425671619877036
ur,tetrapga,0.20147145,1.474448787,3.621967087,1,36.616023,44.560356,4.577002875,1,0,0,1.397575371,57.068075892,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.00097075984675514058 -0.10547606416123341 0.033547332870601444 -1.2494980130819553 -0.0029054907493984605 0.00088703229720819387,-0.033273525565764031 -1.1618900259637217 0.072447760815738838 -3.1961904202428286 0.0033543595388066576 0.022155074146550477,0.009302705150191876 -1.5509909065242555 0.03162829335025389 -1.5364438130290934 0.032264387853686939 0.029207095270224359,0.077039459306868355 0.12229680292976809 0.17719371408712822 0.18126824766123267 0.1618841360227275 0.14052041607286778,0.00085161770732120892 -1.5676522508086552 0.0055966124852297279 -1.5643631407387399 0.0063070354836699729 0.0059149276644808509,0.027475690790355018 0.083549777202917189 0.14427433796358163 0.16339018503602024 0.15845840497238903 0.14722947834441383,0 0 0 0 0 0,21.392881574758825 -330 -129.10598226527588 11.772516397638356 14.736361425338044 2.8200737384303345
ur,tetrapga,0.246165886,1.392393733,2.758676453,1,36.328241,44.255523,4.541030125,1,0,0,1.637492601,47.366379572,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0020818744396470289 -0.16403703385303545 0.036285603802230115 -1.3617814809754822 -0.0027977286656984167 0.0017866355161345515,-0.018912370523146264 -1.4828976336623527 0.055378767000344754 -2.0370622005217545 0.0100847673539046 0.025700188197635851,0.0130473212220412 -1.5452989094437142 0.039727471533729908 -1.5282595597613706 0.039493099299373689 0.035427908926855302,0.090500647102337434 0.13235697520302159 0.18514190607552117 0.18486283779710769 0.16149147284355023 0.13778843448254774,0.0010813396946494146 -1.566975852387561 0.0067579264534985486 -1.5630517620349151 0.0075761064531302521 0.0070919163554896388,0.029954585011563048 0.085548609981740895 0.14605175447312571 0.16445152541716049 0.15880626035730555 0.14701560803132824,0 0 0 0 0 0,20.826686215145003 -330 -128.74836636304966 3.4402251455412625 15.74328794439038 2.6649934812728073
ur,tetrapga,0.290496015,1.311199383,2.458219327,1,36.286108,44.200936,4.5357635,1,0,0,2.098049405,38.323975828,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0026784697598642563 -0.23274279216628427 0.038316694827448913 -1.4307327481284187 -0.0024220532208822135 0.0027483062491698148,-0.011233972947907692 -1.7711276335384476 0.038694644657326541 -1.3316162354785872 0.0064824973983400374 0.018744387453632803,0.01735221895867704 -1.5392163505589527 0.04809970614309092 -1.5199965963292188 0.046632797578386037 0.041469281363854305,0.10369026048011476 0.14200794267917363 0.19248983424436603 0.1878293144096593 0.16052844622036161 0.13471444485274145,0.0013308873217838823 -1.5662834927211409 0.0079334019891442523 -1.5617319638877363 0.0088478863859657118 0.0082671440365983777,0.032432074588800971 0.087540065702600811 0.14781470814345402 0.16549503246384809 0.15913564200616676 0.14678922909784423,0 0 0 0 0 0,19.977090526841714 -330 -132.11374139038458 -6.0209318099841767 13.616065826138424 0.22812701872570784
ur,tetrapga,0.334768933,1.218054381,2.459949562,1,36.293831,44.006674,4.536728875,1,0,0,2.693893699,29.276735767,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0031120028587078132 -0.3175788771668217 0.040045360908975286 -1.4770890639967571 -0.0017436425622028033 0.0038472658878213445,-0.0097506882108830753 -2.0687592677070552 0.036734126593898242 -0.83505396065735427 0.022133842412530257 0.029179221630761087,0.022231085074532152 -1.5327222282232964 0.056774133144794528 -1.511626368974337 0.053708095485579942 0.047358950621888087,0.11667606404981955 0.15130044554606636 0.19927882084905468 0.19018927477187483 0.15899928672618546 0.13128884515165951,0.0016002487239774863 -1.565575231373233 0.009122922870775629 -1.5604038892840459 0.010122227402723115 0.0094405107172659819,0.034908002633439003 0.089524007595717242 0.14956306946381934 0.16652062634568171 0.15944652776227455 0.14655036126688409,0 0 0 0 0 0,23.14278866553391 -330 -127.26720143023704 -4.66024630388074 16.327311856731015 2.5491034672623538
ur,tetrapga,0.378847838,1.118711473,2.627415181,1,36.387664,44.256416,4.548458,1,0,0,3.409821046,21.162419952,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0035676316378687226 -0.41058207421570242 0.041435126302696343 -1.5053145390462919 -0.0009227512830705275 0.0049199328238166019,-0.012675793245105633 -2.3450417099596619 0.026061489319937136 -0.54523814380771829 0.015740965520720854 0.020748826892612929,0.027655157407933825 -1.5258558081048046 0.065696807430559306 -1.5032023462483386 0.060672770704506468 0.053064481042090959,0.1293941964378606 0.16018879601904321 0.20547663772298869 0.19193444939283033 0.15691755637288504 0.12753228303482661,0.0018894107816300751 -1.5648511290000542 0.010326371844732958 -1.5590676818442522 0.011398981452325549 0.010611916567550776,0.037382212322217376 0.091500299337224256 0.15129670987915084 0.16752822850250249 0.15973889687664236 0.14629902496519021,0 0 0 0 0 0,26.398892344659895 -330 -130.53290330612842 -11.178781675127539 13.846925286897687 0.19238900115313484
ur,tetrapga,0.423239405,1.003212375,2.876309086,1,36.398884,44.132814,4.5498605,1,0,0,4.246485917,13.657972211,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0042365090203996762 -0.52066434609721612 0.042723445357613611 -1.5240093562152766 0.00010189588577022061 0.006082795321611832,-0.018026911055120123 -2.6447355318214467 0.028760574228665819 -0.3305145379008963 0.028822864649515039 0.030205304985832168,0.033679111374906333 -1.5185531913463595 0.074946064162526166 -1.4946544135664135 0.067581716658639671 0.058635546351923029,0.14196477357783965 0.16875425713655734 0.21113731570383323 0.19307761503328813 0.15426242890022149 0.12340788665084333,0.0021983591208442322 -1.5641112473466032 0.011543630632764819 -1.557723485812146 0.012678000323339583 0.011781261923736474,0.039854546905446667 0.09346880505689624 0.15301550179790122 0.16851776164950608 0.16001273000934246 0.14603524132217216,0 0 0 0 0 0,34.097008356026322 -330 -125.52320145318862 -7.7821188959069332 16.405579345274354 2.5615559186733101
