robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000060936,2.129156407,7.032943335,1,48.035286,59.45771,6.00441075,1,0,0,3.351998126,102.571841276,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0012111289267865127 -0.0078856007856112752 0.011094773194873293 -0.12493175323002013 -0.0031489735461573513 0.00039739208823244109,0.059578825490848968 -0.30047711252897336 0.31458461728622017 -6.8574941313467717 -0.077006337344096037 0.0096967628871542158,9.1771227163551851e-07 -1.5707918513282995 8.2367736099951849e-06 -1.5707867100973603 9.5329450294836105e-06 9.0252841692479006e-06,0.015069724031800435 0.073453120041485243 0.13517795754876333 0.15782076718885538 0.15644363324887983 0.14811032195191945,0.00013141011137240345 -1.5701960873939698 0.0010970605204348436 -1.5695195354306051 0.0012628534787679031 0.0011933119556595117,0.017553285541151167 0.075486760632140604 0.13702569014447508 0.15897000416441934 0.15688344570035143 0.14795924517339179,0 0 0 0 0 0,-31.045240655214972 -330 -150 -56 21.949986333106708 -2.7665073203312351
ur,tetrapga,0.059578823,2.119099946,7.041507874,1,42.596373,50.504661,5.324546625,1,0,0,3.433286936,101.242756401,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0012111289267865127 -0.0078856007856112752 0.011094773194873293 -0.12493175323002013 -0.0031489735461573513 0.00039739208823244109,0.059578825490848968 -0.30047711252897336 0.31458461728622017 -6.8574941313467717 -0.077006337344096037 0.0096967628871542158,0.0014473356574755175 -1.5659728383862948 0.0084567060208675191 -1.5611467924868951 0.0094100458244585627 0.0087852779129867289,0.033525097175270302 0.088416668906380808 0.1485882034104784 0.16594992034548875 0.15927514168459253 0.1466853364920275,0.0002817686282206682 -1.5695840809902764 0.0022006110119743905 -1.5682432364720549 0.0025196191642715936 0.0023763396159102359,0.020036227285019987 0.077513714201934203 0.1388596212902333 0.16010182568425643 0.15730491621209403 0.1477955717810506,0 0 0 0 0 0,-31.045240655214972 -330 -150 -56 21.949986333106708 -2.7665073203312351
ur,tetrapga,0.11018803,1.711342725,8.120446926,1,42.058997,49.820639,5.257374625,1,0,0,5.074390928,79.847093321,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0030007732089156942 -0.029708607306715647 0.025798536747457943 -0.78936138243462417 -0.0030877334178561204 0.00048081541839348012,-0.035361866573869437 -0.43446837100918945 0.12918983236956941 -7.9280155635462055 0.030791026104509983 0.0086495400787089134,0.0035397448622269162 -1.5611831072110161 0.016251641407095098 -1.552589951583724 0.017514518139421186 0.016166583843368301,0.0491495954154995 0.10081294986892891 0.15935557303212122 0.17208228367965564 0.16087764176495387 0.14493002569584554,0.0004519876763096611 -1.5689558861691826 0.0033187772993493233 -1.5669579528905833 0.0037796831484125564 0.0035580075562935908,0.022518392171052073 0.079533841868898184 0.14067961681804275 0.1612161456482516 0.15770801561466974 0.14761931796382088,0 0 0 0 0 0,1.627494841986628 -330 -131.41584445515312 45.779511910606743 2.0988151574004568 -0.23239960688149308
ur,tetrapga,0.160137575,1.564475363,5.127243449,1,37.056262,47.454512,4.63203275,1,0,0,1.898915946,67.293182384,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00068393251222792354 -0.059885246131055239 0.030846828294605336 -1.0874553701622511 -0.0026830780559246822 0.00097335054591751204,-0.050076770982654707 -0.81606346594311319 0.093335121636570248 -4.8592026290176191 0.0052132454207954246 0.019817121712161455,0.0063778169157756061 -1.5558488066893847 0.024464225698668868 -1.5438583843761098 0.025574575330959432 0.023352405092294002,0.064467764135609229 0.11271716168309244 0.16937684231972636 0.17741214241226713 0.16172921583352765 0.14271353805915621,0.0006420604124856876 -1.568311558092085 0.0044514473639934576 -1.5656638250388939 0.0050428983503042861 0.0047382152005300054,0.024999623131239233 0.081547005158009042 0.14248554347553771 0.16231287919979198 0.15809271613820033 0.14743050061968238,0 0 0 0 0 0,20.470974900486887 -330 -132.40556526713101 18.909210084585538 9.2280321804593051 -1.0524512094596732
ur,tetrapga,0.207666447,1.470092093,3.482132793,1,35.820947,43.239191,4.477618375,1,0,0,1.41176277,56.633487885,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0012453972641356028 -0.1061047367152355 0.034367392625094972 -1.2642964844370994 -0.0027573411576709552 0.0017794608306153186,-0.033281676216152925 -1.1771192182037138 0.069233029339643967 -3.0385772238249604 0.0054689339943459507 0.024846926556979943,0.0097857723844422435 -1.5502288971337717 0.032729523675696336 -1.5353191964432766 0.033267204357029075 0.030076518498216132,0.07891408046994472 0.12371019462883123 0.17832707791229224 0.18180235739397879 0.16186444032552019 0.1401639859557868,0.00085197873717574295 -1.5676511530265267 0.0055985081250112846 -1.5643609939435514 0.0063091174725055888 0.0059168621103567213,0.027479763130130619 0.083553066009029286 0.14427726893410248 0.16339194273127378 0.15845899141418668 0.14722913735469312,0 0 0 0 0 0,22.699103623321996 -330 -131.88780352244663 5.2744168811705094 12.299346088420277 -1.0133531385620351
ur,tetrapga,0.251042466,1.392736624,2.720014724,1,36.074169,43.983041,4.509271125,1,0,0,1.683603427,47.35657532,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0022890006788117262 -0.16231815576684039 0.036800163758860263 -1.3672201916783868 -0.0026796021991773939 0.0026546826843475741,-0.018274886954936318 -1.4809687428197063 0.046818707693539081 -1.9873362566036419 -0.00044627228295644121 0.017171199586630173,0.013492213869336751 -1.5446508299795949 0.040632368828090376 -1.5273571911787425 0.040280437972518991 0.03609906553359496,0.091959949100792471 0.13343497545775374 0.18597665091488255 0.18521850897922323 0.16141345810826307 0.13746792310919484,0.0010817332946808113 -1.5669747283428475 0.0067598454466002763 -1.5630496012949673 0.00757819301223857 0.0070938479911883999,0.029958655173042237 0.085551886784326903 0.14605466179693763 0.16445325388953103 0.15880681647723405 0.14701524648197731,0 0 0 0 0 0,20.639218237982558 -330 -133.5937595555701 -3.2341564466287309 12.975177364348948 -1.624468675978699
ur,tetrapga,0.295102845,1.311982191,2.434910579,1,36.128945,44.081374,4.516118125,1,0,0,2.153003545,38.321500547,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0028445555252969521 -0.23104624992713241 0.038738561848754877 -1.4341223515361394 -0.0023114497118860008 0.0036455744804509385,-0.01003866694418387 -1.7711139136281182 0.037207980779086276 -1.291906717969969 0.0062654604503500372 0.019398315310613055,0.017833036669898671 -1.5385598774834175 0.048988163186649641 -1.5191306655251331 0.047372021429181642 0.042089106214326398,0.10505064361582277 0.14299134470486244 0.19322214432184051 0.18810307232249684 0.16039570083786175 0.13437444041933549,0.0013313134735348316 -1.566282342510771 0.0079353441455375043 -1.5617297894373423 0.0088499772726200691 0.0082690726977694747,0.032436142314264671 0.087543330276672188 0.14781759160707256 0.1654967315811855 0.15913616776668321 0.14678884702067788,0 0 0 0 0 0,20.204900994683257 -330 -133.06093200824699 -8.0525132054735877 13.439895516295671 -1.6935855397511759
ur,tetrapga,0.339253813,1.219078397,2.4481895,1,36.229362,43.856017,4.52867025,1,0,0,2.757318772,29.280957429,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0032216257579593391 -0.31583130710530666 0.040416913557361232 -1.4790810294757768 -0.0016439800954433724 0.0047672579972263904,-0.008450674985687202 -2.0662648807385948 0.035757345991969766 -0.80963223081986369 0.022126635981438141 0.029564622426922794,0.022757288313340087 -1.5320415966057312 0.05766934899244118 -1.5107729303776753 0.054420772403945106 0.047946944670918527,0.1179801229423508 0.15222170459082349 0.19993528378118641 0.19039449185630231 0.15881289989654301 0.13092227962898109,0.0016007074069293186 -1.5655740550959323 0.0091248879987301298 -1.5604017013585678 0.010124322373905741 0.009442436239818006,0.034912067665268776 0.089527259717011323 0.14956592885532324 0.16652229597791801 0.15944702312814679 0.14654995869487403,0 0 0 0 0 0,23.082215107345959 -330 -128.26607327587726 -6.6211113148201548 16.197181573879824 0.62704154341601459
ur,tetrapga,0.383177899,1.119985782,2.618042096,1,36.167913,43.79947,4.520989125,1,0,0,3.478710886,21.174294158,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0036278623856771356 -0.40865973842244302 0.041780316053665646 -1.5064396603070038 -0.00083662139846426523 0.0058555124650347913,-0.01163044225679578 -2.3391549149463775 0.025614897828649105 -0.52845430712953134 0.015414589791323567 0.021088221411261376,0.028218121289095472 -1.5251603330677082 0.066587787315825722 -1.5023709559427469 0.061351727713670368 0.053615866129438444,0.13063126641240977 0.16104164584061939 0.20605469199451748 0.19207316055651727 0.15668314582927723 0.12714492033787228,0.0018899019732036206 -1.5648499267563396 0.010328359750829352 -1.5590654806800837 0.011401080264746077 0.010613838787660717,0.037386274402908891 0.091503538782217175 0.1512995449881949 0.1675298685216601 0.15973936181495144 0.14629860193246305,0 0 0 0 0 0,26.204691560232625 -330 -131.57611018339782 -13.108501566307496 13.743234422839334 -1.7419319982696901
ur,tetrapga,0.427099666,1.010137238,2.853840295,1,36.172374,43.769906,4.52154675,1,0,0,4.30907224,13.934460468,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0042217578581781037 -0.51312415686737445 0.042997793362526099 -1.5239030401377038 0.00011880965178266933 0.006971612947333573,-0.016985418525618759 -2.6185797093670953 0.023020958138598641 -0.33724716972365371 0.018476128978015559 0.021707339046788357,0.034229219625147141 -1.5179003537606348 0.075762006776207258 -1.4939089466831224 0.068176714867094493 0.059111210852272951,0.14304580283819618 0.16948017606625748 0.2116015404333777 0.19314775900207667 0.1540052563901485 0.12303331953994218,0.0021988827964007892 -1.5641100192387767 0.011545641121907339 -1.5577212716466968 0.012680102733453545 0.011783180677858943,0.039858605777623159 0.093472031602815531 0.153018312415729 0.16851937192970615 0.16001316448948469 0.14603479786400764,0 0 0 0 0 0,32.332316290683956 -330 -130.81484077520855 -14.315762768570494 13.765704100211282 -1.7478532311820629
