robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000048611,2.22143352,0.308564657,0,42.148144,50.927436,5.268518,1,0,0,0.160959329,108.692153895,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0 0 0 0 0 0,0 0 0 0 0 0,7.3200150457590574e-07 -1.570792756618665 6.570722890923655e-06 -1.5707886552273225 7.6047815123790145e-06 7.1998230767600193e-06,0.015065897397568341 0.073449981876559933 0.13517510030733587 0.15781898325442545 0.15644294152758312 0.14811054497824433,0.00013119379070460356 -1.5701970177490183 0.0010953716962811384 -1.569521494725078 0.0012609198943883371 0.0011914883564686509,0.017549459740539272 0.075483632662053032 0.13702285406192782 0.15896824699361178 0.15688278221388177 0.14795948761849925,0 0 0 0 0 0,0 0 0 0 0 0
ur,tetrapga,0.051028018,2.212777135,0.322404782,0,41.923146,49.698799,5.24039325,1,0,0,0.217808618,107.546482889,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0 0 0 0 0 0,0 0 0 0 0 0,0.0011719865571112478 -1.5667197916010991 0.0071941746162267279 -1.562561077159619 0.0080495709033467141 0.007529932301179024,0.030877690878464922 0.086291351771209918 0.14671020071283492 0.16484234919320748 0.15893112446126978 0.14693273653556949,0.00028152170528924597 -1.5695850363275918 0.0021988995844876434 -1.5682452097163937 0.0025176803850936887 0.002374518033874418,0.020032402560063257 0.077510596640959356 0.13885680657397101 0.16010009541067577 0.15730428100646932 0.1477958336205471,0 0 0 0 0 0,0 0 0 0 0 0
ur,tetrapga,0.100803441,1.916562443,11.083059434,1,42.292078,50.13833,5.28650975,1,0,0,10.799881607,91.162821911,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0031148498951238347 -0.016118682229451665 0.018609909931743322 -0.42176572509299182 -0.0053814687906263547 7.7615516597841187e-05,0.047680653634022047 -0.23742613764572537 0.13105748180919188 -10.90610856668253 0.14815287205807448 0.010601443337129994,0.0030920566912478512 -1.5621185330107725 0.01476529240799071 -1.55419981573984 0.016005858500832245 0.014804758716561846,0.046259047154396701 0.098538735047895967 0.15740469355578887 0.17100026959971742 0.16063662378480509 0.14529298448264974,0.00045171016068789818 -1.5689568664046369 0.0033170434402847574 -1.5669599398690821 0.0037777394008599646 0.0035561881464667099,0.022514568763754305 0.079530734930690072 0.14067682367406581 0.16121444240359084 0.15770740873375327 0.1476195991722197,0 0 0 0 0 0,-40.249311425989376 -330 -150 56 21.946440093366753 0.013808075949163889
ur,tetrapga,0.151076922,1.66382302,7.268774406,1,41.984793,49.92382,5.248099125,1,0,0,4.074414349,75.60148102,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0025710586299422873 -0.035504732746621408 0.026623403814150196 -0.87274074866349083 -0.0031993719826240714 0.00059831696819809222,-0.044891236481954352 -0.54794445319008034 0.13366135249519809 -7.0590527062454083 0.020182324824059433 0.017901231339876689,0.0058062395900105148 -1.5568604410479214 0.0229375721371919 -1.5454617373429911 0.024109640320246293 0.02205733350651114,0.061698402946870734 0.1105836249225572 0.16760503899302664 0.17649938238029961 0.16162870196417012 0.1431510202973435,0.00064175231568272865 -1.5683125631398438 0.0044496912467486367 -1.565665825534801 0.0050409498611429333 0.0047363981177576927,0.024995801283560382 0.081543909055588754 0.14248277210842972 0.16231120311382405 0.15809213762369764 0.14743080117040527,0 0 0 0 0 0,8.8943847600940185 -330 -132.02323812421105 37.65166288806995 6.9769323861616623 -0.01218693473639032
ur,tetrapga,0.20107107,1.533212294,4.637438106,1,36.054587,43.89676,4.506823375,1,0,0,1.87995264,63.479428127,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00019174298940186771 -0.071169382520409011 0.031815828365232779 -1.1382461264067256 -0.0031461907270497382 0.0013606534943229856,-0.046712305070262763 -0.92707781450529059 0.095048293124150918 -4.3290205658925798 -0.00066811214628976871 0.02220814478000652,0.0092718843636201715 -1.5510398533912311 0.031557363262666525 -1.536516382222181 0.032199572503949628 0.029150829143035489,0.076918211929566965 0.12220525085496393 0.17712011870122688 0.18123333327942859 0.16188502416757528 0.14054320441365203,0.00085164007263619564 -1.5676521827990537 0.0055967299246147345 -1.5643630077390849 0.006307164468826407 0.0059150475092676251,0.027475943083974191 0.08354998095477284 0.1442745195470175 0.16339029393184323 0.15845844130564299 0.14722945722007169,0 0 0 0 0 0,22.063674300409676 -330 -132.78975314466095 15.360149238064878 13.82085244917797 -0.035412465857532105
ur,tetrapga,0.245085137,1.44999769,3.326491701,1,36.032889,43.675909,4.504111125,1,0,0,1.741684025,53.840309432,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0014200120799591515 -0.11715062245272359 0.035068604586034481 -1.2848931749067372 -0.0034233836919034745 0.0021151268843592939,-0.030579608810740126 -1.2442960613573257 0.062889532890045605 -2.8313435171559971 -0.0097720823240182216 0.014594609050965096,0.012949687636002499 -1.5454418247415644 0.03952748001530134 -1.5284593069977088 0.039318558683805141 0.0352789561318817,0.090176970776303586 0.13211753352180089 0.18495603504881181 0.18478303633895893 0.16150782668743233 0.13785887224234136,0.0010813640777842424 -1.5669757827509099 0.006758045339699998 -1.5630516281713298 0.0075762357214402059 0.0070920360261854604,0.029954837170242606 0.085548812989953246 0.14605193459158808 0.1644516325025456 0.15880629481203171 0.14701558563325456,0 0 0 0 0 0,22.24676646235223 -330 -133.15648054241871 4.142967286396015 16.283702596098159 -0.037497030867944758
ur,tetrapga,0.28883046,1.368531564,2.629479268,1,36.075036,43.886818,4.5093795,1,0,0,2.109833852,44.205173018,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0024118727672184344 -0.1793526725842029 0.037667167914092935 -1.3839828880857998 -0.0034167285483339511 0.0030658126734179115,-0.016527419549677312 -1.5637720218029461 0.053056673740466812 -1.7964375236346575 0.0078288497853329624 0.026470359762273268,0.017179927093712279 -1.5394525758119288 0.0477793253349292 -1.5203093527402676 0.046365389801823108 0.041244805395766526,0.1031979280033499 0.14165148029419708 0.19222361003154506 0.18772873409611698 0.16057492790836406 0.13483642347691305,0.0013309137215951647 -1.5662834214634451 0.0079335223103893862 -1.5617318291747371 0.0088480159223915614 0.0082672635230212309,0.03243232659657444 0.087540267953231166 0.14781488678371682 0.16549513773060812 0.15913567458003908 0.14678920542800999,0 0 0 0 0 0,22.20191000660423 -330 -128.68231198810386 1.5210803824620598 19.88588714321132 2.308480748701454
ur,tetrapga,0.332785215,1.28571213,2.431947391,1,36.103433,44.285693,4.512929125,1,0,0,2.662848695,35.216680482,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0029418558435989387 -0.25138616334565278 0.039624493807887615 -1.4447678101106785 -0.0030872568630420033 0.0040644016036295678,-0.010416556677606839 -1.8516790406758767 0.043069112211992909 -1.1635655742369382 0.015134940228121846 0.028295788049036829,0.022000205392086934 -1.5330219604056659 0.056379109807320381 -1.5120035590568468 0.053392605609347145 0.047098350774740103,0.11609856641846882 0.15089176229412826 0.19898660800300422 0.19009651240469011 0.1590798851380322 0.13144984199959517,0.0016002771391941295 -1.5655751585006088 0.0091230446151862737 -1.5604037537362141 0.010122357192209204 0.0094406300092499014,0.034908254474346166 0.089524209074871797 0.14956324661275336 0.16652072978575852 0.15944655845311018 0.14655033632733194,0 0 0 0 0 0,22.773471172273279 -330 -127.95423561763261 -2.7141274122450341 20.326885609518385 2.2973361493509028
ur,tetrapga,0.377147548,1.194226859,2.495917549,1,36.170414,44.213115,4.52130175,1,0,0,3.350920558,26.60666188,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0033593543625885583 -0.33531535436385163 0.04122600427346941 -1.4841301628291002 -0.0025033202216979454 0.0051060691055971165,-0.010649202282927915 -2.12922785623944 0.030170946595445999 -0.76032106592126247 0.010922608984394126 0.020162477861133673,0.027435563196812889 -1.5261278900311135 0.065347631697926636 -1.5035286429318218 0.060405888223235997 0.052847510550138983,0.12890781278219504 0.15985289789868151 0.20524813447280249 0.1918783770265762 0.15700814417138925 0.12768349866490492,0.00188944121085333 -1.5648510545187289 0.010326495000326286 -1.5590675454762328 0.01139911147979933 0.010612035654946431,0.037382463980305057 0.091500500031055018 0.1512968855237245 0.16752833010796733 0.15973892568240172 0.14629899875803434,0 0 0 0 0 0,24.606566579398866 -330 -131.23867225905303 -10.014928165132005 17.968238901682195 -0.061744406302585375
ur,tetrapga,0.421488496,1.087691553,2.691413631,1,36.101166,43.686723,4.51264575,1,0,0,4.158851924,18.337862593,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0039115363525829344 -0.43582262452409615 0.042660223234578153 -1.5103887146100523 -0.0016551803792747275 0.006250649474522663,-0.015061187709218318 -2.4246758450043373 0.031560002375370856 -0.4683206702000165 0.025155070496726085 0.029963643137800755,0.033430973749122198 -1.5188483756494775 0.074576567439691155 -1.4949924458345361 0.067311516147875824 0.058419322291510943,0.14147379011489236 0.16842398684914944 0.21092526705383058 0.19304425349941473 0.15437769457164682 0.12357694755168502,0.0021983915625477567 -1.5641111712629145 0.011543755187454152 -1.5577233486386475 0.012678130573712768 0.011781380796411728,0.039854798364769607 0.093469004951601778 0.15301567592518137 0.16851786141256028 0.16001275692812952 0.14603521384959817,0 0 0 0 0 0,31.348085274314069 -330 -126.22548580746458 -7.1570616525696096 20.574645597067661 2.2824188248166699
ur,tetrapga,0.465245843,0.974583752,2.942993096,1,36.058182,44.036237,4.50727275,1,0,0,5.063952528,11.403878145,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0046666266272952289 -0.5438860563704927 0.04387316911054475 -1.5261885548007785 -0.00071147630369499813 0.007348565944659601,-0.021172552502778705 -2.7074659354193771 0.022634731359171142 -0.30524191064474099 0.018255806964737348 0.021248224653039535,0.039888156398819867 -1.5113007380530497 0.083918043912771564 -1.4865312350346258 0.073999971258929043 0.063732071019807018,0.15361763668215916 0.176485819812505 0.21594430969008913 0.19358839241824391 0.1512397662855639 0.11919732986916948,0.0025271125665765593 -1.5633555715633967 0.012774705881363098 -1.5563713080804711 0.013959266113422505 0.012948565941789277,0.042325100959826577 0.095429588427676612 0.15471949119699072 0.16948924769525078 0.16026803426082101 0.14575900343298326,0 0 0 0 0 0,37.377203826947309 -330 -129.58798293682929 -12.881885521363984 18.016434785922055 -0.066793356030771633
ur,tetrapga,0.509351769,0.844192001,3.243511904,1,37.233217,44.933247,4.654152125,1,0,0,4.193794064,5.715333189,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0057348046064247737 -0.67024974882519928 0.045052658030788346 -1.536433527359446 0.0004080669557128627 0.0085299015561971919,-0.027371847717200505 -3.0233523777772988 0.027082988962731171 -0.17612645678839167 0.030370377720029505 0.030602451657564284,0.046928408406071709 -1.5033450763962937 0.093543058117619704 -1.4779919761235272 0.080590909019420134 0.068886131295113631,0.16557607839523431 0.18419558982891085 0.22040443383592992 0.19352506678629985 0.14753963786957638 0.11446267973247733,-0.0015607492395615262 -1.1282501185148859 0.029538787763329553 -1.5444456499651249 0.0094733143336941002 0.01246015596639297,0.0060040316594968182 -1.4304444967882062 0.07855977272868564 0.24483350029417292 0.28626437752276374 0.21504260751449383,1.3967520222284242 5.5424913186960012 7.0038204426483839 1.2631348637540059 -0.40759610645529315 0.016746403131652595,47.68429882190383 -330 -124.50793509470131 -8.8797391459884238 20.530443520701812 2.2710627648242223
