case_name,summary_file,robot,backend,num_cycles,tracking_rmse,tracking_mean,tracking_p95,torque_ratio_mean,torque_ratio_p95,torque_ratio_max,solve_time_mean_ms,solve_time_p95_ms,realtime_ratio_mean,deadline_miss_rate,failure_rate,dt,horizon,solve_budget_ms,control_rate_hz,experiment_duration_s,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque
com_01cm_x_tetrapga,com_01cm_x_tetrapga_summary.csv,ur,tetrapga,442,0.609394531,0.562733602,0.89469978,0.30202418,0.468764108,1,37.516936814,50.464772,4.689617102,1,0,0.008,40,4,125,20,1,5,5,1,0.01 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_01cm_y_tetrapga,com_01cm_y_tetrapga_summary.csv,ur,tetrapga,456,0.545950411,0.506448317,0.684834423,0.266876032,0.412035278,1,36.089849684,45.277507,4.511231211,1,0,0.008,40,4,125,20,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_01cm_z_tetrapga,com_01cm_z_tetrapga_summary.csv,ur,tetrapga,454,0.546445202,0.507349093,0.684053926,0.265252734,0.361860436,1,36.261441507,42.158276,4.532680188,1,0,0.008,40,4,125,20,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_x_tetrapga,com_02cm_x_tetrapga_summary.csv,ur,tetrapga,459,0.55298338,0.51315352,0.717680809,0.270410571,0.374617721,1,35.890461499,45.928582,4.486307687,1,0,0.008,40,4,125,20,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_y_tetrapga,com_02cm_y_tetrapga_summary.csv,ur,tetrapga,442,0.605512563,0.559107741,0.886108387,0.304695883,0.463826125,1,37.502737538,53.538694,4.687842192,1,0,0.008,40,4,125,20,1,5,5,1,0 0.02 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_z_tetrapga,com_02cm_z_tetrapga_summary.csv,ur,tetrapga,450,0.554032144,0.513877193,0.713129365,0.27472871,0.399229092,1,36.666627464,45.274585,4.583328433,1,0,0.008,40,4,125,20,1,5,5,1,0 0 0.070000000000000007,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_x_tetrapga,com_05cm_x_tetrapga_summary.csv,ur,tetrapga,462,0.566291328,0.521477742,0.742978957,0.27866208,0.411461268,1,35.731722838,45.051283,4.466465355,1,0,0.008,40,4,125,20,1,5,5,1,0.050000000000000003 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_y_tetrapga,com_05cm_y_tetrapga_summary.csv,ur,tetrapga,461,0.566924087,0.522362833,0.746941862,0.29454954,0.408636693,1,35.786617009,45.167144,4.473327126,1,0,0.008,40,4,125,20,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_z_tetrapga,com_05cm_z_tetrapga_summary.csv,ur,tetrapga,467,0.536759908,0.493488124,0.642496872,0.240224394,0.389063324,1,35.124174364,42.270637,4.390521796,1,0,0.008,40,4,125,20,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
external_10N_tetrapga,external_10N_tetrapga_summary.csv,ur,tetrapga,492,0.418810418,0.374761703,0.449004165,0.066862721,0.134003228,1,33.052740441,39.604761,4.131592555,1,0,0.008,40,4,125,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0
external_5N_tetrapga,external_5N_tetrapga_summary.csv,ur,tetrapga,488,0.409275804,0.370963951,0.459355321,0.059511064,0.122906726,1,33.331338941,41.976966,4.166417368,1,0,0.008,40,4,125,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0
mass_070_tetrapga,mass_070_tetrapga_summary.csv,ur,tetrapga,495,0.400605725,0.365586443,0.452608807,0.046377592,0.04998428,1,32.842246139,39.610617,4.105280767,1,0,0.008,40,4,125,20,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_080_tetrapga,mass_080_tetrapga_summary.csv,ur,tetrapga,484,0.414722372,0.371457232,0.459930714,0.050460755,0.13284129,1,33.589009463,39.629224,4.198626183,1,0,0.008,40,4,125,20,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_090_tetrapga,mass_090_tetrapga_summary.csv,ur,tetrapga,494,0.403368839,0.366902937,0.454989534,0.050196842,0.051851179,1,32.903328704,39.602759,4.112916088,1,0,0.008,40,4,125,20,0.9,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_110_tetrapga,mass_110_tetrapga_summary.csv,ur,tetrapga,491,0.418088144,0.373387936,0.457422476,0.061649352,0.099884122,1,33.103210422,39.647387,4.137901303,1,0,0.008,40,4,125,20,1.1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_120_tetrapga,mass_120_tetrapga_summary.csv,ur,tetrapga,496,0.422338037,0.375730039,0.463255989,0.063187115,0.068095907,1,32.790586657,39.618774,4.098823332,1,0,0.008,40,4,125,20,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_130_tetrapga,mass_130_tetrapga_summary.csv,ur,tetrapga,485,0.444140042,0.400832266,0.473877149,0.11885559,0.218958502,1,33.510039544,39.746861,4.188754943,1,0,0.008,40,4,125,20,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
