robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000043687,2.217534759,1.823579569,1,41.732207,54.473588,5.216525875,1,0,0,0.263772891,84.996500239,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,1.8385405972503445e-05 -0.00059495369376998315 0.0010109992842015569 -0.0049231813115026288 -4.4764779662890002e-05 2.2229103976844003e-06,0.0061016190141502755 -0.18201791509530074 0.29550605547713443 -1.6265973287665934 -0.012370043325014526 0.0006122761757005377,6.57820789673982e-07 -1.570793118283289 5.9051235074173757e-06 -1.5707894323262412 6.8344571487023414e-06 6.4705265339367699e-06,0.015064368606433167 0.073448728133952215 0.13517395879264585 0.15781827053760225 0.15644266516365454 0.14811063407183289,0.00013110738092790512 -1.5701973894273489 0.0010946969985373327 -1.5695222774829978 0.0012601474042213494 0.0011907598037131668,0.017547931282342114 0.075482382992325014 0.13702172100039975 0.15896754496915061 0.15688251713011858 0.1479595844701577,0 0 0 0 0 0,-1.4188075431945639 -330 -74.967710424640899 -56 2.0425186873118171 -0.10183252072089914
ur,tetrapga,0.054575809,2.208252996,1.832137543,1,39.960754,47.342632,4.99509425,1,0,0,0.329602126,84.071872595,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,1.8385405972503445e-05 -0.00059495369376998315 0.0010109992842015569 -0.0049231813115026288 -4.4764779662890002e-05 2.2229103976844003e-06,0.0061016190141502755 -0.18201791509530074 0.29550605547713443 -1.6265973287665934 -0.012370043325014526 0.0006122761757005377,0.0012834831139697423 -1.5664120814042015 0.0077160583908826253 -1.5619754303383637 0.0086136841377401994 0.0080510406538471767,0.031976332801963492 0.08717420086537235 0.14749141895816323 0.16530437115296479 0.15907642415420681 0.14683182063645683,0.0002814230695010464 -1.5695854179867033 0.0021982158563406528 -1.5682459980475616 0.0025169058194388296 0.0023737902869321436,0.020030874531500282 0.077509351129716936 0.13885568204846649 0.16009940413195425 0.15730402722125719 0.14779593822053042,0 0 0 0 0 0,-1.4188075431945639 -330 -74.967710424640899 -56 2.0425186873118171 -0.10183252072089914
ur,tetrapga,0.101999728,1.825279396,10.273756347,1,34.389988,41.993766,4.2987485,1,0,0,8.921885632,58.946239376,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,0.00086455269892761445 -0.037201115150494381 0.01680326454805358 -0.55093517918254553 -0.00026418837639595666 5.2125639981750279e-05,-0.0060208880448990743 -0.98114677230002156 0.19439432266627499 -10.0434766493635 0.0081694896952175383 0.011239085676828265,0.0031476163052264186 -1.5620004786001402 0.014953743083205082 -1.5539951669578012 0.01619804527545236 0.014978543743502081,0.046627707475872103 0.098829274757878352 0.1576545540817591 0.1711396034439549 0.16066877060399182 0.1452476623336339,0.00045159930271201573 -1.5689572580109199 0.0033163507503523476 -1.566960733687321 0.0037769628501763161 0.0035554612672838073,0.022513041261509228 0.079529493663291137 0.14067570776688532 0.16121376192322284 0.15770716626461709 0.14761971151034611,0 0 0 0 0 0,-0.21931633254264005 -330 -110.26685716103978 -56 -1.7231332715065997 0.61722807581310035
ur,tetrapga,0.144111465,1.605030271,7.67967093,1,34.587618,42.157329,4.32345225,1,0,0,4.434760565,44.721468987,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,0.00018882470682027376 -0.092093694514601407 0.023093124053908079 -0.89295754433585328 0.00013506239049443632 0.00044129920579626797,-0.019236960895898752 -1.6073295208848619 0.14561337029333077 -7.3062121638249327 -0.0014935270714141898 0.0080510472537137969,0.0053839055929953712 -1.5576249705466403 0.021774911986768654 -1.5466886436362532 0.022984140104327248 0.02105908160125404,0.059566439493855414 0.10893550166493829 0.16622893855609097 0.17578132200060384 0.1615351650115413 0.143476700155027,0.00064162924011638501 -1.5683129646590068 0.0044489896643047167 -1.5656666247535167 0.0050401714160263301 0.004735672168197127,0.024994274404299435 0.081542672117138296 0.14248166490130762 0.16231053348365646 0.15809190648730026 0.14743092123605683,0 0 0 0 0 0,8.8898196593214678 -330 -122.00529507764021 -56 1.8976641648868631 -0.074363366294357469
ur,tetrapga,0.186340473,1.447628766,5.335516609,1,35.618128,43.420674,4.452266,1,0,0,2.071576923,34.182862912,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,-0.0006760598655827884 -0.16961320796698617 0.02716261309731683 -1.1139953698402068 0.00074512014906330363 0.0010744696337499659,-0.022292183262272877 -2.2299317119862168 0.081456125715201319 -4.6049110390861747 0.011930461750021883 0.013139185188413964,0.0081717262864030304 -1.5528151154976584 0.028968365934605486 -1.5391764307318809 0.029814830390575212 0.027074472813907936,0.072449856972345655 0.11881978794117849 0.17438334988172816 0.17991551675494116 0.16188521655701013 0.1413606746251384,0.00085150478484985492 -1.5676525941961255 0.0055960195195848073 -1.5643638122712704 0.0063063842200025335 0.005914322551105672,0.027474416924341029 0.083548748430118169 0.14427342112111721 0.16338963520295244 0.15845822151778421 0.14722958500219499,0 0 0 0 0 0,14.096600243842973 -330 -115.9898323837522 22.459727901480619 1.1457287084691465 -0.029679927329580025
ur,tetrapga,0.229874455,1.297475344,4.387635398,1,35.739036,43.581644,4.4673795,1,0,0,1.933118011,24.905851252,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,-0.001646188282158372 -0.27756097714128886 0.030173049170281165 -1.2696463388735792 0.0015465413946797102 0.0019077446617482422,-0.024520212187689988 -2.8736003492540774 0.056460142326305293 -3.0059247642775864 0.015817209846476804 0.01670378860196297,0.011612732836823719 -1.5474256859473581 0.036734243636635459 -1.5312612443904272 0.036860352751545596 0.033174609106519128,0.085611530048034651 0.12872720412078037 0.18230656315610697 0.18362235369958105 0.16170195646197616 0.13882730147475467,0.0010812165839214113 -1.5669762039902415 0.006757326182656574 -1.5630524379295734 0.0075754537597576893 0.0070913121211082309,0.029953311826853277 0.085547584963679188 0.14605084502749704 0.16445098472523426 0.15880608638764709 0.14701572112036129,0 0 0 0 0 0,20.157525514596564 -330 -113.86262741106842 11.864923775106945 1.2916494954067552 -0.046141491751746422
ur,tetrapga,0.27352342,1.141086403,4.236767105,1,35.027699,42.833616,4.378462375,1,0,0,2.519557215,17.132629518,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,-0.0027666257237031356 -0.41224940134228755 0.032355160800208352 -1.3710926164282158 0.0025068803050750416 0.0028770482140103582,-0.029458140680603873 -3.5045268055968819 0.040020906862022497 -1.959582815901578 0.018552378977529808 0.018863021819197075,0.01563496746425324 -1.5415956457508866 0.044855870844662846 -1.5231756358807258 0.043904394808410463 0.039172405403134845,0.098661084042119457 0.13835273482792149 0.18974067359816638 0.18676450658454782 0.16096449641675192 0.13593383463043951,0.0013307540285721511 -1.5662838525087124 0.0079327944725473519 -1.5617326440712276 0.0088472323388150576 0.0082665407326211922,0.032430802166012351 0.087539044509655148 0.14781380616144144 0.16549450095440188 0.15913547753319929 0.14678934860817761,0 0 0 0 0 0,28.176233664190999 -330 -111.77880455490995 5.0955251103123373 1.3528295797050305 -0.056376271540758083
ur,tetrapga,0.316433751,0.967803431,4.532779467,1,34.031203,41.457757,4.253900375,1,0,0,3.383317286,11.19945875,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,-0.0041281939342569674 -0.57333580008446539 0.033987423916843701 -1.4370729900474086 0.0035649412746359488 0.0039189381736868681,-0.03560523178436148 -4.1329019908284215 0.029493445915335915 -1.2745353257523082 0.020511442743141345 0.020263652760978194,0.02014083403841832 -1.5354615602291841 0.053145327569104235 -1.5151053968698751 0.050786232619645426 0.044938257069624225,0.11132241453068126 0.14749530032584479 0.1965348991041902 0.18928541225026896 0.15970112894410221 0.13275018974895847,0.0016001052546997605 -1.5655755993148137 0.0091223081683982302 -1.560404573682747 0.010121572077812462 0.009439908395022404,0.034906731053156982 0.089522990298039326 0.14956217501171434 0.16652010405940273 0.15944637279701973 0.14655048718820435,0 0 0 0 0 0,37.956454803664016 -330 -109.78702916485308 0.73038524669755134 1.3783802377649472 -0.063110252060193162
ur,tetrapga,0.357956296,0.782363811,5.015621897,1,34.109726,41.708966,4.26371575,1,0,0,4.436867627,7.903330645,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,-0.0056329932505350044 -0.75148234636125333 0.035226875092175751 -1.4781786164797037 0.0046484619827605288 0.0049653611597446712,-0.039477375237483528 -4.742842602422062 0.023638166835523562 -0.84274866156966888 0.022329321582678655 0.021597615607808672,0.025014498595182583 -1.5291590268243356 0.061433805039368308 -1.5072045389863655 0.057383274418288797 0.050380959397726091,0.12339414357238329 0.15602253277259409 0.20260993001722177 0.19118282911225726 0.15797346897080378 0.12935530043398255,0.0018892571433486306 -1.564851505064202 0.010325750017077842 -1.559068370384217 0.011398324925758279 0.010611315278286246,0.037380941664991715 0.091499286004734615 0.15129582302275191 0.16752771547942394 0.15973875142939831 0.14629915728682258,0 0 0 0 0 0,47.546437966689524 -330 -108.00566995946878 -1.9911072171198612 1.3863527976635837 -0.068875398673105437
ur,tetrapga,0.399788651,0.564644011,5.632854244,1,34.263701,41.79208,4.282962625,1,0,0,5.746823943,7.987358916,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,-0.0072506102265732482 -0.96534674497554407 0.036307230466990505 -1.506314726014705 0.0058222109846944479 0.0060829976270514417,-0.036825811795732563 -5.41197303048446 0.019542248003845932 -0.54296129751498656 0.023300270236560543 0.022189143865194515,0.030427287952284401 -1.5224583483271408 0.070028612211098518 -1.4991763897235157 0.063946582296138116 0.055715313269993461,0.13535537102249579 0.16427879947550431 0.20822048000409465 0.19255078432359488 0.15573452805268687 0.12562885127803214,0.0021981953212655884 -1.5641116315013179 0.011543001740859175 -1.5577241784191111 0.012677342671298556 0.011780661718609586,0.039853277251787229 0.093467795759280423 0.15301462260250978 0.16851725792900479 0.16001259408968313 0.14603538003308122,0 0 0 0 0 0,54.977747664136352 -330 -106.23541106041675 -3.8594913991237263 1.3885000496983082 -0.072046597083314623
